strategy,period,n_days,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
M1_eta1.0,2021,252,0.1955869859463437,0.19558698594634372,0.12319025212942145,1.5092103307760156,0.06559695834534224
M1_eta1.0,2022,251,-0.022471863950211033,-0.022560375714663183,0.18833346061236034,-0.13330887798863453,0.16143562973381376
M1_eta1.0,2023,250,0.09599943772302472,0.09680346549564489,0.10857518891753629,0.44054463547811257,0.07511449736621234
M1_eta1.0,2024,252,0.264401975271384,0.264401975271384,0.1098016824958241,1.7411698706669547,0.05704691751653889
M1_eta1.0,2025,250,0.153498826814914,0.15481733484619653,0.18455066644922213,0.6514645889861882,0.18128778138334908
M1_eta1.0,2026,113,0.108817608781199,0.2590472379444919,0.12629591528681888,1.602818201811888,0.08028847986927348
M1_eta1.0,2021-2026,1368,1.071491778085319,0.14356985144610301,0.14551275599058372,0.7717703444126754,0.1962153000995953
M1_eta3.0,2021,252,0.18432335650782272,0.18432335650782283,0.11817975619862209,1.4879236195575418,0.06584291527823374
M1_eta3.0,2022,251,-0.029896471533732344,-0.030013775399854392,0.1853793925066077,-0.17969603037339388,0.16203488798487217
M1_eta3.0,2023,250,0.2044103711773514,0.20620377258549594,0.0928508329387833,1.5225855841692766,0.0755140919085508
M1_eta3.0,2024,252,0.23689210925469875,0.23689210925469872,0.09293242884767706,1.8021004946184596,0.044049757461153666
M1_eta3.0,2025,250,0.23362377268860718,0.23569756747316917,0.1982926158476995,0.9614376241098369,0.20955064973699158
M1_eta3.0,2026,113,0.12336657162257747,0.2961862426440187,0.12634719866688457,1.8325359565277737,0.07863821043457976
M1_eta3.0,2021-2026,1368,1.371913845428072,0.17245765815025127,0.14320545897279544,0.9563564558715866,0.20955064973699167
M1_eta7.0,2021,252,0.18255130014689616,0.18255130014689613,0.11526401038126904,1.5096166417726193,0.06564915155227981
M1_eta7.0,2022,251,-0.019854338532605088,-0.019932645857042797,0.18816553350776152,-0.11930280763477845,0.16411797646920523
M1_eta7.0,2023,250,0.14960468092150997,0.15088760209474583,0.11029035422759179,0.8719371000157154,0.08936060253997068
M1_eta7.0,2024,252,0.30730257853464443,0.3073025785346444,0.11744982094994098,1.9195813985330816,0.06559451700353244
M1_eta7.0,2025,250,0.16155140318897607,0.16294383636921594,0.18412153520152014,0.6907528878599379,0.1830496314305577
M1_eta7.0,2026,113,0.06120636793539592,0.14165778587638478,0.0817365289723817,1.2223514907548818,0.052503977650288775
M1_eta7.0,2021-2026,1368,1.1472051207538725,0.1511571052104339,0.1428799232868048,0.8297403908197041,0.18974401178778358
M2_eta1.0,2021,252,0.2795522471655483,0.2795522471655483,0.1231127062762762,2.0618797432606835,0.05825987470524675
M2_eta1.0,2022,251,-0.04607807347847399,-0.046257338653193814,0.22266620135090104,-0.1914408778064883,0.21185375715895377
M2_eta1.0,2023,250,0.14666458160497944,0.1479207050579172,0.11041574720756138,0.8477342659028024,0.09731708920414309
M2_eta1.0,2024,252,0.26493340304328805,0.26493340304328816,0.11220907861578366,1.7100646474420684,0.06686225699347827
M2_eta1.0,2025,250,0.145090029535474,0.14633182664770916,0.16168266546500698,0.6742857879911782,0.16318304562367061
M2_eta1.0,2026,113,0.10094235898393976,0.23919231942423425,0.1394011599707448,1.3504165216915656,0.08563554327896845
M2_eta1.0,2021-2026,1368,1.231922598037084,0.15939217780599102,0.15091043475564814,0.8407142268907892,0.21185375715895374
M2_eta3.0,2021,252,0.22873054714283528,0.22873054714283536,0.10973250336125284,1.9294638728841138,0.04475409944080778
M2_eta3.0,2022,251,-0.05448222145182018,-0.05469323516382307,0.22063894422361402,-0.23548145249744645,0.2089772793547097
M2_eta3.0,2023,250,0.12206439989998882,0.12309870338713513,0.10789327116300602,0.6623290373125422,0.09448234107083203
M2_eta3.0,2024,252,0.24398020148599933,0.2439802014859993,0.10959289857936734,1.5956601563227966,0.06043423089253897
M2_eta3.0,2025,250,0.14983108329605344,0.1511160705471477,0.1585262153851024,0.7110357490944184,0.15886662791329942
