algo,eta,hypothesis,arm,baseline,sharpe_arm,sharpe_baseline,difference,ci_low,ci_high,p_value,p_one_sided,p_holm,seed_band,exceeds_seed_band,regime_robust,correct_sign,significant,supported,loo_sign_stable,n_days,family,exploratory
SAC,1.0,H1,M3,M1,0.8806750946200889,0.6112491883603542,0.2695244346617335,-0.20817931777942306,0.74722818710289,0.2642,0.1396,0.4188,0.2676754674935284,True,False,True,False,False,True,1368,eta=1.0,False
SAC,1.0,H1,M4,M1,0.6801150733350205,0.6112491883603542,0.06889106906216919,-0.39118614293054593,0.5289682810548844,0.7668,0.3916,0.4188,0.283745182770663,False,False,True,False,False,False,1368,eta=1.0,False
SAC,1.0,H1,M5,M1,0.9560761275657595,0.6112491883603542,0.3449530415827073,-0.1688014481034894,0.858707531268904,0.1932,0.1036,0.4144,0.2793454501621494,True,False,True,False,False,True,1368,eta=1.0,False
SAC,1.0,H1,M6,M1,0.867175436499745,0.6112491883603542,0.25601983974907966,-0.2079447295333697,0.7199844090315289,0.2854,0.1456,0.4188,0.37684309559297285,False,False,True,False,False,True,1368,eta=1.0,False
SAC,1.0,H3,M3,M2,0.8806750946200889,0.4127312840192117,0.4681149365201469,0.014900776100956213,0.9213290969393375,0.042,0.0194,0.0194,0.2649209176902055,True,False,True,True,True,True,1368,eta=1.0,False
SAC,1.0,H4,M4,M3,0.6801150733350205,0.8806750946200889,-0.2006333655995643,-0.5950826204316366,0.19381588923250812,0.3284,0.8304,0.8304,0.2637954519704382,False,False,False,False,False,True,1368,eta=1.0,False
SAC,1.0,H4,M5,M4,0.9560761275657595,0.6801150733350205,0.2760619725205381,-0.15398638102466505,0.7061103260657413,0.2082,0.1088,0.1088,0.2756297609270499,True,False,True,False,False,True,1368,eta=1.0,False
SAC,1.0,H4,M6,M5,0.867175436499745,0.9560761275657595,-0.08893320183362767,-0.4513403841341941,0.2734739804669387,0.6474,0.6634,0.6634,0.37077102780454707,False,False,False,False,False,False,1368,eta=1.0,False
SAC,1.0,SUPP,M2,M1,0.4127312840192117,0.6112491883603542,-0.19859050185841343,-0.6946399832992347,0.29745897958240786,0.4418,0.7838,0.7838,0.2847918202741958,False,False,False,False,False,True,1368,eta=1.0,False
SAC,3.0,H1,M3,M1,0.7836287487512854,0.6231758004038392,0.1605116256024146,-0.3205955327352544,0.6416187839400835,0.5102,0.2516,0.8888,0.22964545122610527,False,False,True,False,False,True,1368,eta=3.0,True
SAC,3.0,H1,M4,M1,0.7796294319499876,0.6231758004038392,0.15651084626063946,-0.3217210905685733,0.6347427830898522,0.5424,0.2696,0.8888,0.2506102668838131,False,False,True,False,False,False,1368,eta=3.0,True
SAC,3.0,H1,M5,M1,0.7807968455071131,0.6231758004038392,0.15767868673807794,-0.29188263323615654,0.6072400067123125,0.5064,0.2584,0.8888,0.1521851577118278,True,False,True,False,False,False,1368,eta=3.0,True
SAC,3.0,H1,M6,M1,0.808812541310723,0.6231758004038392,0.18570462781385458,-0.29437211382319617,0.6657813694509053,0.4442,0.2222,0.8888,0.15816609550117156,True,False,True,False,False,False,1368,eta=3.0,True
SAC,3.0,H3,M3,M2,0.7836287487512854,0.6018845436120583,0.1818106685552866,-0.2719173477488024,0.6355386848593757,0.443,0.2142,0.2142,0.24478710907083123,False,False,True,False,False,False,1368,eta=3.0,True
SAC,3.0,H4,M4,M3,0.7796294319499876,0.7836287487512854,-0.004000779341775149,-0.4501186853603318,0.4421171266767815,0.9858,0.5084,0.5084,0.28002388523038607,False,False,False,False,False,False,1368,eta=3.0,True
SAC,3.0,H4,M5,M4,0.7807968455071131,0.7796294319499876,0.0011678404774384842,-0.3774856525907986,0.37982133354567554,0.9942,0.5102,0.5102,0.22099019267481718,False,False,True,False,False,False,1368,eta=3.0,True
SAC,3.0,H4,M6,M5,0.808812541310723,0.7807968455071131,0.028025941075776616,-0.41569150493333457,0.4717433870848878,0.8968,0.4398,0.4398,0.10510791196176676,False,False,True,False,False,False,1368,eta=3.0,True
SAC,3.0,SUPP,M2,M1,0.6018845436120583,0.6231758004038392,-0.021299042952871994,-0.5377822691183102,0.49518418321256624,0.9326,0.5458,0.5458,0.21050619547963584,False,False,False,False,False,False,1368,eta=3.0,True
SAC,7.0,H1,M3,M1,0.724505975118019,0.7101951164423763,0.014316092122032758,-0.4629151108929005,0.491547295136966,0.9524,0.479,1.0,0.3607840271020912,False,False,True,False,False,False,1368,eta=7.0,True
SAC,7.0,H1,M4,M1,0.7683596983942726,0.7101951164423763,0.05818585259877739,-0.40281219580744015,0.519183901004995,0.8148,0.4064,1.0,0.27767236929586375,False,False,True,False,False,False,1368,eta=7.0,True
SAC,7.0,H1,M5,M1,0.6538116301418837,0.7101951164423763,-0.056404105605003654,-0.5270061700762134,0.41419795886620614,0.821,0.5912,1.0,0.22112148866921552,False,False,False,False,False,False,1368,eta=7.0,True
SAC,7.0,H1,M6,M1,0.8250173323655751,0.7101951164423763,0.11486420612973061,-0.3777235406058369,0.6074519528652982,0.6348,0.3254,1.0,0.31841364414604156,False,False,True,False,False,False,1368,eta=7.0,True
SAC,7.0,H3,M3,M2,0.724505975118019,0.912245156753136,-0.18780783739957516,-0.6222723729650336,0.2466566981658832,0.3954,0.7998,0.7998,0.3340526221270554,False,False,False,False,False,True,1368,eta=7.0,True
SAC,7.0,H4,M4,M3,0.7683596983942726,0.724505975118019,0.04386976047674464,-0.37172871917428774,0.459468240127777,0.842,0.4134,0.4134,0.37767956792928303,False,False,True,False,False,False,1368,eta=7.0,True
SAC,7.0,H4,M5,M4,0.6538116301418837,0.7683596983942726,-0.11458995820378105,-0.5538422204211146,0.32466230401355245,0.608,0.7018,0.7018,0.24773262718208414,False,False,False,False,False,False,1368,eta=7.0,True
SAC,7.0,H4,M6,M5,0.8250173323655751,0.6538116301418837,0.17126831173473428,-0.3385489242602385,0.6810855477297071,0.5108,0.2578,0.2578,0.2926717592773873,False,False,True,False,False,True,1368,eta=7.0,True
SAC,7.0,SUPP,M2,M1,0.912245156753136,0.7101951164423763,0.20212392952160793,-0.18714466564655585,0.5913925246897718,0.3154,0.1612,0.1612,0.2145955334788911,False,False,True,False,False,True,1368,eta=7.0,True
