algo,kind,step,eta,arm,delta_R,se,t,n_days,hac_lags
SAC,ladder,M4-M3,1.0,,-0.27425626895472266,0.10328712267134667,-2.655280366627981,1368,7
SAC,ladder,M5-M4,1.0,,0.2799023718766239,0.08814037295304002,3.1756431530616744,1368,7
SAC,ladder,M6-M5,1.0,,-0.11347141922009248,0.12360968502413663,-0.9179816225398154,1368,7
SAC,ladder,M4-M3,3.0,,-0.1366048263355289,0.08865024863373838,-1.5409412657139467,1368,7
SAC,ladder,M5-M4,3.0,,0.17023024184483912,0.109510692513679,1.5544622898222988,1368,7
SAC,ladder,M6-M5,3.0,,-0.20780706479072839,0.10462792536736233,-1.9861529707397962,1368,7
SAC,ladder,M4-M3,7.0,,-0.22955764776323295,0.07032989036098711,-3.2640125924406607,1368,7
SAC,ladder,M5-M4,7.0,,0.26636044436314943,0.13530871368255834,1.9685387371876555,1368,7
SAC,ladder,M6-M5,7.0,,-0.055270045074142786,0.04494594054232165,-1.2297004892377283,1368,7
SAC,eta,eta1-3,,M3,0.12699763550135953,0.09174104212738685,1.3843055687662367,1368,7
SAC,eta,eta3-7,,M3,0.0641297938871577,0.03820136711908636,1.6787303367244375,1368,7
SAC,eta,eta1-3,,M4,0.26464907812055316,0.13082640119662473,2.022902684014066,1368,7
SAC,eta,eta3-7,,M4,-0.028823027540546275,0.049525465886679894,-0.5819839758094707,1368,7
SAC,eta,eta1-3,,M5,0.15497694808876838,0.06495043632650022,2.3860801690340105,1368,7
SAC,eta,eta3-7,,M5,0.06730717497776403,0.041816545902646496,1.6095823680526489,1368,7
SAC,eta,eta1-3,,M6,0.0606413025181324,0.13806166921321458,0.43923344447242213,1368,7
SAC,eta,eta3-7,,M6,0.2198441946943496,0.13881653438288655,1.5837032358693737,1368,7
