time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/clip_fraction,train/std,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
4162,512,1,0,,,,,,,,,,,,,
2675,1024,2,0,0.013775999,0.0004092704424510632,-0.9416801929473877,16,0.2156982421875,0.9979900121688843,0.21327907523300382,-0.02548550715437159,-43.95802855491638,0.2,-0.030108259990811348,,
2298,1536,3,0,0.018513935,0.0004092704424510632,-0.03158974647521973,32,0.265869140625,0.995301365852356,0.002070875529170735,-0.025073142809560522,-43.882567286491394,0.2,-0.03353428468108177,1223.0,-2.15868
2117,2048,4,0,0.0206137,0.0004092704424510632,-0.004439592361450195,48,0.27490234375,0.9956647753715515,0.024964385433122516,-0.02643151197116822,-43.8363698720932,0.2,-0.03191078454256058,1223.0,-2.15868
2000,2560,5,1,0.020472802,0.0004092704424510632,-0.013340592384338379,64,0.28662109375,0.9961153268814087,0.0013071461271465523,-0.027465967781608924,-43.85610616207123,0.2,-0.045523468405008316,1223.0,-2.184387
1945,3072,6,1,0.025575299,0.0004092704424510632,-0.0025615692138671875,80,0.331787109375,0.9982911348342896,0.014573763182852417,-0.0327698361070361,-43.88666045665741,0.2,-0.03248729184269905,1223.0,-2.184387
1929,3584,7,1,0.019251581,0.0004092704424510632,-0.007391452789306641,96,0.2305908203125,0.9999209046363831,0.001798236608010484,-0.022106640026322566,-43.95956814289093,0.2,-0.02736528404057026,1223.0,-2.184387
1926,4096,8,2,0.022791557,0.0004092704424510632,-0.0039215087890625,112,0.2640380859375,1.00117826461792,0.001971928861166816,-0.028589682013262063,-43.9933146238327,0.2,-0.02871183678507805,1223.0,-2.13833
1915,4608,9,2,0.020134093,0.0004092704424510632,-0.003914237022399902,128,0.2806396484375,1.0004462003707886,0.004326179048803169,-0.025827596939052455,-44.01356256008148,0.2,-0.02883632853627205,1223.0,-2.13833
1903,5120,10,2,0.017279303,0.0004092704424510632,-0.0034128427505493164,144,0.2137451171875,1.0013611316680908,0.0018181082941737259,-0.023635393488802947,-43.99564611911774,0.2,-0.042982347309589386,1223.0,-2.1491599999999997
1891,5632,11,2,0.017823014,0.0004092704424510632,-0.005217909812927246,160,0.247314453125,1.002652645111084,0.002147271854482824,-0.02704618131974712,-44.04249453544617,0.2,-0.03120615892112255,1223.0,-2.1491599999999997
1874,6144,12,3,0.01784176,0.0004092704424510632,-0.0039719343185424805,176,0.2435302734375,1.001636266708374,0.0016163323507498717,-0.027223649034567643,-44.04986906051636,0.2,-0.042362626641988754,1223.0,-2.1409208
1865,6656,13,3,0.021655124,0.0004092704424510632,-0.0004616975784301758,192,0.2474365234375,1.0015685558319092,0.002450124597089598,-0.028835201577749103,-44.01816380023956,0.2,-0.039540793746709824,1223.0,-2.1409208
1854,7168,14,3,0.016074818,0.0004092704424510632,-0.0033746957778930664,208,0.194091796875,1.0011355876922607,0.0023518435264122672,-0.02659001323627308,-44.01426434516907,0.2,-0.03997424617409706,1223.0,-2.1409208
1845,7680,15,4,0.01422105,0.0004092704424510632,-0.0001354217529296875,224,0.16162109375,1.0005308389663696,0.002053016152785858,-0.01851303322473541,-43.9986777305603,0.2,-0.03046148084104061,1223.0,-2.1321385
1839,8192,16,4,0.019817859,0.0004092704424510632,-0.0007365942001342773,240,0.201904296875,1.0004466772079468,0.008720127763808705,-0.022148532618302852,-43.98641610145569,0.2,-0.024877451360225677,1223.0,-2.1321385
1833,8704,17,4,0.020250347,0.0004092704424510632,0.002650320529937744,256,0.2308349609375,1.0019220113754272,0.001253821603313554,-0.024894488335121423,-44.00071942806244,0.2,-0.027011005207896233,1223.0,-2.1288267142857142
1830,9216,18,5,0.017542738,0.0004092704424510632,5.40614128112793e-05,272,0.24365234375,1.0026981830596924,0.013408683153102174,-0.025612382247345522,-44.04540574550629,0.2,-0.031035766005516052,1223.0,-2.1288267142857142
1824,9728,19,5,0.016279873,0.0004092704424510632,-0.004486083984375,288,0.193359375,1.0054709911346436,0.0017829526786954375,-0.017386894731316715,-44.093446254730225,0.2,-0.02796267531812191,1223.0,-2.1288267142857142
1822,10240,20,5,0.021214966,0.0004092704424510632,0.0008820295333862305,304,0.260498046875,1.006522297859192,0.002856297927792184,-0.032661572709912434,-44.15668976306915,0.2,-0.03591102734208107,1223.0,-2.150950875
1821,10752,21,5,0.02353164,0.0004092704424510632,-7.426738739013672e-05,320,0.2733154296875,1.0056073665618896,0.02449312381213531,-0.02485404588514939,-44.1594979763031,0.2,-0.02636571228504181,1223.0,-2.150950875
1816,11264,22,6,0.022247583,0.0004092704424510632,0.0013849735260009766,336,0.2484130859375,1.0043691396713257,0.001955250974788214,-0.025255258689867333,-44.128695011138916,0.2,-0.033547427505254745,1223.0,-2.14581
1809,11776,23,6,0.017703146,0.0004092704424510632,0.0001175999641418457,352,0.2235107421875,1.001865267753601,0.03394885320449248,-0.026952112290018704,-44.06546473503113,0.2,-0.023792505264282227,1223.0,-2.14581
1820,12288,24,6,0.019076146,0.0004092704424510632,-0.001010298728942871,368,0.235107421875,0.9993308186531067,0.0009503017408860615,-0.028502172353910282,-43.987335443496704,0.2,-0.03793271631002426,1223.0,-2.1487015
1828,12800,25,7,0.026712038,0.0004092704424510632,0.0005590915679931641,384,0.2584228515625,0.9977241158485413,0.037617697729729116,-0.029489452586858533,-43.91642105579376,0.2,-0.012559818103909492,1223.0,-2.1487015
1835,13312,26,7,0.017631875,0.0004092704424510632,-0.001412510871887207,400,0.25439453125,0.9950028657913208,0.0026680873961595353,-0.02856941375648603,-43.85557270050049,0.2,-0.02994961477816105,1223.0,-2.1487015
1838,13824,27,7,0.015108382,0.0004092704424510632,-0.002848982810974121,416,0.214111328125,0.9932082295417786,0.0025850174570223317,-0.024190029536839575,-43.77528190612793,0.2,-0.03168731927871704,1223.0,-2.1545304545454544
1843,14336,28,7,0.021624804,0.0004092704424510632,0.0003262758255004883,432,0.2451171875,0.9930493831634521,0.053111942135728896,-0.029605657247884665,-43.7400541305542,0.2,-0.020459365099668503,1223.0,-2.1545304545454544
1844,14848,29,8,0.01558051,0.0004092704424510632,0.0016214251518249512,448,0.182861328125,0.993752121925354,0.0014442932842939626,-0.021500083166756667,-43.75135588645935,0.2,-0.024654729291796684,1223.0,-2.1566069166666666
1852,15360,30,8,0.019592866,0.0004092704424510632,0.000701606273651123,464,0.238037109375,0.9935553669929504,0.05487566732335836,-0.024157234671292827,-43.76095497608185,0.2,-0.00964837335050106,1223.0,-2.1566069166666666
1851,15872,31,8,0.026943319,0.0004092704424510632,-0.005458474159240723,480,0.230224609375,0.9925057291984558,0.0016740686478442512,-0.02701972968498012,-43.738484382629395,0.2,-0.04336950182914734,1223.0,-2.1566069166666666
1848,16384,32,8,0.017549895,0.0004092704424510632,0.0013797879219055176,496,0.2303466796875,0.9918239712715149,0.003249401008361019,-0.027783247991465032,-43.711673617362976,0.2,-0.031000763177871704,1223.0,-2.1625776923076923
1848,16896,33,9,0.0410825,0.0004092704424510632,0.00021982192993164062,512,0.3031005859375,0.990186870098114,0.05374880926683545,-0.029063719848636538,-43.68124437332153,0.2,-0.019568268209695816,1223.0,-2.1625776923076923
1846,17408,34,9,0.018024696,0.0004092704424510632,-0.004470348358154297,528,0.2078857421875,0.9898399710655212,0.0019784467767749447,-0.024358736671274528,-43.64856195449829,0.2,-0.04308617487549782,1223.0,-2.1488745000000002
1844,17920,35,9,0.01944131,0.0004092704424510632,0.0004283785820007324,544,0.236083984375,0.9890927672386169,0.07977422175463289,-0.023789105165633373,-43.63472068309784,0.2,0.012876957654953003,1223.0,-2.1488745000000002
1842,18432,36,10,0.015679063,0.0004092704424510632,-0.015245795249938965,560,0.25146484375,0.98808354139328,0.001384059318297659,-0.02382274970295839,-43.600762248039246,0.2,-0.02463015913963318,1223.0,-2.1454903333333335
1841,18944,37,10,0.017816866,0.0004092704424510632,0.000447690486907959,576,0.207275390625,0.9886811375617981,0.08154105418361723,-0.024331192020326853,-43.58804512023926,0.2,0.008888470008969307,1223.0,-2.1454903333333335
1841,19456,38,10,0.016198136,0.0004092704424510632,-0.004397153854370117,592,0.2034912109375,0.9887233972549438,0.002049657323368592,-0.026833848969545215,-43.6055451631546,0.2,-0.039264336228370667,1223.0,-2.1454903333333335
1841,19968,39,10,0.018362416,0.0004092704424510632,-0.003481149673461914,608,0.193359375,0.9873999953269958,0.002448319148243172,-0.02139227439329261,-43.57817888259888,0.2,-0.03300677239894867,1223.0,-2.1406281875
1842,20480,40,11,0.019471386,0.0004092704424510632,0.0003333091735839844,624,0.1981201171875,0.9871538877487183,0.10012261033989489,-0.020181938496534713,-43.54950451850891,0.2,0.015067283064126968,1223.0,-2.1406281875
1841,20992,41,11,0.02352563,0.0004092704424510632,0.0009405612945556641,640,0.234375,0.9890500903129578,0.0014468566532741534,-0.023121190286474302,-43.56833851337433,0.2,-0.04094783961772919,1223.0,-2.137082411764706
1842,21504,42,11,0.016479919,0.0004092704424510632,0.0007819533348083496,656,0.224853515625,0.9886786341667175,0.09567060717381537,-0.024266447318950668,-43.61294102668762,0.2,0.02372727170586586,1223.0,-2.137082411764706
1844,22016,43,11,0.017398972,0.0004092704424510632,-0.007100582122802734,672,0.1982421875,0.9897973537445068,0.0017880798186524771,-0.02565903043432627,-43.60555958747864,0.2,-0.03893158212304115,1223.0,-2.137945333333333
1844,22528,44,12,0.021794343,0.0004092704424510632,0.0008483529090881348,688,0.25927734375,0.9894136190414429,0.09688930073752999,-0.029059222331852652,-43.63090121746063,0.2,-0.00047923624515533447,1223.0,-2.137945333333333
1844,23040,45,12,0.011663035,0.0004092704424510632,0.000744163990020752,704,0.177978515625,0.9904548525810242,0.003266841951699462,-0.0203770658117719,-43.62951469421387,0.2,-0.026169896125793457,1223.0,-2.137945333333333
1843,23552,46,12,0.02345835,0.0004092704424510632,-0.001359701156616211,720,0.2227783203125,0.9887827634811401,0.0028486749579315074,-0.024403942676144652,-43.63177704811096,0.2,-0.035622738301754,1223.0,-2.146301894736842
1845,24064,47,13,0.028615836,0.0004092704424510632,0.00014495849609375,736,0.2899169921875,0.9868428111076355,0.11332844919525087,-0.03227352674002759,-43.56506335735321,0.2,0.01062416285276413,1223.0,-2.146301894736842
1848,24576,48,13,0.015678987,0.0004092704424510632,-0.0024344921112060547,752,0.2301025390625,0.9850929975509644,0.001299942083278438,-0.02507673206855543,-43.50759947299957,0.2,-0.031875062733888626,1223.0,-2.14484605
1849,25088,49,13,0.02402025,0.0004092704424510632,0.00029599666595458984,768,0.2205810546875,0.9848350286483765,0.11392735224217176,-0.025285619485657662,-43.46790313720703,0.2,0.009352006018161774,1223.0,-2.14484605
1847,25600,50,13,0.023137944,0.0004092704424510632,-0.008338689804077148,784,0.2501220703125,0.9853002429008484,0.00181198569953267,-0.031332734681200236,-43.47214996814728,0.2,-0.04205881059169769,1223.0,-2.14484605
1846,26112,51,14,0.017911997,0.0004092704424510632,-0.00032258033752441406,800,0.258056640625,0.9851844906806946,0.003139983120490797,-0.028859654426923953,-43.483834981918335,0.2,-0.030470730736851692,1223.0,-2.1447607619047617
1845,26624,52,14,0.02660822,0.0004092704424510632,0.00016057491302490234,816,0.258056640625,0.9848803877830505,0.12946276110596955,-0.03052373876562342,-43.46961712837219,0.2,0.014737892895936966,1223.0,-2.1447607619047617
1843,27136,53,14,0.02025488,0.0004092704424510632,-0.0029734373092651367,832,0.2135009765625,0.984521210193634,0.0017325794669886818,-0.021627153269946575,-43.45386457443237,0.2,-0.029235677793622017,1223.0,-2.1445224545454544
1845,27648,54,14,0.02254069,0.0004092704424510632,0.00026977062225341797,848,0.237060546875,0.9857805371284485,0.13083026302047074,-0.02538015523168724,-43.468639969825745,0.2,0.03965536877512932,1223.0,-2.1445224545454544
1846,28160,55,15,0.0138109755,0.0004092704424510632,-0.004384756088256836,864,0.1761474609375,0.983919084072113,0.0015121948345040437,-0.01891290082130581,-43.46676552295685,0.2,-0.026561951264739037,1223.0,-2.1480990869565217
