time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/clip_fraction,train/std,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
4055,512,1,0,,,,,,,,,,,,,
2303,1024,2,0,0.020358477,0.0004092704424510632,-0.0364224910736084,16,0.3057861328125,0.9992833137512207,0.1197754907880153,-0.03815699485130608,-43.976614117622375,0.2,-0.04386467486619949,,
2083,1536,3,0,0.021465167,0.0004092704424510632,0.003963112831115723,32,0.291259765625,1.001403570175171,0.002335152414161712,-0.03620209961081855,-43.98928248882294,0.2,-0.04650961980223656,1223.0,-2.166086
2009,2048,4,1,0.014881117,0.0004092704424510632,0.00825488567352295,48,0.241455078125,1.0016783475875854,0.0050406697555445135,-0.023716308998700697,-44.04146885871887,0.2,-0.025707833468914032,1223.0,-2.166086
1975,2560,5,1,0.01555314,0.0004092704424510632,-0.011928439140319824,64,0.2431640625,1.0011861324310303,0.0015106090486369794,-0.02413356161559932,-44.02680158615112,0.2,-0.0429808646440506,1223.0,-2.276159
1950,3072,6,1,0.018864198,0.0004092704424510632,0.0015243887901306152,80,0.24755859375,1.0007375478744507,0.009275897784391418,-0.027797318340162747,-44.01579523086548,0.2,-0.033221036195755005,1223.0,-2.276159
1924,3584,7,1,0.019043207,0.0004092704424510632,0.0008112788200378418,96,0.272216796875,1.0007028579711914,0.0018781069265969563,-0.02948934814776294,-44.00253117084503,0.2,-0.027696853503584862,1223.0,-2.276159
1904,4096,8,2,0.013245443,0.0004092704424510632,0.0004184246063232422,112,0.1925048828125,0.9995868802070618,0.001786775334039703,-0.025513145621516742,-43.987953305244446,0.2,-0.03483464941382408,1223.0,-2.231811
1894,4608,9,2,0.02567444,0.0004092704424510632,0.0028786659240722656,128,0.2840576171875,1.0013196468353271,0.01812291468377225,-0.031109654359170236,-43.98480033874512,0.2,-0.046027228236198425,1223.0,-2.231811
1886,5120,10,2,0.021436173,0.0004092704424510632,0.012726247310638428,144,0.277587890625,1.0006450414657593,0.0015589543527312344,-0.028181841495097615,-44.01587927341461,0.2,-0.03937400132417679,1223.0,-2.235817
1881,5632,11,2,0.018278193,0.0004092704424510632,0.002083122730255127,160,0.2236328125,1.002284049987793,0.024503445310983807,-0.024484986577590462,-44.01504302024841,0.2,-0.022638950496912003,1223.0,-2.235817
1873,6144,12,3,0.018661149,0.0004092704424510632,0.0009112954139709473,176,0.2506103515625,1.0025861263275146,0.0016216271651501302,-0.02697245721356012,-44.062697410583496,0.2,-0.03235723823308945,1223.0,-2.2406692
1868,6656,13,3,0.020016778,0.0004092704424510632,0.0014481544494628906,192,0.2479248046875,1.0030101537704468,0.027874111605342478,-0.024720579735003412,-44.06126022338867,0.2,-0.012263389304280281,1223.0,-2.2406692
1861,7168,14,3,0.017551433,0.0004092704424510632,0.0016553401947021484,208,0.2021484375,1.002411127090454,0.002334319713554578,-0.023944077925989404,-44.06675970554352,0.2,-0.030052030459046364,1223.0,-2.2406692
1857,7680,15,4,0.015898725,0.0004092704424510632,-0.0023621320724487305,224,0.2105712890625,1.0031177997589111,0.0018521571582823526,-0.023748549945594277,-44.05719077587128,0.2,-0.041049208492040634,1223.0,-2.2399725
1857,8192,16,4,0.024519574,0.0004092704424510632,0.0015038251876831055,240,0.2457275390625,1.0061336755752563,0.03648959757992998,-0.028828629961935803,-44.113097071647644,0.2,-0.01720433309674263,1223.0,-2.2399725
1857,8704,17,4,0.019172316,0.0004092704424510632,0.001979053020477295,256,0.2515869140625,1.006560206413269,0.0016872855157998856,-0.028322364516498055,-44.181112408638,0.2,-0.04313686862587929,1223.0,-2.230947
1853,9216,18,4,0.02522148,0.0004092704424510632,0.0016010403633117676,272,0.279296875,1.006032109260559,0.042608621646650136,-0.029163413419155404,-44.17013490200043,0.2,-0.019346829503774643,1223.0,-2.230947
1850,9728,19,5,0.014864745,0.0004092704424510632,0.0012298822402954102,288,0.22265625,1.0049042701721191,0.0015724918284831801,-0.026041470540803857,-44.14996302127838,0.2,-0.03439151495695114,1223.0,-2.230947
1849,10240,20,5,0.019989066,0.0004092704424510632,-0.005780816078186035,304,0.243408203125,1.0054426193237305,0.00198455080135318,-0.02579772648459766,-44.13107645511627,0.2,-0.03957553952932358,1223.0,-2.200585625
1845,10752,21,5,0.021114787,0.0004092704424510632,0.0012909770011901855,320,0.2342529296875,1.0034959316253662,0.056335757952183485,-0.026817412450327538,-44.124444127082825,0.2,-0.012746540829539299,1223.0,-2.200585625
1840,11264,22,6,0.023043122,0.0004092704424510632,-0.00966799259185791,336,0.259033203125,1.0029948949813843,0.0018210452508355957,-0.028264659238629974,-44.06954622268677,0.2,-0.03866100683808327,1223.0,-2.2123953333333333
1838,11776,23,6,0.017927233,0.0004092704424510632,0.0014004111289978027,352,0.22412109375,1.0040485858917236,0.060871749999932945,-0.024997156200697646,-44.081674337387085,0.2,0.007674722000956535,1223.0,-2.2123953333333333
1835,12288,24,6,0.016888108,0.0004092704424510632,-0.05012023448944092,368,0.21044921875,1.0052241086959839,0.001016996683574689,-0.024080874165520072,-44.115514516830444,0.2,-0.037442684173583984,1223.0,-2.2004827
1829,12800,25,6,0.016328637,0.0004092704424510632,0.0014842748641967773,384,0.2230224609375,1.005119800567627,0.06378753355238587,-0.02453899617830757,-44.13581109046936,0.2,-0.004565604031085968,1223.0,-2.2004827
1823,13312,26,7,0.022041233,0.0004092704424510632,-0.01722884178161621,400,0.267578125,1.0045973062515259,0.002082288803649135,-0.029076179373078048,-44.121907353401184,0.2,-0.035475458949804306,1223.0,-2.2004827
1821,13824,27,7,0.021438653,0.0004092704424510632,-0.005537748336791992,416,0.2401123046875,1.0047762393951416,0.002976791489345487,-0.026774376194225624,-44.11508011817932,0.2,-0.030688920989632607,1223.0,-2.206560545454545
1821,14336,28,7,0.01646918,0.0004092704424510632,0.0010042786598205566,432,0.2286376953125,1.0042258501052856,0.08185950701590627,-0.022156136328703724,-44.1156804561615,0.2,0.00773455947637558,1223.0,-2.206560545454545
1818,14848,29,8,0.020201655,0.0004092704424510632,0.0019832253456115723,448,0.244140625,1.004661202430725,0.0014887223060213728,-0.025609728108975105,-44.10413897037506,0.2,-0.053330522030591965,1223.0,-2.210816083333333
1817,15360,30,8,0.01651028,0.0004092704424510632,0.0015496611595153809,464,0.1988525390625,1.0048058032989502,0.08292890759184957,-0.019304010143969208,-44.11955380439758,0.2,0.004262235015630722,1223.0,-2.210816083333333
1814,15872,31,8,0.018269926,0.0004092704424510632,-0.027809858322143555,480,0.20458984375,1.0065979957580566,0.0017046968096110504,-0.021758793329354376,-44.141284823417664,0.2,-0.03506925702095032,1223.0,-2.210816083333333
