time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,4105,0,,,,,,,,,,,,,
1024,2,1958,0,-43.96641457080841,0.99883633852005,0.0004092704424510632,0.23583984375,0.11773665564396651,-0.021998506039381027,0.14567798376083374,-0.03542765392921865,0.016958551,0.2,16,,
1536,3,1681,0,-43.92913258075714,0.9973281025886536,0.0004092704424510632,0.2196044921875,0.0034677647927310318,-0.0388069674372673,-0.006543397903442383,-0.024939322080172133,0.015291244,0.2,32,-2.194425,1257.0
2048,4,1562,1,-43.90218102931976,0.9977768063545227,0.0004092704424510632,0.2740478515625,0.0039478879334637895,-0.036550842225551605,-0.0006444454193115234,-0.026802288775797933,0.018802617,0.2,48,-2.194425,1257.0
2560,5,1499,1,-43.93220627307892,0.9991732239723206,0.0004092704424510632,0.27294921875,0.002175198111217469,-0.03925415873527527,0.05614203214645386,-0.026449435303220525,0.018981012,0.2,64,-2.16061,1257.0
3072,6,1464,2,-43.98608863353729,1.0008924007415771,0.0004092704424510632,0.2738037109375,0.009411981736775488,-0.03346650302410126,-0.018398165702819824,-0.02546611538855359,0.020894581,0.2,80,-2.16061,1257.0
3584,7,1444,2,-44.022632122039795,1.0017848014831543,0.0004092704424510632,0.2620849609375,0.003359887115948368,-0.04510253295302391,0.04299241304397583,-0.03110716989613138,0.015900042,0.2,96,-2.16061,1257.0
4096,8,1429,2,-44.02672493457794,1.000724196434021,0.0004092704424510632,0.2572021484375,0.003495135246339487,-0.03402715548872948,-0.00968170166015625,-0.022544281659065746,0.016180705,0.2,112,-2.126329,1257.0
4608,9,1418,3,-44.00850212574005,1.0012872219085693,0.0004092704424510632,0.2822265625,0.021372208080720156,-0.030097907409071922,0.0018922090530395508,-0.024630573549075052,0.017881047,0.2,128,-2.126329,1257.0
5120,10,1406,3,-44.00526189804077,0.9997883439064026,0.0004092704424510632,0.268798828125,0.002097253622196149,-0.03305228054523468,0.042897820472717285,-0.02383321858360432,0.017858015,0.2,144,-2.17176525,1257.0
5632,11,1396,4,-43.954041719436646,0.9987099170684814,0.0004092704424510632,0.2381591796875,0.027674084645695984,-0.024558596312999725,-0.003965973854064941,-0.021364623651606962,0.013998125,0.2,160,-2.17176525,1257.0
6144,12,1388,4,-43.93334257602692,0.9984040260314941,0.0004092704424510632,0.2794189453125,0.004397244243591558,-0.029812898486852646,0.0068100690841674805,-0.025180500117130578,0.018418577,0.2,176,-2.17176525,1257.0
6656,13,1382,4,-43.93729245662689,0.9989220499992371,0.0004092704424510632,0.21484375,0.0046092996271909215,-0.024343788623809814,-0.004918813705444336,-0.021471927131642587,0.01571004,0.2,192,-2.2228878,1257.0
7168,14,1377,5,-43.91533720493317,0.9963799118995667,0.0004092704424510632,0.278076171875,0.04205507296137512,-0.019970213994383812,0.0003357529640197754,-0.028997319779591635,0.01787503,0.2,208,-2.2228878,1257.0
7680,15,1373,5,-43.848687171936035,0.995741069316864,0.0004092704424510632,0.2401123046875,0.0022746069298591465,-0.019059468060731888,0.0059389472007751465,-0.02563844624091871,0.014961144,0.2,224,-2.209105,1257.0
8192,16,1368,5,-43.84040808677673,0.9950351715087891,0.0004092704424510632,0.271728515625,0.04464346950408071,-0.012302212417125702,0.0002002120018005371,-0.024030951637541875,0.020030117,0.2,240,-2.209105,1257.0
8704,17,1364,6,-43.82637369632721,0.9954744577407837,0.0004092704424510632,0.3140869140625,0.004746687816805206,-0.042474787682294846,-0.020632386207580566,-0.030214328886359,0.023329757,0.2,256,-2.209105,1257.0
9216,18,1360,6,-43.830211877822876,0.9942704439163208,0.0004092704424510632,0.2225341796875,0.0039047323589329608,-0.03176359459757805,-0.0006829500198364258,-0.024171715398551896,0.015476877,0.2,272,-2.2260148571428573,1257.0
9728,19,1359,7,-43.783902645111084,0.9934473633766174,0.0004092704424510632,0.3265380859375,0.061140487785451114,-0.0048561058938503265,-0.00025081634521484375,-0.034254856524057686,0.030303916,0.2,288,-2.2260148571428573,1257.0
10240,20,1356,7,-43.780290484428406,0.9938523173332214,0.0004092704424510632,0.2994384765625,0.0032230830256594345,-0.06608381122350693,-0.0014361143112182617,-0.03401271777693182,0.028092023,0.2,304,-2.217399625,1257.0
10752,21,1354,7,-43.802987813949585,0.994910478591919,0.0004092704424510632,0.272216796875,0.06453696044627577,-0.0036096684634685516,0.00021439790725708008,-0.027140156089444645,0.020949984,0.2,320,-2.217399625,1257.0
11264,22,1352,8,-43.808032512664795,0.9940016865730286,0.0004092704424510632,0.26171875,0.004296507730032317,-0.03340888023376465,-0.036949872970581055,-0.024631079606479034,0.028220095,0.2,336,-2.217399625,1257.0
11776,23,1350,8,-43.79645872116089,0.9945351481437683,0.0004092704424510632,0.254150390625,0.0038373588322428986,-0.04403632879257202,-0.0013939142227172852,-0.026979726550052874,0.020364009,0.2,352,-2.227827444444445,1257.0
12288,24,1348,9,-43.796011090278625,0.9936888217926025,0.0004092704424510632,0.2864990234375,0.08095242618583143,0.0038985013961791992,-0.00011527538299560547,-0.028225473186466843,0.023944896,0.2,368,-2.227827444444445,1257.0
12800,25,1347,9,-43.74179983139038,0.9914122819900513,0.0004092704424510632,0.1973876953125,0.004741704964544624,-0.01880086399614811,0.0015172362327575684,-0.02163704596750904,0.01463975,0.2,384,-2.2323432,1257.0
13312,26,1346,9,-43.71044456958771,0.9922216534614563,0.0004092704424510632,0.251220703125,0.09169601183384657,0.020658213645219803,0.00026339292526245117,-0.02340681603527628,0.019420866,0.2,400,-2.2323432,1257.0
13824,27,1344,10,-43.71579933166504,0.9910548329353333,0.0004092704424510632,0.2828369140625,0.003118961918517016,-0.04066593945026398,-0.0034133195877075195,-0.02976010669954121,0.023903105,0.2,416,-2.2323432,1257.0
14336,28,1343,10,-43.697569489479065,0.9920189380645752,0.0004092704424510632,0.22802734375,0.004428618274687324,-0.043261948972940445,0.000529944896697998,-0.027172876318218186,0.018152473,0.2,432,-2.243338181818182,1257.0
14848,29,1342,11,-43.70611262321472,0.9906374216079712,0.0004092704424510632,0.275390625,0.01863780761777889,-0.01458615530282259,0.0007034540176391602,-0.020307970175053924,0.026210476,0.2,448,-2.243338181818182,1257.0
15360,30,1342,11,-43.67206573486328,0.9908950924873352,0.0004092704424510632,0.205078125,0.005685118623659946,-0.030439438298344612,0.0021248459815979004,-0.02310551235859748,0.015730314,0.2,464,-2.261753,1257.0
15872,31,1340,11,-43.67037284374237,0.9896021485328674,0.0004092704424510632,0.207763671875,0.13994241296313703,0.03266157954931259,7.915496826171875e-05,-0.021110992616740987,0.014716575,0.2,480,-2.261753,1257.0
16384,32,1339,12,-43.62841534614563,0.9887476563453674,0.0004092704424510632,0.2301025390625,0.0036781605158466846,-0.04726327955722809,0.0013692975044250488,-0.02733736956724897,0.023230586,0.2,496,-2.2798236923076924,1257.0
16896,33,1338,12,-43.61280643939972,0.9890474677085876,0.0004092704424510632,0.2664794921875,0.13812607573345304,0.03524518758058548,4.798173904418945e-05,-0.026360599367762916,0.022708766,0.2,512,-2.2798236923076924,1257.0
17408,34,1338,13,-43.625083923339844,0.9893078804016113,0.0004092704424510632,0.255126953125,0.004328735900344327,-0.03629688546061516,-0.005429744720458984,-0.02743335645936895,0.01848517,0.2,528,-2.2798236923076924,1257.0
17920,35,1338,13,-43.62134647369385,0.9884948134422302,0.0004092704424510632,0.2647705078125,0.0035458431775623467,-0.041465576738119125,-0.0011925697326660156,-0.02720833758939989,0.021549724,0.2,544,-2.266058,1257.0
18432,36,1338,13,-43.586421966552734,0.9871242642402649,0.0004092704424510632,0.245849609375,0.14472266100347042,0.03091493248939514,0.00020194053649902344,-0.0219318188901525,0.019390918,0.2,560,-2.266058,1257.0
18944,37,1337,14,-43.55444884300232,0.9868671298027039,0.0004092704424510632,0.2901611328125,0.0014062533064134186,-0.022198565304279327,-0.004930973052978516,-0.027387495152652264,0.01983295,0.2,576,-2.2512632,1257.0
19456,38,1336,14,-43.54645550251007,0.9861365556716919,0.0004092704424510632,0.30517578125,0.13881211960688233,0.028691645711660385,0.0004698038101196289,-0.03226622777583543,0.018828198,0.2,592,-2.2512632,1257.0
19968,39,1336,14,-43.512710213661194,0.9850119948387146,0.0004092704424510632,0.2420654296875,0.003652175670140423,-0.0270051471889019,-0.04138481616973877,-0.02312327575054951,0.017649084,0.2,608,-2.2512632,1257.0
20480,40,1335,15,-43.49211263656616,0.9848811030387878,0.0004092704424510632,0.205810546875,0.004703672202595044,-0.0338430255651474,-0.0016684532165527344,-0.023678180470597,0.0139316395,0.2,624,-2.255701,1257.0
20992,41,1335,15,-43.49873101711273,0.9853823184967041,0.0004092704424510632,0.1776123046875,0.15653353347443044,0.056743819266557693,0.0001519322395324707,-0.02034191373968497,0.011215948,0.2,640,-2.255701,1257.0
