time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,3956,0,,,,,,,,,,,,,
1024,2,2378,0,-0.03366208076477051,0.9993235468864441,0.021978565,0.3037109375,0.2,0.0004092704424510632,-0.03655527767841704,-0.04459952935576439,0.12520617274640244,-43.978219985961914,16,,
1536,3,2090,0,0.004631400108337402,1.0013432502746582,0.02243846,0.2977294921875,0.2,0.0004092704424510632,-0.03551771354977973,-0.044834669679403305,0.002602509979624301,-43.98832643032074,32,-2.262951,1223.0
2048,4,1993,1,0.005549967288970947,1.0014078617095947,0.014690909,0.223388671875,0.2,0.0004092704424510632,-0.023868390315328725,-0.024953337386250496,0.004939490492688492,-44.034241795539856,48,-2.262951,1223.0
2560,5,1933,1,-0.003580451011657715,1.0009626150131226,0.015283987,0.2327880859375,0.2,0.0004092704424510632,-0.02418914673035033,-0.04534618929028511,0.0015968220868671779,-44.018887758255005,64,-2.372656,1223.0
3072,6,1904,1,0.0010350942611694336,1.0004674196243286,0.01973288,0.2607421875,0.2,0.0004092704424510632,-0.0276844710460864,-0.034482069313526154,0.008954455392085947,-44.00870430469513,80,-2.372656,1223.0
3584,7,1882,1,0.0004722476005554199,1.0003713369369507,0.019618507,0.2757568359375,0.2,0.0004092704424510632,-0.028994649066589773,-0.02972356230020523,0.002019654777541291,-43.99353063106537,96,-2.372656,1223.0
4096,8,1866,2,0.0030930042266845703,0.9992554783821106,0.0136657115,0.1917724609375,0.2,0.0004092704424510632,-0.024940394941950217,-0.034754104912281036,0.0019683408627315657,-43.9770382642746,112,-2.327765,1223.0
4608,9,1850,2,0.0021736621856689453,1.0010451078414917,0.022825997,0.2825927734375,0.2,0.0004092704424510632,-0.031249797786585987,-0.04593389481306076,0.019089271780103445,-43.975592494010925,128,-2.327765,1223.0
5120,10,1838,2,0.010605692863464355,1.0004117488861084,0.02219712,0.291748046875,0.2,0.0004092704424510632,-0.027084760629804805,-0.037798721343278885,0.0017687833205854986,-44.00762152671814,144,-2.33164025,1223.0
5632,11,1829,3,0.001338362693786621,1.001946210861206,0.016813837,0.23828125,0.2,0.0004092704424510632,-0.025112716015428305,-0.019238177686929703,0.02695215615676716,-44.00624442100525,160,-2.33164025,1223.0
6144,12,1828,3,7.528066635131836e-05,1.002347469329834,0.018240169,0.2513427734375,0.2,0.0004092704424510632,-0.0267154860048322,-0.030250592157244682,0.0016583558735874249,-44.05496287345886,176,-2.336606,1223.0
6656,13,1819,3,0.0009025335311889648,1.0027724504470825,0.019031992,0.242919921875,0.2,0.0004092704424510632,-0.024940693227108568,-0.010709023103117943,0.030829106748569757,-44.053688049316406,192,-2.336606,1223.0
7168,14,1815,3,-0.00033736228942871094,1.0021240711212158,0.016434468,0.2078857421875,0.2,0.0004092704424510632,-0.024715854437090456,-0.03157924860715866,0.002573546502389945,-44.0587877035141,208,-2.336606,1223.0
7680,15,1816,4,0.000703275203704834,1.003023624420166,0.015372369,0.2183837890625,0.2,0.0004092704424510632,-0.024146989271685015,-0.041131820529699326,0.0020987723546568304,-44.05081796646118,224,-2.3359881666666666,1223.0
8192,16,1818,4,0.0006570219993591309,1.0060803890228271,0.023099069,0.241943359375,0.2,0.0004092704424510632,-0.02856663653801661,-0.015164308249950409,0.041625744313932955,-44.11150133609772,240,-2.3359881666666666,1223.0
8704,17,1821,4,0.0037352442741394043,1.0065408945083618,0.019149117,0.26025390625,0.2,0.0004092704424510632,-0.028390054692863487,-0.04203455522656441,0.0017989681127801305,-44.17931950092316,256,-2.327181,1223.0
9216,18,1823,5,0.0011135339736938477,1.006000280380249,0.025513962,0.2852783203125,0.2,0.0004092704424510632,-0.029012871571467258,-0.015925990417599678,0.0486563554732129,-44.16849374771118,272,-2.327181,1223.0
9728,19,1826,5,-0.0028302669525146484,1.0049160718917847,0.015205523,0.22216796875,0.2,0.0004092704424510632,-0.026188486255705357,-0.033167026937007904,0.001680381612459314,-44.150806307792664,288,-2.327181,1223.0
10240,20,1828,5,-0.0024040937423706055,1.0054597854614258,0.021043934,0.2508544921875,0.2,0.0004092704424510632,-0.025682859733933583,-0.039150480180978775,0.002148598547137226,-44.13228261470795,304,-2.296949625,1223.0
