time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
4221,0,1,512,,,,,,,,,,,,,
2570,0,2,1024,-0.025265877513447776,16,-43.97928273677826,0.09958381439537334,0.9990257620811462,0.018816117,-0.16254520416259766,0.0004092704424510632,-0.042740751057863235,0.25537109375,0.2,,
2289,0,3,1536,-0.02460770375910215,32,-43.933926820755005,0.0030774052793276496,0.9977184534072876,0.013857301,0.010043144226074219,0.0004092704424510632,-0.02842710353434086,0.231689453125,0.2,-2.444286,1258.0
2193,0,4,2048,-0.03331614367198199,48,-43.90782904624939,0.028488119831308722,0.9971663355827332,0.02449343,-0.0006486177444458008,0.0004092704424510632,-0.03271881863474846,0.315185546875,0.2,-2.444286,1258.0
2126,1,5,2560,-0.022194428776856512,64,-43.88607382774353,0.002444300196657423,0.9964193105697632,0.01569154,0.007320046424865723,0.0004092704424510632,-0.03454338386654854,0.245849609375,0.2,-2.4107415,1258.0
2070,1,6,3072,-0.026470144221093506,80,-43.86919176578522,0.014794106071349233,0.9966381788253784,0.019761492,-0.0008289813995361328,0.0004092704424510632,-0.04212111234664917,0.2786865234375,0.2,-2.4107415,1258.0
2036,1,7,3584,-0.0275177726871334,96,-43.860758543014526,0.0010600717287161388,0.9951103329658508,0.014552064,0.016444027423858643,0.0004092704424510632,-0.03836788237094879,0.2381591796875,0.2,-2.4107415,1258.0
2024,2,8,4096,-0.029263605421874672,112,-43.80073618888855,0.00467357652814826,0.9934381246566772,0.018259052,0.005911827087402344,0.0004092704424510632,-0.041420333087444305,0.290771484375,0.2,-2.336237,1258.0
2016,2,9,4608,-0.023946116358274594,128,-43.764286160469055,0.003384410054422915,0.9927597641944885,0.01698864,0.004891932010650635,0.0004092704424510632,-0.027806099504232407,0.2646484375,0.2,-2.336237,1258.0
2003,2,10,5120,-0.019040784623939544,144,-43.74606490135193,0.003100907324551372,0.9921738505363464,0.013002302,0.005318105220794678,0.0004092704424510632,-0.023797689005732536,0.1824951171875,0.2,-2.3245355,1258.0
1987,2,11,5632,-0.01999382651410997,160,-43.70338773727417,0.004731629276648164,0.9898842573165894,0.016364956,0.01139676570892334,0.0004092704424510632,-0.025991085916757584,0.2430419921875,0.2,-2.3245355,1258.0
1981,3,12,6144,-0.028833519463660195,176,-43.6239048242569,0.0013440867487588548,0.9875167012214661,0.022926897,0.013152003288269043,0.0004092704424510632,-0.036230217665433884,0.28955078125,0.2,-2.3245355,1258.0
1980,3,13,6656,-0.028033005350152962,192,-43.57999348640442,0.005263118691800628,0.9874922633171082,0.019447144,0.02461874485015869,0.0004092704424510632,-0.04005536064505577,0.2880859375,0.2,-2.291779,1258.0
1975,3,14,7168,-0.03340573715104256,208,-43.59166765213013,0.0027005626470781863,0.988006055355072,0.023580205,0.19501173496246338,0.0004092704424510632,-0.042201846837997437,0.300537109375,0.2,-2.291779,1258.0
1965,3,15,7680,-0.025984386273194104,224,-43.577138781547546,0.002140818141924683,0.9863997101783752,0.0168525,-0.013900160789489746,0.0004092704424510632,-0.047150179743766785,0.2391357421875,0.2,-2.2561988333333334,1258.0
1959,4,16,8192,-0.024077618727460504,240,-43.533913135528564,0.009874682989902794,0.9858843088150024,0.018650185,0.010505735874176025,0.0004092704424510632,-0.024356363341212273,0.2535400390625,0.2,-2.2561988333333334,1258.0
1959,4,17,8704,-0.024528101464966312,256,-43.54202592372894,0.0012960560052306391,0.9868302345275879,0.020611554,0.0036163330078125,0.0004092704424510632,-0.026902921497821808,0.245361328125,0.2,-2.2561988333333334,1258.0
1958,4,18,9216,-0.029743728722678497,272,-43.519229769706726,0.006408715882571414,0.983498215675354,0.018975293,0.06591647863388062,0.0004092704424510632,-0.042432546615600586,0.2703857421875,0.2,-2.2547395714285714,1258.0
1960,4,19,9728,-0.024671664905326907,288,-43.42981946468353,0.011614231567364186,0.982836127281189,0.023924593,0.06880533695220947,0.0004092704424510632,-0.03363841399550438,0.2711181640625,0.2,-2.2547395714285714,1258.0
