time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,512,0,3899,,,,,,,,,,,,,
2,1024,0,1896,16,0.018025912,-0.176932692527771,0.2,0.10325626251142239,0.9998644590377808,-0.028189835386001505,-43.98446273803711,0.244873046875,0.0004092704424510632,-0.024689292535185814,,
3,1536,0,1616,32,0.012366388,0.02426093816757202,0.2,0.004055278761370573,0.9983097314834595,-0.020967128220945597,-43.96237802505493,0.215576171875,0.0004092704424510632,-0.03126191347837448,1257.0,-2.403836
4,2048,1,1508,48,0.022786794,-0.007579922676086426,0.2,0.014691063901409507,0.9980445504188538,-0.029583532334072515,-43.92226266860962,0.3255615234375,0.0004092704424510632,-0.036973629146814346,1257.0,-2.403836
5,2560,1,1443,64,0.021061435,0.02429962158203125,0.2,0.004526564953266643,0.9973374605178833,-0.02921514400804881,-43.918121099472046,0.2960205078125,0.0004092704424510632,-0.03258387744426727,1257.0,-2.3895904999999997
6,3072,2,1408,80,0.019729296,-0.009852886199951172,0.2,0.022436881437897682,0.9960770606994629,-0.02626617785426788,-43.88196837902069,0.2877197265625,0.0004092704424510632,-0.022610832005739212,1257.0,-2.3895904999999997
7,3584,2,1383,96,0.013885708,-0.20131003856658936,0.2,0.006951743169338442,0.9957200288772583,-0.022964911157032475,-43.852643966674805,0.2210693359375,0.0004092704424510632,-0.03832335025072098,1257.0,-2.3895904999999997
8,4096,2,1366,112,0.019358799,0.015162885189056396,0.2,0.004364870459539816,0.9950807690620422,-0.02106080885278061,-43.842639088630676,0.247314453125,0.0004092704424510632,-0.029915321618318558,1257.0,-2.4518359999999997
9,4608,3,1353,128,0.01201914,0.0006542205810546875,0.2,0.036910875292960554,0.9949175715446472,-0.020605424157110974,-43.82671093940735,0.2216796875,0.0004092704424510632,-0.011873852461576462,1257.0,-2.4518359999999997
10,5120,3,1342,144,0.016633866,-0.10863399505615234,0.2,0.002228484599982039,0.9938632845878601,-0.023432429181411862,-43.81209218502045,0.2447509765625,0.0004092704424510632,-0.019530272111296654,1257.0,-2.44818525
