time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
4071,0,1,512,,,,,,,,,,,,,
1950,0,2,1024,16,0.2,0.018650357,-0.6929090023040771,-44.00070250034332,0.2882080078125,-0.037917155772447586,0.20767207827884704,-0.03174245613627136,1.00123929977417,0.0004092704424510632,,
1653,0,3,1536,32,0.2,0.018041924,0.01259160041809082,-44.024831652641296,0.26123046875,-0.0465555340051651,0.0050745165717671625,-0.027987513021798804,1.000982642173767,0.0004092704424510632,-2.817821,1257.0
1530,1,4,2048,48,0.2,0.01882302,-0.010206818580627441,-44.02824604511261,0.292236328125,-0.030263788998126984,0.027342714136466384,-0.026740497414721176,1.0021092891693115,0.0004092704424510632,-2.817821,1257.0
1473,1,5,2560,64,0.2,0.019239372,-0.00685274600982666,-44.052024483680725,0.2763671875,-0.032207269221544266,0.005634747802105267,-0.029599727124150377,1.0019584894180298,0.0004092704424510632,-2.7809575,1257.0
1445,2,6,3072,80,0.2,0.021724466,0.0003739595413208008,-44.045183062553406,0.3150634765625,-0.028633030131459236,0.01435382416821085,-0.03187271227943711,1.0023776292800903,0.0004092704424510632,-2.7809575,1257.0
1421,2,7,3584,96,0.2,0.016684597,0.0034846067428588867,-44.07649838924408,0.275146484375,-0.04303206503391266,0.0021900681531406008,-0.033820856260717846,1.003632664680481,0.0004092704424510632,-2.7809575,1257.0
1402,2,8,4096,112,0.2,0.01711566,-0.007258415222167969,-44.07727861404419,0.2235107421875,-0.03202609717845917,0.0030139784612401854,-0.02282784361159429,1.0019899606704712,0.0004092704424510632,-2.7527483333333334,1257.0
1391,3,9,4608,128,0.2,0.018346593,-0.008675098419189453,-44.01446986198425,0.2493896484375,-0.037411779165267944,0.008432857866864651,-0.026822296873433515,1.0003844499588013,0.0004092704424510632,-2.7527483333333334,1257.0
1381,3,10,5120,144,0.2,0.018620074,-0.00983572006225586,-43.979774951934814,0.2843017578125,-0.03812931850552559,0.004029326788440812,-0.03132279387500603,0.9996848702430725,0.0004092704424510632,-2.734254,1257.0
1376,4,11,5632,160,0.2,0.03139501,-0.0028989315032958984,-43.962339758872986,0.335693359375,-0.04892483353614807,0.0058624594821594656,-0.03244372514018323,0.9994152784347534,0.0004092704424510632,-2.734254,1257.0
1370,4,12,6144,176,0.2,0.014763942,-0.005214095115661621,-43.929158449172974,0.240966796875,-0.035650141537189484,0.0021112114045536146,-0.024534122814657167,0.9972221851348877,0.0004092704424510632,-2.734254,1257.0
1365,4,13,6656,192,0.2,0.020342583,-0.0021066665649414062,-43.877798080444336,0.315673828125,-0.04299340769648552,0.0028979844537389,-0.03500546168652363,0.9967266321182251,0.0004092704424510632,-2.6887416,1257.0
1355,5,14,7168,208,0.2,0.022968654,-0.0004379749298095703,-43.87611484527588,0.3170166015625,-0.032101821154356,0.00531023956136778,-0.03242264411528595,0.9971146583557129,0.0004092704424510632,-2.6887416,1257.0
1348,5,15,7680,224,0.2,0.015552428,-0.002347111701965332,-43.870224595069885,0.2413330078125,-0.03827669471502304,0.0038624499647994526,-0.027214182991883717,0.9958742260932922,0.0004092704424510632,-2.6546068333333337,1257.0
1345,6,16,8192,240,0.2,0.019146517,-0.00044405460357666016,-43.856799364089966,0.25537109375,-0.03070104867219925,0.01032691475120373,-0.026981317234458402,0.9974338412284851,0.0004092704424510632,-2.6546068333333337,1257.0
1342,6,17,8704,256,0.2,0.02352431,-0.0017908811569213867,-43.925591349601746,0.2662353515625,-0.02216598577797413,0.0036636669356084894,-0.026825768494745716,0.9995178580284119,0.0004092704424510632,-2.6546068333333337,1257.0
1337,6,18,9216,272,0.2,0.013292881,0.0015125870704650879,-43.96286952495575,0.203125,-0.011352102272212505,0.0022741445172869135,-0.01902839903777931,0.9998653531074524,0.0004092704424510632,-2.622307,1257.0
1334,7,19,9728,288,0.2,0.022936072,-0.0006871223449707031,-43.95937204360962,0.28173828125,-0.02946534752845764,0.02044142154045403,-0.028432036393496674,0.9996229410171509,0.0004092704424510632,-2.622307,1257.0
