time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,4059,0,,,,,,,,,,,,,
1024,2,2471,0,0.0004092704424510632,-0.16830110549926758,16,0.2,0.251220703125,0.09910026823854423,0.9992526173591614,-43.983070373535156,0.018019423,-0.042585164308547974,-0.025682885374408215,,
1536,3,2197,0,0.0004092704424510632,0.011888623237609863,32,0.2,0.23388671875,0.0037321129348129034,0.998246431350708,-43.945764899253845,0.015775934,-0.028231792151927948,-0.02449881166103296,-2.84929,1258.0
2048,4,2066,0,0.0004092704424510632,-0.0010417699813842773,48,0.2,0.29638671875,0.0295772859826684,0.9980565309524536,-43.92798626422882,0.019594293,-0.033700279891490936,-0.03253755791229196,-2.84929,1258.0
2560,5,2006,1,0.0004092704424510632,0.007223844528198242,64,0.2,0.2470703125,0.0030620953075413126,0.9975202083587646,-43.91770279407501,0.016000783,-0.03579409047961235,-0.022123068309156224,-2.8029669999999998,1258.0
3072,6,1965,1,0.0004092704424510632,-0.0006039142608642578,80,0.2,0.28857421875,0.01597114317701198,0.9983043670654297,-43.91248404979706,0.01852838,-0.03923415020108223,-0.027888764278031886,-2.8029669999999998,1258.0
3584,7,1925,1,0.0004092704424510632,0.013756215572357178,96,0.2,0.231689453125,0.0011149123365612468,0.9967438578605652,-43.91337859630585,0.0142334495,-0.03896498307585716,-0.027418359721195884,-2.8029669999999998,1258.0
4096,8,1904,2,0.0004092704424510632,0.001645803451538086,112,0.2,0.3048095703125,0.008460887154797092,0.9953709840774536,-43.85397028923035,0.021459281,-0.046470873057842255,-0.03050075430655852,-2.731631333333333,1258.0
4608,9,1888,2,0.0004092704424510632,0.005112290382385254,128,0.2,0.2442626953125,0.0025020578868861776,0.9950172305107117,-43.82859468460083,0.016585875,-0.03367006778717041,-0.02399081979820039,-2.731631333333333,1258.0
5120,10,1878,2,0.0004092704424510632,0.003863811492919922,144,0.2,0.1923828125,0.003831697402347345,0.9945629835128784,-43.8197580575943,0.01307064,-0.02340199612081051,-0.019121236575301737,-2.72966975,1258.0
5632,11,1868,3,0.0004092704424510632,0.002407848834991455,160,0.2,0.2232666015625,0.010975816985592246,0.9921509623527527,-43.77535665035248,0.016356492,-0.02773424983024597,-0.019006309186806902,-2.72966975,1258.0
6144,12,1861,3,0.0004092704424510632,0.007462680339813232,176,0.2,0.283203125,0.0015636742937203962,0.9897565245628357,-43.692569851875305,0.02009763,-0.03576448932290077,-0.029193765221862122,-2.72966975,1258.0
6656,13,1854,3,0.0004092704424510632,0.00813746452331543,192,0.2,0.30419921875,0.009908539723255672,0.9896832704544067,-43.64851474761963,0.023045402,-0.044855743646621704,-0.03058039559982717,-2.6993827999999995,1258.0
7168,14,1847,3,0.0004092704424510632,0.018794715404510498,208,0.2,0.287353515625,0.006218967973836698,0.9898192882537842,-43.655906319618225,0.022036301,-0.04115516319870949,-0.03328717628028244,-2.6993827999999995,1258.0
7680,15,1841,4,0.0004092704424510632,0.0023993849754333496,224,0.2,0.25732421875,0.0029011666993028484,0.9883232712745667,-43.631494879722595,0.018432274,-0.047667935490608215,-0.02777126626460813,-2.6639741666666663,1258.0
8192,16,1839,4,0.0004092704424510632,0.003758847713470459,240,0.2,0.2479248046875,0.021926409797742963,0.9877784252166748,-43.59452486038208,0.018318042,-0.01993192546069622,-0.02453726991370786,-2.6639741666666663,1258.0
8704,17,1836,4,0.0004092704424510632,0.003744363784790039,256,0.2,0.24267578125,0.0015686682563682552,0.9883961081504822,-43.59644079208374,0.018874375,-0.03052028827369213,-0.02491390795330517,-2.6639741666666663,1258.0
9216,18,1832,5,0.0004092704424510632,0.0071898698806762695,272,0.2,0.279541015625,0.013395619840594009,0.9856865406036377,-43.56998527050018,0.022246387,-0.03904954344034195,-0.030242181848734617,-2.6658679999999997,1258.0
9728,19,1830,5,0.0004092704424510632,0.00847935676574707,288,0.2,0.256103515625,0.025211020547430962,0.9852500557899475,-43.50731027126312,0.022677137,-0.028826259076595306,-0.024266349515528418,-2.6658679999999997,1258.0
10240,20,1827,5,0.0004092704424510632,0.08547502756118774,304,0.2,0.189453125,0.002985838695167331,0.9844211339950562,-43.49129676818848,0.013894321,-0.02371828444302082,-0.019786714809015393,-2.6676079999999995,1258.0
