time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
512,4296,0,1,,,,,,,,,,,,,
1024,2656,0,2,0.2857666015625,0.9987115263938904,-0.03257669135928154,-43.969483375549316,-0.028440217225579545,0.0977196400926914,-0.10104453563690186,0.020886924,0.2,16,0.0004092704424510632,,
1536,2364,0,3,0.2838134765625,0.9992533922195435,-0.0331709124147892,-43.94990348815918,-0.02804596326313913,0.011631802801275626,-0.012540102005004883,0.01910152,0.2,32,0.0004092704424510632,-2.757286,1258.0
2048,2244,0,4,0.3349609375,1.0002778768539429,-0.030857721343636513,-43.97882413864136,-0.03392296499805525,0.022514355194289237,-0.007329344749450684,0.02683326,0.2,48,0.0004092704424510632,-2.757286,1258.0
2560,2172,1,5,0.25048828125,1.000892162322998,-0.032538387924432755,-44.003795742988586,-0.022761158645153046,0.002785985401715152,0.016064882278442383,0.016101828,0.2,64,0.0004092704424510632,-2.689238,1258.0
3072,2129,1,6,0.2965087890625,0.9991859793663025,-0.02869196981191635,-43.99294066429138,-0.027531862957403064,0.011099830458988436,0.003876924514770508,0.018888429,0.2,80,0.0004092704424510632,-2.689238,1258.0
3584,2099,1,7,0.284912109375,0.9977296590805054,-0.02774212881922722,-43.93260884284973,-0.024920053081586957,0.0024252610965049826,0.013243496417999268,0.019059202,0.2,96,0.0004092704424510632,-2.689238,1258.0
4096,2078,1,8,0.323974609375,0.9974887371063232,-0.02359652705490589,-43.90544056892395,-0.03132367605576292,0.013509443495422602,0.005390942096710205,0.024134945,0.2,112,0.0004092704424510632,-2.7236713333333333,1258.0
4608,2064,2,9,0.2296142578125,0.9964322447776794,-0.03765915334224701,-43.890243887901306,-0.024882483296096325,0.0020866599879809655,-0.011753678321838379,0.015697086,0.2,128,0.0004092704424510632,-2.7236713333333333,1258.0
5120,2051,2,10,0.267822265625,0.9965622425079346,-0.0161520317196846,-43.86717450618744,-0.02457145585503895,0.01123818512132857,0.007726132869720459,0.022664279,0.2,144,0.0004092704424510632,-2.6839535,1258.0
5632,2041,2,11,0.239501953125,0.9949194192886353,-0.03575503081083298,-43.852747201919556,-0.024830219510477036,0.0028428593795979396,-0.0025539398193359375,0.01675151,0.2,160,0.0004092704424510632,-2.6839535,1258.0
6144,2033,3,12,0.2510986328125,0.9966909885406494,-0.02859821729362011,-43.83271396160126,-0.02489589896867983,0.0033091254881583154,0.0009395480155944824,0.016796894,0.2,176,0.0004092704424510632,-2.6839535,1258.0
6656,2023,3,13,0.2685546875,0.9989733695983887,-0.03269672393798828,-43.90844202041626,-0.03005709298304282,0.012858593428973109,0.00688856840133667,0.02494705,0.2,192,0.0004092704424510632,-2.6895612,1258.0
7168,2017,3,14,0.3275146484375,0.9991414546966553,-0.040289003401994705,-43.95342695713043,-0.03636585420463234,0.010672569478629157,0.005727052688598633,0.02643359,0.2,208,0.0004092704424510632,-2.6895612,1258.0
7680,2013,3,15,0.2889404296875,1.0000616312026978,-0.0381331592798233,-43.95328676700592,-0.026198032166576013,0.01042548633995466,0.03159070014953613,0.021078657,0.2,224,0.0004092704424510632,-2.6923581666666667,1258.0
8192,2010,4,16,0.23388671875,0.9996205568313599,-0.007274598814547062,-43.9716694355011,-0.021246151751256548,0.019006892252946272,-0.00010323524475097656,0.015333924,0.2,240,0.0004092704424510632,-2.6923581666666667,1258.0
8704,2006,4,17,0.267822265625,0.9986303448677063,-0.04213564842939377,-43.942521810531616,-0.029143753374228254,0.0031115357560338452,0.008620202541351318,0.016819023,0.2,256,0.0004092704424510632,-2.6923581666666667,1258.0
9216,2005,4,18,0.2789306640625,0.9976944327354431,-0.026531588286161423,-43.90689277648926,-0.02781095094542252,0.01024810943636112,0.012453675270080566,0.021696415,0.2,272,0.0004092704424510632,-2.6747660000000004,1258.0
9728,2001,4,19,0.260009765625,0.9982331991195679,-0.028328027576208115,-43.90237748622894,-0.025817140660365112,0.03367942641489208,0.005469262599945068,0.021553852,0.2,288,0.0004092704424510632,-2.6747660000000004,1258.0
10240,1998,5,20,0.27099609375,0.9994898438453674,-0.046442896127700806,-43.92491316795349,-0.024910928070312366,0.012916234729345888,0.17981088161468506,0.028737418,0.2,304,0.0004092704424510632,-2.675880625,1258.0
10752,1996,5,21,0.2901611328125,1.0003770589828491,-0.024995826184749603,-43.95927083492279,-0.03209942929970566,0.0420491024851799,0.015211522579193115,0.035137746,0.2,320,0.0004092704424510632,-2.675880625,1258.0
11264,1993,5,22,0.2623291015625,1.0025689601898193,-0.034967418760061264,-44.00472092628479,-0.02573944558389485,0.0022471440424851608,0.0867728590965271,0.01743406,0.2,336,0.0004092704424510632,-2.675880625,1258.0
11776,1990,5,23,0.286865234375,1.003364086151123,-0.03317340463399887,-44.05396497249603,-0.0292726688348921,0.0137268508260604,0.052263498306274414,0.03037114,0.2,352,0.0004092704424510632,-2.6885190000000003,1258.0
12288,1988,6,24,0.2335205078125,1.0035310983657837,-0.0048447903245687485,-44.06838130950928,-0.021727543076849543,0.058269691187888384,0.011431694030761719,0.018315788,0.2,368,0.0004092704424510632,-2.6885190000000003,1258.0
12800,1986,6,25,0.212158203125,1.004698634147644,-0.036499377340078354,-44.07559597492218,-0.021180578449275345,0.009115951470448636,0.2670910358428955,0.017658666,0.2,384,0.0004092704424510632,-2.6699329,1258.0
13312,1981,6,26,0.2835693359375,1.0045186281204224,-0.008135192096233368,-44.09719634056091,-0.03239249740727246,0.07646182831376791,0.023138463497161865,0.025124285,0.2,400,0.0004092704424510632,-2.6699329,1258.0
13824,1980,6,27,0.268310546875,1.00519859790802,-0.047815315425395966,-44.095579385757446,-0.03130236488505034,0.00289757750579156,0.020353317260742188,0.021498717,0.2,416,0.0004092704424510632,-2.6699329,1258.0
14336,1977,7,28,0.2039794921875,1.0057406425476074,-0.029608912765979767,-44.12226450443268,-0.019363502200576477,0.009099511487875134,0.03159046173095703,0.017856883,0.2,432,0.0004092704424510632,-2.6752328181818186,1258.0
