time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/std,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
3182,1,0,512,,,,,,,,,,,,,
2187,2,0,1024,0.24267578125,0.999627947807312,-0.02637090702774003,0.017792953,-0.01866239681839943,0.2095510914150509,-43.98117005825043,0.0004092704424510632,0.2,-0.4118844270706177,16,,
1988,3,0,1536,0.2799072265625,0.9986118674278259,-0.02523063513217494,0.02080984,-0.035527147352695465,0.009582799830241129,-43.96033477783203,0.0004092704424510632,0.2,-0.032895565032958984,32,1258.0,-3.263679
1900,4,1,2048,0.32470703125,0.9992253184318542,-0.02876651650876738,0.02631341,-0.0291813462972641,0.027039100910769776,-43.94643521308899,0.0004092704424510632,0.2,0.005742192268371582,48,1258.0,-3.263679
1846,5,1,2560,0.26025390625,0.9981138110160828,-0.027948053466388956,0.016293012,-0.04577263444662094,0.012270071601960808,-43.95116877555847,0.0004092704424510632,0.2,-0.009383082389831543,64,1258.0,-3.2043090000000003
1815,6,1,3072,0.2637939453125,0.9979395866394043,-0.025298864842625335,0.017516846,-0.020747734233736992,0.0132166710391175,-43.91624140739441,0.0004092704424510632,0.2,0.003208935260772705,80,1258.0,-3.2043090000000003
1828,7,1,3584,0.305419921875,0.9958615899085999,-0.029217134520877153,0.02320923,-0.04248680919408798,0.01175715698627755,-43.894491314888,0.0004092704424510632,0.2,-0.001997232437133789,96,1258.0,-3.2043090000000003
1839,8,2,4096,0.2333984375,0.9958920478820801,-0.02330657170386985,0.01420372,-0.03377111628651619,0.002693893027753802,-43.8440580368042,0.0004092704424510632,0.2,-0.006856322288513184,112,1258.0,-3.2715710000000002
1845,9,2,4608,0.1849365234375,0.9930022358894348,-0.018683823458559345,0.012034784,-0.015436630696058273,0.005976123706204817,-43.82021939754486,0.0004092704424510632,0.2,0.0016053318977355957,128,1258.0,-3.2715710000000002
1853,10,2,5120,0.237548828125,0.992598295211792,-0.02159392656176351,0.018161122,-0.029272018000483513,0.011262952844845131,-43.74838697910309,0.0004092704424510632,0.2,-0.0037375688552856445,144,1258.0,-3.2950950000000003
1858,11,3,5632,0.24365234375,0.9927220344543457,-0.027085240129963495,0.018155199,-0.032426610589027405,0.006534390558954328,-43.750659108161926,0.0004092704424510632,0.2,-0.0019205808639526367,160,1258.0,-3.2950950000000003
1861,12,3,6144,0.28369140625,0.9902998208999634,-0.02913716158218449,0.023986414,-0.038877520710229874,0.012076221610186622,-43.719536542892456,0.0004092704424510632,0.2,-0.000942230224609375,176,1258.0,-3.2950950000000003
1863,13,3,6656,0.2291259765625,0.9898946285247803,-0.02290867958799936,0.015561075,-0.03961970657110214,0.0037549649496213533,-43.66377353668213,0.0004092704424510632,0.2,-0.0007880926132202148,192,1258.0,-3.3164374000000003
1867,14,3,7168,0.2615966796875,0.9895339608192444,-0.02977865541470237,0.019571615,-0.039485279470682144,0.011024349631043151,-43.66158044338226,0.0004092704424510632,0.2,-0.0018360614776611328,208,1258.0,-3.3164374000000003
1870,15,4,7680,0.29833984375,0.9893454313278198,-0.029689066956052557,0.033390407,-0.03305749595165253,0.015981168544385582,-43.64465618133545,0.0004092704424510632,0.2,-0.000821232795715332,224,1258.0,-3.3399061666666667
1873,16,4,8192,0.1929931640625,0.9907801151275635,-0.018586184349260293,0.013713629,-0.004138478077948093,0.022843096579890698,-43.66445207595825,0.0004092704424510632,0.2,-0.0003478527069091797,240,1258.0,-3.3399061666666667
1875,17,4,8704,0.1644287109375,0.9913065433502197,-0.017843962617916986,0.014520928,-0.010961159132421017,0.012408462731400505,-43.69479763507843,0.0004092704424510632,0.2,0.000788271427154541,256,1258.0,-3.3399061666666667
