time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std,train/loss,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,512,3893,,,,,,,,,,,,,
0,2,1024,2351,0.016401313,0.2373046875,0.0004092704424510632,0.2,-1.3205845355987549,-0.025106678891461343,-43.96522581577301,0.9987221956253052,-0.029616447165608406,16,0.18533817637216998,,
0,3,1536,2083,0.022804528,0.2760009765625,0.0004092704424510632,0.2,0.04629051685333252,-0.03174389770720154,-43.93210530281067,0.9976815581321716,-0.04530804231762886,32,0.005206478956097271,1258.0,-2.166598
1,4,2048,1982,0.017694287,0.258056640625,0.0004092704424510632,0.2,0.004202902317047119,-0.02463049767538905,-43.90298664569855,0.9970397353172302,-0.02911447547376156,48,0.010612910991767421,1258.0,-2.166598
1,5,2560,1917,0.016274106,0.2677001953125,0.0004092704424510632,0.2,0.003600895404815674,-0.027215319511014968,-43.90797960758209,0.9982601404190063,-0.04859255626797676,64,0.0019738823066290934,1258.0,-2.0891
1,6,3072,1873,0.02196672,0.286376953125,0.0004092704424510632,0.2,-0.0009081363677978516,-0.027944683009991422,-43.93768858909607,0.9982288479804993,-0.030228720977902412,80,0.016118663304951042,1258.0,-2.0891
1,7,3584,1846,0.022404455,0.3358154296875,0.0004092704424510632,0.2,-0.005806326866149902,-0.03399317646108102,-43.91551673412323,0.9974358081817627,-0.0391930416226387,96,0.002450049083563499,1258.0,-2.0891
2,8,4096,1821,0.013663504,0.2144775390625,0.0004092704424510632,0.2,-0.0022041797637939453,-0.021267203745082952,-43.875799894332886,0.9955405592918396,-0.022384680807590485,112,0.004961320577422157,1258.0,-2.0763166666666666
2,9,4608,1808,0.02388477,0.3297119140625,0.0004092704424510632,0.2,0.017181098461151123,-0.028407249716110528,-43.85111200809479,0.9967368841171265,-0.029134806245565414,128,0.022854642535094172,1258.0,-2.0763166666666666
2,10,5120,1799,0.016734231,0.283935546875,0.0004092704424510632,0.2,0.1536129117012024,-0.03234792480361648,-43.87211227416992,0.9958512783050537,-0.04135214537382126,144,0.0027434251642262097,1258.0,-2.09667225
3,11,5632,1791,0.01574091,0.2293701171875,0.0004092704424510632,0.2,0.03923296928405762,-0.017879326624097303,-43.80381786823273,0.9927937388420105,-0.00011984352022409439,160,0.027957756246905774,1258.0,-2.09667225
3,12,6144,1788,0.017531537,0.2757568359375,0.0004092704424510632,0.2,0.04293102025985718,-0.02885380467341747,-43.74424862861633,0.9929842948913574,-0.028600146993994713,176,0.0015567509854008676,1258.0,-2.09667225
3,13,6656,1785,0.017862856,0.26025390625,0.0004092704424510632,0.2,0.008254587650299072,-0.027876604450284503,-43.742470502853394,0.991737961769104,-0.043840304017066956,192,0.004906349364318885,1258.0,-2.0983878000000002
4,14,7168,1776,0.026992321,0.327880859375,0.0004092704424510632,0.2,0.03284120559692383,-0.02952607491170056,-43.69709932804108,0.9908487200737,-0.02743113785982132,208,0.03664317156653851,1258.0,-2.0983878000000002
4,15,7680,1774,0.015850207,0.2418212890625,0.0004092704424510632,0.2,0.5306304693222046,-0.0250969867411186,-43.68133270740509,0.9908803701400757,-0.036061711609363556,224,0.003147326522594085,1258.0,-2.099645166666667
4,16,8192,1770,0.014801506,0.2420654296875,0.0004092704424510632,0.2,0.12708085775375366,-0.022691563310218044,-43.654165744781494,0.9882645010948181,-0.02457900159060955,240,0.03907812247052789,1258.0,-2.099645166666667
4,17,8704,1767,0.017703574,0.305908203125,0.0004092704424510632,0.2,-0.839558482170105,-0.03359503201500047,-43.576982259750366,0.9871746897697449,-0.04222549498081207,256,0.0017950738456420368,1258.0,-2.099645166666667
