time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,0,4492,,,,,,,,,,,,,
2,1024,0,2706,0.21986219340396929,0.016238846,0.2177734375,-43.98661279678345,0.0004092704424510632,-1.3363211154937744,0.2,-0.02821108914213255,-0.028580442070961,16,0.9998115301132202,,
3,1536,0,2323,0.004664419742766768,0.01862045,0.283203125,-43.983744621276855,0.0004092704424510632,0.005019009113311768,0.2,-0.028055911025148816,-0.037709545344114304,32,1.0000821352005005,-2.564219,1258.0
4,2048,0,2181,0.004774297936819494,0.019606398,0.280029296875,-43.98317050933838,0.0004092704424510632,0.006841838359832764,0.2,-0.033653638733085245,-0.040765777230262756,48,0.9997145533561707,-2.564219,1258.0
5,2560,1,2114,0.0033592674808460288,0.016095458,0.23583984375,-43.96918439865112,0.0004092704424510632,0.016096532344818115,0.2,-0.027101935316750314,-0.03801565244793892,64,0.9992347359657288,-2.4662725,1258.0
6,3072,1,2066,0.0064307776192435995,0.01668344,0.280517578125,-43.95187985897064,0.0004092704424510632,0.005206286907196045,0.2,-0.027074341429397464,-0.030378246679902077,80,0.9988791942596436,-2.4662725,1258.0
7,3584,1,2033,0.0042680433398345485,0.021422502,0.2919921875,-43.93448221683502,0.0004092704424510632,0.003702878952026367,0.2,-0.028156381013104692,-0.0373256616294384,96,0.9977248311042786,-2.4662725,1258.0
8,4096,2,2006,0.0024017908981477376,0.0129257385,0.218994140625,-43.90724551677704,0.0004092704424510632,0.00636523962020874,0.2,-0.024293190086609684,-0.03629247471690178,112,0.9978594779968262,-2.4591983333333336,1258.0
9,4608,2,1997,0.012079587671905756,0.015859488,0.25244140625,-43.91590631008148,0.0004092704424510632,0.0023079514503479004,0.2,-0.02263707382371649,-0.008565149269998074,128,0.9979720115661621,-2.4591983333333336,1258.0
10,5120,2,1989,0.006323688648990355,0.018029306,0.2603759765625,-43.88843393325806,0.0004092704424510632,0.005132436752319336,0.2,-0.026756575010949746,-0.03313852474093437,144,0.9959979057312012,-2.4666912500000002,1258.0
11,5632,2,1974,0.019766804936807603,0.022065112,0.2960205078125,-43.82930290699005,0.0004092704424510632,0.002116978168487549,0.2,-0.0284028027090244,-0.0281376950442791,160,0.9942901134490967,-2.4666912500000002,1258.0
12,6144,3,1965,0.003229528898373246,0.019489057,0.2476806640625,-43.768635392189026,0.0004092704424510632,0.06636834144592285,0.2,-0.025829562597209588,-0.03400222584605217,176,0.9924682378768921,-2.4666912500000002,1258.0
13,6656,3,1957,0.002362763658311451,0.021774465,0.270263671875,-43.72702491283417,0.0004092704424510632,0.038523852825164795,0.2,-0.02645167551236227,-0.033350761979818344,192,0.9915210008621216,-2.4669852000000003,1258.0
14,7168,3,1949,0.03169480024371296,0.02571628,0.2730712890625,-43.7207932472229,0.0004092704424510632,0.003521442413330078,0.2,-0.027422061713878065,-0.028154313564300537,208,0.9921422004699707,-2.4669852000000003,1258.0
15,7680,3,1939,0.0035287991195218638,0.01791405,0.225830078125,-43.727943778038025,0.0004092704424510632,0.1547302007675171,0.2,-0.022840979756438173,-0.022470641881227493,224,0.99186110496521,-2.4614815,1258.0
16,8192,4,1933,0.03768479032441974,0.020033428,0.2706298828125,-43.70468473434448,0.0004092704424510632,0.02651137113571167,0.2,-0.027873218583408743,-0.014866560697555542,240,0.9910755753517151,-2.4614815,1258.0
