time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
4144,1,512,0,,,,,,,,,,,,,
2438,2,1024,0,-43.964245557785034,0.012737233,-0.03727763891220093,0.10361644968361361,-0.008525252342224121,16,0.0004092704424510632,0.2,0.207763671875,-0.029904244700446725,0.9981440901756287,,
2136,3,1536,0,-43.9132936000824,0.01689739,-0.04286584258079529,0.003815494848822709,0.0003889799118041992,32,0.0004092704424510632,0.2,0.2342529296875,-0.027167134976480156,0.9973838329315186,-2.142937,1257.0
1997,4,2048,1,-43.89684283733368,0.017726358,-0.02992500737309456,0.0072298325976589695,-0.004204511642456055,48,0.0004092704424510632,0.2,0.281982421875,-0.023377617821097374,0.9968659281730652,-2.142937,1257.0
1935,5,2560,1,-43.87370002269745,0.015475623,-0.043566349893808365,0.0023905556117824744,0.05175638198852539,64,0.0004092704424510632,0.2,0.2569580078125,-0.030544948851456866,0.9962874054908752,-2.1135455,1257.0
1897,6,3072,1,-43.85444414615631,0.024889356,-0.029471606016159058,0.013690715684788302,-0.02004420757293701,80,0.0004092704424510632,0.2,0.3162841796875,-0.028313080372754484,0.9951404333114624,-2.1135455,1257.0
1863,7,3584,1,-43.828574776649475,0.017595358,-0.04658016934990883,0.0042651717230910435,0.024004578590393066,96,0.0004092704424510632,0.2,0.287353515625,-0.0350355630798731,0.9953799843788147,-2.1135455,1257.0
1845,8,4096,2,-43.813103914260864,0.01731982,-0.037809375673532486,0.003561644392902963,0.023170053958892822,112,0.0004092704424510632,0.2,0.2906494140625,-0.027929665870033205,0.9933311343193054,-2.1565576666666666,1257.0
1833,9,4608,2,-43.738250613212585,0.017070692,-0.03503299131989479,0.028916106384713203,-0.0011581182479858398,128,0.0004092704424510632,0.2,0.2879638671875,-0.02786016048048623,0.9915355443954468,-2.1565576666666666,1257.0
1825,10,5120,2,-43.700292468070984,0.015969943,-0.021754901856184006,0.0033498628545203246,0.02883744239807129,144,0.0004092704424510632,0.2,0.2391357421875,-0.022254473049542867,0.9907813668251038,-2.26648425,1257.0
1817,11,5632,3,-43.6705607175827,0.019650295,-0.018968192860484123,0.03447269927710295,-0.004337310791015625,160,0.0004092704424510632,0.2,0.2886962890625,-0.026150377132580616,0.9897720217704773,-2.26648425,1257.0
1810,12,6144,3,-43.66401422023773,0.019046655,-0.04139300063252449,0.003995848681370262,-0.04835093021392822,176,0.0004092704424510632,0.2,0.281494140625,-0.03217185157700442,0.9904112219810486,-2.26648425,1257.0
1801,13,6656,3,-43.6785227060318,0.01772828,-0.03478608280420303,0.004485474695684388,0.0019392967224121094,192,0.0004092704424510632,0.2,0.2396240234375,-0.023597746330779046,0.9907496571540833,-2.2839948,1257.0
