time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/std,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,4098,1,512,,,,,,,,,,,,,
0,2792,2,1024,0.0004092704424510632,0.2,-0.02658737823367119,-0.484297513961792,0.20298615391220665,1.0020939111709595,0.016188802,16,-44.01563251018524,0.2080078125,-0.02723837109078886,,
0,2526,3,1536,0.0004092704424510632,0.2,-0.034734830260276794,-0.03430676460266113,0.004937883117236197,1.0027996301651,0.020779459,32,-44.06447505950928,0.2685546875,-0.029131649556802586,-2.491275,1257.0
0,2406,4,2048,0.0004092704424510632,0.2,-0.03623688966035843,0.012541234493255615,0.009566013715812005,1.0026938915252686,0.023630705,48,-44.07178747653961,0.3294677734375,-0.03137316487845965,-2.491275,1257.0
1,2340,5,2560,0.0004092704424510632,0.2,-0.027936235070228577,-0.05127906799316406,0.0035041236333199777,1.002614140510559,0.01635177,64,-44.06624233722687,0.240234375,-0.025092034687986597,-2.4084475,1257.0
1,2301,6,3072,0.0004092704424510632,0.2,-0.03562907129526138,0.005740046501159668,0.014498056174488738,1.0020256042480469,0.017792962,80,-44.05860674381256,0.30615234375,-0.03115475524100475,-2.4084475,1257.0
1,2279,7,3584,0.0004092704424510632,0.2,-0.03643019497394562,-0.09737062454223633,0.0022022372540959623,1.0003005266189575,0.015989076,96,-44.021435499191284,0.286865234375,-0.03143848504987545,-2.4084475,1257.0
1,2260,8,4096,0.0004092704424510632,0.2,-0.043168142437934875,-0.012723922729492188,0.0033945257746381685,0.9997817277908325,0.01945007,112,-43.97881257534027,0.3021240234375,-0.03478780703153461,-2.3551583333333332,1257.0
2,2244,9,4608,0.0004092704424510632,0.2,-0.035770948976278305,-0.002206563949584961,0.023756247013807297,1.0017467737197876,0.020755041,128,-44.000624895095825,0.3236083984375,-0.030493541387841105,-2.3551583333333332,1257.0
2,2227,10,5120,0.0004092704424510632,0.2,-0.045084841549396515,-0.04809308052062988,0.003954666404752061,1.0012648105621338,0.015123651,144,-44.03361415863037,0.226318359375,-0.023711826623184606,-2.3899209999999997,1257.0
