time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
4177,1,512,0,,,,,,,,,,,,,
1976,2,1024,0,0.016661132,-0.024126050993800163,0.2,0.0004092704424510632,-0.024492635973729193,0.236328125,0.9997586011886597,16,-1.2741613388061523,0.10222315789542336,-43.989052534103394,,
1674,3,1536,0,0.021250423,-0.03013772889971733,0.2,0.0004092704424510632,-0.027798991024610586,0.271240234375,0.9990009069442749,32,-0.029891133308410645,0.0025104474880208727,-43.965282797813416,1258.0,-2.383826
1561,4,2048,1,0.018060852,-0.02809823863208294,0.2,0.0004092704424510632,-0.025580554065527394,0.261474609375,0.9978417158126831,48,-0.008888959884643555,0.008280676935100928,-43.93842887878418,1258.0,-2.383826
1500,5,2560,1,0.019840475,-0.0409899577498436,0.2,0.0004092704424510632,-0.03017437335802242,0.30126953125,0.9991052746772766,64,0.010541975498199463,0.002914444288762752,-43.93082129955292,1258.0,-2.3776159999999997
1464,6,3072,2,0.016450195,-0.01353641226887703,0.2,0.0004092704424510632,-0.02166721179673914,0.2393798828125,0.9971641898155212,80,0.018038034439086914,0.01807354378979653,-43.93562364578247,1258.0,-2.3776159999999997
1438,7,3584,2,0.015843708,-0.03395678102970123,0.2,0.0004092704424510632,-0.030118468377622776,0.260009765625,0.9969524145126343,96,0.03937441110610962,0.0012365664179014857,-43.88405966758728,1258.0,-2.3776159999999997
1417,8,4096,2,0.021946616,-0.026166856288909912,0.2,0.0004092704424510632,-0.024251182898296975,0.2701416015625,0.9974275231361389,112,0.041978299617767334,0.005685636657290161,-43.894802927970886,1258.0,-2.3540163333333335
1398,9,4608,3,0.01716815,-0.03934359550476074,0.2,0.0004092704424510632,-0.0287505580636207,0.2615966796875,0.9962306022644043,128,0.009988784790039062,0.02156070913770236,-43.88855469226837,1258.0,-2.3540163333333335
1388,10,5120,3,0.012457512,-0.028916098177433014,0.2,0.0004092704424510632,-0.0191094528126996,0.1688232421875,0.9959282875061035,144,-0.012946128845214844,0.002891352374717826,-43.859214186668396,1258.0,-2.37998575
1381,11,5632,4,0.031724118,-0.031943436712026596,0.2,0.0004092704424510632,-0.030626831598056015,0.2867431640625,0.9949397444725037,160,0.022807061672210693,0.03185155231039971,-43.84217667579651,1258.0,-2.37998575
1373,12,6144,4,0.0149424635,-0.02478979155421257,0.2,0.0004092704424510632,-0.01594914727320429,0.18212890625,0.9930278658866882,176,-0.20191609859466553,0.0023720964363747044,-43.79457926750183,1258.0,-2.37998575
1366,13,6656,4,0.019904494,-0.03383142128586769,0.2,0.0004092704424510632,-0.02854919698438607,0.2886962890625,0.9932405352592468,192,0.1236981749534607,0.006277669541304931,-43.758023142814636,1258.0,-2.3657656
1361,14,7168,5,0.021869067,-0.029964406043291092,0.2,0.0004092704424510632,-0.029692236115806736,0.242431640625,0.9919937252998352,208,0.07002425193786621,0.03186664776876569,-43.75513684749603,1258.0,-2.3657656
1356,15,7680,5,0.023863763,-0.04972103238105774,0.2,0.0004092704424510632,-0.035785121872322634,0.26953125,0.9919535517692566,224,0.07288086414337158,0.0022958701447350904,-43.72107434272766,1258.0,-2.349207333333333
1352,16,8192,6,0.018291533,-0.017506958916783333,0.2,0.0004092704424510632,-0.023429648208548315,0.2266845703125,0.9940791130065918,240,0.14279115200042725,0.04005672410130501,-43.758721232414246,1258.0,-2.349207333333333
1349,17,8704,6,0.015916374,-0.035124607384204865,0.2,0.0004092704424510632,-0.02158627423341386,0.1724853515625,0.9930316209793091,256,-1.7773876190185547,0.0024654578628542367,-43.78340744972229,1258.0,-2.349207333333333
