time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
4172,1,512,0,,,,,,,,,,,,,
1966,2,1024,0,0.021204993,-0.03035561367869377,0.2,0.0004092704424510632,-0.03289385668176692,0.2757568359375,1.0004122257232666,16,-1.5554053783416748,0.10199243370516342,-43.9920574426651,,
1677,3,1536,0,0.017564025,-0.028927115723490715,0.2,0.0004092704424510632,-0.027210768836084753,0.2528076171875,0.9989799857139587,32,0.002070307731628418,0.0023352715725195594,-43.98019635677338,1258.0,-2.261333
1554,4,2048,1,0.02435505,-0.03471703827381134,0.2,0.0004092704424510632,-0.031972677883459255,0.3056640625,0.9962300658226013,48,0.0030829310417175293,0.009382441290654242,-43.913771986961365,1258.0,-2.261333
1484,5,2560,1,0.01884304,-0.04719988629221916,0.2,0.0004092704424510632,-0.03053739428287372,0.3173828125,0.9974051117897034,64,0.00650256872177124,0.0024083856369543355,-43.87332332134247,1258.0,-2.2508879999999998
1451,6,3072,2,0.01813788,-0.028254302218556404,0.2,0.0004092704424510632,-0.02750412668683566,0.2757568359375,0.9976863861083984,80,0.008676469326019287,0.015131172956898808,-43.90840280056,1258.0,-2.2508879999999998
1429,7,3584,2,0.018483378,-0.0331946462392807,0.2,0.0004092704424510632,-0.02794370730407536,0.28662109375,0.9964247941970825,96,-0.002671360969543457,0.001461948693759041,-43.894641518592834,1258.0,-2.2508879999999998
1415,8,4096,2,0.016339537,-0.02602390944957733,0.2,0.0004092704424510632,-0.0212544844544027,0.2327880859375,0.9952630400657654,112,0.01352071762084961,0.0059103168023284525,-43.852787733078,1258.0,-2.295958333333333
1402,9,4608,3,0.016749473,-0.0339149534702301,0.2,0.0004092704424510632,-0.028833459684392437,0.2650146484375,0.9952090978622437,128,0.0040566325187683105,0.022717274609021842,-43.83218264579773,1258.0,-2.295958333333333
1392,10,5120,3,0.023238797,-0.04257650300860405,0.2,0.0004092704424510632,-0.029006304852373432,0.288818359375,0.9945583939552307,144,0.005188167095184326,0.002431094373605447,-43.82496619224548,1258.0,-2.3554092499999997
1384,11,5632,4,0.017105293,-0.023203084245324135,0.2,0.0004092704424510632,-0.024584664672147483,0.2518310546875,0.9926507472991943,160,0.00556337833404541,0.038619871251285076,-43.78499746322632,1258.0,-2.3554092499999997
1378,12,6144,4,0.018123806,-0.02631250023841858,0.2,0.0004092704424510632,-0.025165228493278846,0.2696533203125,0.9925290942192078,176,0.07250797748565674,0.0011887226564795128,-43.74187707901001,1258.0,-2.3554092499999997
1370,13,6656,4,0.019721087,-0.04255979135632515,0.2,0.0004092704424510632,-0.02803133861743845,0.2540283203125,0.990204930305481,192,0.050669968128204346,0.005516528370208107,-43.7148220539093,1258.0,-2.3758011999999997
1365,14,7168,5,0.014956587,-0.015519442036747932,0.2,0.0004092704424510632,-0.02517022506799549,0.2220458984375,0.9889119863510132,208,0.011656641960144043,0.04204576765187085,-43.64436221122742,1258.0,-2.3758011999999997
1361,15,7680,5,0.024789255,-0.023258419707417488,0.2,0.0004092704424510632,-0.03063029094482772,0.276611328125,0.9876648783683777,224,0.02194058895111084,0.002746682963334024,-43.60865259170532,1258.0,-2.351176833333333
1357,16,8192,6,0.021676792,-0.003216709941625595,0.2,0.0004092704424510632,-0.025890914039337076,0.2344970703125,0.986699640750885,240,0.010100364685058594,0.051254290039651096,-43.57239091396332,1258.0,-2.351176833333333
1355,17,8704,6,0.02618137,-0.044398803263902664,0.2,0.0004092704424510632,-0.023995326104341075,0.22705078125,0.9893659949302673,256,-0.04283750057220459,0.0030496158251480665,-43.59172785282135,1258.0,-2.351176833333333
1352,18,9216,6,0.018854167,-0.0333627425134182,0.2,0.0004092704424510632,-0.02581423072842881,0.22314453125,0.9901691675186157,272,0.02031034231185913,0.006307018018560484,-43.65690720081329,1258.0,-2.342104714285714
1350,19,9728,7,0.020511914,-0.007668575271964073,0.2,0.0004092704424510632,-0.024286912084789947,0.244384765625,0.9883780479431152,288,0.010648131370544434,0.06520580418873578,-43.64300274848938,1258.0,-2.342104714285714
1348,20,10240,7,0.017889211,-0.039919864386320114,0.2,0.0004092704424510632,-0.026255530916387215,0.22412109375,0.9881742000579834,304,0.02066946029663086,0.002083121336909244,-43.59617793560028,1258.0,-2.345684125
1346,21,10752,7,0.01729037,-0.010132502764463425,0.2,0.0004092704424510632,-0.02438673253345769,0.2027587890625,0.9866892099380493,320,0.03141969442367554,0.0720690794987604,-43.58671200275421,1258.0,-2.345684125
1344,22,11264,8,0.019998197,-0.03199452906847,0.2,0.0004092704424510632,-0.02473378970171325,0.2178955078125,0.9863025546073914,336,-0.8879706859588623,0.0019879085557477083,-43.54520392417908,1258.0,-2.345684125
1342,23,11776,8,0.02275345,-0.050533514469861984,0.2,0.0004092704424510632,-0.029899553686846048,0.2738037109375,0.9852897524833679,352,0.06977176666259766,0.006267758057219908,-43.52725946903229,1258.0,-2.330693
1340,24,12288,9,0.028701704,0.008673623204231262,0.2,0.0004092704424510632,-0.028947186336154118,0.282470703125,0.9833792448043823,368,0.1719198226928711,0.06508355331607163,-43.478830337524414,1258.0,-2.330693
1338,25,12800,9,0.015400171,-0.045694805681705475,0.2,0.0004092704424510632,-0.02184697549091652,0.1722412109375,0.9827896952629089,384,-2.2409956455230713,0.007082689517119434,-43.434675455093384,1258.0,-2.3179571
1333,26,13312,9,0.02848915,-0.005470544099807739,0.2,0.0004092704424510632,-0.031058914624736644,0.260009765625,0.9833363890647888,400,0.008508682250976562,0.08565503708086908,-43.4397531747818,1258.0,-2.3179571
1331,27,13824,10,0.015527843,-0.03129197657108307,0.2,0.0004092704424510632,-0.022720441891578957,0.1993408203125,0.9821350574493408,416,-0.2619161605834961,0.00259683692274848,-43.42932963371277,1258.0,-2.3179571
1330,28,14336,10,0.017648846,-0.02989893965423107,0.2,0.0004092704424510632,-0.025190806525642984,0.197998046875,0.9811699390411377,432,0.31304502487182617,0.004456779483007267,-43.39278483390808,1258.0,-2.310024090909091
1329,29,14848,11,0.036677785,-0.015256475657224655,0.2,0.0004092704424510632,-0.025302866502897814,0.2802734375,0.9795253276824951,448,0.16330653429031372,0.0468892187345773,-43.350465416908264,1258.0,-2.310024090909091
1329,30,15360,11,0.011568048,-0.033499762415885925,0.2,0.0004092704424510632,-0.019225225260015577,0.16796875,0.9781177043914795,464,-1.1919310092926025,0.002979662585858023,-43.30697405338287,1258.0,-2.30159475
1328,31,15872,11,0.02400481,-0.007199499756097794,0.2,0.0004092704424510632,-0.024352439708309248,0.225341796875,0.9774275422096252,480,0.08416098356246948,0.08287967392243445,-43.270777225494385,1258.0,-2.30159475
1326,32,16384,12,0.024052933,-0.03754502162337303,0.2,0.0004092704424510632,-0.03118107351474464,0.2574462890625,0.9799044132232666,496,-0.46034181118011475,0.0062498192564817145,-43.285043835639954,1258.0,-2.2998693846153846
1326,33,16896,12,0.018896932,0.006696660071611404,0.2,0.0004092704424510632,-0.023166493578173686,0.2039794921875,0.9797152876853943,512,0.03869706392288208,0.11231131129898131,-43.343685030937195,1258.0,-2.2998693846153846
1325,34,17408,13,0.018136056,-0.026842236518859863,0.2,0.0004092704424510632,-0.026408739533508196,0.2249755859375,0.9786916971206665,528,-0.5822039842605591,0.007351425068918616,-43.311349749565125,1258.0,-2.2998693846153846
1324,35,17920,13,0.018323556,-0.03547327592968941,0.2,0.0004092704424510632,-0.02399422653252259,0.2288818359375,0.9776141047477722,544,0.0820014476776123,0.003453968634858029,-43.28024113178253,1258.0,-2.292955785714286
1322,36,18432,13,0.017899219,0.008234873414039612,0.2,0.0004092704424510632,-0.022022509656380862,0.2103271484375,0.9770954251289368,560,0.03618353605270386,0.11192391463555396,-43.24551856517792,1258.0,-2.292955785714286
1322,37,18944,14,0.021448731,-0.03356856852769852,0.2,0.0004092704424510632,-0.022975050495006144,0.1619873046875,0.9760727286338806,576,-0.48764848709106445,0.010896931678871624,-43.22393989562988,1258.0,-2.2843993333333334
