time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
512,1,3802,0,,,,,,,,,,,,,
1024,2,1852,0,-43.968531012535095,-0.7587271928787231,0.26416015625,16,0.2,0.9988157749176025,-0.04650124907493591,0.015510483,0.0004092704424510632,0.09888754264466115,-0.03345647614332847,,
1536,3,1609,0,-43.93938159942627,-0.018063664436340332,0.2635498046875,32,0.2,0.998147189617157,-0.03628779575228691,0.01770156,0.0004092704424510632,0.007114984808140434,-0.02897074635257013,1258.0,-2.149926
2048,4,1509,1,-43.907289147377014,-0.014686822891235352,0.2979736328125,48,0.2,0.9967271685600281,-0.032464951276779175,0.024992686,0.0004092704424510632,0.006060598592739552,-0.023549202334834263,1258.0,-2.149926
2560,5,1453,1,-43.88351559638977,-0.017406702041625977,0.3125,64,0.2,0.9970720410346985,-0.04361817240715027,0.01851588,0.0004092704424510632,0.0025422112048545387,-0.03338784484367352,1258.0,-2.334332
3072,6,1416,2,-43.88603448867798,-0.0010782480239868164,0.355712890625,80,0.2,0.9965782165527344,-0.03190309554338455,0.027996358,0.0004092704424510632,0.011936583294300362,-0.028015443749609403,1258.0,-2.334332
3584,7,1388,2,-43.88688337802887,0.01620030403137207,0.3404541015625,96,0.2,0.9976314306259155,-0.04172835499048233,0.02910648,0.0004092704424510632,0.00226223336358089,-0.03277289068500977,1258.0,-2.334332
4096,8,1370,2,-43.90512824058533,0.029362618923187256,0.28759765625,112,0.2,0.9972955584526062,-0.03851926699280739,0.0187988,0.0004092704424510632,0.0064613779104547575,-0.026042746554594487,1258.0,-2.2971586666666663
4608,9,1356,3,-43.87726008892059,0.018319666385650635,0.288818359375,128,0.2,0.9960144758224487,-0.038838934153318405,0.01506363,0.0004092704424510632,0.02037248233682476,-0.030400957170058973,1258.0,-2.2971586666666663
5120,10,1345,3,-43.830286383628845,0.3475607633590698,0.3359375,144,0.2,0.994596004486084,-0.03728267177939415,0.028145008,0.0004092704424510632,0.0036626231085392646,-0.029671348645933904,1258.0,-2.3239262499999995
5632,11,1338,4,-43.788025975227356,0.09744465351104736,0.2681884765625,160,0.2,0.9931608438491821,-0.02817726694047451,0.01890647,0.0004092704424510632,0.02356653055176139,-0.0259496172220679,1258.0,-2.3239262499999995
6144,12,1333,4,-43.751665353775024,-0.28001368045806885,0.24267578125,176,0.2,0.9922042489051819,-0.040013544261455536,0.016450256,0.0004092704424510632,0.002737577624429832,-0.026670212857425213,1258.0,-2.3239262499999995
6656,13,1327,5,-43.74048209190369,0.21158146858215332,0.2587890625,192,0.2,0.9931625723838806,-0.022051122039556503,0.019587811,0.0004092704424510632,0.005569136366830207,-0.02561649314884562,1258.0,-2.3547831999999995
7168,14,1322,5,-43.765263080596924,0.14287304878234863,0.3131103515625,208,0.2,0.9927877187728882,-0.034716129302978516,0.031525664,0.0004092704424510632,0.03261040925281122,-0.032151218663784675,1258.0,-2.3547831999999995
7680,15,1318,5,-43.732879281044006,0.31721770763397217,0.292236328125,224,0.2,0.9914813041687012,-0.04301447793841362,0.025721893,0.0004092704424510632,0.0037276443181326613,-0.030002773070009425,1258.0,-2.3448256666666665
8192,16,1314,6,-43.72732663154602,0.2709749937057495,0.21826171875,240,0.2,0.9931314587593079,-0.023909954354166985,0.016808111,0.0004092704424510632,0.0332427688408643,-0.02197985518432688,1258.0,-2.3448256666666665
8704,17,1310,6,-43.77092742919922,-2.617330551147461,0.214111328125,256,0.2,0.9933645129203796,-0.034380871802568436,0.015813228,0.0004092704424510632,0.003132281472062459,-0.021283545705955476,1258.0,-2.3448256666666665
9216,18,1305,7,-43.74400055408478,0.2743496894836426,0.288330078125,272,0.2,0.9914164543151855,-0.03329341113567352,0.019177072,0.0004092704424510632,0.004341975043644197,-0.030312572576804087,1258.0,-2.326751428571428
9728,19,1302,7,-43.67856729030609,0.20548343658447266,0.26513671875,288,0.2,0.9898639917373657,-0.0069020893424749374,0.024087608,0.0004092704424510632,0.04015903873369098,-0.02222402673214674,1258.0,-2.326751428571428
10240,20,1300,7,-43.660292625427246,-0.4426412582397461,0.240234375,304,0.2,0.9900939464569092,-0.03884158283472061,0.022857733,0.0004092704424510632,0.012574748092447408,-0.029932667006505653,1258.0,-2.310587
10752,21,1299,8,-43.66854679584503,0.16452181339263916,0.3033447265625,320,0.2,0.9902903437614441,-0.030218040570616722,0.01916029,0.0004092704424510632,0.0469487541122362,-0.03281026407785248,1258.0,-2.310587
11264,22,1297,8,-43.634387612342834,-2.053699016571045,0.2286376953125,336,0.2,0.9875235557556152,-0.020007893443107605,0.01598464,0.0004092704424510632,0.0028246365836821496,-0.02270685523399152,1258.0,-2.310587
11776,23,1295,9,-43.54439175128937,0.26050567626953125,0.283935546875,352,0.2,0.9855635762214661,-0.034341733902692795,0.02253564,0.0004092704424510632,0.005041867429099511,-0.027111479677842,1258.0,-2.321479888888889
12288,24,1293,9,-43.493319153785706,0.17920279502868652,0.276611328125,368,0.2,0.983762264251709,-0.02678726054728031,0.024572589,0.0004092704424510632,0.04250168724684045,-0.02133816631976515,1258.0,-2.321479888888889
12800,25,1292,9,-43.441006660461426,-0.37076592445373535,0.298828125,384,0.2,0.9829732775688171,-0.035973262041807175,0.032721583,0.0004092704424510632,0.020263963466277346,-0.032351480884244666,1258.0,-2.2999047999999997
13312,26,1290,10,-43.434102058410645,0.4628854990005493,0.264404296875,400,0.2,0.9831116199493408,-0.021530941128730774,0.024922434,0.0004092704424510632,0.04321645776508376,-0.025907180170179345,1258.0,-2.2999047999999997
13824,27,1289,10,-43.42740309238434,-10.4103364944458,0.2666015625,416,0.2,0.982596755027771,-0.04208415746688843,0.021304678,0.0004092704424510632,0.00509593671085895,-0.02943019951635506,1258.0,-2.2999047999999997
14336,28,1289,11,-43.412198424339294,0.35736918449401855,0.280517578125,432,0.2,0.982204020023346,-0.03224040940403938,0.02293443,0.0004092704424510632,0.004193545137241017,-0.028780282562365755,1258.0,-2.2944732727272728
14848,29,1288,11,-43.40782392024994,0.20424938201904297,0.3082275390625,448,0.2,0.982332170009613,-0.018561625853180885,0.030239798,0.0004092704424510632,0.028534353245049715,-0.024586815445218235,1258.0,-2.2944732727272728
15360,30,1287,11,-43.428807497024536,-1.2025330066680908,0.27978515625,464,0.2,0.9835636615753174,-0.03670911863446236,0.01875899,0.0004092704424510632,0.011567632827791385,-0.024385287397308275,1258.0,-2.3009444166666664
15872,31,1285,12,-43.447386741638184,0.3749685287475586,0.2607421875,480,0.2,0.9831797480583191,-0.02242409810423851,0.023433669,0.0004092704424510632,0.059871781966648996,-0.02625162604090292,1258.0,-2.3009444166666664
16384,32,1285,12,-43.42871403694153,-10.9850492477417,0.2730712890625,496,0.2,0.9829854369163513,-0.04228423535823822,0.020095943,0.0004092704424510632,0.0030535733021679334,-0.029434555006446317,1258.0,-2.3054106153846154
16896,33,1284,13,-43.43375265598297,0.12618690729141235,0.260498046875,512,0.2,0.9834426045417786,-0.016055921092629433,0.01794925,0.0004092704424510632,0.07538515143096447,-0.02598479359585326,1258.0,-2.3054106153846154
17408,34,1284,13,-43.45633339881897,-1.9922435283660889,0.1688232421875,528,0.2,0.9848890900611877,-0.01992473006248474,0.012499431,0.0004092704424510632,0.003159605636028573,-0.019190984792658128,1258.0,-2.3054106153846154
17920,35,1283,13,-43.51265299320221,0.14532315731048584,0.2891845703125,544,0.2,0.9870943427085876,-0.04822775721549988,0.023391653,0.0004092704424510632,0.004854272621741984,-0.030744697724003345,1258.0,-2.299846357142857
18432,36,1283,14,-43.55850005149841,0.20484966039657593,0.288330078125,560,0.2,0.9873569011688232,-0.023432983085513115,0.019849468,0.0004092704424510632,0.0760131033603102,-0.03011503406742122,1258.0,-2.299846357142857
18944,37,1282,14,-43.55490565299988,-2.2850396633148193,0.25927734375,576,0.2,0.9875072836875916,-0.038897208869457245,0.019224033,0.0004092704424510632,0.006177135626785457,-0.03130960826820228,1258.0,-2.3073409333333332
19456,38,1281,15,-43.54796326160431,0.2507745027542114,0.2415771484375,592,0.2,0.9863401055335999,8.621439337730408e-05,0.022477238,0.0004092704424510632,0.0993020567111671,-0.02871055676951073,1258.0,-2.3073409333333332
19968,39,1280,15,-43.50992047786713,-9.12165355682373,0.2667236328125,608,0.2,0.9858132004737854,-0.0348941795527935,0.021633971,0.0004092704424510632,0.0036329514023236698,-0.027392075426178053,1258.0,-2.3073409333333332
20480,40,1267,16,-43.5119526386261,0.0728464126586914,0.2401123046875,624,0.2,0.9865908026695251,-0.0343766026198864,0.017414674,0.0004092704424510632,0.007669881932088174,-0.02409573769546114,1258.0,-2.29924625
20992,41,1262,16,-43.531999826431274,0.1484825611114502,0.2623291015625,640,0.2,0.9867408275604248,-0.01407298818230629,0.021374958,0.0004092704424510632,0.10283761820755899,-0.027339064778061584,1258.0,-2.29924625
21504,42,1262,17,-43.540045380592346,-1.2677361965179443,0.251220703125,656,0.2,0.9874739646911621,-0.025148339569568634,0.028097648,0.0004092704424510632,0.012780962701071985,-0.026156972358876374,1258.0,-2.3027288235294114
22016,43,1263,17,-43.554341197013855,0.44595927000045776,0.22021484375,672,0.2,0.9872722625732422,0.005232781171798706,0.020921744,0.0004092704424510632,0.11840305919758976,-0.023573825892526656,1258.0,-2.3027288235294114
22528,44,1263,17,-43.541640758514404,-12.343330383300781,0.230224609375,688,0.2,0.9871816039085388,-0.030363552272319794,0.016075766,0.0004092704424510632,0.0045436645959853195,-0.022064449556637555,1258.0,-2.3027288235294114
23040,45,1264,18,-43.526145935058594,0.0736687183380127,0.2618408203125,704,0.2,0.9856139421463013,-0.04088737070560455,0.019749915,0.0004092704424510632,0.006114564370363951,-0.024513494106940925,1258.0,-2.3090189999999997
23552,46,1264,18,-43.47344994544983,0.09458106756210327,0.229736328125,720,0.2,0.9849154353141785,0.004690300673246384,0.020405736,0.0004092704424510632,0.14649380138143897,-0.025745053993887268,1258.0,-2.3090189999999997
24064,47,1264,19,-43.44395399093628,-2.6062910556793213,0.1923828125,736,0.2,0.9830964207649231,-0.02579815685749054,0.014969181,0.0004092704424510632,0.017637447075685486,-0.01946973503800109,1258.0,-2.312839368421052
24576,48,1264,19,-43.403396010398865,0.34843677282333374,0.2314453125,752,0.2,0.9829536080360413,0.011847153306007385,0.02346671,0.0004092704424510632,0.14034135406836867,-0.027633904057438485,1258.0,-2.312839368421052
25088,49,1265,19,-43.40529131889343,-13.861968040466309,0.28564453125,768,0.2,0.983228862285614,-0.03999198228120804,0.022026516,0.0004092704424510632,0.0047485533978033345,-0.027422300510806963,1258.0,-2.312839368421052
25600,50,1265,20,-43.44319033622742,0.14352768659591675,0.2371826171875,784,0.2,0.9855490922927856,-0.042019814252853394,0.018936833,0.0004092704424510632,0.005987518379697576,-0.024263184575829655,1258.0,-2.3043405499999996
26112,51,1265,20,-43.494197845458984,0.15195083618164062,0.1805419921875,800,0.2,0.9858731627464294,0.010618533939123154,0.018700767,0.0004092704424510632,0.12504999316297472,-0.019033252785447985,1258.0,-2.3043405499999996
26624,52,1265,21,-43.51453459262848,-1.130540370941162,0.27783203125,816,0.2,0.9878400564193726,-0.03390658274292946,0.02264135,0.0004092704424510632,0.037813883973285556,-0.031158115758444183,1258.0,-2.3060685238095235
27136,53,1265,21,-43.55372631549835,0.22764331102371216,0.2916259765625,832,0.2,0.987568736076355,0.0024525001645088196,0.02908609,0.0004092704424510632,0.1388650331646204,-0.03256449184846133,1258.0,-2.3060685238095235
27648,54,1265,21,-43.52569091320038,-13.097423553466797,0.2266845703125,848,0.2,0.986522376537323,-0.03435015305876732,0.017029457,0.0004092704424510632,0.00610316515667364,-0.026257956342305988,1258.0,-2.3060685238095235
28160,55,1266,22,-43.49453890323639,0.18425846099853516,0.2508544921875,864,0.2,0.9859458208084106,-0.028292598202824593,0.02100303,0.0004092704424510632,0.00614988524466753,-0.02067426944267936,1258.0,-2.311077545454545
28672,56,1266,22,-43.475446343421936,0.1591671109199524,0.258056640625,880,0.2,0.9854398369789124,-0.014684321358799934,0.034410253,0.0004092704424510632,0.08981375320581719,-0.026639060888555832,1258.0,-2.311077545454545
29184,57,1266,23,-43.483134388923645,-2.7648682594299316,0.2747802734375,896,0.2,0.9869853258132935,-0.03138476982712746,0.027677152,0.0004092704424510632,0.02217163861496374,-0.026105537050170824,1258.0,-2.305612913043478
29696,58,1266,23,-43.50511872768402,0.27972620725631714,0.1231689453125,912,0.2,0.9858297109603882,0.01067287102341652,0.01449645,0.0004092704424510632,0.12559128005523235,-0.01490179063694086,1258.0,-2.305612913043478
30208,59,1267,23,-43.46237325668335,-6.945135593414307,0.2470703125,928,0.2,0.9856395125389099,-0.03787895292043686,0.016956903,0.0004092704424510632,0.0063219919975381345,-0.02677923793089576,1258.0,-2.3024412499999998
30720,60,1267,24,-43.45966362953186,0.1639726758003235,0.182373046875,944,0.2,0.9848467111587524,0.00533464178442955,0.01997997,0.0004092704424510632,0.1854330173227936,-0.027968758367933333,1258.0,-2.3024412499999998
31232,61,1267,24,-43.42211425304413,-5.374575138092041,0.26953125,960,0.2,0.9833126068115234,-0.029741913080215454,0.021038368,0.0004092704424510632,0.004296906299714465,-0.02622924861498177,1258.0,-2.3024412499999998
31744,62,1267,25,-43.40910792350769,0.07490736246109009,0.2672119140625,976,0.2,0.984796404838562,-0.03754907101392746,0.020478608,0.0004092704424510632,0.003614328248659149,-0.021350522329157684,1258.0,-2.2901946
32256,63,1267,25,-43.443190813064575,0.1052444577217102,0.1563720703125,992,0.2,0.9845663905143738,-0.0023098811507225037,0.017974755,0.0004092704424510632,0.19440168072469532,-0.02223671184037812,1258.0,-2.2901946
32768,64,1267,25,-43.416327118873596,-0.7092924118041992,0.2012939453125,1008,0.2,0.983498215675354,-0.02437799796462059,0.01278141,0.0004092704424510632,0.03351860819384456,-0.022265906314714812,1258.0,-2.2974507307692305
33280,65,1268,26,-43.37270712852478,0.28628039360046387,0.1390380859375,1024,0.2,0.9815757274627686,0.026761308312416077,0.021342933,0.0004092704424510632,0.15874479454942048,-0.01582928077550605,1258.0,-2.2974507307692305
33792,66,1267,26,-43.32631778717041,-6.018360137939453,0.251953125,1040,0.2,0.9809286594390869,-0.03388124704360962,0.015304963,0.0004092704424510632,0.004332474294642452,-0.02619753548060544,1258.0,-2.2974507307692305
34304,67,1268,27,-43.30981492996216,0.035864055156707764,0.2724609375,1056,0.2,0.9804206490516663,-0.043822675943374634,0.021355368,0.0004092704424510632,0.006085320172132924,-0.03039706045819912,1258.0,-2.3023725185185184
34816,68,1268,27,-43.29247772693634,0.08285874128341675,0.19677734375,1072,0.2,0.9800177216529846,0.0006749480962753296,0.019739285,0.0004092704424510632,0.23108259495347738,-0.02401143024326302,1258.0,-2.3023725185185184
35328,69,1268,27,-43.298197746276855,-1.464040756225586,0.2694091796875,1088,0.2,0.9812886118888855,-0.047137778252363205,0.026003517,0.0004092704424510632,0.017885914450744167,-0.030263740161899477,1258.0,-2.3017535
35840,70,1268,28,-43.34046924114227,0.3012492060661316,0.1446533203125,1104,0.2,0.9821992516517639,0.021208930760622025,0.016065529,0.0004092704424510632,0.19085428095422685,-0.018446295158355497,1258.0,-2.3017535
36352,71,1268,28,-43.3517541885376,-3.828293800354004,0.1900634765625,1120,0.2,0.9822137951850891,-0.028636101633310318,0.013133541,0.0004092704424510632,0.009418117871973664,-0.020352708001155406,1258.0,-2.3017535
36864,72,1268,29,-43.35770237445831,0.058766961097717285,0.2720947265625,1136,0.2,0.9829784631729126,-0.038364872336387634,0.019433603,0.0004092704424510632,0.004511288170760963,-0.02684942531050183,1258.0,-2.3011187241379307
37376,73,1267,29,-43.3776832818985,0.0872851014137268,0.133056640625,1152,0.2,0.9831417202949524,0.013843253254890442,0.015535216,0.0004092704424510632,0.28352919954340905,-0.020198517755488865,1258.0,-2.3011187241379307
37888,74,1266,29,-43.379891872406006,-6.353906631469727,0.2225341796875,1168,0.2,0.9839189052581787,-0.024647051468491554,0.020548534,0.0004092704424510632,0.02135638805339113,-0.023065650821081363,1258.0,-2.3009044999999997
38400,75,1266,30,-43.40867590904236,0.18082338571548462,0.118408203125,1184,0.2,0.9842610359191895,0.027027856558561325,0.017807044,0.0004092704424510632,0.22838469571433961,-0.014621590671595186,1258.0,-2.3009044999999997
