time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,0,3836,,,,,,,,,,,,,
2,1024,0,2359,0.10394570428616134,-0.030832998105324805,-0.044784266501665115,0.0004092704424510632,-44.0007119178772,0.2716064453125,0.021527119,-0.9452433586120605,0.2,16,1.0006183385849,,
3,1536,0,2066,0.0037443479959620163,-0.033237026451388374,-0.03594443202018738,0.0004092704424510632,-43.98985528945923,0.3145751953125,0.026998278,0.04837632179260254,0.2,32,0.9993857741355896,-2.783301,1258.0
4,2048,1,1959,0.01181051050662063,-0.022816167096607387,-0.032610781490802765,0.0004092704424510632,-43.92240250110626,0.2242431640625,0.014178377,-0.016127347946166992,0.2,48,0.996372401714325,-2.783301,1258.0
5,2560,1,1900,0.004495637389481999,-0.03011739051726181,-0.04296175390481949,0.0004092704424510632,-43.88726234436035,0.2969970703125,0.022060875,0.08410072326660156,0.2,64,0.9982562065124512,-2.7775749999999997,1258.0
6,3072,1,1870,0.019642928265966475,-0.02490995521657169,-0.017215337604284286,0.0004092704424510632,-43.94467830657959,0.2906494140625,0.02117319,0.0036591291427612305,0.2,80,0.9989471435546875,-2.7775749999999997,1258.0
7,3584,1,1857,0.004582490721077193,-0.023950468108523637,-0.028735334053635597,0.0004092704424510632,-43.970487117767334,0.285400390625,0.020444594,0.0005986690521240234,0.2,96,1.0007678270339966,-2.7775749999999997,1258.0
8,4096,2,1849,0.0029920718079665676,-0.024168721749447286,-0.039909906685352325,0.0004092704424510632,-43.99537682533264,0.2454833984375,0.01987909,0.05979126691818237,0.2,112,0.9992319345474243,-2.7630819999999994,1258.0
9,4608,2,1847,0.03374078049091622,-0.02874332397186663,-0.03388122096657753,0.0004092704424510632,-43.94232106208801,0.2921142578125,0.020328661,0.004292964935302734,0.2,128,0.9986665844917297,-2.7630819999999994,1258.0
10,5120,2,1844,0.004889700117928442,-0.026996422675438225,-0.036049384623765945,0.0004092704424510632,-43.93428337574005,0.28662109375,0.018821787,0.13658565282821655,0.2,144,0.9982401728630066,-2.7879119999999995,1258.0
11,5632,3,1842,0.043170275748707354,-0.02483866226975806,-0.02065136283636093,0.0004092704424510632,-43.900572538375854,0.2330322265625,0.016977135,0.011298954486846924,0.2,160,0.9963890314102173,-2.7879119999999995,1258.0
12,6144,3,1840,0.002848905605787877,-0.025960279250284657,-0.03141631931066513,0.0004092704424510632,-43.847341895103455,0.2518310546875,0.020313676,0.7236700654029846,0.2,176,0.9951903223991394,-2.7879119999999995,1258.0
13,6656,3,1840,0.0025980579739552923,-0.026397547844680957,-0.03797644376754761,0.0004092704424510632,-43.80258357524872,0.23291015625,0.016624734,0.30551111698150635,0.2,192,0.9932727217674255,-2.7492675999999996,1258.0
14,7168,3,1839,0.053254272090271115,-0.026035072849481367,-0.0168612040579319,0.0004092704424510632,-43.74734807014465,0.263916015625,0.018625762,0.03903740644454956,0.2,208,0.9920452833175659,-2.7492675999999996,1258.0
15,7680,4,1839,0.005694337462045951,-0.02668490706855664,-0.04041937738656998,0.0004092704424510632,-43.735456466674805,0.25,0.022261713,0.5696157217025757,0.2,224,0.9930182099342346,-2.7678064999999994,1258.0
16,8192,4,1838,0.0639048011507839,-0.024526972105377354,0.001208735629916191,0.0004092704424510632,-43.76162886619568,0.262451171875,0.020120377,0.10839825868606567,0.2,240,0.9927294254302979,-2.7678064999999994,1258.0
17,8704,4,1838,0.005040831740188878,-0.02662910481740255,-0.03677884489297867,0.0004092704424510632,-43.751662731170654,0.2354736328125,0.01868616,0.5083129405975342,0.2,256,0.9931491017341614,-2.7678064999999994,1258.0
18,9216,5,1839,0.003162574525049422,-0.022120565292425454,-0.0278105977922678,0.0004092704424510632,-43.77392649650574,0.2347412109375,0.015964933,0.20383352041244507,0.2,272,0.9939810633659363,-2.7820948571428565,1258.0
19,9728,5,1839,0.06369705335237086,-0.023931803021696396,0.0315958708524704,0.0004092704424510632,-43.77174937725067,0.2589111328125,0.023232374,0.106345534324646,0.2,288,0.9927254915237427,-2.7820948571428565,1258.0
20,10240,5,1839,0.009827931644394994,-0.02656439211568795,-0.035735275596380234,0.0004092704424510632,-43.741644740104675,0.226806640625,0.018688133,0.09457117319107056,0.2,304,0.992924153804779,-2.77251475,1258.0
21,10752,5,1827,0.04437271412461996,-0.022865287217427976,-0.020746339112520218,0.0004092704424510632,-43.7423632144928,0.2047119140625,0.017354358,0.3729209899902344,0.2,320,0.9920461773872375,-2.77251475,1258.0
22,11264,6,1819,0.006990782407228835,-0.021425287035526708,-0.013410180807113647,0.0004092704424510632,-43.71928858757019,0.2353515625,0.01953072,0.3741217851638794,0.2,336,0.9922055602073669,-2.77251475,1258.0
23,11776,6,1812,0.003793318410316715,-0.026196169725153595,-0.04049086198210716,0.0004092704424510632,-43.71377086639404,0.25244140625,0.020519387,-0.1283402442932129,0.2,352,0.9913688898086548,-2.7987304444444443,1258.0
24,12288,6,1809,0.04547098750481382,-0.02938329183962196,-0.029940836131572723,0.0004092704424510632,-43.67782187461853,0.3033447265625,0.03335812,0.11949151754379272,0.2,368,0.9898864030838013,-2.7987304444444443,1258.0
25,12800,7,1810,0.007221864376333542,-0.026325506856665015,-0.035007543861866,0.0004092704424510632,-43.662606596946716,0.2374267578125,0.019925985,-0.2612154483795166,0.2,384,0.9909117817878723,-2.7552049999999997,1258.0
26,13312,7,1810,0.05011017038486898,-0.03157541480322834,-0.023113643750548363,0.0004092704424510632,-43.7094601392746,0.264404296875,0.02501372,0.3417508602142334,0.2,400,0.9923723936080933,-2.7552049999999997,1258.0
27,13824,7,1810,0.008533574553439394,-0.025380230246810243,-0.026742512360215187,0.0004092704424510632,-43.73038375377655,0.2271728515625,0.019585863,0.48230838775634766,0.2,416,0.9923487305641174,-2.7552049999999997,1258.0
28,14336,7,1805,0.0061613706857315265,-0.024332355576916598,-0.04169311374425888,0.0004092704424510632,-43.720109701156616,0.232421875,0.017585866,0.4890035390853882,0.2,432,0.9916027188301086,-2.760880818181818,1258.0
29,14848,8,1800,0.02895707284915261,-0.02640449818863999,-0.023055844008922577,0.0004092704424510632,-43.67530179023743,0.311279296875,0.043432906,0.2768838405609131,0.2,448,0.9901694059371948,-2.760880818181818,1258.0
30,15360,8,1799,0.005603729390713852,-0.02129433335358044,-0.03588426485657692,0.0004092704424510632,-43.65807843208313,0.1842041015625,0.012258733,0.05976957082748413,0.2,464,0.9902698397636414,-2.750164583333333,1258.0
31,15872,8,1796,0.06015291763469577,-0.026869183318922296,-0.013992870226502419,0.0004092704424510632,-43.65451431274414,0.304443359375,0.0204679,0.18365997076034546,0.2,480,0.9900628924369812,-2.750164583333333,1258.0
32,16384,9,1794,0.008690921386005357,-0.022206867899512872,-0.03180202841758728,0.0004092704424510632,-43.64434456825256,0.189453125,0.011405921,0.39599132537841797,0.2,496,0.9898261427879333,-2.745414461538461,1258.0
33,16896,9,1791,0.06624645064584911,-0.02403770356613677,-0.011764690279960632,0.0004092704424510632,-43.6326949596405,0.2120361328125,0.01882977,0.35165953636169434,0.2,512,0.9891191124916077,-2.745414461538461,1258.0
34,17408,9,1785,0.013997543865116313,-0.022819759440608323,-0.021419066935777664,0.0004092704424510632,-43.588409066200256,0.222900390625,0.018993001,-0.3848445415496826,0.2,528,0.9870300889015198,-2.745414461538461,1258.0
35,17920,10,1787,0.0027079565697931685,-0.02561681275255978,-0.03558788821101189,0.0004092704424510632,-43.5284321308136,0.24365234375,0.016053353,0.002463400363922119,0.2,544,0.9858787059783936,-2.7466904999999993,1258.0
36,18432,10,1788,0.08536033658310771,-0.02128965625888668,0.006730131804943085,0.0004092704424510632,-43.509525299072266,0.218505859375,0.01846632,0.07279658317565918,0.2,560,0.9855989217758179,-2.7466904999999993,1258.0
37,18944,10,1789,0.011563920124899596,-0.024293877359014004,-0.03100328892469406,0.0004092704424510632,-43.514607310295105,0.2064208984375,0.017264923,0.20500004291534424,0.2,576,0.9866983890533447,-2.7425724666666658,1258.0
38,19456,10,1790,0.10593208088539541,-0.026575163705274463,0.006241273134946823,0.0004092704424510632,-43.54016661643982,0.2288818359375,0.023634765,0.31059080362319946,0.2,592,0.9867604970932007,-2.7425724666666658,1258.0
39,19968,11,1790,0.01410598389338702,-0.02331881399732083,-0.03358964994549751,0.0004092704424510632,-43.530980348587036,0.2127685546875,0.018092856,0.2148454785346985,0.2,608,0.9865914583206177,-2.7425724666666658,1258.0
40,20480,11,1792,0.0046316947336890735,-0.027485056809382513,-0.041737888008356094,0.0004092704424510632,-43.54885518550873,0.2882080078125,0.026526403,-0.2714700698852539,0.2,624,0.9882670044898987,-2.730115125,1258.0
41,20992,11,1793,0.09077915910165757,-0.022957781533477828,0.001298375427722931,0.0004092704424510632,-43.60243284702301,0.218505859375,0.017753107,0.18532878160476685,0.2,640,0.9891856908798218,-2.730115125,1258.0
42,21504,11,1793,0.01389075510087423,-0.02213346809730865,-0.018600070849061012,0.0004092704424510632,-43.62771260738373,0.208740234375,0.016076231,-0.2883129119873047,0.2,656,0.9901289343833923,-2.7358628235294122,1258.0
43,22016,12,1794,0.1055016815662384,-0.019090616173343733,0.020591584965586662,0.0004092704424510632,-43.62481617927551,0.1666259765625,0.016915947,0.3598495125770569,0.2,672,0.9880821704864502,-2.7358628235294122,1258.0
44,22528,12,1795,0.036977586103603244,-0.023285682982532308,-0.019347170367836952,0.0004092704424510632,-43.57897210121155,0.248046875,0.022930942,0.38048255443573,0.2,688,0.9882809519767761,-2.7358628235294122,1258.0
