time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/loss,train/std,train/approx_kl,train/learning_rate,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
512,3825,1,0,,,,,,,,,,,,,
1024,2376,2,0,0.16721648603561334,-44.00132763385773,0.2,-0.37549734115600586,0.287841796875,-0.03832916483224835,-0.04417750984430313,1.0014097690582275,0.019744955,0.0004092704424510632,16,,
1536,2085,3,0,0.003803197934757918,-44.04889214038849,0.2,0.056082189083099365,0.26611328125,-0.030973076354712248,-0.03202290087938309,1.002338171005249,0.019594181,0.0004092704424510632,32,1257.0,-2.44911
2048,1968,4,1,0.011519068299094215,-44.04787564277649,0.2,-0.010013937950134277,0.314697265625,-0.02699986594961956,-0.031059259548783302,1.0015684366226196,0.019905545,0.0004092704424510632,48,1257.0,-2.44911
2560,1926,5,1,0.00270592060405761,-44.03625011444092,0.2,0.0070002079010009766,0.2635498046875,-0.026092457468621433,-0.033974602818489075,1.0020118951797485,0.016832605,0.0004092704424510632,64,1257.0,-2.499826
3072,1908,6,1,0.022113918676041067,-44.03752887248993,0.2,-0.014230608940124512,0.3057861328125,-0.030992808198789135,-0.03172113746404648,1.0009440183639526,0.021238469,0.0004092704424510632,80,1257.0,-2.499826
3584,1894,7,1,0.007128128956537694,-43.99229907989502,0.2,0.021477341651916504,0.3292236328125,-0.03748187207384035,-0.053845301270484924,1.000087022781372,0.024655366,0.0004092704424510632,96,1257.0,-2.499826
4096,1879,8,2,0.004877876497630496,-43.95837736129761,0.2,0.011054039001464844,0.280029296875,-0.024625971898785792,-0.028091732412576675,0.9983253479003906,0.017594405,0.0004092704424510632,112,1257.0,-2.578942666666667
4608,1857,9,2,0.03690143127460033,-43.93294060230255,0.2,0.0007562041282653809,0.31494140625,-0.026680044567910954,-0.020918363705277443,0.9993846416473389,0.020080991,0.0004092704424510632,128,1257.0,-2.578942666666667
5120,1839,10,2,0.0019310978877911111,-43.947720527648926,0.2,0.0174560546875,0.26708984375,-0.028186315175844356,-0.030346110463142395,0.9980930685997009,0.016160235,0.0004092704424510632,144,1257.0,-2.5614555
5632,1827,11,3,0.043593038397375494,-43.85773766040802,0.2,-0.0018194913864135742,0.2275390625,-0.021417244017357007,-0.0066726328805089,0.9939480423927307,0.014168758,0.0004092704424510632,160,1257.0,-2.5614555
6144,1822,12,3,0.006714299146551639,-43.75990116596222,0.2,0.020054399967193604,0.2685546875,-0.02521640395571012,-0.02420794777572155,0.9932854771614075,0.01364488,0.0004092704424510632,176,1257.0,-2.5614555
6656,1817,13,3,0.004916213714750484,-43.765836119651794,0.2,0.007048666477203369,0.25048828125,-0.024207162219681777,-0.03596803545951843,0.9934543371200562,0.016408231,0.0004092704424510632,192,1257.0,-2.5814008
7168,1816,14,3,0.058403335395269096,-43.76774549484253,0.2,0.0011155009269714355,0.3043212890625,-0.032540264597628266,-0.010778035968542099,0.9933801889419556,0.025912486,0.0004092704424510632,208,1257.0,-2.5814008
7680,1810,15,4,0.003192195919837104,-43.7487713098526,0.2,-0.004069209098815918,0.2109375,-0.021996853436576203,-0.018973683938384056,0.9919660091400146,0.015616646,0.0004092704424510632,224,1257.0,-2.5167198333333336
8192,1807,16,4,0.05970572994556278,-43.67882549762726,0.2,0.0011419057846069336,0.2640380859375,-0.024782300926744938,-0.006178293377161026,0.9892918467521667,0.01939009,0.0004092704424510632,240,1257.0,-2.5167198333333336
8704,1802,17,4,0.0069243493635440245,-43.622021555900574,0.2,0.014004886150360107,0.2119140625,-0.022866101120598614,-0.03325202316045761,0.9888671636581421,0.017703976,0.0004092704424510632,256,1257.0,-2.5167198333333336
9216,1798,18,5,0.005251891350781079,-43.63941311836243,0.2,0.0038303136825561523,0.1925048828125,-0.018893750791903585,-0.024102833122015,0.9900531768798828,0.014498778,0.0004092704424510632,272,1257.0,-2.5177210000000003
9728,1791,19,5,0.08479572390206158,-43.69356691837311,0.2,0.00260847806930542,0.3065185546875,-0.030281688683317043,0.0008942000567913055,0.9922452569007874,0.024229102,0.0004092704424510632,288,1257.0,-2.5177210000000003
10240,1786,20,5,0.004010374839708675,-43.72404360771179,0.2,-0.19469332695007324,0.234619140625,-0.023878771084127948,-0.03212033212184906,0.9915309548377991,0.01899634,0.0004092704424510632,304,1257.0,-2.533795875
10752,1783,21,6,0.08594579831697047,-43.65734148025513,0.2,0.01616978645324707,0.27978515625,-0.025450270506553352,0.018982546404004097,0.988187849521637,0.017011687,0.0004092704424510632,320,1257.0,-2.533795875
11264,1780,22,6,0.007571298163384199,-43.58483338356018,0.2,-0.07098925113677979,0.2874755859375,-0.029955308011267334,-0.039720602333545685,0.9881576299667358,0.02065077,0.0004092704424510632,336,1257.0,-2.533795875
11776,1778,23,6,0.004277065349015174,-43.617069602012634,0.2,0.0009586811065673828,0.232421875,-0.026189968280959874,-0.03896467760205269,0.9894354343414307,0.016922986,0.0004092704424510632,352,1257.0,-2.5246033333333333
12288,1775,24,6,0.09936264366842806,-43.64885401725769,0.2,0.004988491535186768,0.275146484375,-0.0291305735881906,0.0033123306930065155,0.9901332855224609,0.026730059,0.0004092704424510632,368,1257.0,-2.5246033333333333
12800,1776,25,7,0.005265699845040217,-43.63702726364136,0.2,-0.5898499488830566,0.2515869140625,-0.02939498017076403,-0.037992704659700394,0.988723635673523,0.019842152,0.0004092704424510632,384,1257.0,-2.5381903
13312,1774,26,7,0.1127178710885346,-43.603750109672546,0.2,-2.4557113647460938e-05,0.250244140625,-0.023845543269999325,0.01077619194984436,0.9887957572937012,0.021041362,0.0004092704424510632,400,1257.0,-2.5381903
13824,1773,27,7,0.004383790568681434,-43.61059105396271,0.2,0.03567683696746826,0.2657470703125,-0.025931071533705108,-0.030587002635002136,0.9886712431907654,0.020892223,0.0004092704424510632,416,1257.0,-2.5381903
14336,1773,28,8,0.004136629984714091,-43.597177147865295,0.2,0.007924675941467285,0.201171875,-0.022909120452823117,-0.04439602419734001,0.9883899688720703,0.017689366,0.0004092704424510632,432,1257.0,-2.5285217272727274
14848,1772,29,8,0.024962574258097447,-43.624236702919006,0.2,0.002438843250274658,0.1995849609375,-0.018750061120954342,-0.008914323523640633,0.9904723167419434,0.017136436,0.0004092704424510632,448,1257.0,-2.5285217272727274
15360,1770,30,8,0.006489974228315987,-43.69066560268402,0.2,-0.00020396709442138672,0.2716064453125,-0.02751369512407109,-0.03788895532488823,0.9925400614738464,0.022438165,0.0004092704424510632,464,1257.0,-2.5377605
15872,1768,31,8,0.16770793544128537,-43.73510694503784,0.2,0.0016336441040039062,0.226806640625,-0.026009493420133367,0.04675783962011337,0.9928496479988098,0.021509135,0.0004092704424510632,480,1257.0,-2.5377605
16384,1767,32,9,0.0038976589203230105,-43.73173761367798,0.2,-0.11040198802947998,0.241943359375,-0.025126964697847143,-0.03129066154360771,0.9929114580154419,0.022565546,0.0004092704424510632,496,1257.0,-2.540434769230769
16896,1767,33,9,0.17635133862495422,-43.715245842933655,0.2,-0.002228260040283203,0.2510986328125,-0.025277592474594712,0.0622897706925869,0.9910848736763,0.023251928,0.0004092704424510632,512,1257.0,-2.540434769230769
17408,1767,34,9,0.0056948704877868295,-43.67076373100281,0.2,-0.08649682998657227,0.2454833984375,-0.02523610508069396,-0.03317290544509888,0.990996778011322,0.019189652,0.0004092704424510632,528,1257.0,-2.540434769230769
