time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,3949,1,,,,,,,,,,,,,
1024,0,1855,2,0.0004092704424510632,0.0752784267788229,-0.04392077401280403,0.01582079,1.000486969947815,0.2724609375,16,0.2,-0.08564448356628418,-0.032941247744020075,-43.988120436668396,,
1536,0,1577,3,0.0004092704424510632,0.0032940383716777433,-0.041500624269247055,0.020181406,1.0028339624404907,0.2864990234375,32,0.2,-0.022583365440368652,-0.03240983106661588,-44.03674376010895,-2.595118,1258.0
2048,1,1470,4,0.0004092704424510632,0.009781951259355992,-0.04055612161755562,0.030034304,1.0005918741226196,0.3719482421875,48,0.2,0.015402793884277344,-0.03296588151715696,-44.05038797855377,-2.595118,1258.0
2560,1,1413,5,0.0004092704424510632,0.0026665972000046168,-0.038829002529382706,0.02018337,0.9994296431541443,0.282958984375,64,0.2,0.02859097719192505,-0.029392760625341907,-43.98050248622894,-2.6073835,1258.0
3072,2,1373,6,0.0004092704424510632,0.018078324472298846,-0.021048372611403465,0.021108016,0.9990767240524292,0.2847900390625,80,0.2,0.019500255584716797,-0.02516126781119965,-43.96220409870148,-2.6073835,1258.0
3584,2,1351,7,0.0004092704424510632,0.0014348632230394287,-0.02776920422911644,0.014221521,0.9990613460540771,0.2158203125,96,0.2,0.04275047779083252,-0.024919065326685086,-43.95477914810181,-2.6073835,1258.0
4096,3,1333,8,0.0004092704424510632,0.010538333808653988,-0.0419425293803215,0.021586996,0.9997590780258179,0.30615234375,112,0.2,0.011824548244476318,-0.03249354565923568,-43.964343667030334,-2.6197079999999997,1258.0
4608,3,1318,9,0.0004092704424510632,0.02213213493814692,-0.033892031759023666,0.016323624,0.9971265196800232,0.2584228515625,128,0.2,0.006252706050872803,-0.028248112183064222,-43.94401955604553,-2.6197079999999997,1258.0
5120,3,1307,10,0.0004092704424510632,0.0024021388817345724,-0.02148246392607689,0.017572097,0.995769202709198,0.2591552734375,144,0.2,0.002653181552886963,-0.022894541325513273,-43.86309862136841,-2.6873945,1258.0
5632,4,1297,11,0.0004092704424510632,0.0463895236607641,-0.020082969218492508,0.025453812,0.9952540397644043,0.2890625,160,0.2,0.014974832534790039,-0.029365050802880432,-43.839415192604065,-2.6873945,1258.0
6144,4,1291,12,0.0004092704424510632,0.001961202477104962,-0.045753154903650284,0.015454537,0.9963836073875427,0.260009765625,176,0.2,-0.0014282464981079102,-0.032520206237677485,-43.83872067928314,-2.6873945,1258.0
6656,5,1286,13,0.0004092704424510632,0.011108436723588966,-0.0360846146941185,0.019464595,0.9974205493927002,0.2236328125,192,0.2,0.019918978214263916,-0.02300471003400162,-43.88113796710968,-2.6822551999999997,1258.0
7168,5,1280,14,0.0004092704424510632,0.04586649441625923,-0.017869431525468826,0.020891005,0.9972648620605469,0.251953125,208,0.2,0.017083704471588135,-0.026491208001971245,-43.89582562446594,-2.6822551999999997,1258.0
7680,6,1276,15,0.0004092704424510632,0.0035994881982333027,-0.033824656158685684,0.023310265,0.9966692328453064,0.28271484375,224,0.2,0.009893238544464111,-0.028662432567216456,-43.87510669231415,-2.7034521666666667,1258.0
8192,6,1273,16,0.0004092704424510632,0.07343357265926898,0.0013429541140794754,0.02371363,0.9970478415489197,0.2518310546875,240,0.2,0.005202054977416992,-0.02404065866721794,-43.872087836265564,-2.7034521666666667,1258.0
