time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
512,1,0,4053,,,,,,,,,,,,,
1024,2,0,2636,0.1219771598407533,0.0004092704424510632,-0.026227845868561417,-0.03139346465468407,0.010482345,0.227783203125,16,0.9991691708564758,0.2,-43.979686975479126,-0.1852484941482544,,
1536,3,0,2365,0.006720908029819839,0.0004092704424510632,-0.028729460143949836,-0.04073219373822212,0.017231539,0.2720947265625,32,0.9993179440498352,0.2,-43.959694385528564,-0.03788352012634277,1257.0,-3.203988
2048,4,0,2245,0.011143186216941103,0.0004092704424510632,-0.026118895562831312,-0.021594863384962082,0.01765646,0.2642822265625,48,0.9960523843765259,0.2,-43.921114921569824,0.0005524158477783203,1257.0,-3.203988
2560,5,1,2175,0.005682580071152188,0.0004092704424510632,-0.025720033067045733,-0.028814179822802544,0.029206747,0.330810546875,64,0.9946954250335693,0.2,-43.83512592315674,0.006082773208618164,1257.0,-3.0584344999999997
3072,6,1,2135,0.02159597014542669,0.0004092704424510632,-0.02237843045440968,-0.01834379881620407,0.017215561,0.2657470703125,80,0.9937300682067871,0.2,-43.806411027908325,-0.004979610443115234,1257.0,-3.0584344999999997
3584,7,1,2107,0.012783763086190447,0.0004092704424510632,-0.024977033885079436,-0.035394079983234406,0.02112212,0.28125,96,0.9924183487892151,0.2,-43.76687288284302,0.0026721954345703125,1257.0,-3.0584344999999997
4096,8,1,2085,0.004150605236645788,0.0004092704424510632,-0.024970456346636638,-0.04210539162158966,0.015967326,0.253173828125,112,0.9917787313461304,0.2,-43.7354873418808,0.004515647888183594,1257.0,-2.9950806666666665
4608,9,2,2070,0.047811349388211966,0.0004092704424510632,-0.02993554138811305,-0.02290046401321888,0.01833289,0.2972412109375,128,0.9923513531684875,0.2,-43.73447072505951,0.001048743724822998,1257.0,-2.9950806666666665
5120,10,2,2056,0.002660691912751645,0.0004092704424510632,-0.027424357074778527,-0.03804508596658707,0.01692408,0.25341796875,144,0.9935359358787537,0.2,-43.76075851917267,0.0058786869049072266,1257.0,-3.003311
5632,11,2,2046,0.05226256255991757,0.0004092704424510632,-0.02313953269913327,-0.008779294788837433,0.017438643,0.254150390625,160,0.9922466278076172,0.2,-43.76706945896149,-0.0005029439926147461,1257.0,-3.003311
6144,12,3,2037,0.010929085954558104,0.0004092704424510632,-0.024234182143118232,-0.03352908045053482,0.018568605,0.245361328125,176,0.9929190278053284,0.2,-43.74146747589111,0.003623783588409424,1257.0,-3.003311
6656,13,3,2031,0.004791852792550344,0.0004092704424510632,-0.02777560372487642,-0.04436199367046356,0.017647993,0.256103515625,192,0.9934192299842834,0.2,-43.77517533302307,-0.0017620325088500977,1257.0,-2.9768992
