time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1,4012,512,0,,,,,,,,,,,,,
2,2421,1024,0,0.251708984375,-0.22366821765899658,-0.029185377061367035,0.11783136724261567,16,0.2,0.0004092704424510632,-0.027174265385838225,0.018531922,-43.9977011680603,1.0009068250656128,,
3,2121,1536,0,0.2490234375,-0.06670701503753662,-0.04003380239009857,0.004434092632436659,32,0.2,0.0004092704424510632,-0.029922395129688084,0.015203395,-43.99751842021942,0.9991672039031982,-3.213284,1257.0
4,2025,2048,1,0.2984619140625,0.0004468560218811035,-0.03212125971913338,0.013404248020378873,48,0.2,0.0004092704424510632,-0.02667922672117129,0.02131338,-43.931732296943665,0.9974830746650696,-3.213284,1257.0
5,1975,2560,1,0.3138427734375,-0.00621795654296875,-0.04807697981595993,0.004511261089646723,64,0.2,0.0004092704424510632,-0.03337158216163516,0.018140268,-43.9342759847641,1.000186562538147,-3.0634485,1257.0
6,1921,3072,1,0.2799072265625,0.0063481926918029785,-0.023775799199938774,0.016264124831650406,80,0.2,0.0004092704424510632,-0.023136471398174763,0.016412102,-44.00389325618744,1.0004665851593018,-3.0634485,1257.0
7,1889,3584,1,0.2784423828125,0.0055484771728515625,-0.03772902116179466,0.0024127171891450416,96,0.2,0.0004092704424510632,-0.026500363113882486,0.018316584,-43.96258878707886,0.9979726076126099,-3.0634485,1257.0
8,1867,4096,2,0.204345703125,-0.009917259216308594,-0.03287568688392639,0.0044366458532749675,112,0.2,0.0004092704424510632,-0.022078725378378294,0.013545433,-43.949599266052246,1.0010168552398682,-3.08853,1257.0
9,1859,4608,2,0.3238525390625,0.0012240409851074219,-0.00927795097231865,0.04095953144133091,128,0.2,0.0004092704424510632,-0.02624269077205099,0.02438429,-44.029576659202576,1.0012112855911255,-3.08853,1257.0
10,1844,5120,2,0.258056640625,-0.0038040876388549805,-0.02202622964978218,0.005741936154663563,144,0.2,0.0004092704424510632,-0.025675426266388968,0.019099869,-44.008620262145996,1.0005590915679932,-3.0914685,1257.0
11,1832,5632,3,0.2744140625,0.002619147300720215,-0.015932848677039146,0.055735627887770534,160,0.2,0.0004092704424510632,-0.02749193907948211,0.02317426,-43.976006269454956,0.9991204142570496,-3.0914685,1257.0
12,1824,6144,3,0.2198486328125,-0.20181810855865479,-0.037878263741731644,0.0029720710117544513,176,0.2,0.0004092704424510632,-0.02337019980768673,0.017297365,-43.94299077987671,0.9986353516578674,-3.0914685,1257.0
13,1818,6656,3,0.2384033203125,-0.005508780479431152,-0.007801292929798365,0.002945965901744785,192,0.2,0.0004092704424510632,-0.021404143510153517,0.016426891,-43.932960748672485,0.9983782768249512,-3.0789456,1257.0
14,1809,7168,3,0.2794189453125,0.001751244068145752,0.0024781860411167145,0.0652520617004484,208,0.2,0.0004092704424510632,-0.029444760584738106,0.023421705,-43.917667746543884,0.997617244720459,-3.0789456,1257.0
15,1807,7680,4,0.259033203125,-0.018580198287963867,-0.044640980660915375,0.003427962350542657,224,0.2,0.0004092704424510632,-0.028956557740457356,0.017301608,-43.8764511346817,0.9957159757614136,-3.0169715000000004,1257.0
16,1800,8192,4,0.2586669921875,0.0049138665199279785,0.005294550210237503,0.07635621842928231,240,0.2,0.0004092704424510632,-0.02460144061478786,0.021193167,-43.819883584976196,0.994396448135376,-3.0169715000000004,1257.0
17,1796,8704,4,0.218505859375,-0.6647398471832275,-0.02907005324959755,0.003990170251199743,256,0.2,0.0004092704424510632,-0.024102550712996162,0.01409889,-43.78721630573273,0.9935019612312317,-3.0169715000000004,1257.0
18,1794,9216,5,0.169677734375,-0.002667546272277832,-0.03480857238173485,0.0031887200129858684,272,0.2,0.0004092704424510632,-0.02268318782444112,0.012346972,-43.780232071876526,0.9943979382514954,-3.0189240000000006,1257.0
19,1795,9728,5,0.306640625,0.0017998218536376953,0.008342765271663666,0.10160264139994979,288,0.2,0.0004092704424510632,-0.03015033862902783,0.022060253,-43.78150928020477,0.9926583766937256,-3.0189240000000006,1257.0
20,1789,10240,5,0.2200927734375,-0.0384669303894043,-0.029395589604973793,0.005700861482182518,304,0.2,0.0004092704424510632,-0.023890490789199248,0.017122332,-43.73715960979462,0.992790699005127,-3.026486875,1257.0
21,1782,10752,6,0.2742919921875,0.006393790245056152,0.012591894716024399,0.10521552339196205,320,0.2,0.0004092704424510632,-0.02761902831844054,0.019660328,-43.74182307720184,0.9920610189437866,-3.026486875,1257.0
22,1768,11264,6,0.22216796875,-1.204735517501831,-0.02996823564171791,0.005085167787910905,336,0.2,0.0004092704424510632,-0.026696945809817407,0.0158851,-43.7282018661499,0.992904782295227,-3.026486875,1257.0
23,1758,11776,6,0.245849609375,0.0032621026039123535,-0.04337052255868912,0.0019706208004208747,352,0.2,0.0004092704424510632,-0.027999377110973,0.01787381,-43.73499155044556,0.991204559803009,-3.015960444444444,1257.0
24,1751,12288,7,0.2896728515625,0.00224459171295166,0.016557909548282623,0.1251110027078539,368,0.2,0.0004092704424510632,-0.028674982149823336,0.032374687,-43.6670777797699,0.9895013570785522,-3.015960444444444,1257.0
25,1742,12800,7,0.224365234375,-0.30903851985931396,-0.031582243740558624,0.005523495390661992,384,0.2,0.0004092704424510632,-0.024780508523690514,0.014349368,-43.60791051387787,0.9872109889984131,-3.0211145999999998,1257.0
26,1735,13312,7,0.2991943359375,0.08307904005050659,0.01874416321516037,0.1393824468832463,400,0.2,0.0004092704424510632,-0.034089901673723944,0.032479495,-43.565608859062195,0.9869881868362427,-3.0211145999999998,1257.0
27,1729,13824,7,0.1749267578125,-1.3421108722686768,-0.025121401995420456,0.007682243347517215,416,0.2,0.0004092704424510632,-0.019941314676543698,0.016239792,-43.52986001968384,0.9842427968978882,-3.0211145999999998,1257.0
28,1722,14336,8,0.208251953125,0.010092675685882568,-0.027231557294726372,0.0017630530564929359,432,0.2,0.0004092704424510632,-0.022466471331426874,0.01497891,-43.43512272834778,0.9817090630531311,-3.0056693636363634,1257.0
