time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
4232,512,1,0,,,,,,,,,,,,,
2567,1024,2,0,16,-0.03359023292432539,0.10059589155207505,0.0004092704424510632,0.021182314,1.0014039278030396,0.2,0.2589111328125,-44.00624346733093,-0.0279293991625309,-0.2457277774810791,,
2273,1536,3,0,32,-0.0341923228406813,0.0030394207424251363,0.0004092704424510632,0.02107518,1.0014132261276245,0.2,0.30224609375,-44.034343004226685,-0.04076278582215309,0.015198051929473877,1223.0,-2.299539
2157,2048,4,0,48,-0.02238307785592042,0.007350016356213018,0.0004092704424510632,0.016263701,1.0018097162246704,0.2,0.23974609375,-44.032464027404785,-0.03128534182906151,-0.0026406049728393555,1223.0,-2.299539
2088,2560,5,1,64,-0.027525397250428796,0.001297953975154087,0.0004092704424510632,0.01868473,1.0020239353179932,0.2,0.2823486328125,-44.04397773742676,-0.03242376819252968,-0.013317704200744629,1223.0,-2.2640695
2048,3072,6,1,80,-0.02544524215045385,0.010963363063638099,0.0004092704424510632,0.022720423,1.0004514455795288,0.2,0.3065185546875,-44.027265548706055,-0.007993822917342186,0.0016564130783081055,1223.0,-2.2640695
2024,3584,7,1,96,-0.027132867166073993,0.0019256308005424216,0.0004092704424510632,0.015941024,1.0017950534820557,0.2,0.2437744140625,-44.00401735305786,-0.03270178288221359,0.018598198890686035,1223.0,-2.2640695
2007,4096,8,2,112,-0.03051637948374264,0.002189196544350125,0.0004092704424510632,0.020689692,1.0018482208251953,0.2,0.2906494140625,-44.04330348968506,-0.04427426680922508,-0.0034923553466796875,1223.0,-2.2589503333333334
1993,4608,9,2,128,-0.03020565680344589,0.02325806865701452,0.0004092704424510632,0.031017665,1.0011910200119019,0.2,0.3282470703125,-44.03035247325897,-0.03138136491179466,0.0015352368354797363,1223.0,-2.2589503333333334
1982,5120,10,2,144,-0.024963478674180806,0.0014586639663320966,0.0004092704424510632,0.018462345,0.9995179772377014,0.2,0.2406005859375,-43.99625515937805,-0.028759723529219627,0.007365286350250244,1223.0,-2.23749
1971,5632,11,2,160,-0.02811252978426637,0.03093224245822057,0.0004092704424510632,0.021552695,0.998990535736084,0.2,0.285888671875,-43.95265555381775,-0.019414810463786125,0.010195434093475342,1223.0,-2.23749
1962,6144,12,3,176,-0.028113616121117957,0.001708503445115639,0.0004092704424510632,0.017611723,0.9995977282524109,0.2,0.214599609375,-43.954864501953125,-0.03607175126671791,0.010933339595794678,1223.0,-2.2248002
1943,6656,13,3,192,-0.024987300334032625,0.031162567669525743,0.0004092704424510632,0.02187441,1.000367522239685,0.2,0.2373046875,-43.97739923000336,-0.021743347868323326,0.030011355876922607,1223.0,-2.2248002
1937,7168,14,3,208,-0.02454446750925854,0.002377452183282003,0.0004092704424510632,0.0165951,1.0017017126083374,0.2,0.232177734375,-44.007158279418945,-0.03166140615940094,0.1155768632888794,1223.0,-2.2248002
1929,7680,15,3,224,-0.03193811225355603,0.0022836885873402935,0.0004092704424510632,0.02478879,1.0025995969772339,0.2,0.2540283203125,-44.04583156108856,-0.049057748168706894,0.011615574359893799,1223.0,-2.2154231666666666
1923,8192,16,4,240,-0.026625844067893922,0.045101040159352124,0.0004092704424510632,0.021527233,1.0007023811340332,0.2,0.2747802734375,-44.03147518634796,-0.01499573327600956,0.024502575397491455,1223.0,-2.2154231666666666
1917,8704,17,4,256,-0.02226025881827809,0.002456810001604026,0.0004092704424510632,0.018001793,0.9988672137260437,0.2,0.216064453125,-43.96703290939331,-0.022497138008475304,-0.8517309427261353,1223.0,-2.2140864285714286
1913,9216,18,4,272,-0.022261981539486442,0.04914343566633761,0.0004092704424510632,0.018916093,0.9981419444084167,0.2,0.207275390625,-43.92458927631378,-0.020084507763385773,0.08620589971542358,1223.0,-2.2140864285714286
1912,9728,19,5,288,-0.02160588453989476,0.0035446841902739834,0.0004092704424510632,0.013907746,0.9979514479637146,0.2,0.20703125,-43.910592675209045,-0.03312839940190315,0.2031092643737793,1223.0,-2.2140864285714286
1907,10240,20,5,304,-0.020303776902437676,0.00204757007304579,0.0004092704424510632,0.018202312,0.9984968900680542,0.2,0.2080078125,-43.918187499046326,-0.02433553896844387,0.03579455614089966,1223.0,-2.2198995
1904,10752,21,5,320,-0.02788033826800529,0.05937919614370912,0.0004092704424510632,0.023451373,0.9977219104766846,0.2,0.2645263671875,-43.91821026802063,-0.010452792048454285,0.024507641792297363,1223.0,-2.2198995
1902,11264,22,5,336,-0.02407494823273737,0.0065412480289523955,0.0004092704424510632,0.018672377,0.9965116381645203,0.2,0.2139892578125,-43.88033473491669,-0.026760950684547424,-1.7855560779571533,1223.0,-2.2132207777777775
1899,11776,23,6,352,-0.032662696874467656,0.06803412362933159,0.0004092704424510632,0.026824303,0.9984983801841736,0.2,0.2734375,-43.88453245162964,-0.01754702627658844,0.03874260187149048,1223.0,-2.2132207777777775
1897,12288,24,6,368,-0.028066415936336853,0.004670108071877621,0.0004092704424510632,0.015090536,0.9985712170600891,0.2,0.228759765625,-43.93010330200195,-0.04652472957968712,-0.9588589668273926,1223.0,-2.2234743
1897,12800,25,6,384,-0.02979630749905482,0.0648814020678401,0.0004092704424510632,0.02450627,0.9973910450935364,0.2,0.2781982421875,-43.90670931339264,-0.01675855740904808,0.06626671552658081,1223.0,-2.2234743
1896,13312,26,7,400,-0.028923567704623565,0.0052842019067611545,0.0004092704424510632,0.018161062,0.9983899593353271,0.2,0.2376708984375,-43.89177370071411,-0.03407206013798714,-0.04048788547515869,1223.0,-2.2234743
1894,13824,27,7,416,-0.01924758401582949,0.002732401917455718,0.0004092704424510632,0.014046697,0.9976335167884827,0.2,0.1456298828125,-43.91338860988617,-0.0256218072026968,-0.36370527744293213,1223.0,-2.2133179999999997
1893,14336,28,7,432,-0.03348904640006367,0.06430198205634952,0.0004092704424510632,0.030704048,0.9952216148376465,0.2,0.2657470703125,-43.85710692405701,-0.02886790968477726,0.05283713340759277,1223.0,-2.2133179999999997
1891,14848,29,7,448,-0.027165561768924817,0.006033153236785438,0.0004092704424510632,0.019682292,0.995173990726471,0.2,0.2213134765625,-43.81013011932373,-0.04223504662513733,-3.6308751106262207,1223.0,-2.2105677499999996
1890,15360,30,8,464,-0.032339338271413,0.05946659983601421,0.0004092704424510632,0.021254627,0.9953564405441284,0.2,0.278564453125,-43.81827223300934,-0.024731019511818886,0.06338703632354736,1223.0,-2.2105677499999996
1888,15872,31,8,480,-0.030380079842871055,0.006948030422790907,0.0004092704424510632,0.019707132,0.9950730800628662,0.2,0.2467041015625,-43.81611442565918,-0.044918060302734375,-0.5859043598175049,1223.0,-2.2105677499999996
1887,16384,32,8,496,-0.020476107703871094,0.004834420025872532,0.0004092704424510632,0.01423175,0.9944866299629211,0.2,0.1820068359375,-43.80544865131378,-0.02709556743502617,0.1709458827972412,1223.0,-2.2048986153846153
1887,16896,33,8,512,-0.032242089801002294,0.052478302270174026,0.0004092704424510632,0.030892732,0.9953801035881042,0.2,0.2816162109375,-43.80586349964142,-0.021161463111639023,0.08240514993667603,1223.0,-2.2048986153846153
1886,17408,34,9,528,-0.028737096799886785,0.004887328432232607,0.0004092704424510632,0.021144722,0.9967957735061646,0.2,0.2476806640625,-43.836175322532654,-0.031558360904455185,-2.5168538093566895,1223.0,-2.2167056428571428
1886,17920,35,9,544,-0.020627985650207847,0.07176981819793582,0.0004092704424510632,0.018948253,0.9954889416694641,0.2,0.2056884765625,-43.85037422180176,-0.0015536919236183167,0.05008268356323242,1223.0,-2.2167056428571428
1885,18432,36,9,560,-0.020877609800663777,0.005543519029743038,0.0004092704424510632,0.01782075,0.9936562180519104,0.2,0.1904296875,-43.7914479970932,-0.024954156950116158,-1.988929271697998,1223.0,-2.219241
1886,18944,37,10,576,-0.021182518830755726,0.08492383977863938,0.0004092704424510632,0.02687445,0.9927824139595032,0.2,0.239501953125,-43.75269973278046,0.0022929050028324127,0.08808141946792603,1223.0,-2.219241
1885,19456,38,10,592,-0.020998670806875452,0.004761030009831302,0.0004092704424510632,0.01395368,0.9942559003829956,0.2,0.1873779296875,-43.75459611415863,-0.026954103261232376,-0.4498072862625122,1223.0,-2.219241
1887,19968,39,10,608,-0.02305431352579035,0.002623302018037066,0.0004092704424510632,0.017957356,0.9947251677513123,0.2,0.223388671875,-43.79548227787018,-0.05103102698922157,-0.6534193754196167,1223.0,-2.2191323124999998
1887,20480,40,10,624,-0.020341774841654114,0.08286146854516119,0.0004092704424510632,0.019598138,0.9944807291030884,0.2,0.212646484375,-43.79676866531372,0.008586492389440536,0.05605614185333252,1223.0,-2.2191323124999998
1885,20992,41,11,640,-0.024767929775407538,0.013190978876082227,0.0004092704424510632,0.020400632,0.9936607480049133,0.2,0.2313232421875,-43.77932846546173,-0.025463156402111053,-5.116057395935059,1223.0,-2.220364823529412
1884,21504,42,11,656,-0.02139375970000401,0.09744694549590349,0.0004092704424510632,0.017732102,0.9932344555854797,0.2,0.2030029296875,-43.755672335624695,-0.0032765716314315796,0.04847586154937744,1223.0,-2.220364823529412
1881,22016,43,11,672,-0.032944972277618945,0.005615603338810615,0.0004092704424510632,0.023155022,0.9934296011924744,0.2,0.2667236328125,-43.75792157649994,-0.05108150094747543,-0.04223179817199707,1223.0,-2.216072944444444
1883,22528,44,11,688,-0.024095176966511644,0.12782174721360207,0.0004092704424510632,0.020365022,0.9935106635093689,0.2,0.2113037109375,-43.757956981658936,0.010580901056528091,0.08514797687530518,1223.0,-2.216072944444444
1884,23040,45,12,704,-0.028380021642078646,0.007872177797253244,0.0004092704424510632,0.01850038,0.9924175143241882,0.2,0.236083984375,-43.74651527404785,-0.03668984770774841,-0.3168759346008301,1223.0,-2.216072944444444
1882,23552,46,12,720,-0.02790514298249036,0.005019825934141409,0.0004092704424510632,0.021347027,0.9922650456428528,0.2,0.2587890625,-43.718186140060425,-0.035911478102207184,-0.6755740642547607,1223.0,-2.2157498947368417
1881,24064,47,12,736,-0.028732781822327524,0.10101649665739387,0.0004092704424510632,0.021430258,0.9923188090324402,0.2,0.222412109375,-43.72544586658478,-0.002497594803571701,0.04904812574386597,1223.0,-2.2157498947368417
1880,24576,48,13,752,-0.016919482426601462,0.015734993387013674,0.0004092704424510632,0.0106577985,0.9928523302078247,0.2,0.13134765625,-43.73345899581909,-0.017059721052646637,-2.010378360748291,1223.0,-2.2251564
1881,25088,49,13,768,-0.026232342366711237,0.10861453576944768,0.0004092704424510632,0.021242505,0.992543637752533,0.2,0.2078857421875,-43.73437690734863,-0.012304741889238358,0.0801052451133728,1223.0,-2.2251564
1882,25600,50,13,784,-0.0235286831157282,0.014408370392629877,0.0004092704424510632,0.018263532,0.9914653301239014,0.2,0.1859130859375,-43.71876680850983,-0.028857296332716942,-0.7388250827789307,1223.0,-2.2251564
1882,26112,51,13,800,-0.027940472617046908,0.013628506480017677,0.0004092704424510632,0.01684028,0.9889779686927795,0.2,0.2281494140625,-43.661590933799744,-0.03543570637702942,-2.181117534637451,1223.0,-2.2188499999999998
1882,26624,52,14,816,-0.027169126202352345,0.10500260209664702,0.0004092704424510632,0.020329293,0.9891555905342102,0.2,0.2325439453125,-43.605332374572754,0.004824187606573105,0.11849558353424072,1223.0,-2.2188499999999998
1882,27136,53,14,832,-0.0246303132007597,0.005507538029632997,0.0004092704424510632,0.016835578,0.9890288710594177,0.2,0.1959228515625,-43.62116503715515,-0.033768363296985626,-3.851717472076416,1223.0,-2.2211452727272727
1883,27648,54,14,848,-0.02645969712466467,0.09052773530129343,0.0004092704424510632,0.023133542,0.987749457359314,0.2,0.2022705078125,-43.59359312057495,-0.0054892972111701965,0.06380099058151245,1223.0,-2.2211452727272727
1884,28160,55,14,864,-0.01900774854584597,0.015206375872367062,0.0004092704424510632,0.015792063,0.9870381951332092,0.2,0.1470947265625,-43.55601751804352,-0.025434408336877823,-2.1122262477874756,1223.0,-2.213270260869565
1884,28672,56,15,880,-0.02161289747164119,0.12054983340203762,0.0004092704424510632,0.020243844,0.985835611820221,0.2,0.173828125,-43.527909994125366,0.01601576805114746,0.3873869776725769,1223.0,-2.213270260869565
1884,29184,57,15,896,-0.03302351832098793,0.007803121523465961,0.0004092704424510632,0.020872056,0.9841046929359436,0.2,0.2752685546875,-43.48399519920349,-0.04154358059167862,-0.3776665925979614,1223.0,-2.213270260869565
1884,29696,58,15,912,-0.02520146587630734,0.0025593513091735076,0.0004092704424510632,0.019497246,0.9828839898109436,0.2,0.2406005859375,-43.43097376823425,-0.04836956411600113,0.013020038604736328,1223.0,-2.2062202916666664
1886,30208,59,16,928,-0.02490962465526536,0.1187952293548733,0.0004092704424510632,0.023064878,0.9836901426315308,0.2,0.238037109375,-43.42154836654663,0.017066847532987595,0.05295002460479736,1223.0,-2.2062202916666664
1886,30720,60,16,944,-0.018242755002574995,0.008474539543385617,0.0004092704424510632,0.014500929,0.9841278791427612,0.2,0.15771484375,-43.44459092617035,-0.023703664541244507,-2.9897074699401855,1223.0,-2.2018624
