time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
4057,512,1,0,,,,,,,,,,,,,
1884,1024,2,0,0.2,-0.032233651232672855,0.09939696167930379,-43.979485630989075,0.9992445707321167,0.0004092704424510632,-0.04023360833525658,-1.1054623126983643,16,0.2440185546875,0.015119679,,
1598,1536,3,0,0.2,-0.031624373281374574,0.004777687601745129,-43.95650768280029,0.9987558722496033,0.0004092704424510632,-0.04300752654671669,-0.01111912727355957,32,0.2601318359375,0.017405316,-1.950236,1258.0
1494,2048,4,1,0.2,-0.02360903049702756,0.0048642972178640775,-43.92413651943207,0.9973106384277344,0.0004092704424510632,-0.030348286032676697,0.004845142364501953,48,0.296142578125,0.018925078,-1.950236,1258.0
1434,2560,5,1,0.2,-0.0339457947993651,0.0023941681974974927,-43.89844727516174,0.9972912073135376,0.0004092704424510632,-0.048105232417583466,-0.017247557640075684,64,0.3052978515625,0.019170482,-2.1356990000000002,1258.0
1398,3072,6,2,0.2,-0.027921369182877243,0.009122779112658463,-43.886858105659485,0.9964104294776917,0.0004092704424510632,-0.030841300264000893,0.0010142922401428223,80,0.335693359375,0.025369748,-2.1356990000000002,1258.0
1374,3584,7,2,0.2,-0.03128301119431853,0.0019058581310673617,-43.87808620929718,0.9973543882369995,0.0004092704424510632,-0.040915582329034805,0.03486073017120361,96,0.3248291015625,0.028747553,-2.1356990000000002,1258.0
1355,4096,8,3,0.2,-0.02346245269291103,0.004315533646149561,-43.89988827705383,0.9970741271972656,0.0004092704424510632,-0.03540971875190735,0.06706064939498901,112,0.250244140625,0.016371958,-2.0964883333333333,1258.0
1341,4608,9,3,0.2,-0.02954341721488163,0.014160797116346657,-43.86950182914734,0.9957872033119202,0.0004092704424510632,-0.042627401649951935,0.048562467098236084,128,0.2994384765625,0.019147612,-2.0964883333333333,1258.0
1330,5120,10,3,0.2,-0.03001488564768806,0.002192805979575496,-43.83157765865326,0.9949893951416016,0.0004092704424510632,-0.04079487547278404,0.47658771276474,144,0.306640625,0.019363865,-2.119663,1258.0
1321,5632,11,4,0.2,-0.026848229812458158,0.016784702893346548,-43.805285573005676,0.993862509727478,0.0004092704424510632,-0.031115412712097168,0.16225236654281616,160,0.2803955078125,0.018974442,-2.119663,1258.0
1314,6144,12,4,0.2,-0.028078774426830932,0.002767054520518286,-43.76761472225189,0.9924542307853699,0.0004092704424510632,-0.0404147207736969,-0.12123668193817139,176,0.24853515625,0.019136399,-2.119663,1258.0
1307,6656,13,5,0.2,-0.024995506973937154,0.003845228180580307,-43.74615931510925,0.9932675957679749,0.0004092704424510632,-0.02473202720284462,0.22266149520874023,192,0.233642578125,0.01785206,-2.1493480000000003,1258.0
1302,7168,14,5,0.2,-0.032349055967642926,0.01782230075332336,-43.764904379844666,0.9925668835639954,0.0004092704424510632,-0.04238223284482956,0.1919735074043274,208,0.302490234375,0.027016772,-2.1493480000000003,1258.0
1298,7680,15,5,0.2,-0.028705001328489743,0.0024390433391090482,-43.73281741142273,0.9919804930686951,0.0004092704424510632,-0.04103971645236015,0.5057669281959534,224,0.2623291015625,0.018688414,-2.139521166666667,1258.0
1295,8192,16,6,0.2,-0.021758888215117622,0.014865683420794085,-43.748844504356384,0.9937494993209839,0.0004092704424510632,-0.031276848167181015,0.3767327666282654,240,0.2244873046875,0.016196834,-2.139521166666667,1258.0
1292,8704,17,6,0.2,-0.022435603532358073,0.002534884653869085,-43.78851306438446,0.9938928484916687,0.0004092704424510632,-0.026159776374697685,-0.39718449115753174,256,0.214111328125,0.019849824,-2.139521166666667,1258.0
1288,9216,18,7,0.2,-0.02955173561349511,0.0023942407824506517,-43.757091641426086,0.99180006980896,0.0004092704424510632,-0.03238588199019432,0.3817899823188782,272,0.2728271484375,0.019667763,-2.122644,1258.0
1285,9728,19,7,0.2,-0.022144770526210777,0.015751198632642627,-43.68571197986603,0.9898403882980347,0.0004092704424510632,-0.019911717623472214,0.23538726568222046,288,0.2410888671875,0.023316087,-2.122644,1258.0
1283,10240,20,7,0.2,-0.031008562305942178,0.005071173276519403,-43.65279281139374,0.9897887706756592,0.0004092704424510632,-0.040294017642736435,0.03403085470199585,304,0.243896484375,0.021217126,-2.107407625,1258.0
1279,10752,21,8,0.2,-0.03022788726957515,0.018436697806464508,-43.65979206562042,0.990119993686676,0.0004092704424510632,-0.03936770558357239,0.4545760154724121,320,0.2564697265625,0.023813296,-2.107407625,1258.0
1277,11264,22,8,0.2,-0.02139834369154414,0.004338898514106404,-43.61988723278046,0.9867278337478638,0.0004092704424510632,-0.027590543031692505,-0.2365717887878418,336,0.1905517578125,0.014349485,-2.107407625,1258.0
1275,11776,23,9,0.2,-0.02719441543740686,0.0034060825855704024,-43.51532304286957,0.9846687316894531,0.0004092704424510632,-0.03708162531256676,0.27526575326919556,352,0.2606201171875,0.018884677,-2.118442,1258.0
1273,12288,24,9,0.2,-0.021706090148654766,0.02195750252576545,-43.46316468715668,0.9827962517738342,0.0004092704424510632,-0.03337560594081879,0.21091550588607788,368,0.256103515625,0.021369938,-2.118442,1258.0
1272,12800,25,10,0.2,-0.03318810337805189,0.009018205979373306,-43.3971186876297,0.9810600876808167,0.0004092704424510632,-0.04319702461361885,-0.30530714988708496,384,0.281982421875,0.02447259,-2.0981008,1258.0
1271,13312,26,10,0.2,-0.026866395215620287,0.021883871406316757,-43.35995352268219,0.9805940389633179,0.0004092704424510632,-0.0313667394220829,0.5468431115150452,400,0.2613525390625,0.027679281,-2.0981008,1258.0
1270,13824,27,10,0.2,-0.030679140843858477,0.0026204877940472215,-43.33603811264038,0.9793370962142944,0.0004092704424510632,-0.04207189381122589,-2.801412343978882,416,0.29931640625,0.01924746,-2.0981008,1258.0
1269,14336,28,11,0.2,-0.02818265405949205,0.002240373200038448,-43.29635512828827,0.9781071543693542,0.0004092704424510632,-0.035374488681554794,0.4400121569633484,432,0.2607421875,0.02054556,-2.092826272727273,1258.0
1268,14848,29,11,0.2,-0.02532243964378722,0.01693005333072506,-43.27112627029419,0.9780380725860596,0.0004092704424510632,-0.02088296040892601,0.24791646003723145,448,0.30029296875,0.0269681,-2.092826272727273,1258.0
1267,15360,30,12,0.2,-0.027468160522403196,0.008126355212880298,-43.2723308801651,0.977776050567627,0.0004092704424510632,-0.03678598254919052,-0.5056084394454956,464,0.2882080078125,0.028026752,-2.100145916666667,1258.0
1266,15872,31,12,0.2,-0.02659115543065127,0.024519256578059867,-43.25116968154907,0.9768477082252502,0.0004092704424510632,-0.02908514440059662,0.44617587327957153,480,0.256591796875,0.023265705,-2.100145916666667,1258.0
1265,16384,32,12,0.2,-0.03069897461682558,0.0029104078093951102,-43.22799551486969,0.9765536785125732,0.0004092704424510632,-0.04209127649664879,-1.7633962631225586,496,0.26123046875,0.022022413,-2.1046246153846155,1258.0
1264,16896,33,13,0.2,-0.02590783836785704,0.03835362754762173,-43.23293948173523,0.9772607684135437,0.0004092704424510632,-0.028215814381837845,0.18640118837356567,512,0.2490234375,0.021773648,-2.1046246153846155,1258.0
1264,17408,34,13,0.2,-0.023827595345210284,0.0024155276551027782,-43.25066137313843,0.9780439734458923,0.0004092704424510632,-0.0254127848893404,-1.3135364055633545,528,0.22314453125,0.019664899,-2.1046246153846155,1258.0
1263,17920,35,14,0.2,-0.028028782820911147,0.003447630202572327,-43.29148578643799,0.9797489047050476,0.0004092704424510632,-0.0488741397857666,0.16798019409179688,544,0.2615966796875,0.018670246,-2.099882142857143,1258.0
1262,18432,36,14,0.2,-0.030139092188619543,0.04079207748873159,-43.3253538608551,0.9797323346138,0.0004092704424510632,-0.031629957258701324,0.27228230237960815,560,0.268310546875,0.0277658,-2.099882142857143,1258.0
1262,18944,37,15,0.2,-0.029075397498672828,0.003972725877247285,-43.30715048313141,0.9791238307952881,0.0004092704424510632,-0.03268522024154663,-2.2940993309020996,576,0.2412109375,0.017734002,-2.1074752,1258.0
1261,19456,38,15,0.2,-0.02873285829264205,0.04821612301748246,-43.27135491371155,0.9771487712860107,0.0004092704424510632,-0.01866985484957695,0.2858406901359558,592,0.2369384765625,0.02341251,-2.1074752,1258.0
1261,19968,39,15,0.2,-0.023618684645043686,0.0028558376325236168,-43.23437178134918,0.9771373271942139,0.0004092704424510632,-0.025273071601986885,-3.772362232208252,608,0.229736328125,0.021165676,-2.1074752,1258.0
1260,20480,40,16,0.2,-0.023377251694910228,0.0051659022574312985,-43.2449848651886,0.9781175851821899,0.0004092704424510632,-0.037024639546871185,0.10664510726928711,624,0.2298583984375,0.019313324,-2.0971182500000003,1258.0
1260,20992,41,16,0.2,-0.02777093043550849,0.05220262845978141,-43.265846252441406,0.9781132936477661,0.0004092704424510632,-0.02880883775651455,0.2255176305770874,640,0.2421875,0.020446388,-2.0971182500000003,1258.0
1260,21504,42,17,0.2,-0.026897434261627495,0.019171084437402897,-43.26714086532593,0.9784852266311646,0.0004092704424510632,-0.025673238560557365,-0.37683045864105225,656,0.223388671875,0.020086769,-2.0996794117647064,1258.0
1259,22016,43,17,0.2,-0.02598296401265543,0.05549427238292992,-43.27216017246246,0.9781741499900818,0.0004092704424510632,-0.01938905194401741,0.3571980595588684,672,0.240478515625,0.020697013,-2.0996794117647064,1258.0
1259,22528,44,17,0.2,-0.02648442301142495,0.0036138368923275266,-43.25608491897583,0.9777492880821228,0.0004092704424510632,-0.029732147231698036,-3.359238624572754,688,0.27490234375,0.018723205,-2.0996794117647064,1258.0
1259,23040,45,18,0.2,-0.02496166789205745,0.0038350891263689846,-43.23149073123932,0.9761133790016174,0.0004092704424510632,-0.04327963665127754,0.14897781610488892,704,0.2406005859375,0.015691886,-2.1053206111111114,1258.0
1258,23552,46,18,0.2,-0.025428606240893714,0.06324923026841134,-43.17916440963745,0.9753924012184143,0.0004092704424510632,-0.022538118064403534,0.17803996801376343,720,0.2490234375,0.020954195,-2.1053206111111114,1258.0
1258,24064,47,19,0.2,-0.02206116117304191,0.008902137939003296,-43.147082686424255,0.9733198881149292,0.0004092704424510632,-0.030579792335629463,-1.2429323196411133,736,0.19189453125,0.016286865,-2.107887157894737,1258.0
1257,24576,48,19,0.2,-0.0273432004469214,0.07968899782281369,-43.09544038772583,0.9729740619659424,0.0004092704424510632,-0.009601278230547905,0.3796730637550354,752,0.24267578125,0.02350438,-2.107887157894737,1258.0
1257,25088,49,19,0.2,-0.019588497147196904,0.0067813220448442735,-43.08342945575714,0.9719195365905762,0.0004092704424510632,-0.02895202487707138,-4.124648571014404,768,0.198486328125,0.017639816,-2.107887157894737,1258.0
1256,25600,50,20,0.2,-0.026369431288912892,0.0033893842482939363,-43.0730402469635,0.9731836915016174,0.0004092704424510632,-0.04443611949682236,0.1751078963279724,784,0.2490234375,0.022819787,-2.0975220500000002,1258.0
1256,26112,51,20,0.2,-0.019512012309860438,0.09012445341795683,-43.10806739330292,0.973450779914856,0.0004092704424510632,-0.01019686833024025,0.17394906282424927,800,0.1717529296875,0.018687643,-2.0975220500000002,1258.0
1256,26624,52,21,0.2,-0.02144911787036108,0.012765931503963657,-43.12580752372742,0.9751491546630859,0.0004092704424510632,-0.03118705563247204,-1.375978946685791,816,0.1995849609375,0.0144613525,-2.098559333333333,1258.0
1256,27136,53,21,0.2,-0.030168307770509273,0.09989350521937013,-43.16131556034088,0.9747273325920105,0.0004092704424510632,-0.017249401658773422,0.4190053939819336,832,0.24853515625,0.025557224,-2.098559333333333,1258.0
1255,27648,54,22,0.2,-0.021002607216360047,0.0054516516138392035,-43.13787662982941,0.9743008613586426,0.0004092704424510632,-0.02479037269949913,-7.8055009841918945,848,0.18115234375,0.013471614,-2.098559333333333,1258.0
1255,28160,55,22,0.2,-0.021128092223079875,0.004037831487949006,-43.1192809343338,0.973845899105072,0.0004092704424510632,-0.027796389535069466,0.12944358587265015,864,0.233642578125,0.01614778,-2.103599772727273,1258.0
1255,28672,56,22,0.2,-0.026584855455439538,0.07084920565830544,-43.10502517223358,0.9734304547309875,0.0004092704424510632,-0.019722498953342438,0.11257386207580566,880,0.2889404296875,0.031883094,-2.103599772727273,1258.0
1254,29184,57,23,0.2,-0.02597773489469546,0.015960964577971026,-43.10771417617798,0.974484384059906,0.0004092704424510632,-0.04443025216460228,-1.7562472820281982,896,0.265869140625,0.018738892,-2.0977138695652173,1258.0
1254,29696,58,23,0.2,-0.016477984725497663,0.11366141843609512,-43.11829376220703,0.9734514951705933,0.0004092704424510632,0.006684742867946625,0.4028109312057495,912,0.1436767578125,0.014599573,-2.0977138695652173,1258.0
