time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/std,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,512,4023,,,,,,,,,,,,,
2,0,1024,2673,1.0018103122711182,16,0.10644711982240551,0.01456085,0.2203369140625,-0.17901086807250977,0.2,-0.04690244793891907,-44.010939717292786,0.0004092704424510632,-0.029942969791591167,,
3,0,1536,2409,0.999610960483551,32,0.0030524047870130744,0.016658524,0.2440185546875,-0.06380927562713623,0.2,-0.042948201298713684,-44.02260386943817,0.0004092704424510632,-0.02963142655789852,1257.0,-2.472202
4,0,2048,2301,0.9972379207611084,48,0.007092190440744162,0.016575662,0.267333984375,0.009278535842895508,0.2,-0.04347098991274834,-43.93331706523895,0.0004092704424510632,-0.02749915889580734,1257.0,-2.472202
5,1,2560,2237,0.9999529719352722,64,0.003433158970437944,0.020957526,0.301025390625,0.02265530824661255,0.2,-0.044963538646698,-43.92660653591156,0.0004092704424510632,-0.03348825988359749,1257.0,-2.366784
6,1,3072,2197,1.000028371810913,80,0.013019460951909423,0.016804494,0.282958984375,0.01167917251586914,0.2,-0.022889332845807076,-43.9932324886322,0.0004092704424510632,-0.022211406627320684,1257.0,-2.366784
7,1,3584,2173,0.9978867769241333,96,0.0017235349187103566,0.01712818,0.2530517578125,0.15912926197052002,0.2,-0.034037645906209946,-43.95535933971405,0.0004092704424510632,-0.024948275764472783,1257.0,-2.366784
8,1,4096,2151,1.000426173210144,112,0.003193508215190377,0.013377727,0.19970703125,-0.0076721906661987305,0.2,-0.032248642295598984,-43.941943883895874,0.0004092704424510632,-0.021558697102591395,1257.0,-2.396538666666667
9,2,4608,2139,1.0005223751068115,128,0.021380120771937072,0.016387729,0.302001953125,-0.0021529197692871094,0.2,-0.025680094957351685,-44.008790731430054,0.0004092704424510632,-0.026017849013442174,1257.0,-2.396538666666667
10,2,5120,2131,0.9996787309646606,144,0.0045809626099071465,0.01933097,0.2686767578125,0.020626187324523926,0.2,-0.022164419293403625,-43.98562812805176,0.0004092704424510632,-0.026046887738630176,1257.0,-2.40205
11,2,5632,2119,0.9980748891830444,160,0.03157216071849689,0.021852646,0.2886962890625,0.003956615924835205,0.2,-0.02334529161453247,-43.945525884628296,0.0004092704424510632,-0.027225051206187345,1257.0,-2.40205
12,2,6144,2112,0.9976393580436707,176,0.0026458266511326656,0.018145042,0.231689453125,-0.06337416172027588,0.2,-0.035719722509384155,-43.911885142326355,0.0004092704424510632,-0.02436830202350393,1257.0,-2.40205
