time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,0,512,4184,,,,,,,,,,,,,
2,0,1024,2470,0.22074231034639524,0.997494637966156,0.21044921875,16,0.0004092704424510632,-2.7809555530548096,0.2,-0.030281358922366053,0.012731033,-43.95269167423248,-0.0399954728782177,,
3,0,1536,2221,0.002609585935715586,0.9968467354774475,0.269775390625,32,0.0004092704424510632,0.007789671421051025,0.2,-0.030063264479395002,0.018815024,-43.893251180648804,-0.03502330929040909,-2.202958,1223.0
4,0,2048,2119,0.0029673581339011434,0.9940502047538757,0.2347412109375,48,0.0004092704424510632,0.009602785110473633,0.2,-0.026564141880953684,0.014174958,-43.85309541225433,-0.03429573029279709,-2.202958,1223.0
5,1,2560,2047,0.001941198644999531,0.9929290413856506,0.303466796875,64,0.0004092704424510632,0.009514808654785156,0.2,-0.028048535212292336,0.022674412,-43.7754328250885,-0.03139929845929146,-2.2582310000000003,1223.0
6,1,3072,1998,0.004136168623517733,0.9929986000061035,0.2437744140625,80,0.0004092704424510632,0.004740595817565918,0.2,-0.025387114321347326,0.013448013,-43.76031970977783,-0.03617826849222183,-2.2582310000000003,1223.0
7,1,3584,1963,0.002403641352429986,0.9940158128738403,0.2286376953125,96,0.0004092704424510632,0.0007545948028564453,0.2,-0.02486149553442374,0.015376503,-43.78135633468628,-0.03943958505988121,-2.2582310000000003,1223.0
8,2,4096,1941,0.0024467619477945846,0.9953536987304688,0.3172607421875,112,0.0004092704424510632,0.00515437126159668,0.2,-0.030326646548928693,0.021364704,-43.81816518306732,-0.0567396804690361,-2.2724310000000005,1223.0
9,2,4608,1911,0.012267168203834444,0.9938405156135559,0.192138671875,128,0.0004092704424510632,0.0007826685905456543,0.2,-0.019692323869094253,0.011626294,-43.82259118556976,-0.023177888244390488,-2.2724310000000005,1223.0
10,2,5120,1880,0.0015913934330455959,0.9930634498596191,0.2237548828125,144,0.0004092704424510632,0.03044337034225464,0.2,-0.021181818388868123,0.014117496,-43.776575684547424,-0.03063039295375347,-2.3194450000000004,1223.0
11,3,5632,1861,0.01830682170111686,0.9937006831169128,0.2322998046875,160,0.0004092704424510632,0.0009004473686218262,0.2,-0.024757047707680613,0.013625074,-43.770689606666565,-0.0264899879693985,-2.3194450000000004,1223.0
12,3,6144,1846,0.0016419354469690006,0.9924654364585876,0.2142333984375,176,0.0004092704424510632,-0.003018617630004883,0.2,-0.0232997095445171,0.013936296,-43.768970131874084,-0.028402671217918396,-2.3376444000000003,1223.0
13,3,6656,1833,0.025486225786153227,0.9913886189460754,0.2476806640625,192,0.0004092704424510632,0.00015819072723388672,0.2,-0.02790903247660026,0.01777818,-43.72682774066925,-0.025065012276172638,-2.3376444000000003,1223.0
14,3,7168,1824,0.0022422141664719675,0.9924214482307434,0.2156982421875,208,0.0004092704424510632,0.00469130277633667,0.2,-0.025745095481397584,0.015780756,-43.7248295545578,-0.037368930876255035,-2.3376444000000003,1223.0
15,4,7680,1816,0.002512457824195735,0.9933976531028748,0.2138671875,224,0.0004092704424510632,0.0003076791763305664,0.2,-0.023638029204448685,0.015650425,-43.75703227519989,-0.02994503639638424,-2.3189213333333334,1223.0
16,4,8192,1809,0.041019044001586735,0.9920066595077515,0.3138427734375,240,0.0004092704424510632,0.0004762411117553711,0.2,-0.03444682987174019,0.034881532,-43.75955271720886,-0.031017018482089043,-2.3189213333333334,1223.0
17,4,8704,1803,0.0015399662570416695,0.9902660846710205,0.237548828125,256,0.0004092704424510632,0.0063210129737854,0.2,-0.026129205092729535,0.020838555,-43.69936418533325,-0.03367245942354202,-2.3259388571428574,1223.0
18,5,9216,1798,0.045769499614834785,0.9919940829277039,0.1973876953125,272,0.0004092704424510632,0.00010657310485839844,0.2,-0.023680630431044847,0.016752739,-43.692487359046936,-0.0068498216569423676,-2.3259388571428574,1223.0
19,5,9728,1793,0.0016492574450239772,0.9918205142021179,0.2633056640625,288,0.0004092704424510632,-0.0005476474761962891,0.2,-0.028674096858594567,0.026372325,-43.73328399658203,-0.03529810160398483,-2.3259388571428574,1223.0
20,5,10240,1785,0.002537485383072635,0.9895766973495483,0.1651611328125,304,0.0004092704424510632,0.001132190227508545,0.2,-0.01851453944982495,0.012414426,-43.68916642665863,-0.03131537139415741,-2.2985531249999998,1223.0
21,6,10752,1780,0.058154710335657,0.9894422888755798,0.254150390625,320,0.0004092704424510632,0.0002218484878540039,0.2,-0.028797464939998463,0.022931345,-43.64194571971893,-0.008970091119408607,-2.2985531249999998,1223.0
22,6,11264,1775,0.0023389633279293776,0.9899243116378784,0.1932373046875,336,0.0004092704424510632,0.010391414165496826,0.2,-0.02091378389741294,0.013726907,-43.651291847229004,-0.02406131662428379,-2.3026971111111108,1223.0
23,6,11776,1771,0.06819185498170555,0.9906431436538696,0.2371826171875,352,0.0004092704424510632,3.272294998168945e-05,0.2,-0.024569599307142198,0.017921206,-43.66996932029724,0.01266089454293251,-2.3026971111111108,1223.0
24,6,12288,1769,0.0014081953286222415,0.9892534613609314,0.192626953125,368,0.0004092704424510632,-0.006712198257446289,0.2,-0.023439420183422044,0.014974633,-43.66223227977753,-0.028671149164438248,-2.3062595999999997,1223.0
25,7,12800,1767,0.07211081264540553,0.9886536598205566,0.201416015625,384,0.0004092704424510632,0.001979053020477295,0.2,-0.02120364285656251,0.016943038,-43.62049221992493,0.011104267090559006,-2.3062595999999997,1223.0
26,7,13312,1765,0.0025452862282691058,0.9883977174758911,0.205810546875,400,0.0004092704424510632,0.00015527009963989258,0.2,-0.02657280335552059,0.015490435,-43.60657620429993,-0.038488730788230896,-2.3062595999999997,1223.0
27,7,13824,1765,0.002823505757987732,0.9888331294059753,0.22509765625,416,0.0004092704424510632,0.002585113048553467,0.2,-0.026558166435279418,0.019959785,-43.61016619205475,-0.04173535853624344,-2.301307181818182,1223.0
28,8,14336,1761,0.08682177006267011,0.9893926382064819,0.1890869140625,432,0.0004092704424510632,0.0009636282920837402,0.2,-0.020574352965923026,0.016255878,-43.6268846988678,0.013327723369002342,-2.301307181818182,1223.0
29,8,14848,1753,0.0014461546797974734,0.9898517727851868,0.2451171875,448,0.0004092704424510632,0.02798861265182495,0.2,-0.029554806373198517,0.019479116,-43.640743017196655,-0.04450288042426109,-2.296591083333333,1223.0
30,8,15360,1752,0.08653932553716004,0.989506185054779,0.252685546875,464,0.0004092704424510632,0.0007706880569458008,0.2,-0.028059019285137765,0.02373163,-43.651153445243835,-0.002286825329065323,-2.296591083333333,1223.0
31,9,15872,1755,0.0023655667064304,0.9884453415870667,0.18505859375,480,0.0004092704424510632,0.02957165241241455,0.2,-0.018811609887052327,0.011522109,-43.62112867832184,-0.03955297917127609,-2.296591083333333,1223.0
32,9,16384,1758,0.002913790460297605,0.9878122806549072,0.1953125,496,0.0004092704424510632,0.004075884819030762,0.2,-0.02276060514850542,0.013632856,-43.58887791633606,-0.018887996673583984,-2.2984116923076923,1223.0
33,9,16896,1760,0.0836302125826478,0.9886754155158997,0.2335205078125,512,0.0004092704424510632,0.0009171962738037109,0.2,-0.025494801622699015,0.031864867,-43.59261906147003,-0.005339540541172028,-2.2984116923076923,1223.0
34,9,17408,1761,0.0026260516824549995,0.9902513027191162,0.20849609375,528,0.0004092704424510632,0.0008971095085144043,0.2,-0.022576450268388726,0.017430145,-43.627424001693726,-0.034400805830955505,-2.3024187857142855,1223.0
35,10,17920,1765,0.11433039768598974,0.9905375838279724,0.2486572265625,544,0.0004092704424510632,0.0061640143394470215,0.2,-0.024926398880779743,0.017597582,-43.66388821601868,0.012763503938913345,-2.3024187857142855,1223.0
36,10,18432,1766,0.001444464769519982,0.9882236123085022,0.26318359375,560,0.0004092704424510632,-0.48525893688201904,0.2,-0.02641737213707529,0.022226647,-43.630563497543335,-0.034380100667476654,-2.2931562,1223.0
37,10,18944,1767,0.09494706452824175,0.9870441555976868,0.214111328125,576,0.0004092704424510632,0.041114747524261475,0.2,-0.023533566592959687,0.020158336,-43.562607526779175,0.013351209461688995,-2.2931562,1223.0
38,11,19456,1768,0.0024996462489070836,0.9877276420593262,0.2158203125,592,0.0004092704424510632,-0.4879347085952759,0.2,-0.02551209446392022,0.014922889,-43.55082893371582,-0.04259064048528671,-2.2931562,1223.0
39,11,19968,1758,0.0028025507963320706,0.9880606532096863,0.1715087890625,608,0.0004092704424510632,0.0038514137268066406,0.2,-0.019368095556274056,0.01552291,-43.57168102264404,-0.013067214749753475,-2.28908425,1223.0
40,11,20480,1752,0.09702298603951931,0.9884536862373352,0.2015380859375,624,0.0004092704424510632,0.02007216215133667,0.2,-0.020643278665374964,0.021020208,-43.57713282108307,0.0070858970284461975,-2.28908425,1223.0
41,12,20992,1744,0.004615017700416502,0.9884371757507324,0.1861572265625,640,0.0004092704424510632,-2.548750638961792,0.2,-0.02253889894927852,0.017964952,-43.58192956447601,-0.03542579710483551,-2.289393705882353,1223.0
42,12,21504,1736,0.08410521177574992,0.987747311592102,0.2242431640625,656,0.0004092704424510632,0.02770620584487915,0.2,-0.02905475950683467,0.023798846,-43.56566822528839,-0.006286021322011948,-2.289393705882353,1223.0
43,12,22016,1727,0.0033303400487056933,0.9882280826568604,0.187744140625,672,0.0004092704424510632,-0.39896488189697266,0.2,-0.022087934834416956,0.0139008835,-43.55687463283539,-0.022771712392568588,-2.291386166666667,1223.0
