time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/std,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1,3783,512,0,,,,,,,,,,,,,
2,2260,1024,0,-0.03440714627504349,0.2,0.01723554,0.23651143481765757,0.9988645315170288,0.0004092704424510632,16,-43.96940553188324,0.2423095703125,-0.02757494400430005,-1.4862024784088135,,
3,1995,1536,0,-0.041200049221515656,0.2,0.017690886,0.005633254157146439,0.9975571632385254,0.0004092704424510632,32,-43.93432438373566,0.2733154296875,-0.03145662203314714,0.002334415912628174,-2.334476,1258.0
4,1886,2048,1,-0.04296080023050308,0.2,0.016260061,0.0014875699889671523,0.9966548681259155,0.0004092704424510632,48,-43.89405274391174,0.26220703125,-0.0305871405871585,0.0020551085472106934,-2.334476,1258.0
5,1822,2560,1,-0.028446512296795845,0.2,0.020372448,0.002885890640754951,0.9971436858177185,0.0004092704424510632,64,-43.885082483291626,0.29150390625,-0.027922160865273327,0.005637049674987793,-2.2900445,1258.0
6,1780,3072,1,-0.0348186194896698,0.2,0.0163232,0.003712413126777392,0.997302234172821,0.0004092704424510632,80,-43.898839592933655,0.2757568359375,-0.0279080168766086,0.0037229061126708984,-2.2900445,1258.0
7,1743,3584,2,-0.018169967457652092,0.2,0.015505031,0.002678599670616677,0.9979202747344971,0.0004092704424510632,96,-43.90513753890991,0.2310791015625,-0.024191218777559698,0.005128324031829834,-2.2900445,1258.0
8,1715,4096,2,-0.035147421061992645,0.2,0.01752821,0.0071015524881659076,0.9986954927444458,0.0004092704424510632,112,-43.93176591396332,0.248046875,-0.02455290616489947,0.0030670166015625,-2.339746,1258.0
9,1691,4608,2,-0.01826590672135353,0.2,0.021533681,0.00677807025203947,0.9981004595756531,0.0004092704424510632,128,-43.936473965644836,0.27490234375,-0.0229512233636342,0.004126489162445068,-2.339746,1258.0
10,1679,5120,3,-0.03209709748625755,0.2,0.016337425,0.006130692214355804,0.9988593459129333,0.0004092704424510632,144,-43.928924798965454,0.2684326171875,-0.02318009083683137,0.010926604270935059,-2.3492565,1258.0
11,1673,5632,3,-0.029736921191215515,0.2,0.023189709,0.013870523776859045,0.9983175992965698,0.0004092704424510632,160,-43.94298303127289,0.281982421875,-0.026258075144141912,0.0013106465339660645,-2.3492565,1258.0
12,1665,6144,3,-0.020874351263046265,0.2,0.0140242195,0.0017195936561620329,0.9967093467712402,0.0004092704424510632,176,-43.90020155906677,0.2127685546875,-0.023340607789577916,0.014159679412841797,-2.3492565,1258.0
13,1664,6656,3,-0.03516242280602455,0.2,0.02662525,0.005422203794296365,0.9955045580863953,0.0004092704424510632,192,-43.856767773628235,0.2991943359375,-0.028520702311652713,0.003159165382385254,-2.3467788,1258.0
14,1662,7168,4,-0.027318516746163368,0.2,0.028627604,0.023484270932385698,0.9953539371490479,0.0004092704424510632,208,-43.830469250679016,0.287109375,-0.029857676272513345,0.0017768144607543945,-2.3467788,1258.0
15,1657,7680,4,-0.03833936154842377,0.2,0.021183707,0.005173155339434743,0.9951191544532776,0.0004092704424510632,224,-43.822779059410095,0.2833251953125,-0.02690082050685305,0.10507369041442871,-2.3427656666666667,1258.0
