time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,4196,0,1,,,,,,,,,,,,,
1024,2003,0,2,0.0004092704424510632,0.2,-43.963727593421936,0.9983328580856323,0.10218145728867967,-0.0323559020034736,-0.039085786789655685,0.01618164,0.21337890625,16,-0.0009343624114990234,,
1536,1691,0,3,0.0004092704424510632,0.2,-43.92448174953461,0.9979385733604431,0.004132419708184898,-0.026859101752052084,-0.04243048280477524,0.01710096,0.2337646484375,32,0.03303474187850952,-2.350553,1257.0
2048,1566,1,4,0.0004092704424510632,0.2,-43.912880063056946,0.9973097443580627,0.0070807646261528134,-0.024014229071326554,-0.03147706389427185,0.01605024,0.2781982421875,48,-0.012699604034423828,-2.350553,1257.0
2560,1495,1,5,0.0004092704424510632,0.2,-43.88945245742798,0.9967658519744873,0.0027732767957786564,-0.02932366737513803,-0.04323076084256172,0.018839642,0.2506103515625,64,0.07453715801239014,-2.322886,1257.0
3072,1462,2,6,0.0004092704424510632,0.2,-43.86596965789795,0.9954937100410461,0.014026062592165545,-0.02850723179290071,-0.02658328041434288,0.023311196,0.31201171875,80,-0.018491506576538086,-2.322886,1257.0
3584,1439,2,7,0.0004092704424510632,0.2,-43.84239220619202,0.9961032867431641,0.005974090614472516,-0.035133134049829096,-0.045975666493177414,0.020091476,0.294921875,96,0.01450192928314209,-2.322886,1257.0
4096,1421,2,8,0.0004092704424510632,0.2,-43.84042429924011,0.9943209886550903,0.0038289463918772526,-0.027685296794516034,-0.037460807710886,0.016281247,0.2796630859375,112,0.030977606773376465,-2.3642486666666667,1257.0
4608,1410,3,9,0.0004092704424510632,0.2,-43.76564300060272,0.9922357797622681,0.03386301692808047,-0.02761329387431033,-0.029057200998067856,0.017357785,0.27490234375,128,0.0013349652290344238,-2.3642486666666667,1257.0
5120,1401,3,10,0.0004092704424510632,0.2,-43.72173500061035,0.9915656447410583,0.003416806248424109,-0.020801429738639854,-0.023108936846256256,0.015881274,0.2196044921875,144,0.005843639373779297,-2.4794537500000002,1257.0
5632,1392,4,11,0.0004092704424510632,0.2,-43.694337248802185,0.9904651045799255,0.037786511704325676,-0.026695199456298724,-0.01880163513123989,0.019795235,0.2652587890625,160,-0.00038313865661621094,-2.4794537500000002,1257.0
6144,1384,4,12,0.0004092704424510632,0.2,-43.68334078788757,0.9913247227668762,0.005820301143103279,-0.031389792857225984,-0.03689626231789589,0.021047179,0.27197265625,176,0.02037060260772705,-2.4794537500000002,1257.0
6656,1379,4,13,0.0004092704424510632,0.2,-43.709595799446106,0.9917556643486023,0.005036314949393272,-0.02340785411070101,-0.03407001122832298,0.016579816,0.247802734375,192,0.002308487892150879,-2.4992760000000005,1257.0
7168,1373,5,14,0.0004092704424510632,0.2,-43.70095646381378,0.990713357925415,0.060441029141657054,-0.028720992733724415,-0.012098550796508789,0.019128663,0.27978515625,208,0.004716038703918457,-2.4992760000000005,1257.0
