time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_range,train/n_updates,train/std,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,512,3666,,,,,,,,,,,,,
0,2,1024,1858,-0.032410973552032374,0.2,16,1.000614881515503,-0.038377031683921814,0.0004092704424510632,0.10356904941727407,0.020190598,-0.09228968620300293,-43.996752977371216,0.2635498046875,,
0,3,1536,1624,-0.02927058661589399,0.2,32,0.9992938041687012,-0.03762643411755562,0.0004092704424510632,0.0043538053942029364,0.019865729,-0.03618454933166504,-43.98658108711243,0.2708740234375,-2.505504,1257.0
1,4,2048,1519,-0.020622729934984818,0.2,48,0.9989593029022217,-0.029275527223944664,0.0004092704424510632,0.010749111912446097,0.020006068,-0.0038410425186157227,-43.95290195941925,0.269287109375,-2.505504,1257.0
1,5,2560,1457,-0.02821721584768966,0.2,64,0.9993765354156494,-0.03504147380590439,0.0004092704424510632,0.004493487263971474,0.017016996,0.0029514431953430176,-43.95973205566406,0.2789306640625,-2.6222205,1257.0
2,6,3072,1418,-0.02556108171120286,0.2,80,0.9987568855285645,-0.028604019433259964,0.0004092704424510632,0.01172126387245953,0.019325292,0.0021550655364990234,-43.95742189884186,0.298583984375,-2.6222205,1257.0
2,7,3584,1396,-0.029012126004090533,0.2,96,0.9994246363639832,-0.032716743648052216,0.0004092704424510632,0.0021099171026435215,0.015974004,0.06360530853271484,-43.95368432998657,0.267822265625,-2.6222205,1257.0
2,8,4096,1380,-0.025971945287892595,0.2,112,0.9988163113594055,-0.041127514094114304,0.0004092704424510632,0.004002276124083437,0.015583359,-0.009986519813537598,-43.95817232131958,0.2696533203125,-2.599971666666667,1257.0
3,9,4608,1368,-0.029937166400486603,0.2,128,0.9980114102363586,-0.023455899208784103,0.0004092704424510632,0.02443191414931789,0.019340452,-0.0017664432525634766,-43.93378293514252,0.2998046875,-2.599971666666667,1257.0
3,10,5120,1358,-0.031347091804491356,0.2,144,0.9983155131340027,-0.04583514854311943,0.0004092704424510632,0.004363523730717134,0.018256653,-0.0047550201416015625,-43.9242799282074,0.296630859375,-2.6131847500000003,1257.0
4,11,5632,1347,-0.023838140346924774,0.2,160,0.9971200823783875,-0.016738031059503555,0.0004092704424510632,0.03476143890293315,0.017153567,0.004651546478271484,-43.914963483810425,0.238037109375,-2.6131847500000003,1257.0
4,12,6144,1340,-0.01950910870800726,0.2,176,0.9971773624420166,-0.022910447791218758,0.0004092704424510632,0.003067797631956637,0.012637841,-0.07076132297515869,-43.890931606292725,0.188232421875,-2.6131847500000003,1257.0
4,13,6656,1335,-0.02817722973850323,0.2,192,0.999062716960907,-0.04764503985643387,0.0004092704424510632,0.002824522802256979,0.01703511,0.003515958786010742,-43.91429662704468,0.2880859375,-2.6279466000000005,1257.0
5,14,7168,1331,-0.02581128795281984,0.2,208,0.9980679750442505,-0.012330131605267525,0.0004092704424510632,0.04538144706748426,0.014886996,0.0023105740547180176,-43.943689823150635,0.23095703125,-2.6279466000000005,1257.0
5,15,7680,1328,-0.024036965070990846,0.2,224,0.9992789626121521,-0.030509553849697113,0.0004092704424510632,0.003711016812303569,0.017544342,-0.03477787971496582,-43.923646211624146,0.25,-2.6322250000000005,1257.0
6,16,8192,1323,-0.0231841113709379,0.2,240,1.000756859779358,-0.009792458266019821,0.0004092704424510632,0.05430358974263072,0.01565351,0.005968928337097168,-43.980242133140564,0.2340087890625,-2.6322250000000005,1257.0
6,17,8704,1320,-0.030652387184090912,0.2,256,0.9990810751914978,-0.043391380459070206,0.0004092704424510632,0.003296833368949592,0.01858691,-0.09393799304962158,-43.9837110042572,0.266357421875,-2.6322250000000005,1257.0
6,18,9216,1317,-0.023473453329643235,0.2,272,0.9978224039077759,-0.03198191151022911,0.0004092704424510632,0.002508089346520137,0.015052163,-0.04013931751251221,-43.91532099246979,0.2215576171875,-2.62726,1257.0
7,19,9728,1315,-0.02774676666012965,0.2,288,0.9968687891960144,-0.0031531788408756256,0.0004092704424510632,0.06871635129209608,0.024209533,0.014818012714385986,-43.89187932014465,0.302490234375,-2.62726,1257.0
7,20,10240,1311,-0.018317621375899762,0.2,304,0.9970613718032837,-0.030417006462812424,0.0004092704424510632,0.005075860921351705,0.012876866,-0.10042333602905273,-43.874306201934814,0.1849365234375,-2.6240901249999995,1257.0
