time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,4011,1,,,,,,,,,,,,,
1024,0,2639,2,0.263916015625,0.0004092704424510632,-0.030269242823123932,16,0.020283952,-44.00114119052887,0.09934415214956971,0.2,-0.1548607349395752,-0.032930148008745164,1.0010193586349487,,
1536,0,2376,3,0.3033447265625,0.0004092704424510632,-0.03863871470093727,32,0.01990016,-44.02332067489624,0.004205737903248519,0.2,-0.003195643424987793,-0.03452228871174157,1.001189947128296,1223.0,-2.588191
2048,0,2265,4,0.2388916015625,0.0004092704424510632,-0.027342209592461586,48,0.014734757,-44.02475953102112,0.008113734074868262,0.2,-0.020267486572265625,-0.02232669659133535,1.0015639066696167,1223.0,-2.588191
2560,1,2208,5,0.2899169921875,0.0004092704424510632,-0.03703266754746437,64,0.018741108,-44.0417400598526,0.0015460796348634176,0.2,1.806020736694336e-05,-0.02773128086118959,1.0021741390228271,1223.0,-2.5506425000000004
3072,1,2169,6,0.3035888671875,0.0004092704424510632,-0.012192881666123867,80,0.019982018,-44.03299796581268,0.01285938109504059,0.2,-0.0046007633209228516,-0.025074262528505642,1.000618577003479,1223.0,-2.5506425000000004
3584,1,2142,7,0.23291015625,0.0004092704424510632,-0.029738709330558777,96,0.015438971,-44.01080501079559,0.0024666681201779284,0.2,0.014147460460662842,-0.027322738853399642,1.0021847486495972,1223.0,-2.5506425000000004
4096,1,2123,8,0.268798828125,0.0004092704424510632,-0.04407835751771927,112,0.021027671,-44.06071996688843,0.0030729729114682414,0.2,0.007758200168609619,-0.029771335306577384,1.002455234527588,1223.0,-2.548671666666667
4608,2,2109,9,0.323974609375,0.0004092704424510632,-0.02739701047539711,128,0.029126193,-44.04851853847504,0.028129008249379694,0.2,-0.001036524772644043,-0.029282926145242527,1.001845121383667,1223.0,-2.548671666666667
5120,2,2095,10,0.2586669921875,0.0004092704424510632,-0.029478739947080612,144,0.01910086,-44.02026152610779,0.0018287944258190691,0.2,0.02247440814971924,-0.026205618516542017,1.0004812479019165,1223.0,-2.52953825
5632,2,2085,11,0.2901611328125,0.0004092704424510632,-0.014869146049022675,160,0.021619856,-43.98446440696716,0.03846508130664006,0.2,0.0029468536376953125,-0.028339281197986566,1.0000299215316772,1223.0,-2.52953825
6144,2,2075,12,0.2178955078125,0.0004092704424510632,-0.03426326438784599,176,0.01648163,-43.98715126514435,0.0018805154104484245,0.2,0.02630239725112915,-0.02795499563217163,1.0006691217422485,1223.0,-2.5178192
6656,3,2068,13,0.2523193359375,0.0004092704424510632,-0.01874665543437004,192,0.020707093,-44.00677287578583,0.04051999415969476,0.2,0.00916910171508789,-0.024495875783031806,1.001112937927246,1223.0,-2.5178192
7168,3,2062,14,0.2236328125,0.0004092704424510632,-0.03028842993080616,208,0.017341632,-44.03038442134857,0.003251518413890153,0.2,0.13423311710357666,-0.02420985433855094,1.0025646686553955,1223.0,-2.5178192
7680,3,2057,15,0.2811279296875,0.0004092704424510632,-0.053492866456508636,224,0.028566359,-44.06876599788666,0.0029223922465462238,0.2,0.007681131362915039,-0.0335566446010489,1.0029367208480835,1223.0,-2.5089343333333334
8192,3,2051,16,0.2767333984375,0.0004092704424510632,-0.00878889299929142,240,0.022565331,-44.0333057641983,0.05853617226239294,0.2,0.008012592792510986,-0.026504082255996764,1.0007725954055786,1223.0,-2.5089343333333334
8704,4,2047,17,0.22412109375,0.0004092704424510632,-0.026530412957072258,256,0.01905649,-43.96099865436554,0.002539500183047494,0.2,-0.2531648874282837,-0.02484344833646901,0.9984132051467896,1223.0,-2.5080255714285715
9216,4,2043,18,0.2061767578125,0.0004092704424510632,-0.008076097816228867,272,0.020593826,-43.90780735015869,0.0699345531174913,0.2,0.0050351619720458984,-0.022614798581344076,0.9974884390830994,1223.0,-2.5080255714285715
9728,4,2040,19,0.2352294921875,0.0004092704424510632,-0.03857335448265076,288,0.01797996,-43.89390289783478,0.003831929854641203,0.2,0.18591302633285522,-0.02517442629323341,0.997715175151825,1223.0,-2.5080255714285715
10240,5,2038,20,0.19921875,0.0004092704424510632,-0.02138586901128292,304,0.018084839,-43.92105185985565,0.0028557291843753774,0.2,0.011877775192260742,-0.018586010337457992,0.9989091157913208,1223.0,-2.5165265000000003
10752,5,2036,21,0.265380859375,0.0004092704424510632,-0.0017686747014522552,320,0.024917766,-43.93183135986328,0.07682087225839496,0.2,0.011187195777893066,-0.027570599922910333,0.998123288154602,1223.0,-2.5165265000000003
11264,5,2034,22,0.2283935546875,0.0004092704424510632,-0.032317228615283966,336,0.0174098,-43.88652431964874,0.0037720920336141717,0.2,-0.637671709060669,-0.02628755252226256,0.996371865272522,1223.0,-2.5097067777777777
11776,5,2032,23,0.24951171875,0.0004092704424510632,0.0008340850472450256,352,0.027725749,-43.8708975315094,0.0974177464377135,0.2,0.00292128324508667,-0.0327050197229255,0.9980224967002869,1223.0,-2.5097067777777777
12288,6,2030,24,0.2125244140625,0.0004092704424510632,-0.042462822049856186,368,0.01658808,-43.914889335632324,0.002172531392716337,0.2,-0.25300586223602295,-0.025743251550011337,0.9980315566062927,1223.0,-2.5216906000000003
12800,6,2027,25,0.276611328125,0.0004092704424510632,-0.00894944742321968,384,0.024341993,-43.89181983470917,0.07819347712211311,0.2,0.012982428073883057,-0.030301344086183235,0.996992290019989,1223.0,-2.5216906000000003
13312,6,2025,26,0.2562255859375,0.0004092704424510632,-0.03478071093559265,400,0.02195675,-43.86941683292389,0.005062893826107029,0.2,0.2181943655014038,-0.03302485862514004,0.9972490668296814,1223.0,-2.5216906000000003
13824,6,2023,27,0.1800537109375,0.0004092704424510632,-0.030007293447852135,416,0.01373889,-43.87870240211487,0.0034082350102835335,0.2,-0.19454121589660645,-0.02247293942491524,0.9970207810401917,1223.0,-2.5119486363636367
14336,7,2021,28,0.2742919921875,0.0004092704424510632,0.003350690007209778,432,0.033634484,-43.8409777879715,0.0799288732232526,0.2,0.021640479564666748,-0.0339880864485167,0.9946673512458801,1223.0,-2.5119486363636367
14848,7,2019,29,0.246826171875,0.0004092704424510632,-0.04474133253097534,448,0.019044794,-43.783393144607544,0.002944845491583692,0.2,-1.8676135540008545,-0.029862937226425856,0.9942264556884766,1223.0,-2.5096972500000003
15360,7,2017,30,0.279541015625,0.0004092704424510632,-0.011308103799819946,464,0.024383482,-43.782660365104675,0.09311651531606913,0.2,0.04408389329910278,-0.032033810624852777,0.9943594336509705,1223.0,-2.5096972500000003
15872,7,2014,31,0.251953125,0.0004092704424510632,-0.040977150201797485,480,0.01936747,-43.78026592731476,0.007697203822317533,0.2,-0.10210692882537842,-0.030277827187092043,0.9938664436340332,1223.0,-2.5096972500000003
16384,8,2014,32,0.216552734375,0.0004092704424510632,-0.020650550723075867,496,0.016432896,-43.77111041545868,0.014259407063946128,0.2,0.22946131229400635,-0.021763627766631544,0.9937947988510132,1223.0,-2.503953846153846
16896,8,2013,33,0.288330078125,0.0004092704424510632,-0.011087797582149506,512,0.03714029,-43.78346288204193,0.06458268605638295,0.2,0.30800068378448486,-0.03151887877902482,0.9947131276130676,1223.0,-2.503953846153846
17408,8,2012,34,0.2493896484375,0.0004092704424510632,-0.032211627811193466,528,0.021345988,-43.80939328670502,0.004960093356203288,0.2,-1.6029717922210693,-0.02825668250443414,0.9958769679069519,1223.0,-2.516442285714286
17920,8,2011,35,0.24365234375,0.0004092704424510632,0.014435682445764542,544,0.0200499,-43.824357748031616,0.09279526525642723,0.2,0.02874070405960083,-0.019996214759885333,0.9950147867202759,1223.0,-2.516442285714286
18432,9,2010,36,0.2064208984375,0.0004092704424510632,-0.026304950937628746,560,0.0150259575,-43.780982971191406,0.004973820810846519,0.2,-1.5491383075714111,-0.02163347919122316,0.9934857487678528,1223.0,-2.519221866666667
18944,9,2009,37,0.2103271484375,0.0004092704424510632,0.003395944833755493,576,0.021430984,-43.74517369270325,0.09896266949363053,0.2,0.11540210247039795,-0.020699945744127035,0.992595911026001,1223.0,-2.519221866666667
19456,9,2009,38,0.187744140625,0.0004092704424510632,-0.0212791059166193,592,0.01364189,-43.742589592933655,0.005453272300655954,0.2,-0.23173630237579346,-0.02063228629413061,0.9938551783561707,1223.0,-2.519221866666667
19968,9,2008,39,0.22998046875,0.0004092704424510632,-0.04360492527484894,608,0.016127136,-43.78485977649689,0.003247355252824491,0.2,-0.09125328063964844,-0.02311588265001774,0.9945395588874817,1223.0,-2.519081125
20480,10,2008,40,0.21533203125,0.0004092704424510632,0.04994834214448929,624,0.021575497,-43.79126298427582,0.1403227427508682,0.2,0.058950066566467285,-0.018773394025629386,0.9944781064987183,1223.0,-2.519081125
20992,10,2006,41,0.2352294921875,0.0004092704424510632,-0.021685458719730377,640,0.018872416,-43.77839207649231,0.025553700703312643,0.2,-4.013061046600342,-0.02350316973752342,0.9936022162437439,1223.0,-2.5200627647058824
21504,10,2005,42,0.176513671875,0.0004092704424510632,0.008502891287207603,656,0.014124215,-43.753321051597595,0.09085419261828065,0.2,0.36874687671661377,-0.01894243693095632,0.9931608438491821,1223.0,-2.5200627647058824
22016,10,2005,43,0.263916015625,0.0004092704424510632,-0.049604564905166626,672,0.023239436,-43.74815583229065,0.007120144262444228,0.2,-0.3932771682739258,-0.03169970778981224,0.9927566647529602,1223.0,-2.515896
22528,11,2005,44,0.2371826171875,0.0004092704424510632,0.00751604326069355,688,0.020961702,-43.72993326187134,0.08699781959876418,0.2,0.3187876343727112,-0.025736167866853066,0.9924876093864441,1223.0,-2.515896
23040,11,2005,45,0.258056640625,0.0004092704424510632,-0.03495069593191147,704,0.02135653,-43.711631655693054,0.006856891530333087,0.2,-0.31497466564178467,-0.03058716907980852,0.9914215803146362,1223.0,-2.515896
23552,11,2004,46,0.2784423828125,0.0004092704424510632,-0.03648802265524864,720,0.021560472,-43.68912208080292,0.0049775510269682854,0.2,-0.25674331188201904,-0.030134994362015277,0.9914010167121887,1223.0,-2.5153317894736844
24064,12,2003,47,0.2440185546875,0.0004092704424510632,0.0018313303589820862,736,0.023943631,-43.69787812232971,0.09663969511166215,0.2,0.08391302824020386,-0.028340287812170573,0.9913555383682251,1223.0,-2.5153317894736844
24576,12,2002,48,0.1351318359375,0.0004092704424510632,-0.0185057632625103,752,0.010789528,-43.69604289531708,0.017122445889981464,0.2,-1.946561574935913,-0.017134871319285594,0.991597056388855,1223.0,-2.52453385
25088,12,2002,49,0.2181396484375,0.0004092704424510632,-0.003578953444957733,768,0.022009363,-43.69685709476471,0.08457918558269739,0.2,0.1403437852859497,-0.02536180114839226,0.991378128528595,1223.0,-2.52453385
25600,12,2002,50,0.1986083984375,0.0004092704424510632,-0.03220876306295395,784,0.01693971,-43.67505240440369,0.01303459150949493,0.2,-0.3562508821487427,-0.024584697996033356,0.9898664355278015,1223.0,-2.52453385
26112,13,2003,51,0.243896484375,0.0004092704424510632,-0.04707762971520424,800,0.017830161,-43.616153717041016,0.006009930089931004,0.2,-0.6605286598205566,-0.030269955008407123,0.9881147742271423,1223.0,-2.5184586190476193
26624,13,2002,52,0.265869140625,0.0004092704424510632,-0.010792138054966927,816,0.025273511,-43.58431541919708,0.0740661061136052,0.2,0.10680443048477173,-0.02638672296598088,0.988415539264679,1223.0,-2.5184586190476193
27136,13,2001,53,0.185791015625,0.0004092704424510632,-0.031397998332977295,832,0.016996777,-43.59352362155914,0.020152099343249574,0.2,-3.585479259490967,-0.023480681258661207,0.9879769086837769,1223.0,-2.520050772727273
