time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1,4164,0,512,,,,,,,,,,,,,
2,2274,0,1024,-0.04231201857328415,-0.7942668199539185,0.244384765625,0.2,0.0004092704424510632,-0.03267230000346899,0.9992390871047974,0.09864341327920556,16,-43.97973823547363,0.0150972605,,
3,1980,0,1536,-0.028870629146695137,0.016157090663909912,0.2818603515625,0.2,0.0004092704424510632,-0.029354558835620992,0.9985775351524353,0.014004929107613862,32,-43.95249891281128,0.017208733,-2.570292,1258.0
4,1839,1,2048,-0.03133135661482811,-0.009389519691467285,0.3153076171875,0.2,0.0004092704424510632,-0.023619555489858612,0.997027575969696,0.006299662738456391,48,-43.91756296157837,0.020665037,-2.570292,1258.0
5,1776,1,2560,-0.04422064870595932,-0.02639305591583252,0.3072509765625,0.2,0.0004092704424510632,-0.033632754944846965,0.9974482655525208,0.0028323689111857675,64,-43.89438605308533,0.019406114,-2.7430969999999997,1258.0
6,1735,1,3072,-0.033181749284267426,-0.01079559326171875,0.35888671875,0.2,0.0004092704424510632,-0.02829855050367769,0.9971766471862793,0.01529177388874814,80,-43.90006875991821,0.033839393,-2.7430969999999997,1258.0
7,1706,2,3584,-0.04145311191678047,-0.0037097930908203125,0.330810546875,0.2,0.0004092704424510632,-0.03313665161840618,0.998106062412262,0.002756992951617576,96,-43.90534842014313,0.036896452,-2.7430969999999997,1258.0
8,1687,2,4096,-0.03644753247499466,0.014171004295349121,0.3253173828125,0.2,0.0004092704424510632,-0.028176950378110632,0.9975557923316956,0.012913774000480771,112,-43.91626465320587,0.024055975,-2.707013333333333,1258.0
9,1671,2,4608,-0.03688976913690567,0.011095166206359863,0.2906494140625,0.2,0.0004092704424510632,-0.029619132168591022,0.996339738368988,0.025679983547888696,128,-43.886144042015076,0.019923039,-2.707013333333333,1258.0
10,1657,3,5120,-0.03206395357847214,0.04026782512664795,0.318115234375,0.2,0.0004092704424510632,-0.02923501029727049,0.9949246644973755,0.010103140462888405,144,-43.84376347064972,0.030541668,-2.7414194999999997,1258.0
11,1648,3,5632,-0.023768598213791847,0.03748679161071777,0.27783203125,0.2,0.0004092704424510632,-0.026412395614897832,0.9936547875404358,0.03526063001481816,160,-43.80155897140503,0.021044988,-2.7414194999999997,1258.0
12,1640,3,6144,-0.048892173916101456,-0.08781957626342773,0.273193359375,0.2,0.0004092704424510632,-0.029743734456133097,0.9937919974327087,0.002663744551682612,176,-43.779040455818176,0.018606696,-2.7414194999999997,1258.0
13,1630,4,6656,-0.020913016051054,0.07889699935913086,0.2852783203125,0.2,0.0004092704424510632,-0.027039607863116544,0.9952214956283569,0.013882164203096181,192,-43.800646901130676,0.026216496,-2.7731367999999996,1258.0
14,1624,4,7168,-0.022341759875416756,0.054176926612854004,0.2857666015625,0.2,0.0004092704424510632,-0.0319478934397921,0.994668185710907,0.04490939906099811,208,-43.826027512550354,0.02949451,-2.7731367999999996,1258.0
15,1620,4,7680,-0.035966452211141586,0.14622104167938232,0.2933349609375,0.2,0.0004092704424510632,-0.030196486637578346,0.9932657480239868,0.006948845126316883,224,-43.78750801086426,0.024456466,-2.7617151666666664,1258.0
16,1614,5,8192,-0.017523016780614853,0.17614233493804932,0.2327880859375,0.2,0.0004092704424510632,-0.022633421365753748,0.9947590827941895,0.04260375926969573,240,-43.78348958492279,0.018173672,-2.7617151666666664,1258.0
17,1611,5,8704,-0.028751809149980545,-0.7401045560836792,0.206787109375,0.2,0.0004092704424510632,-0.02187111266539432,0.9950230121612549,0.006908909730555024,256,-43.81907868385315,0.012740178,-2.7617151666666664,1258.0
18,1608,5,9216,-0.03059111349284649,0.008917748928070068,0.267578125,0.2,0.0004092704424510632,-0.02769052720395848,0.9927012920379639,0.010131151604582556,272,-43.78878045082092,0.019083444,-2.7375062857142853,1258.0
19,1605,6,9728,0.005455952137708664,0.015594184398651123,0.251953125,0.2,0.0004092704424510632,-0.022200190869625658,0.9908099174499512,0.08330249367281795,288,-43.71331608295441,0.020755697,-2.7375062857142853,1258.0
20,1602,6,10240,-0.028444664552807808,-0.8486249446868896,0.2218017578125,0.2,0.0004092704424510632,-0.026206101174466312,0.9910873770713806,0.007745228940621018,304,-43.6879768371582,0.014792999,-2.7180915,1258.0
21,1600,6,10752,-0.01949874311685562,0.08228009939193726,0.3109130859375,0.2,0.0004092704424510632,-0.031750383946928196,0.9912450909614563,0.06925014778971672,320,-43.70012354850769,0.020977728,-2.7180915,1258.0
22,1592,7,11264,-0.021784963086247444,-0.8968549966812134,0.2060546875,0.2,0.0004092704424510632,-0.02111834783863742,0.9885896444320679,0.006671403541986365,336,-43.66571617126465,0.015171933,-2.7180915,1258.0
23,1589,7,11776,-0.03106832131743431,0.12295699119567871,0.2750244140625,0.2,0.0004092704424510632,-0.02552122072665952,0.9870562553405762,0.012726578977890313,352,-43.586191058158875,0.021343617,-2.7298906666666665,1258.0
24,1587,7,12288,-0.013909965753555298,0.2545565366744995,0.23876953125,0.2,0.0004092704424510632,-0.01969704165821895,0.9855373501777649,0.07064247532980517,368,-43.544132113456726,0.026248029,-2.7298906666666665,1258.0
25,1584,8,12800,-0.03438807278871536,-1.4567503929138184,0.2774658203125,0.2,0.0004092704424510632,-0.03135691017087083,0.9847493767738342,0.016027129779104143,384,-43.496867060661316,0.024968628,-2.7046878999999997,1258.0
