time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
1,4322,0,512,,,,,,,,,,,,,
2,2471,0,1024,-0.03211554139852524,0.0004092704424510632,1.000248670578003,0.2,-0.887714147567749,0.22728378356259782,0.015222166,-0.03170488472096622,16,-43.9914391040802,0.2283935546875,,
3,2177,0,1536,-0.03654387965798378,0.0004092704424510632,1.0006754398345947,0.2,-0.00055694580078125,0.013248329138150439,0.027054418,-0.02993805099686142,32,-43.99816679954529,0.323974609375,-3.313136,1258.0
4,2068,0,2048,-0.03954201191663742,0.0004092704424510632,1.0007075071334839,0.2,0.0033475756645202637,0.006542765418998897,0.023259167,-0.03246600818238221,48,-44.00669753551483,0.26806640625,-3.313136,1258.0
5,2028,1,2560,-0.031125999987125397,0.0004092704424510632,1.0007902383804321,0.2,0.0022239089012145996,0.008085434572421946,0.025238533,-0.02829780534375459,64,-44.00791943073273,0.325927734375,-3.193836,1258.0
6,1991,1,3072,-0.02738005295395851,0.0004092704424510632,1.0007611513137817,0.2,0.0011045336723327637,0.010154142626561224,0.015897822,-0.026407187193399295,80,-44.00769340991974,0.275634765625,-3.193836,1258.0
7,1963,1,3584,-0.03679561987519264,0.0004092704424510632,0.999692440032959,0.2,0.0008872151374816895,0.009156983986031264,0.020777699,-0.028472626639995724,96,-43.99389314651489,0.2935791015625,-3.193836,1258.0
8,1947,2,4096,-0.03277736157178879,0.0004092704424510632,1.000522255897522,0.2,0.00917351245880127,0.002632444306073012,0.015048593,-0.023377311212243512,112,-43.97696387767792,0.2271728515625,-3.181035666666667,1258.0
9,1934,2,4608,-0.005047681741416454,0.0004092704424510632,1.0009534358978271,0.2,0.0016117095947265625,0.020242999453330413,0.017297924,-0.02324093077913858,128,-44.00466561317444,0.269287109375,-3.181035666666667,1258.0
10,1927,2,5120,-0.024617765098810196,0.0004092704424510632,0.9991630911827087,0.2,0.0017513036727905273,0.018588052276754752,0.01738923,-0.027906552131753415,144,-43.984108090400696,0.26953125,-3.2059010000000003,1258.0
11,1921,2,5632,-0.019277745857834816,0.0004092704424510632,0.9973074197769165,0.2,0.00015783309936523438,0.032317183911800385,0.021584658,-0.028368190163746476,160,-43.92540764808655,0.2965087890625,-3.2059010000000003,1258.0
12,1915,3,6144,-0.03027155064046383,0.0004092704424510632,0.9954355359077454,0.2,0.0017918944358825684,0.009854386255028658,0.018690431,-0.02488844746403629,176,-43.86175537109375,0.226806640625,-3.2059010000000003,1258.0
