time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/std,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
512,3967,1,0,,,,,,,,,,,,,
1024,1889,2,0,-43.97443747520447,0.999173104763031,16,0.016185451,-0.028581270948052406,0.0004092704424510632,0.23350151028716937,0.2,-0.2549172639846802,-0.026914798232610337,0.255859375,,
1536,1623,3,0,-43.948487639427185,0.9984210133552551,32,0.014792619,-0.02716662362217903,0.0004092704424510632,0.004684777857619338,0.2,0.0017577409744262695,-0.022629079379839823,0.204345703125,-2.964388,1257.0
2048,1522,4,1,-43.9143807888031,0.9968317747116089,48,0.017648868,-0.02325022965669632,0.0004092704424510632,0.0031420004306710325,0.2,-0.0006364583969116211,-0.028994611115194857,0.2957763671875,-2.964388,1257.0
2560,1461,5,1,-43.88327634334564,0.9969420433044434,64,0.033811495,-0.04048650711774826,0.0004092704424510632,0.006198885923367925,0.2,-0.0009438991546630859,-0.029528054525144398,0.38623046875,-2.9524635,1257.0
3072,1424,6,2,-43.87599170207977,0.9956475496292114,80,0.025770288,-0.034237008541822433,0.0004092704424510632,0.010735092160757631,0.2,-0.002988457679748535,-0.030906953870726284,0.3336181640625,-2.9524635,1257.0
3584,1401,7,2,-43.853416323661804,0.9963257908821106,96,0.027440779,-0.04286016896367073,0.0004092704424510632,0.010713789670262486,0.2,2.378225326538086e-05,-0.032660291995853186,0.3568115234375,-2.9524635,1257.0
4096,1378,8,2,-43.88250935077667,0.9971947073936462,112,0.0125792045,-0.02257811836898327,0.0004092704424510632,0.004536554879450705,0.2,0.0017827749252319336,-0.023602059263794217,0.224609375,-2.979643333333333,1257.0
4608,1365,9,3,-43.896443605422974,0.9970463514328003,128,0.026157424,-0.009751932695508003,0.0004092704424510632,0.03199523879447952,0.2,-0.0005403757095336914,-0.029569642327260226,0.3123779296875,-2.979643333333333,1257.0
5120,1356,10,3,-43.894460916519165,0.9973503351211548,144,0.015255044,-0.04089469835162163,0.0004092704424510632,0.0022051212763471995,0.2,0.003238976001739502,-0.0265808257390745,0.255126953125,-2.96947775,1257.0
5632,1349,11,4,-43.88111937046051,0.995798647403717,160,0.020736557,-0.02864004112780094,0.0004092704424510632,0.026373246335424483,0.2,-0.0008341073989868164,-0.02756167421466671,0.284423828125,-2.96947775,1257.0
6144,1343,12,4,-43.84044671058655,0.9955798387527466,176,0.027229303,-0.03651881963014603,0.0004092704424510632,0.011296540295006707,0.2,0.000809013843536377,-0.030012518938747235,0.3310546875,-2.96947775,1257.0
6656,1336,13,4,-43.83810234069824,0.9951852560043335,192,0.018334735,-0.033630065619945526,0.0004092704424510632,0.005167509458260611,0.2,0.0014767050743103027,-0.028636173519771546,0.306640625,-2.9516348,1257.0
7168,1333,14,5,-43.82906746864319,0.9953234791755676,208,0.021963742,-0.001626811921596527,0.0004092704424510632,0.05570735386572778,0.2,1.7940998077392578e-05,-0.031604635558323935,0.317626953125,-2.9516348,1257.0
7680,1324,15,5,-43.81519269943237,0.9936139583587646,224,0.023054525,-0.031065793707966805,0.0004092704424510632,0.0031970666932465974,0.2,-0.00033032894134521484,-0.02978266317222733,0.3282470703125,-2.957748666666667,1257.0
8192,1319,16,6,-43.75415074825287,0.9923679232597351,240,0.0191264,-0.005275309085845947,0.0004092704424510632,0.04935776616912335,0.2,-9.894371032714844e-05,-0.02514478244120255,0.294921875,-2.957748666666667,1257.0
8704,1312,17,6,-43.73426163196564,0.9921746850013733,256,0.021371935,-0.03347465768456459,0.0004092704424510632,0.015312185772927478,0.2,0.0008290410041809082,-0.02863189732306637,0.324462890625,-2.957748666666667,1257.0
9216,1288,18,7,-43.723973512649536,0.9913771748542786,272,0.017782377,-0.03518560901284218,0.0004092704424510632,0.004880871761997696,0.2,0.003084540367126465,-0.028768068470526487,0.2823486328125,-2.970434,1257.0
