time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
4030,1,0,512,,,,,,,,,,,,,
1923,2,0,1024,-43.97176551818848,0.9991695880889893,-0.040545862168073654,-0.035042804476688616,-0.35718631744384766,0.021731295,0.0004092704424510632,16,0.08929592274944298,0.2,0.3050537109375,,
1633,3,0,1536,-43.9796484708786,1.0006849765777588,-0.04467516764998436,-0.032584580389084294,-0.03153395652770996,0.018648393,0.0004092704424510632,32,0.005160741195140872,0.2,0.2872314453125,1257.0,-3.053906
1532,4,1,2048,-43.99856746196747,0.9998485445976257,-0.041545964777469635,-0.03718682864564471,-0.005213618278503418,0.028788473,0.0004092704424510632,48,0.016403621586505324,0.2,0.36962890625,1257.0,-3.053906
1466,5,1,2560,-43.939361333847046,0.9970169067382812,-0.0255223847925663,-0.024377437599468976,0.00739365816116333,0.014455833,0.0004092704424510632,64,0.005203396387514658,0.2,0.22802734375,1257.0,-3.1668795000000003
1434,6,2,3072,-43.88933062553406,0.9974042177200317,-0.021009456366300583,-0.023362211824860424,-0.0005006790161132812,0.019083403,0.0004092704424510632,80,0.011357159033650532,0.2,0.28271484375,1257.0,-3.1668795000000003
1408,7,2,3584,-43.9181250333786,0.9983207583427429,-0.04265550523996353,-0.03148668602807447,0.022869527339935303,0.023136042,0.0004092704424510632,96,0.0029411321265797596,0.2,0.30908203125,1257.0,-3.1668795000000003
1390,8,2,4096,-43.91222310066223,0.9966795444488525,-0.04462149366736412,-0.03301092144101858,-0.013948202133178711,0.021574065,0.0004092704424510632,112,0.003863080681185238,0.2,0.3062744140625,1257.0,-3.1143916666666667
1377,9,3,4608,-43.82620358467102,0.993049144744873,-0.030605727806687355,-0.030233886936912313,-0.0019501447677612305,0.02739261,0.0004092704424510632,128,0.029883360024541616,0.2,0.3369140625,1257.0,-3.1143916666666667
1360,10,3,5120,-43.7282612323761,0.9909827709197998,-0.029737038537859917,-0.02606347799883224,0.001551508903503418,0.017363314,0.0004092704424510632,144,0.005085045835585333,0.2,0.2705078125,1257.0,-3.0937985
1351,11,4,5632,-43.70108997821808,0.9913998246192932,-0.00954759493470192,-0.022894158915732987,-0.0002942085266113281,0.020234045,0.0004092704424510632,160,0.04837930994108319,0.2,0.260986328125,1257.0,-3.0937985
1344,12,4,6144,-43.711989521980286,0.9912841320037842,-0.03233861178159714,-0.028537664038594812,0.002522766590118408,0.018471263,0.0004092704424510632,176,0.0036477018511504866,0.2,0.2928466796875,1257.0,-3.0937985
1339,13,4,6656,-43.7059907913208,0.9915005564689636,-0.03217848390340805,-0.0284933125731186,-0.0008333921432495117,0.024770476,0.0004092704424510632,192,0.002985059989441652,0.2,0.30908203125,1257.0,-3.0868130000000003
1335,14,5,7168,-43.72469472885132,0.9922060966491699,-0.006223008036613464,-0.024092130217468366,0.0009409189224243164,0.018976957,0.0004092704424510632,208,0.06354512157849967,0.2,0.24853515625,1257.0,-3.0868130000000003
1330,15,5,7680,-43.73107600212097,0.9922189116477966,-0.03485238924622536,-0.02693342037673574,0.013895392417907715,0.021218788,0.0004092704424510632,224,0.005930179380811751,0.2,0.2578125,1257.0,-3.0976071666666667
1328,16,6,8192,-43.73926758766174,0.9922000765800476,-0.0016272757202386856,-0.027856337634148076,0.004098057746887207,0.03343777,0.0004092704424510632,240,0.07490067277103662,0.2,0.3074951171875,1257.0,-3.0976071666666667
