time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
4009,0,1,512,,,,,,,,,,,,,
2804,0,2,1024,0.2061767578125,0.19367413940562983,0.0004092704424510632,-1.2885024547576904,16,0.2,-43.98911428451538,-0.0403258241713047,-0.026245973785989918,0.011598363,0.9999921321868896,,
2310,0,3,1536,0.2608642578125,0.003770093484490644,0.0004092704424510632,-0.1342219114303589,32,0.2,-43.982057332992554,-0.043804485350847244,-0.028255504876142368,0.016628128,0.9998549818992615,-2.10351,1258.0
2124,0,4,2048,0.2515869140625,0.008729142136871815,0.0004092704424510632,-0.008941054344177246,48,0.2,-43.991132974624634,-0.03545977920293808,-0.02417638199403882,0.015561787,1.000693678855896,-2.10351,1258.0
2026,1,5,2560,0.2567138671875,0.0018060358361253748,0.0004092704424510632,-0.001270890235900879,64,0.2,-44.01506447792053,-0.03820682689547539,-0.027556399363675155,0.017984122,1.0012916326522827,-1.978883,1258.0
1933,1,6,3072,0.2818603515625,0.005444784066639841,0.0004092704424510632,-0.010562658309936523,80,0.2,-44.047908782958984,-0.04151812568306923,-0.028879544115625322,0.021071486,1.0028635263442993,-1.978883,1258.0
1901,1,7,3584,0.3076171875,0.0018635096748766955,0.0004092704424510632,0.0008637309074401855,96,0.2,-44.097288370132446,-0.048002567142248154,-0.03390193774248473,0.020666622,1.0044279098510742,-1.978883,1258.0
1914,2,8,4096,0.302001953125,0.00391170552757103,0.0004092704424510632,0.00957190990447998,112,0.2,-44.116114258766174,-0.04820897430181503,-0.03313712512317579,0.019976597,1.0038907527923584,-1.9790943333333333,1258.0
1876,2,9,4608,0.3045654296875,0.00153131098159065,0.0004092704424510632,0.006543278694152832,128,0.2,-44.07506763935089,-0.03875357285141945,-0.026685361517593265,0.024567526,1.0021315813064575,-1.9790943333333333,1258.0
1863,2,10,5120,0.30859375,0.003615470246586483,0.0004092704424510632,0.04170256853103638,144,0.2,-44.03544294834137,-0.045750007033348083,-0.028900960234750528,0.025928533,1.0016049146652222,-2.01274675,1258.0
1831,3,11,5632,0.2896728515625,0.0022458309613284655,0.0004092704424510632,0.0019528865814208984,160,0.2,-44.00796711444855,-0.04390016198158264,-0.028740805486449972,0.02493209,1.0000075101852417,-2.01274675,1258.0
1808,3,12,6144,0.2491455078125,0.0023064812303346116,0.0004092704424510632,-0.020625829696655273,176,0.2,-43.953238129615784,-0.03850236162543297,-0.027091694675618783,0.01714617,0.9982901811599731,-2.01274675,1258.0
1799,3,13,6656,0.2369384765625,0.004316546728659887,0.0004092704424510632,0.03414773941040039,192,0.2,-43.94337296485901,-0.02420174889266491,-0.02716256436542608,0.019931098,0.9999275207519531,-2.0134408,1258.0
1796,3,14,7168,0.265625,0.006636237492784858,0.0004092704424510632,0.02020508050918579,208,0.2,-43.949138045310974,-0.04006483033299446,-0.026894318143604323,0.020218242,0.9970951080322266,-2.0134408,1258.0
1791,4,15,7680,0.292724609375,0.004375639182399027,0.0004092704424510632,0.14053022861480713,224,0.2,-43.89556109905243,-0.04516655579209328,-0.02830923008150421,0.019855253,0.9988430142402649,-2.0420123333333335,1258.0
1788,4,16,8192,0.2579345703125,0.00983907573390752,0.0004092704424510632,0.03661704063415527,240,0.2,-43.96586847305298,-0.03443565592169762,-0.02702022230369039,0.018660167,0.9998382925987244,-2.0420123333333335,1258.0
1783,4,17,8704,0.23779296875,0.001949722474819282,0.0004092704424510632,0.14574265480041504,256,0.2,-43.97710609436035,-0.040420543402433395,-0.02502492723579053,0.015132863,1.0006170272827148,-2.0420123333333335,1258.0
1779,5,18,9216,0.2601318359375,0.002655536311067408,0.0004092704424510632,0.13393664360046387,272,0.2,-43.99526810646057,-0.03676118329167366,-0.02749565994599834,0.016491737,1.0003901720046997,-2.0569272857142855,1258.0
1779,5,19,9728,0.27197265625,0.015789247205248103,0.0004092704424510632,0.094684898853302,288,0.2,-43.98093843460083,-0.02947390079498291,-0.028968015962163918,0.022110328,1.0000733137130737,-2.0569272857142855,1258.0
1777,5,20,10240,0.3331298828125,0.002273871265060734,0.0004092704424510632,0.62916100025177,304,0.2,-43.98010277748108,-0.055890291929244995,-0.03693519992521033,0.030249054,1.0001928806304932,-2.066234875,1258.0
1791,6,21,10752,0.2078857421875,0.016435017139883712,0.0004092704424510632,0.33564066886901855,320,0.2,-44.00321877002716,-0.023856734856963158,-0.020978736778488383,0.01584664,1.0020170211791992,-2.066234875,1258.0
1804,6,22,11264,0.2452392578125,0.0028373339227982797,0.0004092704424510632,-0.05048036575317383,336,0.2,-44.049561500549316,-0.042842451483011246,-0.025400810831342824,0.018011328,1.0029808282852173,-2.066234875,1258.0
1800,6,23,11776,0.30517578125,0.0021030303032603115,0.0004092704424510632,0.38990533351898193,352,0.2,-44.066039085388184,-0.038811005651950836,-0.03364991824491881,0.023515237,1.0030796527862549,-2.061782444444445,1258.0
1794,6,24,12288,0.30615234375,0.021025224879849702,0.0004092704424510632,0.19036120176315308,368,0.2,-44.04775381088257,-0.031310394406318665,-0.028262254578294232,0.02658385,1.0018082857131958,-2.061782444444445,1258.0
1792,7,25,12800,0.2249755859375,0.007805582616128959,0.0004092704424510632,0.23625928163528442,384,0.2,-44.02231442928314,-0.028827881440520287,-0.024497439204424154,0.015089886,1.0021363496780396,-2.066135,1258.0
1789,7,26,13312,0.2218017578125,0.0223025695013348,0.0004092704424510632,0.46723800897598267,400,0.2,-44.03086245059967,-0.013738353736698627,-0.022045127931050956,0.017734043,1.0017578601837158,-2.066135,1258.0
1787,7,27,13824,0.21826171875,0.0027394240878493292,0.0004092704424510632,-3.6058506965637207,416,0.2,-43.998688101768494,-0.02649354189634323,-0.022316203045193106,0.018057574,1.000241994857788,-2.066135,1258.0
1786,8,28,14336,0.1986083984375,0.0037500845719478093,0.0004092704424510632,0.5260435342788696,432,0.2,-43.95378935337067,-0.029449503868818283,-0.019961317229899578,0.01520258,0.9993544220924377,-2.084672909090909,1258.0
1785,8,29,14848,0.2947998046875,0.01840126162278466,0.0004092704424510632,0.248182475566864,448,0.2,-43.95027554035187,-0.021459616720676422,-0.026511430463870056,0.034654967,0.9999938011169434,-2.084672909090909,1258.0
1782,8,30,15360,0.22900390625,0.006726962412358262,0.0004092704424510632,-0.307342529296875,464,0.2,-43.96644997596741,-0.03761602193117142,-0.027141749727888964,0.02233307,1.000167727470398,-2.1154566666666668,1258.0
1780,8,31,15872,0.233642578125,0.023089178081136197,0.0004092704424510632,0.3946836590766907,480,0.2,-43.96778583526611,-0.033794041723012924,-0.02558509958907962,0.019017443,0.999930202960968,-2.1154566666666668,1258.0
1779,9,32,16384,0.2742919921875,0.0018909660411736695,0.0004092704424510632,-2.412156343460083,496,0.2,-43.965845584869385,-0.027259137481451035,-0.02512312532053329,0.020667545,1.0009397268295288,-2.1201538461538463,1258.0
1777,9,33,16896,0.237548828125,0.04376683651935309,0.0004092704424510632,0.09955495595932007,512,0.2,-44.01056742668152,-0.021155357360839844,-0.023939809179864824,0.01850348,1.0024454593658447,-2.1201538461538463,1258.0
1776,9,34,17408,0.2000732421875,0.0021761840234830743,0.0004092704424510632,-1.7016441822052002,528,0.2,-44.04689061641693,-0.03243029862642288,-0.02200615598121658,0.015672551,1.0033758878707886,-2.1201538461538463,1258.0
