time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
0,512,4055,1,,,,,,,,,,,,,
0,1024,2382,2,-0.02990513772238046,0.11244211403027293,-1.5759713649749756,0.2,-44.0232720375061,-0.027544528245925903,1.0023218393325806,0.0004092704424510632,0.018026844,16,0.232177734375,,
0,1536,2143,3,-0.032780838999315165,0.0036335362019599415,0.002826869487762451,0.2,-44.07724046707153,-0.042870812118053436,1.0034362077713013,0.0004092704424510632,0.02001277,32,0.290283203125,1257.0,-2.506507
1,2048,2025,4,-0.02890679403208196,0.022638272785115987,0.001831650733947754,0.2,-44.07830572128296,-0.019328992813825607,1.0022720098495483,0.0004092704424510632,0.017260246,48,0.303466796875,1257.0,-2.506507
1,2560,1954,5,-0.028450306548620574,0.003190303050359944,0.0396384596824646,0.2,-44.03706169128418,-0.03969689458608627,1.0010154247283936,0.0004092704424510632,0.017611135,64,0.25341796875,1257.0,-2.4770445
1,3072,1908,6,-0.025871492412989028,0.03399960132082924,-0.0198824405670166,0.2,-44.000879764556885,-0.018503963947296143,1.0000475645065308,0.0004092704424510632,0.018015526,80,0.2667236328125,1257.0,-2.4770445
1,3584,1887,7,-0.027903778114705347,0.005178112274734303,-0.002719402313232422,0.2,-43.95921564102173,-0.031203536316752434,0.9983713626861572,0.0004092704424510632,0.016911134,96,0.2149658203125,1257.0,-2.4770445
2,4096,1860,8,-0.029052139609120786,0.0040681310565560125,-0.0017392635345458984,0.2,-43.91769731044769,-0.04086514934897423,0.9976412057876587,0.0004092704424510632,0.02361331,112,0.2921142578125,1257.0,-2.4475336666666667
2,4608,1835,9,-0.03080992231843993,0.04677146894391626,0.002116680145263672,0.2,-43.903658986091614,-0.013991419225931168,0.9971588850021362,0.0004092704424510632,0.025545033,128,0.3248291015625,1257.0,-2.4475336666666667
2,5120,1819,10,-0.028431669605197385,0.0019878836938005406,0.019787132740020752,0.2,-43.8787055015564,-0.03434149920940399,0.9962792992591858,0.0004092704424510632,0.014670996,144,0.2513427734375,1257.0,-2.4585515
3,5632,1812,11,-0.03040045367379207,0.05143773718737066,0.002206087112426758,0.2,-43.84364950656891,-0.009560288861393929,0.9948614835739136,0.0004092704424510632,0.019883014,160,0.302734375,1257.0,-2.4585515
3,6144,1807,12,-0.026238516060402617,0.0038075815100455657,-0.029553890228271484,0.2,-43.80500400066376,-0.03707888349890709,0.9943291544914246,0.0004092704424510632,0.0148685705,176,0.2396240234375,1257.0,-2.4585515
3,6656,1801,13,-0.02565047945245169,0.0049482582180644386,-0.000632166862487793,0.2,-43.797662019729614,-0.02340850606560707,0.9939613938331604,0.0004092704424510632,0.015033416,192,0.2296142578125,1257.0,-2.4610028
