time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,3938,1,,,,,,,,,,,,,
1024,0,1848,2,0.2,0.019261166,-0.0320010781288147,0.25634765625,-43.971983194351196,16,0.0004092704424510632,0.9987992644309998,-0.033292137799435295,0.15055138460593298,-0.7955822944641113,,
1536,0,1577,3,0.2,0.018722214,-0.03383827954530716,0.2532958984375,-43.92614185810089,32,0.0004092704424510632,0.997475802898407,-0.03141262897406705,0.003096917978837155,0.009988009929656982,1257.0,-2.413728
2048,1,1463,4,0.2,0.019285249,-0.018831929191946983,0.3094482421875,-43.89499294757843,48,0.0004092704424510632,0.9966605305671692,-0.026242188294418156,0.020072854298632592,-0.005285739898681641,1257.0,-2.413728
2560,1,1399,5,0.2,0.016408142,-0.04072074592113495,0.249755859375,-43.899033546447754,64,0.0004092704424510632,0.9983447194099426,-0.028070878121070564,0.004633640113752335,-0.0016831159591674805,1257.0,-2.4437245
3072,2,1362,6,0.2,0.0139997285,-0.018386393785476685,0.2642822265625,-43.951929450035095,80,0.0004092704424510632,0.9991632699966431,-0.025052918150322512,0.02869473199825734,-0.0015472173690795898,1257.0,-2.4437245
3584,2,1338,7,0.2,0.02039879,-0.043992944061756134,0.3037109375,-43.96572256088257,96,0.0004092704424510632,0.9997977018356323,-0.0321947003249079,0.0026859725621761754,-0.004383087158203125,1257.0,-2.4437245
4096,3,1317,8,0.2,0.01670736,-0.032042596489191055,0.2552490234375,-43.987520933151245,112,0.0004092704424510632,1.000656008720398,-0.02700760422158055,0.003285706668975763,0.0013806819915771484,1257.0,-2.492722666666667
4608,3,1306,9,0.2,0.02015232,-0.002444598823785782,0.2470703125,-44.01279675960541,128,0.0004092704424510632,1.0011621713638306,-0.020091481375857256,0.04242272686678916,-0.0009403228759765625,1257.0,-2.492722666666667
5120,3,1295,10,0.2,0.0135411015,-0.02623995952308178,0.21044921875,-44.02480137348175,144,0.0004092704424510632,1.0019341707229614,-0.020959549176041037,0.004431114255567081,-0.018661022186279297,1257.0,-2.4945925
5632,4,1289,11,0.2,0.021609608,-0.007471224293112755,0.262451171875,-44.05943238735199,160,0.0004092704424510632,1.0031830072402954,-0.02525155797775369,0.05048794997856021,0.0004966259002685547,1257.0,-2.4945925
6144,4,1283,12,0.2,0.01667834,-0.04148014262318611,0.267578125,-44.07198512554169,176,0.0004092704424510632,1.0026535987854004,-0.030754115752642974,0.0023134790571930353,-0.034729599952697754,1257.0,-2.4945925
6656,5,1278,13,0.2,0.012699697,-0.0277656689286232,0.16748046875,-44.07942008972168,192,0.0004092704424510632,1.0044983625411987,-0.019918272642826196,0.0027275805186945945,-0.005339384078979492,1257.0,-2.4782762
7168,5,1273,14,0.2,0.024366379,-0.01178973913192749,0.2957763671875,-44.11246883869171,208,0.0004092704424510632,1.0040383338928223,-0.02744554322271142,0.06317525112535805,0.0012308955192565918,1257.0,-2.4782762
7680,6,1269,15,0.2,0.014216976,-0.04505108669400215,0.2056884765625,-44.07883620262146,224,0.0004092704424510632,1.0028941631317139,-0.025468401523539796,0.0037321030467865057,-0.07904064655303955,1257.0,-2.4887141666666666
8192,6,1266,16,0.2,0.029738849,-0.014633655548095703,0.319580078125,-44.04484212398529,240,0.0004092704424510632,1.0019235610961914,-0.035094187391223386,0.06569694122299552,0.0017738938331604004,1257.0,-2.4887141666666666
8704,6,1263,17,0.2,0.016740978,-0.03791292756795883,0.2733154296875,-44.026883125305176,256,0.0004092704424510632,1.0021992921829224,-0.029274864034960046,0.0027488352134241723,-0.1915278434753418,1257.0,-2.4887141666666666
9216,7,1260,18,0.2,0.011506969,-0.031440816819667816,0.184814453125,-44.012418031692505,272,0.0004092704424510632,1.0003376007080078,-0.01943379096337594,0.0021355353346734773,-0.0007272958755493164,1257.0,-2.4681514285714283
9728,7,1251,19,0.2,0.022273418,0.005318105220794678,0.2904052734375,-43.939677476882935,288,0.0004092704424510632,0.9983838200569153,-0.029460135148838162,0.08794642135035247,0.001232743263244629,1257.0,-2.4681514285714283
10240,8,1245,20,0.2,0.013878372,-0.02538387104868889,0.210693359375,-43.893762826919556,304,0.0004092704424510632,0.9973665475845337,-0.023115885531296954,0.003936529166821856,-0.016388416290283203,1257.0,-2.462376125
10752,8,1243,21,0.2,0.024888527,0.003631182014942169,0.294677734375,-43.86088275909424,320,0.0004092704424510632,0.9958488941192627,-0.026733093633083627,0.08216121781151742,0.008476674556732178,1257.0,-2.462376125
11264,9,1241,22,0.2,0.013857715,-0.02445785515010357,0.207763671875,-43.842626214027405,336,0.0004092704424510632,0.9973471164703369,-0.02228893262508791,0.0033595128224988002,-0.6414391994476318,1257.0,-2.462376125
11776,9,1240,23,0.2,0.014812235,-0.04215298965573311,0.2325439453125,-43.880807876586914,352,0.0004092704424510632,0.9969971776008606,-0.023744787729810923,0.0024828279128996655,0.00579524040222168,1257.0,-2.4666605555555554
