time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
1,3986,0,512,,,,,,,,,,,,,
2,2717,0,1024,-0.05104351416230202,0.0004092704424510632,-0.02806494539254345,0.09468143362391856,0.2,0.2559814453125,-43.98828661441803,-0.7457395792007446,16,0.015860327,0.9999181032180786,,
3,2477,0,1536,-0.036958687007427216,0.0004092704424510632,-0.03055537139880471,0.005140589775692206,0.2,0.288818359375,-43.97856557369232,-0.014666914939880371,32,0.017524187,0.9996058344841003,1258.0,-2.843162
4,2374,0,2048,-0.029935967177152634,0.0004092704424510632,-0.029052489800960757,0.004620817460818216,0.2,0.2659912109375,-43.96537625789642,0.02509230375289917,48,0.017737161,0.9989950060844421,1258.0,-2.843162
5,2311,1,2560,-0.033235128968954086,0.0004092704424510632,-0.030894263822119683,0.007290890978765674,0.2,0.3021240234375,-43.929275035858154,0.022196412086486816,64,0.01875055,0.9974892735481262,1258.0,-2.91539
6,2272,1,3072,-0.010068222880363464,0.0004092704424510632,-0.019684564031194896,0.0061290881130844355,0.2,0.1878662109375,-43.88827741146088,0.00874030590057373,80,0.01294701,0.9963003396987915,1258.0,-2.91539
7,2243,1,3584,-0.04577725753188133,0.0004092704424510632,-0.030333701812196523,0.005874403257621452,0.2,0.2821044921875,-43.85701322555542,0.007807672023773193,96,0.020920716,0.9957883358001709,1258.0,-2.91539
8,2222,1,4096,-0.02471270225942135,0.0004092704424510632,-0.023336243204539642,0.002623927801323589,0.2,0.2083740234375,-43.86120927333832,0.04657381772994995,112,0.016654044,0.9966138005256653,1258.0,-2.8537956666666666
9,2206,2,4608,-0.038742873817682266,0.0004092704424510632,-0.02698244509520009,0.01507601499906741,0.2,0.2547607421875,-43.87806010246277,0.005014181137084961,128,0.01902476,0.9965565204620361,1258.0,-2.8537956666666666
10,2193,2,5120,-0.033557504415512085,0.0004092704424510632,-0.021379375539254397,0.004853199316130485,0.2,0.2447509765625,-43.871437668800354,0.05828768014907837,144,0.015882589,0.9964529275894165,1258.0,-2.817917
11,2178,2,5632,-0.030202127993106842,0.0004092704424510632,-0.02427222976984922,0.0225729500525631,0.2,0.2535400390625,-43.85564470291138,0.009301483631134033,160,0.017013283,0.9954349398612976,1258.0,-2.817917
12,2168,2,6144,-0.030438251793384552,0.0004092704424510632,-0.025485956022748724,0.004300227592466399,0.2,0.29052734375,-43.844937324523926,0.2223109006881714,176,0.024152696,0.9966415166854858,1258.0,-2.817917
13,2160,3,6656,-0.027880987152457237,0.0004092704424510632,-0.021665438049240038,0.0027749207329179626,0.2,0.21728515625,-43.88815104961395,0.12326359748840332,192,0.01746648,0.997491717338562,1258.0,-2.7861938000000004
14,2153,3,7168,-0.009852787479758263,0.0004092704424510632,-0.02624766161898151,0.03685814666096121,0.2,0.2825927734375,-43.89459812641144,0.006897449493408203,208,0.017953288,0.9974161982536316,1258.0,-2.7861938000000004
15,2134,3,7680,-0.0367937833070755,0.0004092704424510632,-0.028631273424252868,0.005538647666980978,0.2,0.3004150390625,-43.90159463882446,0.17700165510177612,224,0.020818064,0.9982019662857056,1258.0,-2.7489243333333335
16,2119,3,8192,-0.014292113482952118,0.0004092704424510632,-0.023473579669371247,0.04036769439699128,0.2,0.266357421875,-43.924341797828674,0.05059939622879028,240,0.020574901,0.9985782504081726,1258.0,-2.7489243333333335
17,2113,4,8704,-0.03744214028120041,0.0004092704424510632,-0.02639977604849264,0.003937585555831902,0.2,0.2294921875,-43.93647611141205,0.5306997299194336,256,0.017074531,0.9993178248405457,1258.0,-2.7489243333333335
18,2111,4,9216,-0.03266485780477524,0.0004092704424510632,-0.027004173723980784,0.0034884502820204943,0.2,0.274658203125,-43.95391261577606,0.019070684909820557,272,0.017675214,0.9999187588691711,1258.0,-2.7646007142857143
19,2109,4,9728,-0.026199711486697197,0.0004092704424510632,-0.025381057377671823,0.0453291010344401,0.2,0.2811279296875,-43.97082757949829,0.034572064876556396,288,0.021548644,1.0003691911697388,1258.0,-2.7646007142857143
20,2108,4,10240,-0.030067140236496925,0.0004092704424510632,-0.02502220866153948,0.005150787721504457,0.2,0.2894287109375,-43.98407030105591,-0.03399097919464111,304,0.020758603,1.000783085823059,1258.0,-2.767624875
21,2106,5,10752,-0.015049872919917107,0.0004092704424510632,-0.023865288821980357,0.03600162419024855,0.2,0.2666015625,-43.98697769641876,0.24780839681625366,320,0.015609361,1.0003548860549927,1258.0,-2.767624875
22,2106,5,11264,-0.030235271900892258,0.0004092704424510632,-0.021911208066740073,0.006219718758075032,0.2,0.2581787109375,-43.99009335041046,0.2867196202278137,336,0.019773185,1.0013985633850098,1258.0,-2.767624875
23,2106,5,11776,-0.026539277285337448,0.0004092704424510632,-0.022534051211550832,0.003103574854321778,0.2,0.2305908203125,-44.03086841106415,0.2342003583908081,352,0.015404925,1.0026483535766602,1258.0,-2.760112777777778
24,2105,5,12288,-0.014996740967035294,0.0004092704424510632,-0.02776470489334315,0.04768422601046041,0.2,0.3287353515625,-44.05599498748779,0.09321588277816772,368,0.0329367,1.0029969215393066,1258.0,-2.760112777777778
25,2105,6,12800,-0.03198333829641342,0.0004092704424510632,-0.026020556804724038,0.011791532568167895,0.2,0.2591552734375,-44.0590056180954,-1.5165674686431885,384,0.02161568,1.0032986402511597,1258.0,-2.759646
26,2103,6,13312,-0.04235122352838516,0.0004092704424510632,-0.02907427685568109,0.0388209986849688,0.2,0.294677734375,-44.055543541908264,0.2207847237586975,400,0.021898195,1.0023272037506104,1258.0,-2.759646
27,2103,6,13824,-0.02587813511490822,0.0004092704424510632,-0.02662594785215333,0.007442384754540399,0.2,0.240234375,-44.03364658355713,0.2693561911582947,416,0.016331282,1.002695918083191,1258.0,-2.759646
28,2102,6,14336,-0.040913745760917664,0.0004092704424510632,-0.03760007466189563,0.006698998739011586,0.2,0.3531494140625,-44.046369433403015,0.6213333606719971,432,0.03068968,1.0028661489486694,1258.0,-2.748472272727273
29,2102,7,14848,-0.031384117901325226,0.0004092704424510632,-0.026499065061216243,0.01886116701643914,0.2,0.335693359375,-44.044912576675415,0.5557975769042969,448,0.04058572,1.0025681257247925,1258.0,-2.748472272727273
30,2101,7,15360,-0.046238090842962265,0.0004092704424510632,-0.026292095542885363,0.005503251253685448,0.2,0.230712890625,-44.051151752471924,-1.8205478191375732,464,0.015654469,1.0040427446365356,1258.0,-2.7312535
31,2101,7,15872,-0.024691306054592133,0.0004092704424510632,-0.025090986397117376,0.058171057724393904,0.2,0.25927734375,-44.07523202896118,0.2625347375869751,480,0.019911269,1.0030608177185059,1258.0,-2.7312535
32,2101,7,16384,-0.030077211558818817,0.0004092704424510632,-0.02254406685824506,0.011475384308141656,0.2,0.2322998046875,-44.03172814846039,-0.8281596899032593,496,0.014268186,1.0020922422409058,1258.0,-2.7214423846153846
33,2101,8,16896,-0.016908951103687286,0.0004092704424510632,-0.027060193533543497,0.04180750885279849,0.2,0.2852783203125,-44.02845227718353,0.3062865138053894,512,0.02135446,1.0030732154846191,1258.0,-2.7214423846153846
34,2101,8,17408,-0.021757418289780617,0.0004092704424510632,-0.025492478074738756,0.011605650332057849,0.2,0.2703857421875,-44.076879143714905,-0.41373276710510254,528,0.021189217,1.0052567720413208,1258.0,-2.7214423846153846
35,2101,8,17920,-0.03735769912600517,0.0004092704424510632,-0.028728873381624,0.0024394413667323533,0.2,0.2972412109375,-44.13182079792023,0.1371634602546692,544,0.022502106,1.0062962770462036,1258.0,-2.721190285714286
36,2100,8,18432,-0.004020446911454201,0.0004092704424510632,-0.016754423755628522,0.07244866422843188,0.2,0.210205078125,-44.15453660488129,0.1181870698928833,560,0.016766977,1.0067635774612427,1258.0,-2.721190285714286
37,2100,9,18944,-0.048323359340429306,0.0004092704424510632,-0.03863764277775772,0.008549619640689343,0.2,0.310302734375,-44.146679520606995,-0.7360727787017822,576,0.026818607,1.005684494972229,1258.0,-2.7340775333333336
38,2100,9,19456,0.036038413643836975,0.0004092704424510632,-0.019033741278690286,0.08782066602725536,0.2,0.1998291015625,-44.11258590221405,0.32450443506240845,592,0.015970787,1.0051655769348145,1258.0,-2.7340775333333336
39,2100,9,19968,-0.03627096116542816,0.0004092704424510632,-0.02262909286946524,0.007405859934806358,0.2,0.21728515625,-44.10403001308441,-2.295546531677246,608,0.01750476,1.004869818687439,1258.0,-2.7340775333333336
40,2100,9,20480,-0.03853107616305351,0.0004092704424510632,-0.022766006164602004,0.0023523004674643744,0.2,0.238037109375,-44.08405792713165,-0.1449819803237915,624,0.018659081,1.003706932067871,1258.0,-2.7316954375
41,2099,9,20992,-0.0002749413251876831,0.0004092704424510632,-0.01862008954049088,0.12974617874715477,0.2,0.181640625,-44.068387389183044,0.10454350709915161,640,0.01778872,1.0041265487670898,1258.0,-2.7316954375
42,2099,10,21504,-0.022081468254327774,0.0004092704424510632,-0.02339843483059667,0.017988987936405465,0.2,0.197998046875,-44.09412741661072,-1.5300571918487549,656,0.014063339,1.0052063465118408,1258.0,-2.7328631764705884
43,2099,10,22016,0.02540389820933342,0.0004092704424510632,-0.026600513054290786,0.15435665333643556,0.2,0.2694091796875,-44.12030005455017,0.13980388641357422,672,0.026720889,1.0057830810546875,1258.0,-2.7328631764705884
44,2099,10,22528,-0.03858015686273575,0.0004092704424510632,-0.030050218279939145,0.01127182025811635,0.2,0.3050537109375,-44.10861325263977,-0.35021257400512695,688,0.02177864,1.003866195678711,1258.0,-2.7328631764705884
45,2099,10,23040,-0.035963281989097595,0.0004092704424510632,-0.02804231728077866,0.0044442520520533435,0.2,0.283203125,-44.041977882385254,0.09622883796691895,704,0.023098826,1.0026190280914307,1258.0,-2.7360083333333334
46,2098,11,23552,-0.02766129933297634,0.0004092704424510632,-0.021903500892221928,0.1505455927690491,0.2,0.18017578125,-44.027703642845154,0.11285841464996338,720,0.018408375,1.002689003944397,1258.0,-2.7360083333333334
47,2098,11,24064,-0.03390166535973549,0.0004092704424510632,-0.02150177236762829,0.01700991825782694,0.2,0.1844482421875,-44.02872979640961,-2.502786636352539,736,0.016143994,1.0030027627944946,1258.0,-2.729882368421053
48,2097,11,24576,0.015361728146672249,0.0004092704424510632,-0.02140841440996155,0.19264319841749966,0.2,0.222412109375,-44.04042947292328,0.11649852991104126,752,0.02190291,1.003814697265625,1258.0,-2.729882368421053
49,2097,11,25088,-0.0360790379345417,0.0004092704424510632,-0.02635052976984298,0.008943828637711704,0.2,0.2955322265625,-44.07763731479645,-1.1758263111114502,768,0.018141527,1.0053813457489014,1258.0,-2.729882368421053
50,2097,12,25600,-0.032384198158979416,0.0004092704424510632,-0.021866627532290295,0.002418303287413437,0.2,0.21533203125,-44.11185324192047,0.3702011704444885,784,0.017218858,1.00554621219635,1258.0,-2.72562
51,2097,12,26112,-0.006881870329380035,0.0004092704424510632,-0.022427110889111646,0.18153161380905658,0.2,0.19189453125,-44.104151368141174,0.19705414772033691,800,0.022390475,1.0055506229400635,1258.0,-2.72562
52,2097,12,26624,-0.03460598364472389,0.0004092704424510632,-0.025997795426519588,0.030851580027956516,0.2,0.22705078125,-44.119072675704956,-3.712130069732666,816,0.023483954,1.0065380334854126,1258.0,-2.7170987619047624
53,2096,12,27136,0.05306755006313324,0.0004092704424510632,-0.02210256882244721,0.2466081352904439,0.2,0.1751708984375,-44.14050543308258,0.15373456478118896,832,0.014841561,1.0066124200820923,1258.0,-2.7170987619047624
54,2096,13,27648,-0.03788170590996742,0.0004092704424510632,-0.027234810768277384,0.013560742198023945,0.2,0.274169921875,-44.14547920227051,-0.9459842443466187,848,0.024018116,1.0073450803756714,1258.0,-2.7170987619047624
55,2096,13,28160,-0.024089578539133072,0.0004092704424510632,-0.02781980053987354,0.010964894318021834,0.2,0.2718505859375,-44.174723625183105,0.566231369972229,864,0.019889612,1.0081360340118408,1258.0,-2.716067681818182
56,2096,13,28672,-0.027896573767066002,0.0004092704424510632,-0.027200468408409506,0.06573532993206754,0.2,0.2825927734375,-44.19067931175232,0.4802742600440979,880,0.03454203,1.0081757307052612,1258.0,-2.716067681818182
57,2096,13,29184,-0.03891774266958237,0.0004092704424510632,-0.02259878056065645,0.021156629765755497,0.2,0.218017578125,-44.18099617958069,-9.085737228393555,896,0.018205255,1.0075409412384033,1258.0,-2.7167389565217395
58,2096,14,29696,-0.005372021347284317,0.0004092704424510632,-0.029040920693660155,0.2188794284593314,0.2,0.2939453125,-44.145041942596436,0.036163926124572754,912,0.03175302,1.0061192512512207,1258.0,-2.7167389565217395
