time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/std,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,4098,,,,,,,,,,,,,
0,1024,2,2411,0.2435302734375,16,0.9996932744979858,-0.031049723969772458,0.017077131,-43.982874751091,-0.050168994814157486,0.11906635299237678,-1.4645352363586426,0.2,0.0004092704424510632,,
0,1536,3,2164,0.190673828125,32,0.9994117021560669,-0.020842335565248504,0.013297705,-43.97155821323395,-0.024596961215138435,0.0042045183217851445,-0.023305892944335938,0.2,0.0004092704424510632,-2.538639,1257.0
0,2048,4,2052,0.29736328125,48,0.9989533424377441,-0.02988661010749638,0.019274753,-43.9609215259552,-0.021516889333724976,0.023235796601511538,-0.003317594528198242,0.2,0.0004092704424510632,-2.538639,1257.0
1,2560,5,1989,0.2012939453125,64,0.9978241920471191,-0.02033765404485166,0.012040869,-43.93588376045227,-0.018836824223399162,0.004052549978950992,-0.011883854866027832,0.2,0.0004092704424510632,-2.4848195,1257.0
1,3072,6,1941,0.248291015625,80,0.9966467022895813,-0.02315293505671434,0.01617766,-43.89500689506531,-0.016196416690945625,0.030379847274161875,0.0008584856986999512,0.2,0.0004092704424510632,-2.4848195,1257.0
1,3584,7,1907,0.2481689453125,96,0.9959329962730408,-0.02615831480943598,0.0167897,-43.86397075653076,-0.043229375034570694,0.0025405804917681962,0.013778746128082275,0.2,0.0004092704424510632,-2.4848195,1257.0
2,4096,8,1885,0.19970703125,112,0.9959775805473328,-0.020002670935355127,0.013879749,-43.851054191589355,-0.02194174937903881,0.0036447210877668113,-0.00523221492767334,0.2,0.0004092704424510632,-2.5581903333333336,1257.0
2,4608,9,1867,0.364990234375,128,0.9968523383140564,-0.032541452019358985,0.030576192,-43.86379849910736,-0.019184522330760956,0.04293737397529185,0.0009289979934692383,0.2,0.0004092704424510632,-2.5581903333333336,1257.0
2,5120,10,1852,0.25146484375,144,0.9965803027153015,-0.02345820626942441,0.016697116,-43.878867626190186,-0.03522137552499771,0.0032598956349829677,-0.003108978271484375,0.2,0.0004092704424510632,-2.5323375,1257.0
3,5632,11,1843,0.3375244140625,160,0.9949175119400024,-0.030505373870255426,0.024415001,-43.85175061225891,-0.008634818717837334,0.05376108409836888,0.0030175447463989258,0.2,0.0004092704424510632,-2.5323375,1257.0
3,6144,12,1837,0.2540283203125,176,0.9932355284690857,-0.027193289308343083,0.015539563,-43.7882878780365,-0.05013471096754074,0.002544021488574799,-0.14782345294952393,0.2,0.0004092704424510632,-2.5323375,1257.0
3,6656,13,1829,0.2513427734375,192,0.9937348961830139,-0.025669746508356184,0.015340086,-43.7653683423996,-0.023667430505156517,0.0027065249341831077,0.003544628620147705,0.2,0.0004092704424510632,-2.5672326,1257.0
3,7168,14,1823,0.2679443359375,208,0.9945307970046997,-0.025378987280419096,0.020550013,-43.79272949695587,-0.005453919991850853,0.06391145021189004,0.0025287866592407227,0.2,0.0004092704424510632,-2.5672326,1257.0
4,7680,15,1814,0.2476806640625,224,0.993826687335968,-0.028050996217643842,0.016455524,-43.79284596443176,-0.03243787959218025,0.003979672146670055,-0.10589206218719482,0.2,0.0004092704424510632,-2.5803435,1257.0
4,8192,16,1807,0.234130859375,240,0.9932540059089661,-0.024063840770395473,0.016315386,-43.76590132713318,0.0002872981131076813,0.07375765312463045,0.0006330013275146484,0.2,0.0004092704424510632,-2.5803435,1257.0
4,8704,17,1801,0.23974609375,256,0.9933378100395203,-0.02402984755462967,0.017948888,-43.75881636142731,-0.033120594918727875,0.00347329031501431,0.06318825483322144,0.2,0.0004092704424510632,-2.5803435,1257.0
5,9216,18,1803,0.2520751953125,272,0.9925295114517212,-0.024224456516094506,0.019629909,-43.75197899341583,-0.04800178483128548,0.002752543077804148,-0.0010172128677368164,0.2,0.0004092704424510632,-2.5860738571428574,1257.0
5,9728,19,1801,0.244873046875,288,0.9914372563362122,-0.02133415082062129,0.022234108,-43.71726667881012,0.01296711340546608,0.08621131931431592,0.0006971955299377441,0.2,0.0004092704424510632,-2.5860738571428574,1257.0
5,10240,20,1797,0.2139892578125,304,0.991614580154419,-0.02214562421431765,0.016812466,-43.70278990268707,-0.02201480232179165,0.00650533791485941,-0.09487414360046387,0.2,0.0004092704424510632,-2.616376625,1257.0
5,10752,21,1797,0.2655029296875,320,0.9906173348426819,-0.029589391400804743,0.019513443,-43.69441640377045,0.002571895718574524,0.08157860161736608,0.024525165557861328,0.2,0.0004092704424510632,-2.616376625,1257.0
6,11264,22,1793,0.21484375,336,0.9914605021476746,-0.022623006283538416,0.016062682,-43.68235230445862,-0.038181159645318985,0.003910313880624017,-0.7415541410446167,0.2,0.0004092704424510632,-2.616376625,1257.0
6,11776,23,1792,0.2000732421875,352,0.991151750087738,-0.022612539498368278,0.013392431,-43.70251452922821,-0.023123059421777725,0.0019950330679421313,0.005947589874267578,0.2,0.0004092704424510632,-2.6321375555555555,1257.0
6,12288,24,1789,0.3031005859375,368,0.990258514881134,-0.029004814015934244,0.024176653,-43.67503249645233,-0.0048120878636837006,0.10452348727267236,0.0024256110191345215,0.2,0.0004092704424510632,-2.6321375555555555,1257.0
7,12800,25,1789,0.1644287109375,384,0.989119827747345,-0.020737487269798294,0.012206446,-43.644406914711,-0.03297693282365799,0.004162933113548206,-1.0894980430603027,0.2,0.0004092704424510632,-2.6177957,1257.0
7,13312,26,1786,0.2005615234375,400,0.9870024919509888,-0.01865417712542694,0.016261429,-43.59646916389465,0.028271792456507683,0.11380004161037505,0.0047019124031066895,0.2,0.0004092704424510632,-2.6177957,1257.0
7,13824,27,1785,0.23583984375,416,0.986991286277771,-0.024794917582767084,0.015249343,-43.55393385887146,-0.04594133049249649,0.006273623977904208,-0.7559436559677124,0.2,0.0004092704424510632,-2.6177957,1257.0
8,14336,28,1783,0.2208251953125,432,0.9848485589027405,-0.023186077451100573,0.015357424,-43.53286898136139,-0.03336859866976738,0.002479436392604839,0.038005948066711426,0.2,0.0004092704424510632,-2.625843272727273,1257.0
