time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,3970,1,,,,,,,,,,,,,
1024,0,1840,2,-0.03910941258072853,0.999370813369751,-43.982314348220825,0.09508577751694247,0.0004092704424510632,-0.022362243646057323,16,0.013113489,-0.6540944576263428,0.1734619140625,0.2,,
1536,0,1568,3,-0.02588845230638981,0.9987626671791077,-43.95212745666504,0.003975671832449734,0.0004092704424510632,-0.02644171263091266,32,0.015080251,0.003857553005218506,0.2191162109375,0.2,1223.0,-2.517149
2048,1,1469,4,-0.03908993676304817,0.9985154867172241,-43.94382894039154,0.0032076589195639826,0.0004092704424510632,-0.029295691841980442,48,0.018464137,0.010689795017242432,0.258544921875,0.2,1223.0,-2.517149
2560,1,1417,5,-0.0431906133890152,0.9977543950080872,-43.92778670787811,0.0013512979203369468,0.0004092704424510632,-0.032739797243266366,64,0.01998888,0.013982236385345459,0.2677001953125,0.2,1223.0,-2.4592565
3072,2,1380,6,-0.02910703793168068,0.9959554076194763,-43.889729499816895,0.0032203815717366524,0.0004092704424510632,-0.023570605757413432,80,0.016527716,0.001936793327331543,0.2523193359375,0.2,1223.0,-2.4592565
3584,2,1359,7,-0.042386867105960846,0.9968286156654358,-43.85724711418152,0.002258653283206513,0.0004092704424510632,-0.03084144467720762,96,0.017681418,0.006478309631347656,0.2655029296875,0.2,1223.0,-2.4592565
4096,3,1343,8,-0.04159988835453987,0.9978170990943909,-43.90375554561615,0.002903818090999266,0.0004092704424510632,-0.02854107497842051,112,0.022992238,0.00913459062576294,0.292724609375,0.2,1223.0,-2.477706
4608,3,1330,9,-0.029858697205781937,0.9997925162315369,-43.93808674812317,0.010946866881567985,0.0004092704424510632,-0.02688324815244414,128,0.019186994,-0.004350066184997559,0.2508544921875,0.2,1223.0,-2.477706
5120,3,1322,10,-0.027319038286805153,1.0026017427444458,-44.013927936553955,0.0016148769173014443,0.0004092704424510632,-0.02289603720419109,144,0.01609566,0.02023094892501831,0.25146484375,0.2,1223.0,-2.4346635
5632,4,1313,11,-0.026311516761779785,1.0021092891693115,-44.063668727874756,0.01672199828317389,0.0004092704424510632,-0.0302629450452514,160,0.019550212,0.0022559762001037598,0.2911376953125,0.2,1223.0,-2.4346635
6144,4,1308,12,-0.04200435057282448,0.9991655945777893,-44.00308537483215,0.0015600461829308188,0.0004092704424510632,-0.02617716693202965,176,0.015845222,-0.007372140884399414,0.2222900390625,0.2,1223.0,-2.4455678
6656,5,1301,13,-0.028667116537690163,0.9980433583259583,-43.92769491672516,0.02229512797202915,0.0004092704424510632,-0.027450240624602884,192,0.022901807,0.004624009132385254,0.2586669921875,0.2,1223.0,-2.4455678
7168,5,1298,14,-0.04144001752138138,0.9979283809661865,-43.90964686870575,0.003043294793314999,0.0004092704424510632,-0.02710856538033113,208,0.019452393,0.032029688358306885,0.2484130859375,0.2,1223.0,-2.4455678
7680,5,1294,15,-0.03848881274461746,0.9959362149238586,-43.87899088859558,0.0029224989957583603,0.0004092704424510632,-0.026923692610580474,224,0.020493452,0.0033568739891052246,0.271484375,0.2,1223.0,-2.4382413333333335
8192,6,1289,16,-0.010755196213722229,0.995901882648468,-43.83842444419861,0.03566958353621885,0.0004092704424510632,-0.02025285291892942,240,0.01856311,0.002147972583770752,0.2232666015625,0.2,1223.0,-2.4382413333333335
8704,6,1286,17,-0.027135709300637245,0.9956228733062744,-43.83806657791138,0.0017940621546586044,0.0004092704424510632,-0.02154497725859983,256,0.01872199,0.0018382668495178223,0.1976318359375,0.2,1223.0,-2.4315454285714284
9216,7,1283,18,-0.014710769057273865,0.9956245422363281,-43.827632904052734,0.04070399230113253,0.0004092704424510632,-0.026814214565092698,272,0.02212987,0.0035137534141540527,0.25244140625,0.2,1223.0,-2.4315454285714284
9728,7,1279,19,-0.020623881369829178,0.9943130016326904,-43.81487321853638,0.0034012733995041344,0.0004092704424510632,-0.019966911248047836,288,0.016629882,0.01690274477005005,0.20166015625,0.2,1223.0,-2.4315454285714284
10240,8,1277,20,-0.03808320313692093,0.9912664890289307,-43.7408949136734,0.0027888237018487416,0.0004092704424510632,-0.02524660248309374,304,0.020202737,0.007837295532226562,0.2703857421875,0.2,1223.0,-2.42949325
10752,8,1274,21,-0.00667949765920639,0.9905045032501221,-43.674489974975586,0.04965078132227063,0.0004092704424510632,-0.023735230759484693,320,0.02317891,0.0019156336784362793,0.281005859375,0.2,1223.0,-2.42949325
11264,8,1272,22,-0.031163670122623444,0.9889607429504395,-43.6492657661438,0.003102670652879169,0.0004092704424510632,-0.026625073136528954,336,0.020078119,0.013818919658660889,0.2373046875,0.2,1223.0,-2.4418794444444445
11776,9,1270,23,-0.021796081215143204,0.9874329566955566,-43.59565722942352,0.06030840997118503,0.0004092704424510632,-0.02632694561907556,352,0.024931423,0.0017272233963012695,0.25927734375,0.2,1223.0,-2.4418794444444445
12288,9,1267,24,-0.030858006328344345,0.9868452548980713,-43.55925488471985,0.0015411138083436526,0.0004092704424510632,-0.023925898072775453,368,0.01985653,-0.01864469051361084,0.22705078125,0.2,1223.0,-2.4493206
12800,10,1266,25,0.0025052446871995926,0.9856626987457275,-43.53819751739502,0.06395046960096806,0.0004092704424510632,-0.023611762924701907,384,0.017843597,0.005897402763366699,0.2357177734375,0.2,1223.0,-2.4493206
13312,10,1264,26,-0.032523687928915024,0.9843528866767883,-43.486098408699036,0.003344636053952854,0.0004092704424510632,-0.027317364962073043,400,0.01498276,0.10186153650283813,0.200439453125,0.2,1223.0,-2.4493206
13824,10,1263,27,-0.028143469244241714,0.9846234321594238,-43.4745227098465,0.0035124919668305665,0.0004092704424510632,-0.02416585898026824,416,0.02196483,0.007802605628967285,0.2408447265625,0.2,1223.0,-2.4499726363636367
14336,11,1262,28,-0.013500280678272247,0.9857575297355652,-43.49743616580963,0.0792776863090694,0.0004092704424510632,-0.029627662239363417,432,0.025834534,0.0032070279121398926,0.2698974609375,0.2,1223.0,-2.4499726363636367
14848,11,1261,29,-0.03917916864156723,0.9857527017593384,-43.5158406496048,0.002154257959773531,0.0004092704424510632,-0.022454885023762472,448,0.015068889,-0.025249719619750977,0.2125244140625,0.2,1223.0,-2.4435080833333336
15360,12,1260,30,6.359070539474487e-05,0.9850037693977356,-43.49915432929993,0.08453922113403678,0.0004092704424510632,-0.0270100037305383,464,0.019672874,0.03430342674255371,0.2481689453125,0.2,1223.0,-2.4435080833333336
15872,12,1260,31,-0.020094409584999084,0.9839618802070618,-43.47266352176666,0.008258984569692984,0.0004092704424510632,-0.02127440414915327,480,0.017808154,0.24207830429077148,0.1861572265625,0.2,1223.0,-2.4435080833333336
16384,13,1259,32,-0.043659038841724396,0.9846208691596985,-43.46126437187195,0.0025966700122808106,0.0004092704424510632,-0.03191496033105068,496,0.02819015,0.033545732498168945,0.2794189453125,0.2,1223.0,-2.427050076923077
