time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/std,train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,3827,,,,,,,,,,,,,
0,1024,2,1858,0.017420582,0.9969033002853394,-43.948469281196594,16,-0.032678790390491486,0.226806640625,0.09991304828508873,-3.8111648559570312,0.2,0.0004092704424510632,-0.02604646736290306,,
0,1536,3,1605,0.019484814,0.9972488284111023,-43.883196234703064,32,-0.04447711259126663,0.29345703125,0.003490993578452617,0.005764365196228027,0.2,0.0004092704424510632,-0.03434859894332476,-2.583229,1258.0
1,2048,4,1493,0.02927621,0.9983987212181091,-43.92026090621948,48,-0.03623433783650398,0.34521484375,0.0072509430756326765,-0.007129311561584473,0.2,0.0004092704424510632,-0.028198654210427776,-2.583229,1258.0
1,2560,5,1431,0.020749573,0.9961210489273071,-43.9068489074707,64,-0.029726769775152206,0.2796630859375,0.003396472573513165,0.005064249038696289,0.2,0.0004092704424510632,-0.026819193626579363,-2.715434,1258.0
2,3072,6,1403,0.016867496,0.9944934248924255,-43.83126735687256,80,-0.022554824128746986,0.256103515625,0.017503775656223297,-0.00021183490753173828,0.2,0.0004092704424510632,-0.02581528582959436,-2.715434,1258.0
2,3584,7,1379,0.016982976,0.9928259253501892,-43.790706396102905,96,-0.03748885169625282,0.2745361328125,0.0013576233795902226,0.005696535110473633,0.2,0.0004092704424510632,-0.029380208608927205,-2.715434,1258.0
3,4096,8,1362,0.02557033,0.9925786852836609,-43.74697709083557,112,-0.02792597934603691,0.3114013671875,0.021818746492499486,-0.0004131793975830078,0.2,0.0004092704424510632,-0.02923361212015152,-2.817871333333333,1258.0
3,4608,9,1350,0.021354802,0.9930942058563232,-43.75824439525604,128,-0.04495999217033386,0.2786865234375,0.012746613065246493,0.0010513067245483398,0.2,0.0004092704424510632,-0.027029222575947642,-2.817871333333333,1258.0
3,5120,10,1339,0.018964801,0.9940230250358582,-43.77255868911743,144,-0.027820246294140816,0.2578125,0.003165088848618325,0.007872223854064941,0.2,0.0004092704424510632,-0.026487154769711196,-2.8206905,1258.0
4,5632,11,1332,0.02171355,0.9928195476531982,-43.78169143199921,160,-0.02836310863494873,0.26025390625,0.03161062247818336,0.0020409822463989258,0.2,0.0004092704424510632,-0.023357541002042126,-2.8206905,1258.0
4,6144,12,1327,0.015891287,0.9909303784370422,-43.717570185661316,176,-0.02551002986729145,0.221923828125,0.0017704340116324602,0.02449089288711548,0.2,0.0004092704424510632,-0.022591257278691046,-2.8206905,1258.0
5,6656,13,1324,0.02075376,0.9916279911994934,-43.69748377799988,192,-0.030672293156385422,0.22998046875,0.010784019235870801,0.013716340065002441,0.2,0.0004092704424510632,-0.021771417174022645,-2.7670874,1258.0
5,7168,14,1320,0.02157697,0.9915127754211426,-43.7121000289917,208,-0.011390531435608864,0.280517578125,0.034032450639642775,0.006116032600402832,0.2,0.0004092704424510632,-0.02563581071444787,-2.7670874,1258.0
5,7680,15,1316,0.017689098,0.9897000789642334,-43.683756589889526,224,-0.030467016622424126,0.252685546875,0.0031518001051153988,0.02653580904006958,0.2,0.0004092704424510632,-0.02262057608459145,-2.7763093333333333,1258.0
6,8192,16,1314,0.024025261,0.9886417984962463,-43.6291960477829,240,-0.017070673406124115,0.29296875,0.056890511070378125,0.007651090621948242,0.2,0.0004092704424510632,-0.02568024388165213,-2.7763093333333333,1258.0
6,8704,17,1310,0.019273456,0.9888421297073364,-43.61903142929077,256,-0.03564151003956795,0.2476806640625,0.0015647220789105631,-0.032002925872802734,0.2,0.0004092704424510632,-0.026168680939008482,-2.7763093333333333,1258.0
7,9216,18,1306,0.019016795,0.9872798323631287,-43.6063586473465,272,-0.036639198660850525,0.2139892578125,0.01157658058218658,0.012372732162475586,0.2,0.0004092704424510632,-0.022123677234048955,-2.792083571428571,1258.0
7,9728,19,1304,0.019159866,0.986877977848053,-43.562100648880005,288,-0.00941946730017662,0.2181396484375,0.05968358099926263,0.00457388162612915,0.2,0.0004092704424510632,-0.025355827616294846,-2.792083571428571,1258.0
7,10240,20,1301,0.017278753,0.9858628511428833,-43.548216581344604,304,-0.033194124698638916,0.21142578125,0.002913207783421967,-0.12010610103607178,0.2,0.0004092704424510632,-0.0221370447834488,-2.77478025,1258.0
8,10752,21,1300,0.017757226,0.985436201095581,-43.5198734998703,320,-0.00044252723455429077,0.1988525390625,0.06947943172417581,0.02299100160598755,0.2,0.0004092704424510632,-0.02434094250202179,-2.77478025,1258.0
8,11264,22,1299,0.01501493,0.9852074384689331,-43.51189434528351,336,-0.030753830447793007,0.212646484375,0.001844108399382094,-0.012143254280090332,0.2,0.0004092704424510632,-0.022708664429956116,-2.77478025,1258.0
