time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
0,4053,512,1,,,,,,,,,,,,,
0,2833,1024,2,-0.3756142854690552,0.9990903735160828,-43.97784411907196,0.1211272889340762,0.2,-0.03075012197950855,-0.03272528573870659,16,0.0004092704424510632,0.3104248046875,0.023382954,,
0,2586,1536,3,0.020184099674224854,0.9959415197372437,-43.914371728897095,0.005724230730265845,0.2,-0.025815488188527524,-0.04070276767015457,32,0.0004092704424510632,0.233154296875,0.017777093,-3.094352,1257.0
0,2479,2048,4,-0.009253501892089844,0.995159387588501,-43.840526819229126,0.012499329983256757,0.2,-0.03285253097419627,-0.033314526081085205,48,0.0004092704424510632,0.3194580078125,0.027615877,-3.094352,1257.0
1,2421,2560,5,-0.01596975326538086,0.9953362345695496,-43.83642852306366,0.004349966511654202,0.2,-0.024474987032590434,-0.03488811478018761,64,0.0004092704424510632,0.220458984375,0.014140592,-3.087954,1257.0
1,2385,3072,6,-0.004630446434020996,0.995074987411499,-43.83771860599518,0.009136033244431019,0.2,-0.023638573940843344,-0.03618760406970978,80,0.0004092704424510632,0.2652587890625,0.017832398,-3.087954,1257.0
1,2357,3584,7,-0.022165298461914062,0.9959772229194641,-43.84058880805969,0.0023089385977073107,0.2,-0.03287307542632334,-0.04746636748313904,96,0.0004092704424510632,0.3006591796875,0.019142533,-3.087954,1257.0
1,2335,4096,8,-0.00019025802612304688,0.9963122606277466,-43.863051891326904,0.005045132435043342,0.2,-0.02209931958350353,-0.014574267901480198,112,0.0004092704424510632,0.2144775390625,0.011628499,-3.086741333333333,1257.0
1,2319,4608,9,-0.0001327991485595703,0.99558025598526,-43.85653293132782,0.03384788607945666,0.2,-0.03127058666723315,-0.028578296303749084,128,0.0004092704424510632,0.367919921875,0.03273537,-3.086741333333333,1257.0
2,2308,5120,10,-0.011725306510925293,0.9975615739822388,-43.86188089847565,0.004366423519968521,0.2,-0.027626763650914654,-0.03349390625953674,144,0.0004092704424510632,0.2650146484375,0.017359806,-3.1087299999999995,1257.0
2,2297,5632,11,0.002941310405731201,0.996674120426178,-43.89650022983551,0.04085739003494382,0.2,-0.020674086292274296,-0.00920785591006279,160,0.0004092704424510632,0.2535400390625,0.017623521,-3.1087299999999995,1257.0
2,2289,6144,12,-0.04857027530670166,0.99649578332901,-43.86293971538544,0.0029383262299234048,0.2,-0.031776619449374266,-0.050506021827459335,176,0.0004092704424510632,0.2689208984375,0.021289285,-3.1087299999999995,1257.0
2,2283,6656,13,-0.004532337188720703,0.9969019889831543,-43.86965334415436,0.003312667213322129,0.2,-0.028872148308437318,-0.03436972200870514,192,0.0004092704424510632,0.2210693359375,0.014936278,-3.125006,1257.0
