time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/explained_variance,train/learning_rate,train/clip_range,train/approx_kl,train/n_updates,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,3967,512,,,,,,,,,,,,,
2,0,2634,1024,-0.8298817873001099,0.0004092704424510632,0.2,0.015101602,16,-43.98092007637024,0.9995982646942139,0.184814453125,-0.02157731360057369,0.1923708142567193,-0.02961946278810501,,
3,0,2365,1536,-0.007555723190307617,0.0004092704424510632,0.2,0.015473565,32,-44.00444936752319,1.0018677711486816,0.22802734375,-0.02691982261603698,0.002332259296963457,-0.03224027901887894,1223.0,-2.195338
4,0,2247,2048,0.006052970886230469,0.0004092704424510632,0.2,0.022010123,48,-44.07861924171448,1.00442373752594,0.2908935546875,-0.028171786820166744,0.007982401468325406,-0.03592390939593315,1223.0,-2.195338
5,1,2152,2560,0.004932999610900879,0.0004092704424510632,0.2,0.022600632,64,-44.142027497291565,1.00544011592865,0.307373046875,-0.03395436392747797,0.0012340084522293182,-0.04435477405786514,1223.0,-2.1992849999999997
6,1,2060,3072,0.0025507211685180664,0.0004092704424510632,0.2,0.020973787,80,-44.11587083339691,1.0026265382766724,0.310791015625,-0.029727237924817018,0.003923106727597769,-0.02514074184000492,1223.0,-2.1992849999999997
7,1,2002,3584,0.0005714893341064453,0.0004092704424510632,0.2,0.019199077,96,-44.03556275367737,1.0013086795806885,0.285400390625,-0.03266423990135081,0.0022444075948442332,-0.048314839601516724,1223.0,-2.1992849999999997
8,2,1965,4096,-0.0009824037551879883,0.0004092704424510632,0.2,0.016868029,112,-44.009685039520264,1.0004831552505493,0.2470703125,-0.02238859995122766,0.0027923331763304304,-0.025862297043204308,1223.0,-2.211864
9,2,1937,4608,-0.0005615949630737305,0.0004092704424510632,0.2,0.02359981,128,-43.98451280593872,0.9997162222862244,0.29345703125,-0.03307969625166152,0.0023062100262905005,-0.03149847686290741,1223.0,-2.211864
10,2,1918,5120,0.01051628589630127,0.0004092704424510632,0.2,0.033841535,144,-43.95565688610077,0.998464047908783,0.3482666015625,-0.036089379762415774,0.0012838796337746317,-0.04957219958305359,1223.0,-2.19515375
11,2,1907,5632,-0.0006039142608642578,0.0004092704424510632,0.2,0.020386089,160,-43.933868288993835,0.9987080097198486,0.24462890625,-0.024972832325147465,0.004372556206362788,-0.04100218415260315,1223.0,-2.19515375
12,3,1897,6144,-0.00395810604095459,0.0004092704424510632,0.2,0.019158877,176,-43.97019362449646,1.0012383460998535,0.251220703125,-0.026972003586706705,0.0013515162390831392,-0.03806203603744507,1223.0,-2.1822942
13,3,1890,6656,-0.0015003681182861328,0.0004092704424510632,0.2,0.01817714,192,-44.057019114494324,1.003389596939087,0.23681640625,-0.02811236040724907,0.008287218908662908,-0.04116620868444443,1223.0,-2.1822942
14,3,1883,7168,0.010511934757232666,0.0004092704424510632,0.2,0.0146618625,208,-44.0941447019577,1.0039587020874023,0.201904296875,-0.023956373494002037,0.002444617304718122,-0.030027970671653748,1223.0,-2.1822942
15,4,1876,7680,0.002270221710205078,0.0004092704424510632,0.2,0.020993738,224,-44.0992876291275,1.003924012184143,0.2283935546875,-0.026654948582290672,0.002669893186975969,-0.03476231172680855,1223.0,-2.2088456666666665
16,4,1887,8192,0.0004107356071472168,0.0004092704424510632,0.2,0.020435687,240,-44.080673575401306,1.0027118921279907,0.246826171875,-0.024912332504754886,0.01687530110939406,-0.02628261037170887,1223.0,-2.2088456666666665
17,4,1882,8704,0.011053979396820068,0.0004092704424510632,0.2,0.0126835,256,-44.073182225227356,1.0043166875839233,0.1922607421875,-0.019804737996309996,0.001583297727847821,-0.03709958866238594,1223.0,-2.192857714285714
18,4,1879,9216,0.0003058910369873047,0.0004092704424510632,0.2,0.02180942,272,-44.13786220550537,1.0062968730926514,0.228271484375,-0.02577137592015788,0.0213206255575642,-0.03074045106768608,1223.0,-2.192857714285714
19,5,1873,9728,0.008233249187469482,0.0004092704424510632,0.2,0.020456277,288,-44.1557754278183,1.004974603652954,0.219970703125,-0.024826927518006414,0.0020695697057817597,-0.03919758275151253,1223.0,-2.192857714285714
20,5,1864,10240,0.011805057525634766,0.0004092704424510632,0.2,0.01735682,304,-44.134167313575745,1.0060185194015503,0.2110595703125,-0.025939210172509775,0.0024456549544993322,-0.032092656940221786,1223.0,-2.20738125
21,5,1855,10752,0.0014693737030029297,0.0004092704424510632,0.2,0.012329141,320,-44.14255249500275,1.0046412944793701,0.1715087890625,-0.01823333125503268,0.030833866796456277,-0.016269875690340996,1223.0,-2.20738125
22,6,1870,11264,0.06870144605636597,0.0004092704424510632,0.2,0.016403258,336,-44.06882965564728,1.0017786026000977,0.207763671875,-0.025607553790905513,0.0014381872661033412,-0.04747927933931351,1223.0,-2.2223926666666665
23,6,1865,11776,0.0024796724319458008,0.0004092704424510632,0.2,0.014206521,352,-44.00662684440613,1.0009605884552002,0.1787109375,-0.023006378512945957,0.042248340556398034,-0.014342108741402626,1223.0,-2.2223926666666665
24,6,1862,12288,-0.04963493347167969,0.0004092704424510632,0.2,0.014866027,368,-43.996782422065735,1.0006625652313232,0.175048828125,-0.02187492500524968,0.001362849909128272,-0.03264379873871803,1223.0,-2.2170503
25,6,1858,12800,0.0016690492630004883,0.0004092704424510632,0.2,0.01389038,384,-43.997825384140015,1.0013583898544312,0.165771484375,-0.021428490319522098,0.0435548045206815,-0.01876414380967617,1223.0,-2.2170503
26,7,1856,13312,0.0015764236450195312,0.0004092704424510632,0.2,0.017404411,400,-44.01045548915863,1.0012903213500977,0.2301025390625,-0.027110266804811545,0.002121355246345047,-0.040433384478092194,1223.0,-2.2170503
27,7,1853,13824,0.0013211369514465332,0.0004092704424510632,0.2,0.02057078,416,-43.9892201423645,1.0004268884658813,0.226806640625,-0.024157746986020356,0.002597130587673746,-0.04030150920152664,1223.0,-2.219699
28,7,1851,14336,0.0035741329193115234,0.0004092704424510632,0.2,0.020419592,432,-43.952473402023315,0.9986226558685303,0.20654296875,-0.020990410175727447,0.05665502045303583,-0.004532363265752792,1223.0,-2.219699
29,8,1848,14848,-0.05972123146057129,0.0004092704424510632,0.2,0.01961571,448,-43.913397789001465,0.9984918236732483,0.25146484375,-0.02429341671813745,0.0015446640936715994,-0.02898160181939602,1223.0,-2.2147972499999997
30,8,1845,15360,0.006903409957885742,0.0004092704424510632,0.2,0.016832618,464,-43.90293371677399,0.9972905516624451,0.1983642578125,-0.020293589535867795,0.06043932167813182,-0.007409213110804558,1223.0,-2.2147972499999997
31,8,1842,15872,0.1752305030822754,0.0004092704424510632,0.2,0.013870142,480,-43.86641025543213,0.9966313242912292,0.1942138671875,-0.021770766470581293,0.002142119348718552,-0.030571218580007553,1223.0,-2.2147972499999997
32,8,1840,16384,0.16395342350006104,0.0004092704424510632,0.2,0.017574824,496,-43.864261984825134,0.9975870847702026,0.199462890625,-0.020244045779691078,0.0026412368097226135,-0.027567783370614052,1223.0,-2.2142093846153843
33,9,1835,16896,0.009538233280181885,0.0004092704424510632,0.2,0.034854315,512,-43.901997566223145,0.9987812042236328,0.2705078125,-0.023300251326872967,0.05485869466792792,-0.01003185287117958,1223.0,-2.2142093846153843
34,9,1833,17408,-0.22780561447143555,0.0004092704424510632,0.2,0.015459543,528,-43.94480109214783,1.000869870185852,0.241455078125,-0.022040614872821607,0.002941441623988794,-0.03102090023458004,1223.0,-2.2189345714285715
35,9,1829,17920,0.0008309483528137207,0.0004092704424510632,0.2,0.020104568,544,-44.005431175231934,1.002077579498291,0.20263671875,-0.021231960548902862,0.08606661355588585,0.018985291942954063,1223.0,-2.2189345714285715
36,10,1825,18432,0.03830242156982422,0.0004092704424510632,0.2,0.018262196,560,-44.0210919380188,1.0022369623184204,0.236328125,-0.024367863807128742,0.0012229512067278847,-0.04085581749677658,1223.0,-2.2219220666666666
37,10,1821,18944,0.0037496089935302734,0.0004092704424510632,0.2,0.024049116,576,-44.01299512386322,1.0011582374572754,0.2857666015625,-0.02736032646498643,0.08482000639196485,0.007607379928231239,1223.0,-2.2219220666666666
38,10,1820,19456,0.007085025310516357,0.0004092704424510632,0.2,0.01833256,592,-43.96794366836548,1.0000510215759277,0.2530517578125,-0.027398224541684613,0.002114566173986532,-0.038023531436920166,1223.0,-2.2219220666666666
39,10,1816,19968,0.06666076183319092,0.0004092704424510632,0.2,0.016145945,608,-43.9606317281723,1.0007210969924927,0.209716796875,-0.02360231399507029,0.002375527154072188,-0.03630590811371803,1223.0,-2.219772375
40,11,1813,20480,0.0016507506370544434,0.0004092704424510632,0.2,0.018075284,624,-43.98061156272888,1.001161813735962,0.2191162109375,-0.023002288202405907,0.09915870777331293,0.0133652463555336,1223.0,-2.219772375
41,11,1810,20992,0.0036006569862365723,0.0004092704424510632,0.2,0.0120724235,640,-43.999837040901184,1.0021520853042603,0.169677734375,-0.016693295270670205,0.0015965461607265752,-0.01942746527493,1223.0,-2.22112094117647
42,11,1810,21504,0.014319002628326416,0.0004092704424510632,0.2,0.021611903,656,-44.02735793590546,1.0026217699050903,0.2630615234375,-0.02338124944071751,0.08681712031830102,0.01975030079483986,1223.0,-2.22112094117647
