time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,0,512,3877,,,,,,,,,,,,,
2,0,1024,1834,16,0.27685546875,-43.98824489116669,-0.03248083156358916,0.016728777,0.2,0.0004092704424510632,-0.037955231964588165,-2.279745101928711,0.999862551689148,0.17336468498615432,,
3,0,1536,1563,32,0.292724609375,-44.00090682506561,-0.0311171218927484,0.020697096,0.2,0.0004092704424510632,-0.02658836729824543,-0.03417861461639404,1.0013748407363892,0.0025210411185980774,-2.152669,1258.0
4,1,2048,1454,48,0.229736328125,-44.05597674846649,-0.022084793890826404,0.018767014,0.2,0.0004092704424510632,-0.022353723645210266,0.0006501674652099609,1.0033442974090576,0.012005126176518388,-2.152669,1258.0
5,1,2560,1397,64,0.350341796875,-44.0875803232193,-0.0318829282769002,0.03172821,0.2,0.0004092704424510632,-0.03381924703717232,-0.014865279197692871,1.0029529333114624,0.0025805196310102474,-2.138655,1258.0
6,2,3072,1360,80,0.2818603515625,-44.07131481170654,-0.025719656434375793,0.016101971,0.2,0.0004092704424510632,-0.023722518235445023,0.006136953830718994,1.0031073093414307,0.007149751196266152,-2.138655,1258.0
7,2,3584,1337,96,0.26025390625,-44.0638701915741,-0.028201722830999643,0.017475951,0.2,0.0004092704424510632,-0.041685305535793304,-0.016826629638671875,1.0019503831863403,0.0014023062540218234,-2.138655,1258.0
8,3,4096,1322,112,0.2823486328125,-44.030205965042114,-0.026723705683252774,0.016570609,0.2,0.0004092704424510632,-0.03375399112701416,-0.0007897615432739258,1.0015366077423096,0.003752149426873075,-2.1682676666666665,1258.0
9,3,4608,1309,128,0.2769775390625,-44.02690088748932,-0.028636414281209,0.018970782,0.2,0.0004092704424510632,-0.03152243420481682,0.0030248165130615234,1.001646876335144,0.0013849994156771572,-2.1682676666666665,1258.0
10,3,5120,1298,144,0.2432861328125,-44.00376117229462,-0.02375339699210599,0.017131738,0.2,0.0004092704424510632,-0.01998528651893139,-0.004426240921020508,0.9996098875999451,0.0022959210073167924,-2.16908425,1258.0
11,4,5632,1290,160,0.2078857421875,-43.95281541347504,-0.020688007469289005,0.014538335,0.2,0.0004092704424510632,-0.02754288725554943,0.0053324103355407715,0.9990786910057068,0.004377839402877726,-2.16908425,1258.0
12,4,6144,1284,176,0.2342529296875,-43.9531409740448,-0.02710369865235407,0.015415177,0.2,0.0004092704424510632,-0.04243718460202217,0.0036881566047668457,0.9992154836654663,0.0015443657011928735,-2.16908425,1258.0
13,5,6656,1279,192,0.27001953125,-43.976542711257935,-0.023181155847851187,0.016769314,0.2,0.0004092704424510632,-0.03265398368239403,0.013399779796600342,1.0010038614273071,0.004267327494744677,-2.152962,1258.0
14,5,7168,1275,208,0.3349609375,-44.0309898853302,-0.03203601072891615,0.025224749,0.2,0.0004092704424510632,-0.03400161489844322,0.002315998077392578,1.002152442932129,0.006011353791109286,-2.152962,1258.0
15,6,7680,1270,224,0.301025390625,-44.03985524177551,-0.03234332409920171,0.022765402,0.2,0.0004092704424510632,-0.052498750388622284,0.0013210773468017578,1.001343011856079,0.0016427034497610293,-2.129170333333333,1258.0
16,6,8192,1266,240,0.2701416015625,-44.02681863307953,-0.02486310734821018,0.021772351,0.2,0.0004092704424510632,-0.03363398090004921,0.009343206882476807,1.002212405204773,0.013617754157166928,-2.129170333333333,1258.0
17,6,8704,1264,256,0.22021484375,-44.0815372467041,-0.020778292033355683,0.01812331,0.2,0.0004092704424510632,-0.035675130784511566,-0.04451894760131836,1.004649043083191,0.0017131314089056104,-2.129170333333333,1258.0
18,7,9216,1261,272,0.22802734375,-44.150147795677185,-0.020196298792143352,0.014527286,0.2,0.0004092704424510632,-0.031114118173718452,0.042674899101257324,1.0062739849090576,0.005462913948576897,-2.1538467142857143,1258.0
19,7,9728,1254,288,0.20751953125,-44.18954610824585,-0.02602154696069192,0.012742361,0.2,0.0004092704424510632,-0.025075174868106842,0.009054601192474365,1.0073425769805908,0.022404906048905104,-2.1538467142857143,1258.0
20,8,10240,1254,304,0.27294921875,-44.20325016975403,-0.02957251263433136,0.021833131,0.2,0.0004092704424510632,-0.0483069121837616,0.11909490823745728,1.0069926977157593,0.0017604745244170772,-2.155142625,1258.0
