time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/std,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
4297,512,1,0,,,,,,,,,,,,,
2398,1024,2,0,0.1881103515625,-0.028163064271211624,0.0004092704424510632,-0.02170241736166645,0.19197993590933038,0.999714195728302,16,0.2,-43.981650948524475,-0.791164755821228,0.015008869,,
2076,1536,3,0,0.2296142578125,-0.031815607100725174,0.0004092704424510632,-0.027105117362225428,0.0025458738637098577,1.0020285844802856,32,0.2,-44.00947558879852,-0.004099011421203613,0.01529513,1223.0,-2.289031
1920,2048,4,1,0.2730712890625,-0.03680356591939926,0.0004092704424510632,-0.02811865035619121,0.007909517677035183,1.004642128944397,48,0.2,-44.086546897888184,0.006989419460296631,0.019111395,1223.0,-2.289031
1842,2560,5,1,0.321044921875,-0.04718250408768654,0.0004092704424510632,-0.034091048524715006,0.0013446435714286054,1.0054417848587036,64,0.2,-44.14467799663544,0.006398200988769531,0.023865126,1223.0,-2.29481
1805,3072,6,1,0.2977294921875,-0.02555406093597412,0.0004092704424510632,-0.028721580383717082,0.0038219552079681307,1.0025135278701782,80,0.2,-44.113170981407166,0.002697288990020752,0.020737087,1223.0,-2.29481
1791,3584,7,2,0.29638671875,-0.04577157646417618,0.0004092704424510632,-0.033093486083089374,0.002333971395273693,1.0011402368545532,96,0.2,-44.03024911880493,-0.0005401372909545898,0.020079315,1223.0,-2.29481
1772,4096,8,2,0.2490234375,-0.024967307224869728,0.0004092704424510632,-0.022798279285780154,0.0029672308228327893,1.0004817247390747,112,0.2,-44.007070779800415,-0.0009804964065551758,0.016631598,1223.0,-2.3070726666666665
1752,4608,9,2,0.29296875,-0.030333882197737694,0.0004092704424510632,-0.03192281859810464,0.0026744378119474277,0.9999879598617554,128,0.2,-43.98776054382324,0.00015145540237426758,0.023033248,1223.0,-2.3070726666666665
1730,5120,10,2,0.3492431640625,-0.04819616302847862,0.0004092704424510632,-0.03556995186954737,0.0013759763514826773,0.9988213777542114,144,0.2,-43.96551775932312,0.00846642255783081,0.031549923,1223.0,-2.29003825
1716,5632,11,3,0.25390625,-0.04197262227535248,0.0004092704424510632,-0.024930479237809777,0.005051605141488835,0.9990465641021729,160,0.2,-43.94467222690582,-0.0009589195251464844,0.020351622,1223.0,-2.29003825
1710,6144,12,3,0.2587890625,-0.037803106009960175,0.0004092704424510632,-0.027230389008764178,0.0013917940450483002,1.0012445449829102,176,0.2,-43.977458119392395,-0.002590775489807129,0.01886703,1223.0,-2.276608
1707,6656,13,3,0.230224609375,-0.04057912528514862,0.0004092704424510632,-0.028273292526137084,0.009559677360812202,1.0033780336380005,192,0.2,-44.05496060848236,-0.0017685890197753906,0.018591007,1223.0,-2.276608
1704,7168,14,4,0.20556640625,-0.030539093539118767,0.0004092704424510632,-0.02417708429857157,0.00267955417803023,1.0040453672409058,208,0.2,-44.09535586833954,0.010664522647857666,0.015989367,1223.0,-2.276608
1701,7680,15,4,0.2320556640625,-0.034586966037750244,0.0004092704424510632,-0.026961537390889134,0.0029587493190774694,1.0039887428283691,224,0.2,-44.100805163383484,0.0015201568603515625,0.021785816,1223.0,-2.3036513333333333
1698,8192,16,4,0.24755859375,-0.025657741352915764,0.0004092704424510632,-0.024706200638320297,0.01931936020264402,1.0028008222579956,240,0.2,-44.0839958190918,0.00042933225631713867,0.019310784,1223.0,-2.3036513333333333
1691,8704,17,5,0.200439453125,-0.03518834337592125,0.0004092704424510632,-0.01986031587875914,0.00168327292703907,1.00423002243042,256,0.2,-44.07249414920807,0.01128298044204712,0.013142394,1223.0,-2.2866902857142857
1684,9216,18,5,0.2320556640625,-0.027948496863245964,0.0004092704424510632,-0.02552692950121127,0.024213642347604036,1.006119728088379,272,0.2,-44.13499474525452,0.0003898739814758301,0.022114422,1223.0,-2.2866902857142857
1679,9728,19,5,0.218994140625,-0.041456181555986404,0.0004092704424510632,-0.024784899840597063,0.0021758211823907914,1.0045976638793945,288,0.2,-44.145344376564026,0.00793832540512085,0.020185573,1223.0,-2.2866902857142857
1678,10240,20,6,0.2230224609375,-0.032601166516542435,0.0004092704424510632,-0.025532906060107052,0.0027037820145778824,1.0055707693099976,304,0.2,-44.12049674987793,0.010913193225860596,0.017584234,1223.0,-2.3007785
1678,10752,21,6,0.173583984375,-0.014180934056639671,0.0004092704424510632,-0.01806789381953422,0.034942584577947855,1.0042169094085693,320,0.2,-44.12910580635071,0.0015717744827270508,0.01252499,1223.0,-2.3007785
1677,11264,22,6,0.2144775390625,-0.045082755386829376,0.0004092704424510632,-0.025614063284592703,0.0015554466681351187,1.0013573169708252,336,0.2,-44.05636787414551,0.05800288915634155,0.0173548,1223.0,-2.3154365555555554
1677,11776,23,7,0.1885986328125,-0.012166516855359077,0.0004092704424510632,-0.02313519752351567,0.04749995900783688,1.0006132125854492,352,0.2,-43.9938018321991,0.002895176410675049,0.013757909,1223.0,-2.3154365555555554
1678,12288,24,7,0.184814453125,-0.03618695214390755,0.0004092704424510632,-0.022123991831904277,0.0015555042955384124,1.0003783702850342,368,0.2,-43.986172556877136,-0.005823254585266113,0.014804939,1223.0,-2.3104056
1679,12800,25,7,0.1663818359375,-0.01699693500995636,0.0004092704424510632,-0.022070500315749086,0.04992527607828379,1.0009915828704834,384,0.2,-43.985230922698975,0.002913832664489746,0.012829149,1223.0,-2.3104056
1679,13312,26,7,0.2265625,-0.03903120383620262,0.0004092704424510632,-0.026401522831292823,0.0021649725786119234,1.0006825923919678,400,0.2,-43.996442794799805,0.03748273849487305,0.01763233,1223.0,-2.3104056
1678,13824,27,8,0.230224609375,-0.039149925112724304,0.0004092704424510632,-0.024410944635747,0.002829859713529004,0.999700665473938,416,0.2,-43.96628534793854,-9.000301361083984e-05,0.020377545,1223.0,-2.312671818181818
1678,14336,28,8,0.211181640625,0.0011947564780712128,0.0004092704424510632,-0.021089201993163442,0.0664038605755195,0.9979499578475952,432,0.2,-43.92905509471893,0.003189682960510254,0.01973182,1223.0,-2.312671818181818
1678,14848,29,8,0.2259521484375,-0.02183111198246479,0.0004092704424510632,-0.02142979102791287,0.0017005571116897045,0.997226893901825,448,0.2,-43.88267421722412,0.10285252332687378,0.020396087,1223.0,-2.30774175
1677,15360,30,9,0.2017822265625,-0.0019236057996749878,0.0004092704424510632,-0.021135409479029477,0.06817696837242693,0.9956312775611877,464,0.2,-43.85436260700226,0.006032407283782959,0.017419256,1223.0,-2.30774175
1676,15872,31,9,0.1768798828125,-0.02806190773844719,0.0004092704424510632,-0.020023625547764823,0.004157739429501817,0.995192289352417,480,0.2,-43.81368935108185,0.21199464797973633,0.013646201,1223.0,-2.30774175
1676,16384,32,9,0.1800537109375,-0.02194604091346264,0.0004092704424510632,-0.019160011084750295,0.0027078160492237657,0.9960814118385315,496,0.2,-43.81901955604553,0.016854941844940186,0.015634336,1223.0,-2.3067513846153846
1677,16896,33,10,0.275634765625,0.003598533570766449,0.0004092704424510632,-0.024109150865115225,0.0736412713304162,0.9970852136611938,512,0.2,-43.84990620613098,0.0028151273727416992,0.03627152,1223.0,-2.3067513846153846
1676,17408,34,10,0.289306640625,-0.034343283623456955,0.0004092704424510632,-0.02728139357350301,0.002135003469447838,0.9981091618537903,528,0.2,-43.879616141319275,0.06563788652420044,0.022615727,1223.0,-2.3113840714285714
1676,17920,35,10,0.1912841796875,0.027658794075250626,0.0004092704424510632,-0.020853981652180664,0.10431250766851008,0.9989014267921448,544,0.2,-43.909207463264465,0.001042783260345459,0.019532936,1223.0,-2.3113840714285714
1676,18432,36,10,0.231201171875,-0.041234470903873444,0.0004092704424510632,-0.024315344548085704,0.0010173977534577716,0.9985548853874207,560,0.2,-43.916467785835266,-0.04984104633331299,0.018432464,1223.0,-2.313485
1675,18944,37,11,0.2823486328125,0.008776506409049034,0.0004092704424510632,-0.027736862160963938,0.09508009837009013,0.9972643852233887,576,0.2,-43.891931772232056,0.005738794803619385,0.021419782,1223.0,-2.313485
1675,19456,38,11,0.2655029296875,-0.04038010537624359,0.0004092704424510632,-0.027483095560455695,0.0022621761927439366,0.996297299861908,592,0.2,-43.849937915802,-0.059699177742004395,0.018372778,1223.0,-2.313485
1674,19968,39,11,0.2081298828125,-0.03552284464240074,0.0004092704424510632,-0.023552338396257255,0.0027713642157323193,0.9968633055686951,608,0.2,-43.84126806259155,0.004925966262817383,0.015419299,1223.0,-2.31071925
1674,20480,40,12,0.224609375,0.002628263086080551,0.0004092704424510632,-0.022651788058283273,0.09897916694171727,0.99724942445755,624,0.2,-43.85919654369354,0.010251224040985107,0.01787325,1223.0,-2.31071925
1674,20992,41,12,0.2274169921875,-0.03322359547019005,0.0004092704424510632,-0.025630670294049196,0.0071967519470490515,0.9963357448577881,640,0.2,-43.85606825351715,-0.7195712327957153,0.02110643,1223.0,-2.311183588235294
1674,21504,42,12,0.26025390625,0.008216425776481628,0.0004092704424510632,-0.02411204282543622,0.08929453883320093,0.9962537288665771,656,0.2,-43.83302712440491,0.0038967132568359375,0.015791938,1223.0,-2.311183588235294
1674,22016,43,13,0.226318359375,-0.041892748326063156,0.0004092704424510632,-0.026363897341070697,0.0023599090163770597,0.9947360754013062,672,0.2,-43.813618898391724,-0.11557066440582275,0.02053576,1223.0,-2.310420944444444
1673,22528,44,13,0.227783203125,-0.011086460202932358,0.0004092704424510632,-0.023440271135768853,0.07574565068352968,0.9934242963790894,688,0.2,-43.76450455188751,0.007501125335693359,0.021105707,1223.0,-2.310420944444444
1673,23040,45,13,0.2044677734375,-0.03974185138940811,0.0004092704424510632,-0.02571168469148688,0.008506199359544553,0.9933410286903381,704,0.2,-43.74437367916107,-0.03386831283569336,0.015130721,1223.0,-2.310420944444444
