time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
4096,0,1,512,,,,,,,,,,,,,
1882,0,2,1024,16,0.16426797036547214,-1.5489630699157715,0.99764084815979,0.2,-0.03496197238564491,0.015700307,-43.95356607437134,0.0004092704424510632,0.236328125,-0.027317452302668244,,
1604,0,3,1536,32,0.0047153852647170424,-0.0716400146484375,0.9973692297935486,0.2,-0.03889978304505348,0.02743452,-43.90443456172943,0.0004092704424510632,0.3365478515625,-0.03305072002694942,1258.0,-2.595123
1489,1,4,2048,48,0.012829624291043729,-0.0021712779998779297,0.9989248514175415,0.2,-0.009115208871662617,0.01667875,-43.92212200164795,0.0004092704424510632,0.2208251953125,-0.016978210856905207,1258.0,-2.595123
1430,1,5,2560,64,0.005295388211379759,-0.0030890703201293945,0.9998940825462341,0.2,-0.029339002445340157,0.02158104,-43.966872215270996,0.0004092704424510632,0.3076171875,-0.032370174914831296,1258.0,-2.6608530000000004
1396,2,6,3072,80,0.006341076652461197,-0.004175543785095215,0.997710108757019,0.2,-0.0285565834492445,0.014162404,-43.95630156993866,0.0004092704424510632,0.220947265625,-0.024368524667806923,1258.0,-2.6608530000000004
1373,2,7,3584,96,0.006660527287749574,-0.003985404968261719,0.9968015551567078,0.2,-0.029774261638522148,0.0169334,-43.89007484912872,0.0004092704424510632,0.26708984375,-0.027544730925001204,1258.0,-2.6608530000000004
1356,3,8,4096,112,0.0027323173962940928,0.005697727203369141,0.9965350031852722,0.2,-0.04284912720322609,0.014770041,-43.877925872802734,0.0004092704424510632,0.246826171875,-0.026086711935931817,1258.0,-2.6929080000000005
1342,3,9,4608,128,0.004483423472265713,-0.00035703182220458984,0.993683934211731,0.2,-0.04731036350131035,0.019186892,-43.83735990524292,0.0004092704424510632,0.2838134765625,-0.03554846563201863,1258.0,-2.6929080000000005
1332,3,10,5120,144,0.007662831398192793,-0.001135110855102539,0.9929107427597046,0.2,-0.033249419182538986,0.019081872,-43.761550426483154,0.0004092704424510632,0.2659912109375,-0.026674561260733753,1258.0,-2.7246525000000004
1318,4,11,5632,160,0.008533757412806153,-0.00014722347259521484,0.9912154674530029,0.2,-0.02103867568075657,0.017917993,-43.73670828342438,0.0004092704424510632,0.2354736328125,-0.02166447471245192,1258.0,-2.7246525000000004
