time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,3728,512,,,,,,,,,,,,,
2,0,1806,1024,0.3214111328125,0.0004092704424510632,0.1644919120153645,-0.5621703863143921,16,1.002998948097229,-0.05088688060641289,-44.023048520088196,-0.04091130520100705,0.021753572,0.2,,
3,0,1550,1536,0.257080078125,0.0004092704424510632,0.0038855582242831588,0.019782721996307373,32,1.004209041595459,-0.04067305848002434,-44.1026154756546,-0.029375952275586314,0.016409561,0.2,1257.0,-2.480315
4,1,1447,2048,0.2926025390625,0.0004092704424510632,0.014986194553785026,0.00556713342666626,48,1.006229281425476,-0.03178131952881813,-44.14094853401184,-0.030290338560007513,0.021840677,0.2,1257.0,-2.480315
5,1,1392,2560,0.2767333984375,0.0004092704424510632,0.0036379818848217838,0.11043238639831543,64,1.006287932395935,-0.035675738006830215,-44.18491768836975,-0.02766408017487265,0.017253803,0.2,1257.0,-2.502711
6,2,1357,3072,0.2882080078125,0.0004092704424510632,0.008422327126027085,0.03856462240219116,80,1.0068585872650146,-0.037825677543878555,-44.18299162387848,-0.025708008965011686,0.020046964,0.2,1257.0,-2.502711
7,2,1334,3584,0.2442626953125,0.0004092704424510632,0.007160782450227998,0.027552366256713867,96,1.006568193435669,-0.02464614249765873,-44.19332134723663,-0.01955733756767586,0.01615071,0.2,1257.0,-2.502711
8,3,1313,4096,0.2791748046875,0.0004092704424510632,0.004275851017155219,0.0039643049240112305,112,1.0057913064956665,-0.03049035184085369,-44.17486369609833,-0.02908118919003755,0.016740428,0.2,1257.0,-2.538368
9,3,1298,4608,0.2425537109375,0.0004092704424510632,0.005506394998519681,0.03837275505065918,128,1.0049790143966675,-0.02496270090341568,-44.149200320243835,-0.024313455243827775,0.017730955,0.2,1257.0,-2.538368
10,4,1270,5120,0.211181640625,0.0004092704424510632,0.001731591082716477,0.11376798152923584,144,1.005373477935791,-0.036774855107069016,-44.13806700706482,-0.020935045962687582,0.016885456,0.2,1257.0,-2.5132305
11,4,1263,5632,0.2352294921875,0.0004092704424510632,0.004427463543834165,-0.018378615379333496,160,1.0056794881820679,-0.036162834614515305,-44.15202856063843,-0.02299639760167338,0.016830336,0.2,1257.0,-2.5132305
12,4,1258,6144,0.25244140625,0.0004092704424510632,0.004380044927529525,0.04230046272277832,176,1.005553960800171,-0.03701142221689224,-44.15154159069061,-0.0314288130030036,0.017259495,0.2,1257.0,-2.5132305
13,5,1254,6656,0.237060546875,0.0004092704424510632,0.004684129242377821,0.008110761642456055,192,1.0040754079818726,-0.0336402989923954,-44.132179737091064,-0.025560221285559237,0.015381413,0.2,1257.0,-2.5014112
14,5,1250,7168,0.319580078125,0.0004092704424510632,0.015637552889529616,0.0049479007720947266,208,1.0031391382217407,-0.04950999468564987,-44.08723247051239,-0.03312401342554949,0.021385513,0.2,1257.0,-2.5014112
15,6,1247,7680,0.241943359375,0.0004092704424510632,0.002927954621554818,0.0008510351181030273,224,1.002937912940979,-0.0313599668443203,-44.06537353992462,-0.029950050346087664,0.016540516,0.2,1257.0,-2.5146281666666668
16,6,1244,8192,0.2481689453125,0.0004092704424510632,0.01904619374545291,-0.001237034797668457,240,1.000072956085205,-0.031230159103870392,-44.027198910713196,-0.026931269007036462,0.022657815,0.2,1257.0,-2.5146281666666668
17,7,1241,8704,0.2564697265625,0.0004092704424510632,0.005578785894613247,0.013230443000793457,256,0.9980942010879517,-0.031948599964380264,-43.93426072597504,-0.024914810390328057,0.019324731,0.2,1257.0,-2.5146281666666668
18,7,1238,9216,0.179931640625,0.0004092704424510632,0.005047138067311607,-0.0019903182983398438,272,1.0004974603652954,-0.02701524831354618,-43.93448054790497,-0.01896327393478714,0.014991166,0.2,1257.0,-2.5272135714285713
19,7,1236,9728,0.3145751953125,0.0004092704424510632,0.04303091939073056,0.0012230277061462402,288,0.9996472001075745,-0.022422561421990395,-43.983312010765076,-0.03042160757468082,0.037901424,0.2,1257.0,-2.5272135714285713
20,8,1235,10240,0.2220458984375,0.0004092704424510632,0.0032416922185802832,-0.05490076541900635,304,0.9997370839118958,-0.040166836231946945,-43.95364511013031,-0.025910466560162604,0.017167252,0.2,1257.0,-2.539824875
21,8,1233,10752,0.2474365234375,0.0004092704424510632,0.04310725477989763,0.0037007927894592285,320,0.9984139800071716,-0.021850893273949623,-43.946107149124146,-0.026994842279236764,0.019977352,0.2,1257.0,-2.539824875
22,9,1231,11264,0.2266845703125,0.0004092704424510632,0.00395692956954008,0.016669392585754395,336,0.9979868531227112,-0.033809252083301544,-43.9093976020813,-0.024063375443802215,0.021420501,0.2,1257.0,-2.539824875
23,9,1230,11776,0.1827392578125,0.0004092704424510632,0.004142456553381635,0.0025080442428588867,352,0.9978398084640503,-0.016089262440800667,-43.90501046180725,-0.019269270123913884,0.013848876,0.2,1257.0,-2.537010111111111
24,9,1229,12288,0.2569580078125,0.0004092704424510632,0.06892482272814959,0.001243293285369873,368,0.9965727925300598,-0.010381169617176056,-43.88642227649689,-0.028120411589043215,0.028706329,0.2,1257.0,-2.537010111111111
25,10,1228,12800,0.2496337890625,0.0004092704424510632,0.0051310203489265405,-0.02412545680999756,384,0.9954115152359009,-0.04243006184697151,-43.84217011928558,-0.02727368290652521,0.019479576,0.2,1257.0,-2.5619098
26,10,1226,13312,0.2119140625,0.0004092704424510632,0.08109490782953799,0.002660512924194336,400,0.9948639869689941,0.011229924857616425,-43.812664270401,-0.022786867601098493,0.013879621,0.2,1257.0,-2.5619098
27,11,1225,13824,0.2431640625,0.0004092704424510632,0.005358928698115051,0.0006297826766967773,416,0.9944425225257874,-0.03708462044596672,-43.80058133602142,-0.02455212184577249,0.024111487,0.2,1257.0,-2.5619098
28,11,1224,14336,0.243408203125,0.0004092704424510632,0.0039012734923744574,-0.02270817756652832,432,0.9917277693748474,-0.04442304000258446,-43.758121371269226,-0.028649901010794565,0.020220038,0.2,1257.0,-2.5636094545454546
29,12,1224,14848,0.200439453125,0.0004092704424510632,0.017856729522463866,0.005217909812927246,448,0.9914326667785645,-0.024880575016140938,-43.69469702243805,-0.020773318217834458,0.015405461,0.2,1257.0,-2.5636094545454546
