time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,512,3900,,,,,,,,,,,,,
2,0,1024,2551,0.0147030875,-0.3170757293701172,0.2,-0.03275129909161478,0.9988757371902466,0.0004092704424510632,-0.04192718490958214,-43.967551469802856,0.26318359375,16,0.12175845957972342,,
3,0,1536,2287,0.021820635,0.0029651522636413574,0.2,-0.03190159118094016,0.9991662502288818,0.0004092704424510632,-0.046015430241823196,-43.95276665687561,0.3079833984375,32,0.00404780573444441,1257.0,-2.52035
4,0,2048,2192,0.025421806,0.009546816349029541,0.2,-0.03689774012309499,0.9998084902763367,0.0004092704424510632,-0.04121845215559006,-43.969582319259644,0.345458984375,48,0.005441958855953999,1257.0,-2.52035
5,1,2560,2109,0.013675707,0.005539953708648682,0.2,-0.022125191244413145,0.999133825302124,0.0004092704424510632,-0.034275755286216736,-43.97177815437317,0.21240234375,64,0.0035385293522267602,1257.0,-2.589153
6,1,3072,2063,0.02037014,0.0022600889205932617,0.2,-0.029393881181022152,0.999951183795929,0.0004092704424510632,-0.03406508266925812,-43.964518666267395,0.3126220703125,80,0.004951448026986327,1257.0,-2.589153
7,1,3584,2026,0.016709805,0.023034989833831787,0.2,-0.029513519868487492,1.0022757053375244,0.0004092704424510632,-0.041124340146780014,-44.01161336898804,0.275146484375,96,0.002527714543248294,1257.0,-2.589153
8,2,4096,2011,0.014053814,-0.003312349319458008,0.2,-0.02231112535810098,1.0032453536987305,0.0004092704424510632,-0.037686388939619064,-44.07102990150452,0.2091064453125,112,0.004448255036550108,1257.0,-2.660276666666667
9,2,4608,1996,0.019906424,0.0016219019889831543,0.2,-0.024135232029948384,1.0032577514648438,0.0004092704424510632,-0.029734261333942413,-44.080726861953735,0.2747802734375,128,0.015338103839894757,1257.0,-2.660276666666667
10,2,5120,1982,0.017858658,0.006406724452972412,0.2,-0.02611027203965932,1.0033022165298462,0.0004092704424510632,-0.04545757547020912,-44.08033514022827,0.2808837890625,144,0.005296949871990364,1257.0,-2.66900875
