time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,3699,0,,,,,,,,,,,,,
1024,2,2056,0,0.173583984375,-44.006863713264465,-0.023705742903985083,0.0004092704424510632,0.011973057,16,0.14080918451509206,1.001137375831604,0.2,-0.03397761657834053,-0.7652029991149902,,
1536,3,1799,0,0.2569580078125,-44.04135751724243,-0.026233646960463375,0.0004092704424510632,0.023856964,32,0.0091151867818553,1.002636432647705,0.2,-0.03445605933666229,0.004560649394989014,-2.725238,1258.0
2048,4,1683,1,0.272216796875,-44.073816776275635,-0.025281878879468422,0.0004092704424510632,0.01847343,48,0.0016348305962310405,1.002879023551941,0.2,-0.029468944296240807,0.006722748279571533,-2.725238,1258.0
2560,5,1604,1,0.260986328125,-44.06641101837158,-0.02258363479631953,0.0004092704424510632,0.01604412,64,0.002781556311674649,1.0023959875106812,0.2,-0.03602537140250206,-0.005186200141906738,-2.6748655,1258.0
3072,6,1587,1,0.2755126953125,-44.05069434642792,-0.025796121495659463,0.0004092704424510632,0.019352555,80,0.005907046943320893,1.0018842220306396,0.2,-0.02771362103521824,0.005067706108093262,-2.6748655,1258.0
3584,7,1570,2,0.2998046875,-44.05330002307892,-0.026666969701182097,0.0004092704424510632,0.021356327,96,0.0029306233518582303,1.0029939413070679,0.2,-0.03171264007687569,0.0006878972053527832,-2.6748655,1258.0
4096,8,1550,2,0.268310546875,-44.092105865478516,-0.024648440354212653,0.0004092704424510632,0.016475108,112,0.014391514036105946,1.004165768623352,0.2,-0.031860604882240295,0.0033974647521972656,-2.71187,1258.0
4608,9,1507,3,0.26171875,-44.11683654785156,-0.024343955796211958,0.0004092704424510632,0.017408745,128,0.011595507472520694,1.0041784048080444,0.2,-0.027602724730968475,0.005937814712524414,-2.71187,1258.0
5120,10,1512,3,0.3082275390625,-44.09874653816223,-0.03333835452212952,0.0004092704424510632,0.02677524,144,0.008893250196706504,1.0036897659301758,0.2,-0.044729072600603104,0.010977327823638916,-2.6638735,1258.0
5632,11,1514,3,0.287109375,-44.080740094184875,-0.025890318618621677,0.0004092704424510632,0.021138243,160,0.019151896616676822,1.0029054880142212,0.2,-0.017172399908304214,0.004057943820953369,-2.6638735,1258.0
6144,12,1523,4,0.2701416015625,-44.06568086147308,-0.02880118551547639,0.0004092704424510632,0.017474754,176,0.0028212792130943853,1.0031121969223022,0.2,-0.029358472675085068,0.04278534650802612,-2.6638735,1258.0
6656,13,1537,4,0.2998046875,-44.05538260936737,-0.02819396651466377,0.0004092704424510632,0.032275375,192,0.014239240728784353,1.0018222332000732,0.2,-0.02573256567120552,0.004799842834472656,-2.7135827999999997,1258.0
7168,14,1546,4,0.303955078125,-44.02207803726196,-0.025852157035842538,0.0004092704424510632,0.028321583,208,0.03378421609522775,1.0011162757873535,0.2,-0.008961161598563194,0.005865991115570068,-2.7135827999999997,1258.0
7680,15,1557,4,0.308349609375,-44.00811302661896,-0.028733323008054867,0.0004092704424510632,0.025063774,224,0.00804374649305828,1.0009788274765015,0.2,-0.039227500557899475,0.12758344411849976,-2.6958895,1258.0
8192,16,1563,5,0.2760009765625,-43.979292035102844,-0.026317441137507558,0.0004092704424510632,0.020474542,240,0.04014115029713139,0.9991477727890015,0.2,-0.01833449862897396,0.011088311672210693,-2.6958895,1258.0
8704,17,1570,5,0.2391357421875,-43.945712208747864,-0.026542375213466585,0.0004092704424510632,0.01696741,256,0.002797332726913737,0.9993628859519958,0.2,-0.032829649746418,-0.06815385818481445,-2.6958895,1258.0
9216,18,1577,5,0.220703125,-43.96525716781616,-0.021006055219913833,0.0004092704424510632,0.014569984,272,0.01306539896177128,1.0000882148742676,0.2,-0.027842897921800613,-0.007860183715820312,-2.698263285714286,1258.0
9728,19,1582,6,0.2286376953125,-43.979403138160706,-0.024988064484205097,0.0004092704424510632,0.016888017,288,0.05874101328663528,1.0004218816757202,0.2,0.004871059209108353,0.012488484382629395,-2.698263285714286,1258.0
10240,20,1590,6,0.24755859375,-43.99459135532379,-0.023826085147447884,0.0004092704424510632,0.023528807,304,0.011894516908796504,1.001279354095459,0.2,-0.02551853656768799,0.06164819002151489,-2.699211125,1258.0
10752,21,1600,6,0.302001953125,-43.99677228927612,-0.030253297882154584,0.0004092704424510632,0.02835148,320,0.05886743764858693,1.0003883838653564,0.2,-0.010311653837561607,0.03430962562561035,-2.699211125,1258.0
11264,22,1608,7,0.2615966796875,-43.96940493583679,-0.028399718459695578,0.0004092704424510632,0.019202814,336,0.0028599336292245425,0.999838650226593,0.2,-0.050705283880233765,-0.1777125597000122,-2.699211125,1258.0
11776,23,1616,7,0.215087890625,-43.95793056488037,-0.02378217873047106,0.0004092704424510632,0.021520125,352,0.010926544899120927,0.9996688365936279,0.2,-0.02020963281393051,0.01891857385635376,-2.699776888888889,1258.0
12288,24,1624,7,0.2489013671875,-43.9587128162384,-0.025673076539533213,0.0004092704424510632,0.022837685,368,0.059972713817842305,1.0000340938568115,0.2,-0.01229345053434372,0.031245887279510498,-2.699776888888889,1258.0
12800,25,1631,7,0.2254638671875,-43.95425188541412,-0.026009704713942483,0.0004092704424510632,0.021350093,384,0.020720513857668266,0.998977541923523,0.2,-0.017642557621002197,-0.4290931224822998,-2.6939636,1258.0
13312,26,1638,8,0.2247314453125,-43.93791365623474,-0.02348401618655771,0.0004092704424510632,0.023395887,400,0.050618055276572704,0.9993912577629089,0.2,0.0003738105297088623,0.291556715965271,-2.6939636,1258.0
