time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/std,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
0,512,3997,1,,,,,,,,,,,,,
0,1024,2527,2,0.2274169921875,-1.1393308639526367,1.00019109249115,0.0004092704424510632,-0.03612559288740158,0.2,-0.028812555072363466,-43.986997961997986,0.014216784,0.17060545519780135,16,,
0,1536,2273,3,0.2574462890625,0.031734585762023926,0.9997658729553223,0.0004092704424510632,-0.03389187157154083,0.2,-0.02796134288655594,-43.98824965953827,0.01916005,0.0024234196134784725,32,1223.0,-2.169223
0,2048,2161,4,0.30029296875,0.0073032379150390625,0.9996898770332336,0.0004092704424510632,-0.03618578612804413,0.2,-0.032047745189629495,-43.972105264663696,0.019503396,0.008035103557631373,48,1223.0,-2.169223
1,2560,2101,5,0.2952880859375,0.005271017551422119,0.9986846446990967,0.0004092704424510632,-0.04595397040247917,0.2,-0.03008914040401578,-43.965808033943176,0.021269668,0.001418584037310211,64,1223.0,-2.237242
1,3072,2061,6,0.2781982421875,0.007316946983337402,0.9978150129318237,0.0004092704424510632,-0.04049957916140556,0.2,-0.024601673445431516,-43.92878222465515,0.0184904,0.003721583903825376,80,1223.0,-2.237242
1,3584,2036,7,0.2237548828125,-0.003094196319580078,0.9983665347099304,0.0004092704424510632,-0.03274412453174591,0.2,-0.024724320566747338,-43.919782280921936,0.017482504,0.0019538885971996933,96,1223.0,-2.237242
2,4096,2017,8,0.3089599609375,0.0029096603393554688,0.9988299608230591,0.0004092704424510632,-0.03815913572907448,0.2,-0.034848275157855824,-43.93903052806854,0.02310233,0.0023848288037697785,112,1223.0,-2.1964426666666665
2,4608,2002,9,0.1593017578125,-0.011605262756347656,0.9965773224830627,0.0004092704424510632,-0.03013036958873272,0.2,-0.018123119582014624,-43.91785264015198,0.012012442,0.003190605049894657,128,1223.0,-2.1964426666666665
2,5120,1990,10,0.2528076171875,0.011388778686523438,0.993628203868866,0.0004092704424510632,-0.022981788963079453,0.2,-0.023072971191140823,-43.82975137233734,0.020376999,0.0016604019147052895,144,1223.0,-2.19366575
2,5632,1981,11,0.235107421875,-0.005804181098937988,0.9924086332321167,0.0004092704424510632,-0.03612661361694336,0.2,-0.021853816462680697,-43.760825634002686,0.013619962,0.0059176604700041935,160,1223.0,-2.19366575
3,6144,1973,12,0.2271728515625,-0.002505183219909668,0.9912673830986023,0.0004092704424510632,-0.045262329280376434,0.2,-0.02432980595040135,-43.726208567619324,0.016211703,0.001387368456562399,176,1223.0,-2.175714
3,6656,1966,13,0.2811279296875,-0.0025519132614135742,0.9906814098358154,0.0004092704424510632,-0.025802120566368103,0.2,-0.024864239123417065,-43.696732878685,0.026505793,0.008726728934561834,192,1223.0,-2.175714
3,7168,1961,14,0.2691650390625,0.003365755081176758,0.9913749694824219,0.0004092704424510632,-0.056628890335559845,0.2,-0.02939777991559822,-43.695748805999756,0.016290572,0.002486384542862652,208,1223.0,-2.175714
3,7680,1956,15,0.216064453125,0.003942310810089111,0.9931823015213013,0.0004092704424510632,-0.03423840552568436,0.2,-0.023639147460926324,-43.73298239707947,0.016122172,0.0019184337961632991,224,1223.0,-2.1818796666666667
4,8192,1952,16,0.2789306640625,-0.000980973243713379,0.9952768087387085,0.0004092704424510632,-0.02056211233139038,0.2,-0.02905158736393787,-43.79474675655365,0.017942883,0.020524030493106693,240,1223.0,-2.1818796666666667
4,8704,1948,17,0.22900390625,-0.003302931785583496,0.9961727261543274,0.0004092704424510632,-0.028201207518577576,0.2,-0.020484684588154778,-43.84560668468475,0.019507643,0.0013038592096563661,256,1223.0,-2.199302142857143
4,9216,1946,18,0.2276611328125,6.699562072753906e-05,0.9981517195701599,0.0004092704424510632,-0.028099659830331802,0.2,-0.02874991120188497,-43.883843660354614,0.01762379,0.025936555350199342,272,1223.0,-2.199302142857143
4,9728,1947,19,0.273193359375,0.0018767714500427246,0.9994519352912903,0.0004092704424510632,-0.04942026361823082,0.2,-0.028542295563966036,-43.939276695251465,0.020073915,0.0016396355640608817,288,1223.0,-2.199302142857143
5,10240,1944,20,0.2154541015625,0.0050789713859558105,0.9981043338775635,0.0004092704424510632,-0.0338134728372097,0.2,-0.026227333044516854,-43.944247007369995,0.015719865,0.0026956453402817715,304,1223.0,-2.196611125
5,10752,1938,21,0.3072509765625,0.000743865966796875,0.9981199502944946,0.0004092704424510632,-0.03108343482017517,0.2,-0.030547311558621004,-43.911067485809326,0.03560795,0.036830399360042065,320,1223.0,-2.196611125
5,11264,1932,22,0.191650390625,0.0018190741539001465,0.997154712677002,0.0004092704424510632,-0.032185401767492294,0.2,-0.02081191196339205,-43.90467715263367,0.013709588,0.0014869490514684003,336,1223.0,-2.1896471111111113
6,11776,1926,23,0.2574462890625,0.0023398399353027344,0.9957184195518494,0.0004092704424510632,-0.0076121985912323,0.2,-0.023039962630718946,-43.86130344867706,0.016257424,0.04341306770220399,352,1223.0,-2.1896471111111113
6,12288,1921,24,0.205322265625,-0.02007460594177246,0.9954171776771545,0.0004092704424510632,-0.024733545258641243,0.2,-0.01948929831269197,-43.827996611595154,0.013625167,0.001315327812335454,368,1223.0,-2.1941593
6,12800,1917,25,0.2677001953125,-3.6954879760742188e-06,0.9951229095458984,0.0004092704424510632,-0.0063654594123363495,0.2,-0.027520353949512355,-43.82419741153717,0.0237136,0.04758999776095152,384,1223.0,-2.1941593
6,13312,1913,26,0.232421875,0.03651374578475952,0.9942123293876648,0.0004092704424510632,-0.0382334366440773,0.2,-0.024932170374086127,-43.80434036254883,0.017120011,0.002761798994470155,400,1223.0,-2.1941593
7,13824,1909,27,0.2252197265625,0.0021541714668273926,0.9943403601646423,0.0004092704424510632,-0.043780598789453506,0.2,-0.025413339491933584,-43.787893295288086,0.0161465,0.0018145504345739027,416,1223.0,-2.193277
7,14336,1906,28,0.2274169921875,0.00031882524490356445,0.9932228922843933,0.0004092704424510632,-0.002340046688914299,0.2,-0.020420277724042535,-43.78337299823761,0.016312914,0.0658762080129236,432,1223.0,-2.193277
7,14848,1903,29,0.2191162109375,0.04211241006851196,0.994501531124115,0.0004092704424510632,-0.03530755266547203,0.2,-0.023628849565284327,-43.771605253219604,0.016410075,0.0013997498535900377,448,1223.0,-2.1969585
8,15360,1900,30,0.218505859375,-0.0008962154388427734,0.9949312806129456,0.0004092704424510632,-0.0016002655029296875,0.2,-0.025157085940008983,-43.810614705085754,0.019269202,0.06923974375240505,464,1223.0,-2.1969585
