time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,3935,0,,,,,,,,,,,,,
2,1024,2136,0,0.2,0.0004092704424510632,0.228515625,0.018202068,-2.145662546157837,0.11002068745801807,1.0001295804977417,16,-0.023924686713144183,-0.03138750046491623,-43.984875559806824,,
3,1536,1845,0,0.2,0.0004092704424510632,0.238037109375,0.015235711,-0.07547378540039062,0.0022763940251024906,1.0004726648330688,32,-0.026037760020699352,-0.02639072574675083,-43.99628448486328,-2.098135,1258.0
4,2048,1722,1,0.2,0.0004092704424510632,0.3768310546875,0.030330159,-0.0009872913360595703,0.01570347955566831,0.9989744424819946,48,-0.03629031471791677,-0.0309598445892334,-43.98174977302551,-2.098135,1258.0
5,2560,1673,1,0.2,0.0004092704424510632,0.2646484375,0.017955553,-0.0165785551071167,0.0025237214322260115,0.9999334216117859,64,-0.03100928317871876,-0.049679096788167953,-43.958728313446045,-2.1204755,1258.0
6,3072,1645,1,0.2,0.0004092704424510632,0.303466796875,0.020866923,0.010382235050201416,0.01937920370255597,0.9976677298545837,80,-0.025914985628332943,-0.019906815141439438,-43.961466789245605,-2.1204755,1258.0
7,3584,1628,2,0.2,0.0004092704424510632,0.2601318359375,0.015424404,0.03173452615737915,0.0013132661460986128,0.9958755970001221,96,-0.02803415627568029,-0.0374581404030323,-43.87577688694,-2.1204755,1258.0
8,4096,1612,2,0.2,0.0004092704424510632,0.3157958984375,0.02362173,0.019652843475341797,0.004573289297695737,0.9971693754196167,112,-0.029766079620458186,-0.03455429896712303,-43.86995005607605,-2.162881,1258.0
9,4608,1595,2,0.2,0.0004092704424510632,0.257080078125,0.01795714,0.018205881118774414,0.025596694264095277,0.9987769722938538,128,-0.025479305913904682,-0.023175226524472237,-43.92053401470184,-2.162881,1258.0
10,5120,1580,3,0.2,0.0004092704424510632,0.227783203125,0.016694706,-0.081795334815979,0.002051330819085706,1.0005651712417603,144,-0.02089015778619796,-0.02090846374630928,-43.968716859817505,-2.1782417499999998,1258.0
