time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/std,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,4187,512,,,,,,,,,,,,,
2,0,2686,1024,0.01808725,-0.03305254589940887,0.2,-0.35071730613708496,-0.03594820201396942,1.0011481046676636,0.0004092704424510632,0.10988860160432523,0.2681884765625,16,-44.00577354431152,,
3,0,2465,1536,0.018732864,-0.030654610483907163,0.2,0.07262939214706421,-0.04490261897444725,0.9983709454536438,0.0004092704424510632,0.004455269634490833,0.2586669921875,32,-43.99088764190674,1258.0,-2.613558
4,0,2157,2048,0.022437865,-0.037356681263190694,0.2,0.0027902722358703613,-0.039626725018024445,0.9953506588935852,0.0004092704424510632,0.013408436061581597,0.3345947265625,48,-43.88769316673279,1258.0,-2.613558
5,1,2007,2560,0.019575678,-0.029616350249852985,0.2,0.26223474740982056,-0.04191499575972557,0.9913935661315918,0.0004092704424510632,0.003747671544260811,0.2799072265625,64,-43.78371846675873,1258.0,-2.5580410000000002
6,1,1922,3072,0.016479071,-0.023392633913317695,0.2,0.07056188583374023,-0.020987635478377342,0.9883325099945068,0.0004092704424510632,0.020219218858983368,0.27490234375,80,-43.665979504585266,1258.0,-2.5580410000000002
7,1,1874,3584,0.01856935,-0.02547461213544011,0.2,0.45667028427124023,-0.03959250822663307,0.9891790747642517,0.0004092704424510632,0.0026163837283093017,0.2867431640625,96,-43.623021721839905,1258.0,-2.5580410000000002
8,2,1837,4096,0.016292982,-0.022530040267156437,0.2,0.46185141801834106,-0.03366723284125328,0.9897042512893677,0.0004092704424510632,0.0020000944987259572,0.224365234375,112,-43.656402230262756,1258.0,-2.505050666666667
9,2,1809,4608,0.016940452,-0.02805573507794179,0.2,0.08102524280548096,-0.03184198960661888,0.9900643229484558,0.0004092704424510632,0.026293550617992878,0.2840576171875,128,-43.668437480926514,1258.0,-2.505050666666667
10,2,1787,5120,0.017167434,-0.03087201363814529,0.2,0.5556844472885132,-0.039395757019519806,0.9899913668632507,0.0004092704424510632,0.002256946259876713,0.28076171875,144,-43.6656197309494,1258.0,-2.496756
11,3,1772,5632,0.027203461,-0.0261668044840917,0.2,0.15677112340927124,-0.015314381569623947,0.9913146495819092,0.0004092704424510632,0.028239612991455942,0.30126953125,160,-43.684550523757935,1258.0,-2.496756
12,3,1760,6144,0.015439012,-0.023907470953417942,0.2,0.5066968202590942,-0.034624092280864716,0.9907877445220947,0.0004092704424510632,0.002909800077759428,0.2142333984375,176,-43.702730774879456,1258.0,-2.496756
13,3,1751,6656,0.013296353,-0.02034443560114596,0.2,0.5021153688430786,-0.032431647181510925,0.9900314211845398,0.0004092704424510632,0.0023101088736439124,0.1844482421875,192,-43.67690455913544,1258.0,-2.5050632
14,4,1742,7168,0.025206659,-0.03310305261402391,0.2,0.2445548176765442,-0.030514491721987724,0.9904772639274597,0.0004092704424510632,0.03238263871753588,0.294189453125,208,-43.666144013404846,1258.0,-2.5050632
15,4,1731,7680,0.017733129,-0.025766490420210175,0.2,-0.1276916265487671,-0.04399413242936134,0.9891414046287537,0.0004092704424510632,0.004766263027704554,0.2376708984375,224,-43.66167104244232,1258.0,-2.5017275
16,4,1722,8192,0.02786794,-0.029045745795883704,0.2,0.3122941255569458,-0.027338344603776932,0.9904438853263855,0.0004092704424510632,0.02870853419881314,0.3134765625,240,-43.645110964775085,1258.0,-2.5017275
17,5,1716,8704,0.01609925,-0.02392196559230797,0.2,0.3896793723106384,-0.024082552641630173,0.9919033050537109,0.0004092704424510632,0.007036843016976491,0.2421875,256,-43.70202112197876,1258.0,-2.5017275
