time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4101,512,0,1,,,,,,,,,,,,,
1875,1024,0,2,0.0004092704424510632,0.262451171875,0.19606821854540613,0.2,1.0017894506454468,-44.01051902770996,-0.034856836980907246,0.015447066,-0.04615001380443573,-0.6179119348526001,16,,
1592,1536,0,3,0.0004092704424510632,0.276611328125,0.0031502283381996676,0.2,1.0014766454696655,-44.04300582408905,-0.03486881410935894,0.02340407,-0.04135548323392868,-0.03401923179626465,32,-2.255642,1257.0
1478,2048,1,4,0.0004092704424510632,0.242431640625,0.008548549318220466,0.2,1.001596212387085,-44.028109550476074,-0.02386965401819907,0.015791463,-0.028108499944210052,-0.0018936395645141602,48,-2.255642,1257.0
1421,2560,1,5,0.0004092704424510632,0.2440185546875,0.0026723346345534083,0.2,1.0017279386520386,-44.03571176528931,-0.02461589896120131,0.016507875,-0.030460869893431664,0.014476418495178223,64,-2.2271615000000002,1257.0
1382,3072,2,6,0.0004092704424510632,0.1971435546875,0.005314690388331655,0.2,1.0035780668258667,-44.063098549842834,-0.02226049062301172,0.012380376,-0.023805610835552216,-0.0003941059112548828,80,-2.2271615000000002,1257.0
1358,3584,2,7,0.0004092704424510632,0.2633056640625,0.005002287078241352,0.2,1.0041688680648804,-44.10699129104614,-0.025850295642158017,0.016668327,-0.02900092862546444,0.014011204242706299,96,-2.2271615000000002,1257.0
1340,4096,3,8,0.0004092704424510632,0.175048828125,0.004262230606400408,0.2,1.0040985345840454,-44.1106219291687,-0.019101903453702107,0.012309707,-0.024765603244304657,-0.0015624761581420898,112,-2.2749953333333335,1257.0
1325,4608,3,9,0.0004092704424510632,0.2220458984375,0.005026308659580536,0.2,1.004438877105713,-44.11443889141083,-0.024156905550626107,0.019594941,-0.03676184266805649,0.013599395751953125,128,-2.2749953333333335,1257.0
1314,5120,3,10,0.0004092704424510632,0.19482421875,0.0024365669014514424,0.2,1.005702257156372,-44.135748505592346,-0.023672501818509772,0.01647339,-0.04875669628381729,0.033986032009124756,144,-2.3139515000000004,1257.0
1303,5632,4,11,0.0004092704424510632,0.2689208984375,0.00698289304273203,0.2,1.0052211284637451,-44.15606248378754,-0.028135455155279487,0.024418397,-0.030255695804953575,-0.003529667854309082,160,-2.3139515000000004,1257.0
1295,6144,4,12,0.0004092704424510632,0.285888671875,0.004245825868565589,0.2,1.0043143033981323,-44.13012766838074,-0.030291162111097947,0.02271828,-0.028861897066235542,0.03520470857620239,176,-2.3139515000000004,1257.0
1290,6656,5,13,0.0004092704424510632,0.2379150390625,0.004036656493553892,0.2,1.0046257972717285,-44.11417043209076,-0.02304483181796968,0.018512303,-0.02956566959619522,0.00655752420425415,192,-2.3282852000000003,1257.0
1285,7168,5,14,0.0004092704424510632,0.240966796875,0.019069944450166076,0.2,1.0051127672195435,-44.13021230697632,-0.021111371243023314,0.018639125,-0.013972925953567028,0.0007749795913696289,208,-2.3282852000000003,1257.0
