time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,4122,1,,,,,,,,,,,,,
1024,0,1878,2,16,0.15933372818108182,-43.99607038497925,1.000464916229248,0.018763378,-0.768905758857727,0.2886962890625,-0.04315061494708061,0.2,-0.03377927055407781,0.0004092704424510632,,
1536,0,1588,3,32,0.003539844125043601,-43.99452567100525,1.0000128746032715,0.01960412,-0.09745252132415771,0.263427734375,-0.03012332133948803,0.2,-0.02586131397401914,0.0004092704424510632,1257.0,-2.253072
2048,1,1475,4,48,0.004774254935909994,-44.014455676078796,1.0022234916687012,0.01914541,0.002327442169189453,0.265625,-0.029686255380511284,0.2,-0.026647183869499713,0.0004092704424510632,1257.0,-2.253072
2560,1,1414,5,64,0.003640959163021762,-44.06065237522125,1.0022132396697998,0.016737666,-0.010823965072631836,0.2501220703125,-0.032704390585422516,0.2,-0.025845906653557904,0.0004092704424510632,1257.0,-2.359512
3072,2,1378,6,80,0.007121648464817554,-44.0262565612793,1.0004836320877075,0.020253984,0.006717562675476074,0.28662109375,-0.041733480989933014,0.2,-0.02995730537804775,0.0004092704424510632,1257.0,-2.359512
3584,2,1353,7,96,0.002420264790998772,-43.98170006275177,0.9994489550590515,0.013529934,0.061321794986724854,0.2332763671875,-0.030633607879281044,0.2,-0.024146622949047014,0.0004092704424510632,1257.0,-2.359512
4096,3,1335,8,112,0.0037383532398962416,-43.966431856155396,0.999998152256012,0.016024534,-0.04022979736328125,0.2547607421875,-0.02986963838338852,0.2,-0.02563831102452241,0.0004092704424510632,1257.0,-2.4338596666666668
4608,3,1321,9,128,0.014555605739587918,-43.967538833618164,0.9986216425895691,0.023175675,-0.00377810001373291,0.307861328125,-0.035404957830905914,0.2,-0.027255428722128272,0.0004092704424510632,1257.0,-2.4338596666666668
5120,3,1311,10,144,0.0049295783683191985,-43.92491042613983,0.9981294274330139,0.017874023,-0.005437731742858887,0.2171630859375,-0.036398980766534805,0.2,-0.022210795170394704,0.0004092704424510632,1257.0,-2.466422
5632,4,1301,11,160,0.021773169399239123,-43.91506862640381,0.9974921345710754,0.02204509,0.002120792865753174,0.2796630859375,-0.026425451040267944,0.2,-0.02516160266532097,0.0004092704424510632,1257.0,-2.466422
6144,4,1294,12,176,0.00187734739483858,-43.8856338262558,0.9964029788970947,0.016385771,-0.02261066436767578,0.2694091796875,-0.05014310032129288,0.2,-0.03015900356695056,0.0004092704424510632,1257.0,-2.466422
6656,5,1289,13,192,0.0028786982293240726,-43.86151850223541,0.9961320161819458,0.018239014,-0.0126420259475708,0.2608642578125,-0.03970076143741608,0.2,-0.028029149951180443,0.0004092704424510632,1257.0,-2.4243176
7168,5,1284,14,208,0.02979409520048648,-43.84018921852112,0.99476158618927,0.017877288,-0.0012618303298950195,0.2802734375,-0.025462333112955093,0.2,-0.027640344560495578,0.0004092704424510632,1257.0,-2.4243176
7680,5,1280,15,224,0.003965359050198458,-43.79001438617706,0.9936163425445557,0.0168846,0.0009037256240844727,0.2606201171875,-0.02167958766222,0.2,-0.028761991939973086,0.0004092704424510632,1257.0,-2.3798703333333333
8192,6,1276,16,240,0.03495235258014873,-43.78760826587677,0.9947590231895447,0.0172024,0.0011798739433288574,0.286376953125,-0.024623263627290726,0.2,-0.027524027216713876,0.0004092704424510632,1257.0,-2.3798703333333333
