time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
3602,0,1,512,,,,,,,,,,,,,
1752,0,2,1024,-0.030845571745885536,-0.039224933832883835,-0.3076540231704712,0.2252197265625,0.2,0.015811846,-44.00812113285065,0.16280314860341605,0.0004092704424510632,16,1.0013848543167114,,
1508,1,3,1536,-0.027666124267852865,-0.034096959978342056,-0.0026367902755737305,0.23583984375,0.2,0.016194995,-44.013909220695496,0.0031415596095030196,0.0004092704424510632,32,0.9998392462730408,-2.413967,1223.0
1407,1,4,2048,-0.028551639174111187,-0.02960491180419922,-0.01151585578918457,0.32421875,0.2,0.02607504,-43.96578514575958,0.00842647219542414,0.0004092704424510632,48,0.9994866251945496,-2.413967,1223.0
1355,1,5,2560,-0.027942126340349205,-0.03557479381561279,-0.022325992584228516,0.24658203125,0.2,0.015934696,-43.954577922821045,0.0012911474477732554,0.0004092704424510632,64,0.9982567429542542,-2.3354939999999997,1223.0
1323,2,6,3072,-0.021767072634247597,-0.016830647364258766,0.005188941955566406,0.2244873046875,0.2,0.016193552,-43.91050207614899,0.003903732958860928,0.0004092704424510632,80,0.9972741603851318,-2.3354939999999997,1223.0
1299,2,7,3584,-0.024530639522708952,-0.04213094711303711,-0.009698987007141113,0.2373046875,0.2,0.018613648,-43.901482939720154,0.001941946473380085,0.0004092704424510632,96,0.997771680355072,-2.3354939999999997,1223.0
1281,3,8,4096,-0.02227736680652015,-0.03038462996482849,-0.0017303228378295898,0.2021484375,0.2,0.013308784,-43.92638552188873,0.002757866746833315,0.0004092704424510632,112,0.9988275170326233,-2.304674,1223.0
1269,3,9,4608,-0.02269871486350894,-0.040707431733608246,-0.00571894645690918,0.20751953125,0.2,0.013154345,-43.96640944480896,0.0032035929325502366,0.0004092704424510632,128,1.0003410577774048,-2.304674,1223.0
1260,4,10,5120,-0.024758791536442004,-0.047718171030282974,-0.008989214897155762,0.2509765625,0.2,0.017363366,-43.99673688411713,0.0016839493800944183,0.0004092704424510632,144,1.0006111860275269,-2.3530794999999998,1223.0
1251,4,11,5632,-0.027609411132289097,-0.035097453743219376,-0.004283905029296875,0.2581787109375,0.2,0.018970188,-43.99230992794037,0.004642123407393228,0.0004092704424510632,160,1.0002655982971191,-2.3530794999999998,1223.0
1243,4,12,6144,-0.026542211926425807,-0.03496797755360603,-0.0097578763961792,0.2310791015625,0.2,0.016712863,-43.98198413848877,0.0018474797834642231,0.0004092704424510632,176,0.9999420046806335,-2.3486974,1223.0
1237,5,13,6656,-0.027066045498941094,-0.03243974968791008,0.0007627606391906738,0.259765625,0.2,0.018987413,-43.99390149116516,0.009386534860823303,0.0004092704424510632,192,1.001526951789856,-2.3486974,1223.0
