time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
512,1,0,4150,,,,,,,,,,,,,
1024,2,0,2505,-44.00531852245331,-0.0332242360454984,0.018402863,-0.3141610622406006,1.0011093616485596,16,0.2686767578125,0.2,0.10976523702265695,-0.03342593461275101,0.0004092704424510632,,
1536,3,0,2222,-43.98957812786102,-0.028415844863047823,0.01954389,0.02586352825164795,0.9983155727386475,32,0.26416015625,0.2,0.006196213485964108,-0.0407482385635376,0.0004092704424510632,1258.0,-2.855205
2048,4,0,2089,-43.887375593185425,-0.037234670628095046,0.02781597,0.0024527311325073242,0.9952244758605957,48,0.330810546875,0.2,0.013726537814363837,-0.03884590044617653,0.0004092704424510632,1258.0,-2.855205
2560,5,1,2029,-43.78115236759186,-0.027323191257892177,0.018167276,0.1778804063796997,0.9915738105773926,64,0.2637939453125,0.2,0.005303463956806809,-0.03932510316371918,0.0004092704424510632,1258.0,-2.7940045
3072,6,1,1990,-43.67308247089386,-0.024567837012000382,0.01663711,0.04962563514709473,0.9885037541389465,80,0.26611328125,0.2,0.020372155238874257,-0.019271600991487503,0.0004092704424510632,1258.0,-2.7940045
3584,7,1,1966,-43.631791472435,-0.02823182105203159,0.02097549,0.34524035453796387,0.9895402789115906,96,0.284912109375,0.2,0.0033712743788782973,-0.04496956244111061,0.0004092704424510632,1258.0,-2.7940045
4096,8,2,1952,-43.66280663013458,-0.023293875419767573,0.01643901,0.21565818786621094,0.9897796511650085,112,0.2266845703125,0.2,0.001983687892789021,-0.038268133997917175,0.0004092704424510632,1258.0,-2.7392076666666667
4608,9,2,1937,-43.67160427570343,-0.02822454198030755,0.017246477,0.040560245513916016,0.9902018904685974,128,0.28076171875,0.2,0.0317445769906044,-0.02856701985001564,0.0004092704424510632,1258.0,-2.7392076666666667
5120,10,2,1927,-43.674424171447754,-0.026131941980565898,0.018025115,0.41754043102264404,0.9904393553733826,144,0.2440185546875,0.2,0.003519740370393265,-0.030423704534769058,0.0004092704424510632,1258.0,-2.73073925
5632,11,2,1918,-43.69829607009888,-0.025870363155263476,0.026533369,0.150226891040802,0.9917990565299988,160,0.3023681640625,0.2,0.033656333514954895,-0.011038500815629959,0.0004092704424510632,1258.0,-2.73073925
6144,12,3,1911,-43.71581494808197,-0.02203503283089958,0.014714709,0.39800333976745605,0.9911308288574219,176,0.2261962890625,0.2,0.0035123026609653607,-0.0313054583966732,0.0004092704424510632,1258.0,-2.73073925
6656,13,3,1905,-43.68541240692139,-0.02109256453695707,0.013954949,0.43715643882751465,0.9904630780220032,192,0.1815185546875,0.2,0.0024363984521187376,-0.032286908477544785,0.0004092704424510632,1258.0,-2.7392887999999997
7168,14,3,1899,-43.67833709716797,-0.033890575636178255,0.015723696,0.1948791742324829,0.9909569025039673,208,0.266357421875,0.2,0.031981103064026684,-0.038121700286865234,0.0004092704424510632,1258.0,-2.7392887999999997
7680,15,4,1891,-43.68103337287903,-0.025295160463429056,0.017265486,-0.18667352199554443,0.9899525046348572,224,0.251953125,0.2,0.006248798534215894,-0.03893502056598663,0.0004092704424510632,1258.0,-2.737141
8192,16,4,1884,-43.67396283149719,-0.02860485849669203,0.025834937,0.18765944242477417,0.9913915395736694,240,0.318359375,0.2,0.04621155955828726,-0.014950480312108994,0.0004092704424510632,1258.0,-2.737141
8704,17,4,1879,-43.73558223247528,-0.025398171244887635,0.01680588,0.17687463760375977,0.9933082461357117,256,0.2515869140625,0.2,0.00792844413081184,-0.024405036121606827,0.0004092704424510632,1258.0,-2.737141
9216,18,4,1873,-43.76218664646149,-0.023213255015434697,0.019904822,0.4866580367088318,0.9927690625190735,272,0.2269287109375,0.2,0.00382763299785438,-0.039581697434186935,0.0004092704424510632,1258.0,-2.742246
