time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/value_loss,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,4162,1,512,,,,,,,,,,,,,
0,2450,2,1024,0.15602937067160383,16,0.9996044635772705,0.2,0.3037109375,-0.0383107092930004,-0.41376614570617676,-43.97749888896942,-0.04137289151549339,0.020398058,0.0004092704424510632,,
0,2161,3,1536,0.004237535431457218,32,0.9980018138885498,0.2,0.271728515625,-0.0257600104669109,-0.07686614990234375,-43.95244514942169,-0.034518249332904816,0.017166,0.0004092704424510632,1257.0,-2.384179
1,2036,4,2048,0.002852057761629112,48,0.9985417127609253,0.2,0.24267578125,-0.02511609171051532,-0.015773296356201172,-43.92564821243286,-0.02777056396007538,0.017064067,0.0004092704424510632,1257.0,-2.384179
1,1969,5,2560,0.0029584915355371777,64,1.0014020204544067,0.2,0.276611328125,-0.02493388629227411,0.04151451587677002,-43.97961699962616,-0.03493413329124451,0.013998691,0.0004092704424510632,1257.0,-2.3947950000000002
1,1925,6,3072,0.010171628862735815,80,1.000125527381897,0.2,0.364501953125,-0.033773047660361044,-0.02801382541656494,-44.01881456375122,-0.04073156788945198,0.03086483,0.0004092704424510632,1257.0,-2.3947950000000002
1,1898,7,3584,0.006729431916028261,96,0.9987950325012207,0.2,0.2950439453125,-0.028890783491078764,0.019367992877960205,-43.963462114334106,-0.03050665557384491,0.024689674,0.0004092704424510632,1257.0,-2.3947950000000002
2,1876,8,4096,0.0050996036297874525,112,0.9971327185630798,0.2,0.300537109375,-0.031207070511300117,-0.009794950485229492,-43.921562910079956,-0.04933025315403938,0.020656481,0.0004092704424510632,1257.0,-2.476698666666667
2,1860,9,4608,0.02012072002980858,128,0.9959880113601685,0.2,0.313232421875,-0.02659772351034917,-0.0007183551788330078,-43.87431180477142,-0.024398919194936752,0.024485074,0.0004092704424510632,1257.0,-2.476698666666667
2,1847,10,5120,0.0020907404395984486,144,0.9940950274467468,0.2,0.29638671875,-0.030349432257935405,0.0048323869705200195,-43.833975195884705,-0.04228023812174797,0.020049544,0.0004092704424510632,1257.0,-2.45938025
3,1835,11,5632,0.023040378815494478,160,0.9934074282646179,0.2,0.3221435546875,-0.02895275503396988,-0.005757451057434082,-43.7828528881073,-0.02809137850999832,0.023098184,0.0004092704424510632,1257.0,-2.45938025
