time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/loss,train/policy_gradient_loss,train/explained_variance,train/std,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,4069,512,,,,,,,,,,,,,
0,2,1877,1024,-0.05038570985198021,-0.033077761239837855,-0.6563093662261963,1.0008671283721924,0.15768587094498798,-44.002983808517456,0.2,0.276123046875,0.019282907,16,0.0004092704424510632,,
0,3,1586,1536,-0.028722207993268967,-0.02643434054334648,-0.13845407962799072,1.0006581544876099,0.0037394135288195685,-44.012041449546814,0.2,0.25537109375,0.019616932,32,0.0004092704424510632,-2.466022,1257.0
1,4,1476,2048,-0.027577107772231102,-0.02656238788040355,-0.00763702392578125,1.0028233528137207,0.007356037589488551,-44.03257882595062,0.2,0.265380859375,0.021270774,48,0.0004092704424510632,-2.466022,1257.0
1,5,1417,2560,-0.030985793098807335,-0.025393004085344728,-0.00950634479522705,1.0026471614837646,0.003965255840739701,-44.07754909992218,0.2,0.25146484375,0.016024034,64,0.0004092704424510632,-2.5773355000000002,1257.0
2,6,1381,3072,-0.04110151529312134,-0.029585826996481046,0.005984246730804443,1.0006654262542725,0.008683722131536342,-44.03660821914673,0.2,0.30078125,0.02101735,80,0.0004092704424510632,-2.5773355000000002,1257.0
2,7,1354,3584,-0.03042856976389885,-0.023357608733931556,0.03527367115020752,0.9992562532424927,0.002422459056106163,-43.98037362098694,0.2,0.2298583984375,0.016492264,96,0.0004092704424510632,-2.5773355000000002,1257.0
3,8,1334,4096,-0.026539474725723267,-0.025571454025339335,-0.02738356590270996,0.999667763710022,0.004270041499694344,-43.957457423210144,0.2,0.2586669921875,0.018906355,112,0.0004092704424510632,-2.653146,1257.0
3,9,1320,4608,-0.03124147281050682,-0.028565217391587794,-0.0026149749755859375,0.9982962608337402,0.020010453095892444,-43.956706047058105,0.2,0.28857421875,0.024603717,128,0.0004092704424510632,-2.653146,1257.0
3,10,1308,5120,-0.0375511571764946,-0.022585301281651482,0.0014085769653320312,0.9976223111152649,0.005162335095519666,-43.911513924598694,0.2,0.224365234375,0.016561829,144,0.0004092704424510632,-2.685249,1257.0
4,11,1299,5632,-0.02412502095103264,-0.025802437579841353,0.00236356258392334,0.9969200491905212,0.027219511743169278,-43.8983029127121,0.2,0.275634765625,0.02585069,160,0.0004092704424510632,-2.685249,1257.0
4,12,1291,6144,-0.04458142817020416,-0.029377001454122365,0.015708625316619873,0.9954180717468262,0.002008806277444819,-43.86131262779236,0.2,0.2628173828125,0.016409546,176,0.0004092704424510632,-2.685249,1257.0
5,13,1284,6656,-0.039597462862730026,-0.028319634089712054,-0.015186190605163574,0.9950530529022217,0.003066206343646627,-43.82850730419159,0.2,0.2548828125,0.016008712,192,0.0004092704424510632,-2.6401134,1257.0
5,14,1279,7168,-0.02239418216049671,-0.028356293740216643,9.268522262573242e-05,0.9938380122184753,0.03595205984311178,-43.80804491043091,0.2,0.283447265625,0.018307483,208,0.0004092704424510632,-2.6401134,1257.0
6,15,1273,7680,-0.020092464983463287,-0.026697127847000957,0.004840970039367676,0.9927210807800293,0.004097920449567027,-43.76027798652649,0.2,0.2530517578125,0.019639473,224,0.0004092704424510632,-2.5926458333333335,1257.0
6,16,1269,8192,-0.019582532346248627,-0.026407677069073543,0.003164947032928467,0.9941254258155823,0.04282933287322521,-43.76401746273041,0.2,0.250732421875,0.020633124,240,0.0004092704424510632,-2.5926458333333335,1257.0
6,17,1265,8704,-0.034085895866155624,-0.026072738226503134,-0.28248798847198486,0.9935183525085449,0.0034907604167528916,-43.78849697113037,0.2,0.2125244140625,0.0155099,256,0.0004092704424510632,-2.5926458333333335,1257.0
7,18,1261,9216,-0.036742668598890305,-0.02775474323425442,-0.0023539066314697266,0.9944775700569153,0.0025350251635245513,-43.7742577791214,0.2,0.2305908203125,0.020298025,272,0.0004092704424510632,-2.580999857142857,1257.0
7,19,1252,9728,0.00012329407036304474,-0.02360613529162947,0.004985451698303223,0.9922459721565247,0.051646386622451246,-43.77510404586792,0.2,0.219482421875,0.022252856,288,0.0004092704424510632,-2.580999857142857,1257.0
8,20,1245,10240,-0.04196976497769356,-0.02377612638520077,-0.12089765071868896,0.9925301671028137,0.0035985170979984105,-43.717015624046326,0.2,0.2054443359375,0.017571427,304,0.0004092704424510632,-2.558186,1257.0
8,21,1244,10752,-0.015731768682599068,-0.024851482041412964,0.005088984966278076,0.9913145303726196,0.05699672887567431,-43.72353458404541,0.2,0.2586669921875,0.020508142,320,0.0004092704424510632,-2.558186,1257.0
9,22,1242,11264,-0.04489105939865112,-0.024573382914240938,-1.355010986328125,0.9923440217971802,0.003451534179475857,-43.70023059844971,0.2,0.2108154296875,0.016651528,336,0.0004092704424510632,-2.558186,1257.0
9,23,1240,11776,-0.032197196036577225,-0.02121264902234543,0.08841729164123535,0.9925530552864075,0.001777635367034236,-43.72999095916748,0.2,0.1903076171875,0.012795106,352,0.0004092704424510632,-2.540347777777778,1257.0
9,24,1239,12288,0.0005365349352359772,-0.01651648443657905,0.03162616491317749,0.9913934469223022,0.04379811038961634,-43.71750462055206,0.2,0.1859130859375,0.013813509,368,0.0004092704424510632,-2.540347777777778,1257.0
10,25,1237,12800,-0.028338758274912834,-0.024728798263822682,-1.1255192756652832,0.9912551045417786,0.005682286653609481,-43.68806183338165,0.2,0.21533203125,0.016918207,384,0.0004092704424510632,-2.5526305000000002,1257.0
10,26,1235,13312,-0.014414637349545956,-0.024839799239998683,0.05236804485321045,0.9910081028938293,0.03645616862922907,-43.68441331386566,0.2,0.2821044921875,0.021848332,400,0.0004092704424510632,-2.5526305000000002,1257.0
11,27,1234,13824,-0.02761012315750122,-0.027155694493558258,-0.2412787675857544,0.9914047718048096,0.004571545781800523,-43.68485450744629,0.2,0.253173828125,0.023946706,416,0.0004092704424510632,-2.5526305000000002,1257.0
11,28,1233,14336,-0.04548807442188263,-0.025948988637537695,0.5144641995429993,0.9927700161933899,0.0028011049871565774,-43.709681272506714,0.2,0.211669921875,0.0152464425,432,0.0004092704424510632,-2.553025,1257.0
12,29,1232,14848,-0.020618068054318428,-0.022336886497214437,0.2259918451309204,0.9907450675964355,0.011799233936471865,-43.710206627845764,0.2,0.2392578125,0.030116148,448,0.0004092704424510632,-2.553025,1257.0
12,30,1230,15360,-0.044832952320575714,-0.027887864358490333,-0.6380232572555542,0.9912696480751038,0.0034245184651808813,-43.664846658706665,0.2,0.2547607421875,0.018301943,464,0.0004092704424510632,-2.5652643333333334,1257.0
12,31,1229,15872,-0.004948459565639496,-0.02660394767008256,0.026609301567077637,0.98909592628479,0.06303236109670252,-43.65739166736603,0.2,0.285888671875,0.023234364,480,0.0004092704424510632,-2.5652643333333334,1257.0
13,32,1228,16384,-0.03231712803244591,-0.022659905342152342,-0.7524197101593018,0.9908671975135803,0.008939676408772357,-43.62560224533081,0.2,0.171630859375,0.014641376,496,0.0004092704424510632,-2.556939615384615,1257.0
13,33,1227,16896,-0.020828334614634514,-0.029258512615342624,0.28397369384765625,0.9923163652420044,0.042911086580716074,-43.698031067848206,0.2,0.25244140625,0.020882599,512,0.0004092704424510632,-2.556939615384615,1257.0
14,34,1226,17408,-0.031050847843289375,-0.023732214292977005,-0.5866215229034424,0.9934920072555542,0.0035089202792732976,-43.727826952934265,0.2,0.207275390625,0.015146501,528,0.0004092704424510632,-2.556939615384615,1257.0
14,35,1225,17920,-0.03350088745355606,-0.018909146485384554,-0.2817732095718384,0.994178831577301,0.004019645202788524,-43.759045004844666,0.2,0.1903076171875,0.01730808,544,0.0004092704424510632,-2.5682074285714287,1257.0
15,36,1222,18432,-0.026025662198662758,-0.026636412079824368,0.07202041149139404,0.9935702681541443,0.04693285987013951,-43.75752556324005,0.2,0.264892578125,0.026354598,560,0.0004092704424510632,-2.5682074285714287,1257.0
15,37,1221,18944,-0.037107210606336594,-0.02803510526427999,-2.2913265228271484,0.9942852854728699,0.004230886912409915,-43.752326011657715,0.2,0.2626953125,0.023374297,576,0.0004092704424510632,-2.587508466666667,1257.0
15,38,1221,19456,-0.017111359164118767,-0.026163179543800652,0.040973663330078125,0.9935809969902039,0.058365120145026594,-43.7578547000885,0.2,0.261474609375,0.025866436,592,0.0004092704424510632,-2.587508466666667,1257.0
16,39,1221,19968,-0.050213031470775604,-0.02994962078082608,-0.7278343439102173,0.9939405918121338,0.009753863443620503,-43.74229061603546,0.2,0.2569580078125,0.020108407,608,0.0004092704424510632,-2.587508466666667,1257.0
16,40,1220,20480,-0.0301126167178154,-0.029339002241613343,-0.03737294673919678,0.994142472743988,0.0034579095008666627,-43.75722551345825,0.2,0.2674560546875,0.018913042,624,0.0004092704424510632,-2.586936,1257.0
17,41,1220,20992,-0.021164635196328163,-0.026026747887954116,0.02997303009033203,0.9948487281799316,0.0737135992385447,-43.763795614242554,0.2,0.2730712890625,0.0219025,640,0.0004092704424510632,-2.586936,1257.0
17,42,1215,21504,-0.027779024094343185,-0.02367802511435002,-1.5278804302215576,0.9960601329803467,0.006861219982965849,-43.79511106014252,0.2,0.2176513671875,0.019105319,656,0.0004092704424510632,-2.5887709411764708,1257.0
18,43,1213,22016,-0.013676490634679794,-0.024873927206499502,0.08310830593109131,0.9975067973136902,0.06874771323055029,-43.8390679359436,0.2,0.246337890625,0.019886443,672,0.0004092704424510632,-2.5887709411764708,1257.0
18,44,1212,22528,-0.02547214925289154,-0.024375925815547816,0.22138869762420654,0.9981285333633423,0.013423631520709023,-43.87207007408142,0.2,0.2015380859375,0.015169923,688,0.0004092704424510632,-2.5887709411764708,1257.0
18,45,1212,23040,-0.03858662396669388,-0.021213147934759036,-0.6192604303359985,0.9999828934669495,0.003819187892077025,-43.898842334747314,0.2,0.210693359375,0.01721138,704,0.0004092704424510632,-2.5883967222222224,1257.0
19,46,1212,23552,-0.016364241018891335,-0.0247479860772728,0.22590357065200806,1.000629186630249,0.04976575018372387,-43.94999706745148,0.2,0.18212890625,0.022103263,720,0.0004092704424510632,-2.5883967222222224,1257.0
19,47,1213,24064,-0.039498865604400635,-0.02675549528794363,-2.437954902648926,1.0013669729232788,0.005646192730637267,-43.957178831100464,0.2,0.248046875,0.019455567,736,0.0004092704424510632,-2.583814789473684,1257.0
20,48,1213,24576,-0.02698688954114914,-0.02329668222228065,0.094332754611969,1.0015169382095337,0.0552785653853789,-43.979390382766724,0.2,0.267578125,0.019479511,752,0.0004092704424510632,-2.583814789473684,1257.0
20,49,1213,25088,-0.02728120982646942,-0.021831105957971886,-0.6467099189758301,1.0015965700149536,0.00435611361899646,-43.97578477859497,0.2,0.1751708984375,0.012758698,768,0.0004092704424510632,-2.583814789473684,1257.0
21,50,1212,25600,-0.026527008041739464,-0.02533687895629555,0.31488192081451416,1.001704454421997,0.0029258457725518383,-43.97611927986145,0.2,0.2293701171875,0.01710166,784,0.0004092704424510632,-2.5802907,1257.0
21,51,1212,26112,-0.03169552981853485,-0.031791364526725374,0.33839815855026245,1.0006095170974731,0.04311310953926295,-43.96569085121155,0.2,0.270263671875,0.029801603,800,0.0004092704424510632,-2.5802907,1257.0
21,52,1212,26624,-0.027680618688464165,-0.020087947632418945,-1.1125547885894775,1.0003339052200317,0.008403644475038163,-43.92974662780762,0.2,0.2081298828125,0.017706435,816,0.0004092704424510632,-2.5787693333333332,1257.0
22,53,1212,27136,-0.010510696098208427,-0.019622039137175307,0.4473613500595093,1.0006756782531738,0.04290548514109105,-43.934428453445435,0.2,0.1644287109375,0.018747944,832,0.0004092704424510632,-2.5787693333333332,1257.0
22,54,1212,27648,-0.02037728577852249,-0.024769062642008066,-0.8294532299041748,1.0013891458511353,0.008994671632535756,-43.948405504226685,0.2,0.240234375,0.019599322,848,0.0004092704424510632,-2.5787693333333332,1257.0
23,55,1212,28160,-0.02829933352768421,-0.025072296935832128,0.6940362453460693,0.9991492629051208,0.018177393299993128,-43.93120491504669,0.2,0.2337646484375,0.018593524,864,0.0004092704424510632,-2.5732999545454547,1257.0
23,56,1212,28672,-0.04157906770706177,-0.0324663732026238,0.705339789390564,0.9979493618011475,0.015691371969296597,-43.85902774333954,0.2,0.3057861328125,0.034283765,880,0.0004092704424510632,-2.5732999545454547,1257.0
24,57,1212,29184,-0.04779229685664177,-0.029693124000914395,-1.380077600479126,0.9961383938789368,0.005966605036519468,-43.817904353141785,0.2,0.2398681640625,0.016971692,896,0.0004092704424510632,-2.577360043478261,1257.0
24,58,1212,29696,-0.01867438666522503,-0.020389083969348576,0.33976227045059204,0.9951398372650146,0.0516058683861047,-43.763858914375305,0.2,0.1463623046875,0.016473994,912,0.0004092704424510632,-2.577360043478261,1257.0
24,59,1212,30208,-0.024414440616965294,-0.01811779270065017,-1.7729878425598145,0.9944064617156982,0.007889327855082229,-43.747164607048035,0.2,0.169189453125,0.013785031,928,0.0004092704424510632,-2.5901053333333333,1257.0
25,60,1212,30720,-0.01301497220993042,-0.02134910644235788,0.2794703245162964,0.9950506091117859,0.06925887212855741,-43.737356305122375,0.2,0.1527099609375,0.01721159,944,0.0004092704424510632,-2.5901053333333333,1257.0
25,61,1211,31232,-0.026332981884479523,-0.025509998755296692,-0.3296670913696289,0.9971578121185303,0.005938780319411308,-43.77974486351013,0.2,0.2498779296875,0.023946155,960,0.0004092704424510632,-2.5901053333333333,1257.0
26,62,1211,31744,-0.041774097830057144,-0.025506997015327215,-1.4796128273010254,0.9980355501174927,0.004997403499146458,-43.83659219741821,0.2,0.2178955078125,0.015472862,976,0.0004092704424510632,-2.5935233999999996,1257.0
26,63,1211,32256,0.00043498072773218155,-0.01678973122034222,0.18202555179595947,0.9973618984222412,0.061280841822735965,-43.84211266040802,0.2,0.1668701171875,0.019926261,992,0.0004092704424510632,-2.5935233999999996,1257.0
27,64,1211,32768,-0.042504824697971344,-0.03203203488374129,-1.9556586742401123,0.9963204860687256,0.006734184215019923,-43.81227397918701,0.2,0.2802734375,0.021367537,1008,0.0004092704424510632,-2.601106115384615,1257.0
27,65,1211,33280,-0.007438572123646736,-0.01954068898339756,0.19098663330078125,0.9958186149597168,0.06287736946251243,-43.78890538215637,0.2,0.1590576171875,0.014902194,1024,0.0004092704424510632,-2.601106115384615,1257.0
27,66,1211,33792,-0.026479993015527725,-0.01992557311314158,-0.7901937961578369,0.9969826936721802,0.006121216923929751,-43.793570041656494,0.2,0.184326171875,0.015145153,1040,0.0004092704424510632,-2.601106115384615,1257.0
28,67,1211,34304,-0.024462062865495682,-0.023753937777655665,-1.4630110263824463,0.9973010420799255,0.0034424614532326814,-43.82616603374481,0.2,0.2203369140625,0.015939597,1056,0.0004092704424510632,-2.5947465185185177,1257.0
28,68,1210,34816,-0.018729714676737785,-0.02200300215918105,0.2525525689125061,0.9977947473526001,0.05208400258561596,-43.83298051357269,0.2,0.1768798828125,0.021896536,1072,0.0004092704424510632,-2.5947465185185177,1257.0
29,69,1210,35328,-0.034966841340065,-0.020549693086650223,-1.9374198913574219,0.9979870915412903,0.009625971782952547,-43.838478803634644,0.2,0.1885986328125,0.01565206,1088,0.0004092704424510632,-2.601813642857142,1257.0
29,70,1210,35840,-0.008594709448516369,-0.021041175408754498,0.22644877433776855,0.9974095821380615,0.056042570155113935,-43.836930990219116,0.2,0.1878662109375,0.020180227,1104,0.0004092704424510632,-2.601813642857142,1257.0
30,71,1210,36352,-0.027308378368616104,-0.027388902875827625,0.2001795768737793,0.9971736073493958,0.008560174974263646,-43.81425070762634,0.2,0.259765625,0.02320896,1120,0.0004092704424510632,-2.601813642857142,1257.0
30,72,1210,36864,-0.031293049454689026,-0.025517386908177286,-0.8464455604553223,0.9979187250137329,0.004334608594945166,-43.81387376785278,0.2,0.2308349609375,0.018522913,1136,0.0004092704424510632,-2.604829344827585,1257.0
30,73,1209,37376,-0.018595894798636436,-0.02314562868559733,0.19548064470291138,0.9986287951469421,0.055353191593894735,-43.84761393070221,0.2,0.162353515625,0.017598812,1152,0.0004092704424510632,-2.604829344827585,1257.0
31,74,1209,37888,-0.032668665051460266,-0.020180478430120274,-0.616600513458252,0.9996512532234192,0.013666741724591702,-43.858344078063965,0.2,0.1754150390625,0.019646253,1168,0.0004092704424510632,-2.6057220999999995,1257.0
31,75,1209,38400,-0.020549772307276726,-0.02491526451194659,0.6506007313728333,1.0003694295883179,0.04738883033860475,-43.89535903930664,0.2,0.19091796875,0.020362817,1184,0.0004092704424510632,-2.6057220999999995,1257.0
32,76,1209,38912,-0.026661856099963188,-0.027532455438631587,0.3873137831687927,1.000150442123413,0.0166088854894042,-43.902220368385315,0.2,0.2332763671875,0.019688088,1200,0.0004092704424510632,-2.6057220999999995,1257.0
32,77,1209,39424,-0.015553783625364304,-0.02523142032441683,0.48859262466430664,1.0024700164794922,0.029312257247511297,-43.926719069480896,0.2,0.2435302734375,0.02141418,1216,0.0004092704424510632,-2.603781903225806,1257.0
33,78,1208,39936,-0.040744341909885406,-0.028659615316428244,0.8593791127204895,1.0028795003890991,0.03266232745954767,-43.97859859466553,0.2,0.2847900390625,0.0333234,1232,0.0004092704424510632,-2.603781903225806,1257.0
33,79,1208,40448,-0.02966105192899704,-0.021191606487263925,-0.5147565603256226,1.0025103092193604,0.014723476400831714,-43.98316168785095,0.2,0.1806640625,0.015947863,1248,0.0004092704424510632,-2.601489625,1257.0
33,80,1208,40960,-0.014448855072259903,-0.019458670183666982,0.7870104908943176,1.0021387338638306,0.05577709432691336,-43.96394622325897,0.2,0.1279296875,0.016010312,1264,0.0004092704424510632,-2.601489625,1257.0
34,81,1208,41472,-0.03688319772481918,-0.021082345978356898,-0.6285866498947144,1.0014835596084595,0.00762187312648166,-43.952826380729675,0.2,0.171875,0.014418908,1280,0.0004092704424510632,-2.601489625,1257.0
34,82,1208,41984,-0.013189945369958878,-0.025041629312909208,0.7304185628890991,1.0003145933151245,0.02733458235161379,-43.923240542411804,0.2,0.2117919921875,0.016102016,1296,0.0004092704424510632,-2.596097909090909,1257.0
35,83,1208,42496,-0.032154764980077744,-0.031155413715168834,0.8377569913864136,0.9999024271965027,0.015321535407565534,-43.89525318145752,0.2,0.3292236328125,0.027881421,1312,0.0004092704424510632,-2.596097909090909,1257.0
35,84,1208,43008,-0.03375333175063133,-0.02192673629906494,-1.177147626876831,1.0022591352462769,0.008338115920196287,-43.92266321182251,0.2,0.229248046875,0.015931074,1328,0.0004092704424510632,-2.595949117647059,1257.0
36,85,1208,43520,-0.03537861257791519,-0.0274363337084651,0.610059916973114,1.0040522813796997,0.05227822519373149,-43.99959182739258,0.2,0.1939697265625,0.024431795,1344,0.0004092704424510632,-2.595949117647059,1257.0
36,86,1208,44032,-0.028830090537667274,-0.022820149941253476,-0.6275303363800049,1.0053571462631226,0.01607090761535801,-44.03905773162842,0.2,0.208251953125,0.018513422,1360,0.0004092704424510632,-2.5957827142857144,1257.0
36,87,1208,44544,-0.025038359686732292,-0.022593906833208166,0.7443175315856934,1.0045942068099976,0.05104251205921173,-44.05762851238251,0.2,0.168701171875,0.018388368,1376,0.0004092704424510632,-2.5957827142857144,1257.0
37,88,1208,45056,-0.02109403908252716,-0.022480293991975486,0.016735553741455078,1.0047746896743774,0.008861053007422015,-44.030826807022095,0.2,0.2608642578125,0.018451119,1392,0.0004092704424510632,-2.5957827142857144,1257.0
37,89,1208,45568,-0.03878982737660408,-0.03017481781716924,-1.2228987216949463,1.0042741298675537,0.006786404672311619,-44.033671259880066,0.2,0.2957763671875,0.018621907,1408,0.0004092704424510632,-2.593522722222222,1257.0
38,90,1208,46080,-0.012941740453243256,-0.018680751527426764,0.27956610918045044,1.00444757938385,0.07586042006732896,-44.01538896560669,0.2,0.133056640625,0.017566845,1424,0.0004092704424510632,-2.593522722222222,1257.0
38,91,1208,46592,-0.027014082297682762,-0.021211252955254167,-3.912590503692627,1.005905032157898,0.0074126688778051175,-44.045764803886414,0.2,0.2071533203125,0.01676216,1440,0.0004092704424510632,-2.5939174324324323,1257.0
38,92,1208,47104,-0.018886368721723557,-0.02061640219471883,0.19733834266662598,1.0058389902114868,0.06507055621477775,-44.074758887290955,0.2,0.1689453125,0.017254625,1456,0.0004092704424510632,-2.5939174324324323,1257.0
