time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
1,3940,0,512,,,,,,,,,,,,,
2,1856,0,1024,-0.03739703446626663,0.016324949,-0.36768317222595215,0.2408447265625,0.0004092704424510632,-44.004512429237366,0.2,-0.031007057696115226,1.0010855197906494,0.11087830847100122,16,,
3,1587,0,1536,-0.02457001805305481,0.01398036,-0.01612234115600586,0.2158203125,0.0004092704424510632,-44.047157883644104,0.2,-0.021453819921589456,1.002908706665039,0.0035802569036604837,32,1223.0,-2.493341
4,1477,1,2048,-0.03416677936911583,0.020786058,0.0164298415184021,0.30419921875,0.0004092704424510632,-44.06090581417084,0.2,-0.029853899672161788,1.0013930797576904,0.014475806994596496,48,1223.0,-2.493341
5,1425,1,2560,-0.030898578464984894,0.021254394,-0.04237568378448486,0.2757568359375,0.0004092704424510632,-44.011170625686646,0.2,-0.026440894231200218,1.000562071800232,0.0019184611392120132,64,1223.0,-2.5631635
6,1393,2,3072,-0.02613738551735878,0.019528333,0.03348183631896973,0.2872314453125,0.0004092704424510632,-43.98655319213867,0.2,-0.02968046479509212,0.9995219707489014,0.019425960665103048,80,1223.0,-2.5631635
7,1362,2,3584,-0.0504683181643486,0.014521609,-0.01756417751312256,0.21728515625,0.0004092704424510632,-43.9582998752594,0.2,-0.026037682619062252,0.9990752339363098,0.002428113562928047,96,1223.0,-2.5631635
8,1341,3,4096,-0.02135319635272026,0.015898697,0.027566730976104736,0.2001953125,0.0004092704424510632,-43.957749128341675,0.2,-0.02309268985845847,0.9998451471328735,0.003268789358116919,112,1223.0,-2.5401386666666665
9,1327,3,4608,-0.029693279415369034,0.020991411,0.012800276279449463,0.2890625,0.0004092704424510632,-43.98333728313446,0.2,-0.028732749822665937,1.0004079341888428,0.03464982588775456,128,1223.0,-2.5401386666666665
10,1310,3,5120,-0.04846957325935364,0.027773697,-0.07616198062896729,0.3179931640625,0.0004092704424510632,-43.96504878997803,0.2,-0.03436555020743981,0.998205840587616,0.0021600796026177704,144,1223.0,-2.5498304999999997
11,1300,4,5632,-0.022556638345122337,0.018485071,0.03399491310119629,0.2410888671875,0.0004092704424510632,-43.87138092517853,0.2,-0.027558429865166545,0.9949031472206116,0.03928767517209053,160,1223.0,-2.5498304999999997
12,1294,4,6144,-0.04098076745867729,0.019758433,-0.2151036262512207,0.25390625,0.0004092704424510632,-43.819180727005005,0.2,-0.028268857655348256,0.9961618185043335,0.0012421810806699796,176,1223.0,-2.5617124
13,1291,5,6656,-0.006771944463253021,0.015681222,0.08276939392089844,0.2398681640625,0.0004092704424510632,-43.89685893058777,0.2,-0.028525360961793922,0.9989178776741028,0.04359214392025024,192,1223.0,-2.5617124
