time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/std,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/explained_variance,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,512,3888,,,,,,,,,,,,,
0,2,1024,2264,1.0001431703567505,0.0004092704424510632,0.020073112,-0.037366345059126616,0.2882080078125,-43.98895347118378,0.1073956622822152,0.2,16,-0.6298204660415649,-0.046020299196243286,,
0,3,1536,1956,1.0011193752288818,0.0004092704424510632,0.022755627,-0.03521486361569259,0.3331298828125,-44.00405669212341,0.011306390224490315,0.2,32,0.010802865028381348,-0.03843410685658455,1258.0,-2.743547
1,4,2048,1815,0.9994115233421326,0.0004092704424510632,0.023021936,-0.0321520303550642,0.3289794921875,-44.001619815826416,0.012453912902856246,0.2,48,-0.04015159606933594,-0.03167228400707245,1258.0,-2.743547
1,5,2560,1753,0.9981783628463745,0.0004092704424510632,0.019658368,-0.025215979490894824,0.2677001953125,-43.94084417819977,0.0026399435118946712,0.2,64,0.034653425216674805,-0.02022569812834263,1258.0,-2.746663
1,6,3072,1708,0.9955426454544067,0.0004092704424510632,0.028313365,-0.02885134084499441,0.3297119140625,-43.891711711883545,0.020181979576591402,0.2,80,-0.014005661010742188,-0.03049924597144127,1258.0,-2.746663
2,7,3584,1696,0.9916829466819763,0.0004092704424510632,0.017709378,-0.03135940554784611,0.27392578125,-43.785077810287476,0.0034507656091591343,0.2,96,0.004953324794769287,-0.04065637290477753,1258.0,-2.746663
2,8,4096,1672,0.98887699842453,0.0004092704424510632,0.02023071,-0.03283036078209989,0.318603515625,-43.67502462863922,0.01176712874439545,0.2,112,0.013542354106903076,-0.04047344624996185,1258.0,-2.7459293333333332
2,9,4608,1631,0.9897361397743225,0.0004092704424510632,0.017794117,-0.026080846422701143,0.270751953125,-43.64201211929321,0.033800352714024484,0.2,128,0.010760903358459473,-0.023054083809256554,1258.0,-2.7459293333333332
3,10,5120,1621,0.9902933835983276,0.0004092704424510632,0.025195902,-0.026210917261778377,0.294677734375,-43.6689829826355,0.00944720083498396,0.2,144,0.23432767391204834,-0.03467428311705589,1258.0,-2.71404925
3,11,5632,1608,0.9916940927505493,0.0004092704424510632,0.026139025,-0.024853030481608585,0.302490234375,-43.693716645240784,0.03693374100839719,0.2,160,0.0382307767868042,-0.011474055238068104,1258.0,-2.71404925
3,12,6144,1612,0.9916123151779175,0.0004092704424510632,0.014391301,-0.020848102867603302,0.2010498046875,-43.721805691719055,0.0021255330138956197,0.2,176,-0.48330211639404297,-0.03475617989897728,1258.0,-2.71404925
4,13,6656,1611,0.9929224848747253,0.0004092704424510632,0.020011414,-0.023167885112343356,0.265380859375,-43.72937309741974,0.010713757321354933,0.2,192,0.08344131708145142,-0.02703865058720112,1258.0,-2.6785153999999998
4,14,7168,1603,0.9940575361251831,0.0004092704424510632,0.021885177,-0.0350366952479817,0.272705078125,-43.77065443992615,0.03993933741003275,0.2,208,0.20510178804397583,-0.0420399084687233,1258.0,-2.6785153999999998
4,15,7680,1601,0.9940398335456848,0.0004092704424510632,0.027556255,-0.03169155988143757,0.2879638671875,-43.79536437988281,0.006519781782117207,0.2,224,-0.02107059955596924,-0.03586972877383232,1258.0,-2.6515386666666667
5,16,8192,1600,0.9967257976531982,0.0004092704424510632,0.025097316,-0.028368493003654294,0.278564453125,-43.819154024124146,0.03695412230445072,0.2,240,0.2625678777694702,-0.026895012706518173,1258.0,-2.6515386666666667
5,17,8704,1603,0.9988965392112732,0.0004092704424510632,0.014438067,-0.021531477279495448,0.2071533203125,-43.90758919715881,0.0035393877187743783,0.2,256,-0.7417829036712646,-0.021989064291119576,1258.0,-2.6515386666666667
5,18,9216,1602,0.9982313513755798,0.0004092704424510632,0.019827727,-0.023654287273529917,0.229248046875,-43.9303058385849,0.010845235519809648,0.2,272,0.11741018295288086,-0.027944572269916534,1258.0,-2.6748730000000003
6,19,9728,1599,0.9972279071807861,0.0004092704424510632,0.018064242,-0.021295775135513395,0.1939697265625,-43.89912676811218,0.04166196973528713,0.2,288,0.39212799072265625,-0.019365111365914345,1258.0,-2.6748730000000003
6,20,10240,1596,0.9948912858963013,0.0004092704424510632,0.021854028,-0.019574342397390865,0.1983642578125,-43.85032021999359,0.008612466350314207,0.2,304,-0.9590833187103271,-0.008816992864012718,1258.0,-2.69180275
6,21,10752,1587,0.9955095648765564,0.0004092704424510632,0.0182846,-0.027107861213153228,0.2750244140625,-43.81065368652344,0.04550911555998027,0.2,320,0.19721412658691406,-0.019307315349578857,1258.0,-2.69180275
7,22,11264,1578,0.994651734828949,0.0004092704424510632,0.017537115,-0.026598242664476857,0.2447509765625,-43.823668241500854,0.003505678294459358,0.2,336,-0.7832791805267334,-0.044169120490550995,1258.0,-2.69180275
7,23,11776,1575,0.9959086775779724,0.0004092704424510632,0.02109021,-0.02594479115214199,0.2576904296875,-43.80545175075531,0.011510101932799444,0.2,352,0.3222743272781372,-0.03290144354104996,1258.0,-2.682488444444444
7,24,12288,1571,0.9955614805221558,0.0004092704424510632,0.018324314,-0.021635874756611884,0.216064453125,-43.839762449264526,0.027962525957264006,0.2,368,0.5489259362220764,-0.017138618975877762,1258.0,-2.682488444444444
8,25,12800,1567,0.9957125782966614,0.0004092704424510632,0.019928379,-0.022863358055474237,0.226806640625,-43.820451617240906,0.02290460781659931,0.2,384,-0.05539703369140625,-0.02795812487602234,1258.0,-2.680595
8,26,13312,1564,0.9953847527503967,0.0004092704424510632,0.017429665,-0.02325081717572175,0.1962890625,-43.830161571502686,0.040984252525959164,0.2,400,0.7538784742355347,-0.01738596148788929,1258.0,-2.680595
8,27,13824,1563,0.995086669921875,0.0004092704424510632,0.016196184,-0.025166650651954114,0.2166748046875,-43.817116498947144,0.004827054897759808,0.2,416,-3.8039193153381348,-0.038081489503383636,1258.0,-2.680595
9,28,14336,1565,0.9953906536102295,0.0004092704424510632,0.03405445,-0.0293156649422599,0.2813720703125,-43.81466221809387,0.011903496488230303,0.2,432,0.31225335597991943,-0.03631158173084259,1258.0,-2.700956636363636
9,29,14848,1560,0.9945908188819885,0.0004092704424510632,0.032992385,-0.022847440355690196,0.2763671875,-43.807751059532166,0.02933295731781982,0.2,448,0.3785407543182373,-0.023047542199492455,1258.0,-2.700956636363636
9,30,15360,1559,0.9932224154472351,0.0004092704424510632,0.014350552,-0.02518274399335496,0.21533203125,-43.77474749088287,0.013441658084047958,0.2,464,-0.7228895425796509,-0.03146706148982048,1258.0,-2.697613083333333
10,31,15872,1555,0.9929972290992737,0.0004092704424510632,0.022683164,-0.024117603607010096,0.20166015625,-43.74015033245087,0.05724477599142119,0.2,480,0.6629011034965515,-0.013194669038057327,1258.0,-2.697613083333333
10,32,16384,1546,0.9931804537773132,0.0004092704424510632,0.017556287,-0.024232693642261438,0.2291259765625,-43.74274826049805,0.004174074831098551,0.2,496,-1.9431285858154297,-0.03490804508328438,1258.0,-2.6959324615384612
10,33,16896,1541,0.995265781879425,0.0004092704424510632,0.018628111,-0.022464939102064818,0.163330078125,-43.77141046524048,0.06951393932104111,0.2,512,0.4181918501853943,0.007555929943919182,1258.0,-2.6959324615384612
11,34,17408,1543,0.995460033416748,0.0004092704424510632,0.01760834,-0.025452694069826975,0.259521484375,-43.821359395980835,0.0025512181637168396,0.2,528,-0.45265984535217285,-0.03742296248674393,1258.0,-2.6959324615384612
11,35,17920,1544,0.9964962601661682,0.0004092704424510632,0.017392293,-0.022998282685875893,0.2440185546875,-43.82629311084747,0.00941804307512939,0.2,544,0.009833753108978271,-0.03572339192032814,1258.0,-2.6985737857142853
11,36,18432,1542,0.9958527088165283,0.0004092704424510632,0.01697715,-0.018988382100360468,0.1422119140625,-43.8483704328537,0.14097973483148962,0.2,560,0.07877403497695923,0.0012405738234519958,1258.0,-2.6985737857142853
12,37,18944,1544,0.993704080581665,0.0004092704424510632,0.021771232,-0.029157517128624022,0.2587890625,-43.79440772533417,0.011667614744510502,0.2,576,0.08997499942779541,-0.04540599510073662,1258.0,-2.701609133333333
12,38,19456,1544,0.9943994879722595,0.0004092704424510632,0.023950413,-0.024523918167687953,0.1807861328125,-43.758339524269104,0.07816657773219049,0.2,592,0.6484959721565247,-0.018809763714671135,1258.0,-2.701609133333333
12,39,19968,1542,0.9936584234237671,0.0004092704424510632,0.012453202,-0.025736730414791964,0.222900390625,-43.772228360176086,0.002795831034745788,0.2,608,-3.2626967430114746,-0.02816409431397915,1258.0,-2.701609133333333
13,40,20480,1544,0.9943948984146118,0.0004092704424510632,0.01924897,-0.026093133172253147,0.2449951171875,-43.75789415836334,0.0123099684715271,0.2,624,0.04241025447845459,-0.042667534202337265,1258.0,-2.6934131875
13,41,20992,1535,0.9953213930130005,0.0004092704424510632,0.019944325,-0.02219548173889052,0.1920166015625,-43.78838324546814,0.09097074798773974,0.2,640,0.43681371212005615,-0.0159610528498888,1258.0,-2.6934131875
14,42,21504,1535,0.9960790276527405,0.0004092704424510632,0.01921393,-0.028272965661017224,0.2855224609375,-43.81018269062042,0.012242945173056796,0.2,656,-0.02089405059814453,-0.028344864025712013,1258.0,-2.6933552352941175
14,43,22016,1536,0.9967790842056274,0.0004092704424510632,0.019034795,-0.01896910779760219,0.1666259765625,-43.83230113983154,0.08795595972333103,0.2,672,0.6322335600852966,-0.017238426953554153,1258.0,-2.6933552352941175
14,44,22528,1537,0.9980164766311646,0.0004092704424510632,0.018496329,-0.023752192428219132,0.236572265625,-43.85934782028198,0.003476086145383306,0.2,688,-1.5859267711639404,-0.047804780304431915,1258.0,-2.6933552352941175
14,45,23040,1537,0.9981651902198792,0.0004092704424510632,0.021652788,-0.026583233469864354,0.28857421875,-43.893277525901794,0.010101362393470481,0.2,704,0.15636879205703735,-0.02716650813817978,1258.0,-2.6924566666666667
15,46,23552,1538,0.9977751970291138,0.0004092704424510632,0.015922612,-0.02006276571773924,0.1724853515625,-43.88014554977417,0.10776379844173789,0.2,720,0.6195732355117798,0.006883013993501663,1258.0,-2.6924566666666667
15,47,24064,1540,0.9985743165016174,0.0004092704424510632,0.015818425,-0.023257262335391715,0.223876953125,-43.881295561790466,0.011888778128195554,0.2,736,-0.8407689332962036,-0.017312699928879738,1258.0,-2.6913983157894736
15,48,24576,1540,0.9990839958190918,0.0004092704424510632,0.016708493,-0.01827365657663904,0.1328125,-43.908618211746216,0.10544522246345878,0.2,752,0.6467294692993164,-0.0019026920199394226,1258.0,-2.6913983157894736
16,49,25088,1536,0.9994311332702637,0.0004092704424510632,0.02395821,-0.028381806347169913,0.2669677734375,-43.91677463054657,0.005101221049699234,0.2,768,-3.7083239555358887,-0.04155449569225311,1258.0,-2.6913983157894736
16,50,25600,1536,0.9990831017494202,0.0004092704424510632,0.01950134,-0.02932364352454897,0.2921142578125,-43.920409083366394,0.013520650565624237,0.2,784,0.33607739210128784,-0.03156746178865433,1258.0,-2.68842965
17,51,26112,1535,0.9999436736106873,0.0004092704424510632,0.017491564,-0.019821422451059334,0.143310546875,-43.921178221702576,0.07450744998641312,0.2,800,0.7010502815246582,-0.02434072643518448,1258.0,-2.68842965
17,52,26624,1537,1.0015987157821655,0.0004092704424510632,0.01769317,-0.02755765095935203,0.26220703125,-43.96071422100067,0.017959804245037958,0.2,816,-0.11162948608398438,-0.030136166140437126,1258.0,-2.684360619047619
17,53,27136,1537,1.002034068107605,0.0004092704424510632,0.015301732,-0.01653995153901633,0.1226806640625,-43.99651873111725,0.18001039908267558,0.2,832,0.3401111960411072,-0.002972213551402092,1258.0,-2.684360619047619
17,54,27648,1536,1.0029737949371338,0.0004092704424510632,0.016763354,-0.02343732150620781,0.212646484375,-44.00940704345703,0.003704972652485594,0.2,848,-1.9516637325286865,-0.03495613485574722,1258.0,-2.684360619047619
18,55,28160,1536,1.0030083656311035,0.0004092704424510632,0.028583776,-0.030510650634823833,0.291015625,-44.02281975746155,0.030488260905258358,0.2,864,0.6677368879318237,-0.02301940694451332,1258.0,-2.6830096818181817
18,56,28672,1536,1.0028785467147827,0.0004092704424510632,0.036709383,-0.025897794679622166,0.2867431640625,-44.01571238040924,0.08421273293788545,0.2,880,0.7036545872688293,-0.023890431970357895,1258.0,-2.6830096818181817
18,57,29184,1537,1.0022016763687134,0.0004092704424510632,0.0143197235,-0.02167570823803544,0.1964111328125,-44.00586211681366,0.021934535645414144,0.2,896,-0.38226020336151123,-0.024200674146413803,1258.0,-2.6848029999999996
