train/n_updates,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/fps,train/ent_coef_loss,time/total_timesteps
4931,4,0.0008459126528049375,-4.3320125,-122.74226379394531,0.017898090183734894,1258.0,1.1771454811096191,142,35,-161.3647003173828,5032
9963,8,0.0008459126528049375,-3.168542875,-129.19927978515625,0.0014025627169758081,1258.0,0.7990453839302063,288,34,-87.72657012939453,10064
14995,12,0.0008459126528049375,-2.5150663333333334,-136.07717895507812,0.0011868346482515335,1258.0,1.302032232284546,450,33,-43.65212631225586,15096
20027,16,0.0008459126528049375,-2.2024614375000002,-138.9260711669922,0.0009332952322438359,1258.0,1.8809926509857178,608,33,27.636367797851562,20128
25059,20,0.0008459126528049375,-2.0021675,-141.396484375,0.0008910904289223254,1258.0,1.866349458694458,4,34,-6.603026390075684,25160
30091,24,0.0008459126528049375,-1.8833752916666666,-144.39964294433594,0.0013179954839870334,1258.0,2.314415454864502,151,34,-28.46229362487793,30192
35123,28,0.0008459126528049375,-1.7840342142857142,-146.4668731689453,0.0007026878884062171,1258.0,2.1142053604125977,313,32,25.781532287597656,35224
40155,32,0.0008459126528049375,-1.73181153125,-151.68370056152344,0.0009484934853389859,1258.0,2.7595181465148926,497,30,-19.636377334594727,40256
45187,36,0.0008459126528049375,-1.658756583333333,-151.3522491455078,0.0009190975106321275,1258.0,3.744682788848877,663,30,-0.5043185949325562,45288
50219,40,0.0008459126528049375,-1.62863245,-151.91041564941406,0.0007184991263784468,1258.0,4.596640586853027,9,33,-58.343833923339844,50320
55251,44,0.0008459126528049375,-1.5958264999999998,-154.66209411621094,0.0006696998025290668,1258.0,3.0828328132629395,161,33,88.96321105957031,55352
60283,48,0.0008459126528049375,-1.5765893541666667,-152.591064453125,0.0011031284229829907,1258.0,4.24372673034668,314,33,2.446962356567383,60384
65315,52,0.0008459126528049375,-1.5571719615384614,-153.7275390625,0.0017610357608646154,1258.0,6.727419853210449,468,32,21.132102966308594,65416
70347,56,0.0008459126528049375,-1.540811767857143,-154.96429443359375,0.000832941965200007,1258.0,8.830533027648926,648,31,-43.670814514160156,70448
75379,60,0.0008459126528049375,-1.5166005833333336,-156.7587890625,0.0015510962111875415,1258.0,4.4904632568359375,19,24,-0.9766733050346375,75480
80411,64,0.0008459126528049375,-1.513749453125,-156.0789337158203,0.0011748123215511441,1258.0,4.575734615325928,212,25,35.272369384765625,80512
85443,68,0.0008459126528049375,-1.5003499852941173,-151.95208740234375,0.0006392462528310716,1258.0,7.011334419250488,384,27,-35.133567810058594,85544
90475,72,0.0008459126528049375,-1.4886046666666666,-150.74609375,0.001125787734054029,1258.0,57.76332092285156,577,26,53.44020080566406,90576
95507,76,0.0008459126528049375,-1.4707097236842106,-149.11827087402344,0.0007112568127922714,1258.0,57.505855560302734,777,26,-20.325214385986328,95608
